year, CNRM-ESM2-1, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM5-0
2.038000000000000000e+03, 3.008081137794241045e+01, 1.366192146010243391e+01, 1.123875227583757130e+01, 6.270180648845481208e+00, 1.737476541655254181e+01, 1.439500900882774381e+01, 1.565082459187801511e+01, 8.455133710036012218e+00, 8.021891574730432239e+00, 3.041972316150692635e+01, 2.975661191006423678e+01, 2.277077596302399343e+01, 1.393313691978999991e+01, 4.115136154303746707e+01, 4.754771469856073018e+00, 2.434398321734557058e+01
2.039000000000000000e+03, 3.045778147775875055e+01, 1.366899783322695683e+01, 1.139173770729124513e+01, 6.307262828306133606e+00, 1.741795853199509025e+01, 1.453499997737097083e+01, 1.581969194564075742e+01, 8.364903017059091894e+00, 7.930342543931591770e+00, 3.059734123471899991e+01, 3.006653288104837429e+01, 2.277896350050763985e+01, 1.409510734709924229e+01, 4.134155021377313943e+01, 4.779724588340938496e+00, 2.437717907024875785e+01
2.040000000000000000e+03, 3.074510020649981712e+01, 1.374926222207232129e+01, 1.153039421723798696e+01, 6.333189178208658454e+00, 1.763841062758427469e+01, 1.464932721859004339e+01, 1.588767868175191111e+01, 8.350830704414297756e+00, 8.584919003629394751e+00, 3.075180846269742574e+01, 3.019937102028446319e+01, 2.274794574576711526e+01, 1.426936715653944354e+01, 4.145836398586131111e+01, 4.799847358174499590e+00, 2.449868472804495312e+01
2.041000000000000000e+03, 3.086673677861851672e+01, 1.387988833968048574e+01, 1.167568316473637680e+01, 6.401602707280916960e+00, 1.790620026600214487e+01, 1.472595508115022866e+01, 1.607966879017429918e+01, 8.466726807685526879e+00, 8.526786711931102047e+00, 3.104686909077624080e+01, 3.041519897333398248e+01, 2.280796176843780643e+01, 1.430222638210495489e+01, 4.155395754011188103e+01, 4.741019142054082813e+00, 2.446610713288180250e+01
2.042000000000000000e+03, 3.107861280398348214e+01, 1.390917312102429548e+01, 1.179688065968556288e+01, 6.508700482573936519e+00, 1.798719650610233955e+01, 1.483090183600900325e+01, 1.623024214285509004e+01, 8.524588089426051951e+00, 8.728542573920408998e+00, 3.128275035303680340e+01, 3.057472832962897158e+01, 2.284161981620201232e+01, 1.429233731767577709e+01, 4.164716095606046764e+01, 4.376420809076131846e+00, 2.448072668651745687e+01
2.043000000000000000e+03, 3.137909788322753002e+01, 1.401927865584216804e+01, 1.192246444652634096e+01, 6.496198256696698259e+00, 1.792498618745882411e+01, 1.497045497106316247e+01, 1.627244942990970600e+01, 8.448160904839900454e+00, 8.593181130464708772e+00, 3.153873871322245392e+01, 3.091479084815933120e+01, 2.286453955323055709e+01, 1.441388085183198164e+01, 4.168815683513355452e+01, 4.307197255456163276e+00, 2.443853038269851297e+01
2.044000000000000000e+03, 3.164995085128486707e+01, 1.398610571588910823e+01, 1.201051585724578530e+01, 6.561786525834465422e+00, 1.824780278304456971e+01, 1.507929404153141206e+01, 1.629528668863661167e+01, 8.511063467762184587e+00, 8.950025992188026080e+00, 3.178699346670463299e+01, 3.108410022491642621e+01, 2.292559941156060788e+01, 1.445895971289114534e+01, 4.174823317422572444e+01, 4.746622968068063386e+00, 2.453791033769567420e+01
2.045000000000000000e+03, 3.184428642738311410e+01, 1.399434239305492866e+01, 1.220708819281177071e+01, 6.637684619282952170e+00, 1.820047515986787090e+01, 1.516265718305882082e+01, 1.649204275330854230e+01, 8.553700227333406403e+00, 9.207986929753094074e+00, 3.204608000335049667e+01, 3.120974856489159777e+01, 2.296096886206674981e+01, 1.452990622415100930e+01, 4.187492504379737568e+01, 4.789640431774063067e+00, 2.466557646099983714e+01
2.046000000000000000e+03, 3.201431596095402909e+01, 1.408408870282721992e+01, 1.234966279079229245e+01, 6.613702220945853583e+00, 1.824632869338573826e+01, 1.527145574977874176e+01, 1.664695875756774868e+01, 8.652626293250653688e+00, 8.412026904653147952e+00, 3.228596392646971225e+01, 3.135500401914711333e+01, 2.300869590781299223e+01, 1.463792989419713919e+01, 4.198721919533299030e+01, 4.428022788929902198e+00, 2.483736604939403847e+01
2.047000000000000000e+03, 3.237394178360295172e+01, 1.423617351981587298e+01, 1.245584903471043248e+01, 6.630829144497238481e+00, 1.841996143619818938e+01, 1.536532695007286797e+01, 1.675856604420165041e+01, 8.722540998613810714e+00, 7.942229256390334058e+00, 3.263384457370563041e+01, 3.142603944915346403e+01, 2.308933876967342513e+01, 1.470009330647699386e+01, 4.213979328487892673e+01, 4.226859253616884970e+00, 2.481695177658962947e+01
2.048000000000000000e+03, 3.260120833214648428e+01, 1.433475304184317167e+01, 1.255140476925031479e+01, 6.642155499297293986e+00, 1.839300223005312773e+01, 1.547439690316234007e+01, 1.692642150680787339e+01, 8.708565846001393496e+00, 8.629047394113014136e+00, 3.296331421525486860e+01, 3.167921919229937799e+01, 2.315538572515364635e+01, 1.480397480796993470e+01, 4.224293594098866578e+01, 4.343138799940131634e+00, 2.489140997196061633e+01
2.049000000000000000e+03, 3.287326640756619867e+01, 1.436690307615760709e+01, 1.274389417850854223e+01, 6.699676488924730222e+00, 1.826188847125028047e+01, 1.555107189963594294e+01, 1.697268154010552266e+01, 8.721563018249689492e+00, 8.530238192505693817e+00, 3.330103514134772524e+01, 3.199831126224868427e+01, 2.320666118290408164e+01, 1.496211174707764258e+01, 4.232689844289886594e+01, 4.520995309868096612e+00, 2.511735759348648145e+01
2.050000000000000000e+03, 3.300711600729859185e+01, 1.446963198423977204e+01, 1.280656904202839463e+01, 6.697545564566462772e+00, 1.851528888939575879e+01, 1.564049715365647764e+01, 1.712020450381422876e+01, 8.833237285576084119e+00, 8.185670524113461965e+00, 3.373070339707095400e+01, 3.210023692561795627e+01, 2.324619456677170604e+01, 1.491019228605190428e+01, 4.240811137773977890e+01, 4.675461933592563568e+00, 2.523942380940405528e+01
2.051000000000000000e+03, 3.325136004986323712e+01, 1.446863907542265792e+01, 1.297096679790646334e+01, 6.727432601418092517e+00, 1.872476944669718080e+01, 1.569749216634196110e+01, 1.721681980963682435e+01, 8.783971817319708109e+00, 8.229817358019085205e+00, 3.406664782807850145e+01, 3.223505625545394082e+01, 2.332802771502401740e+01, 1.493826703982843362e+01, 4.251611430662820368e+01, 4.567380276034341158e+00, 2.529604373210020185e+01
2.052000000000000000e+03, 3.354016295246550783e+01, 1.429949418099856473e+01, 1.304257823254500792e+01, 6.729238225221796377e+00, 1.886700383554517302e+01, 1.576706402788881967e+01, 1.721652497750563526e+01, 8.773935898059486149e+00, 8.352751350634726180e+00, 3.431809664950817051e+01, 3.245224555639931197e+01, 2.334664058525608965e+01, 1.509312780981412594e+01, 4.271265605346390259e+01, 4.467093263073909526e+00, 2.528983923237885278e+01
