year, CESM2-WACCM, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR
2.027000000000000000e+03, 1.778128352525319370e-09, 2.062550137219128878e-10, 7.763954815859549430e-11, 2.808790493389409460e-09, 2.667564189515956070e-13, 3.927129839742672873e-11, 2.091957932252245679e-09, 1.709938567719723024e-09
2.028000000000000000e+03, 1.802265032435390753e-09, 2.065172396789887409e-10, 7.695631783467038250e-11, 2.876068362634293673e-09, 3.325080946067664801e-13, 4.222901868435514997e-11, 2.099385163596449030e-09, 1.692531517117551735e-09
2.029000000000000000e+03, 1.905046505456907062e-09, 2.068205666168206923e-10, 7.664215360559248632e-11, 2.948832856246945451e-09, 4.230733346285364516e-13, 4.518277586361559714e-11, 2.106399552868063017e-09, 1.681508813557114438e-09
2.030000000000000000e+03, 1.680031876111989668e-09, 2.072665256060374197e-10, 7.614572111652208478e-11, 2.688827788240287385e-09, 6.570724652353220552e-13, 4.812304439641202393e-11, 2.114255665198931685e-09, 1.671345633697722534e-09
2.031000000000000000e+03, 1.755177922126392639e-09, 2.076980782588168580e-10, 7.300579285337407749e-11, 2.513491463223479071e-09, 6.202716898882303779e-13, 5.184411649544841952e-11, 2.113121022254922301e-09, 1.666838131375204052e-09
2.032000000000000000e+03, 1.912405212961503854e-09, 2.079901136814169690e-10, 7.087474918164305096e-11, 2.712262309937592999e-09, 5.541703372000539736e-13, 5.363208428660278032e-11, 2.131909262673611464e-09, 1.701287191508664236e-09
2.033000000000000000e+03, 1.778669735863276892e-09, 2.082900908451618896e-10, 6.976465972626869550e-11, 2.839169491241577659e-09, 5.351028092590115653e-13, 5.667438003565979325e-11, 2.139568943621805472e-09, 1.694685367427089363e-09
2.034000000000000000e+03, 1.800072473618406061e-09, 2.085395192593977378e-10, 6.905991560418851458e-11, 2.617545516588850485e-09, 6.628687240856198418e-13, 5.981478894880075455e-11, 2.204597108778522414e-09, 1.758433321616981140e-09
2.035000000000000000e+03, 1.710688015743512495e-09, 2.090817818268463580e-10, 6.725849586392662429e-11, 2.829272201732783293e-09, 9.950168094328321740e-13, 6.292182061550409029e-11, 2.225271459003746151e-09, 1.688744125969856006e-09
2.036000000000000000e+03, 1.660455680158435756e-09, 2.101670725838545004e-10, 6.365444848507161339e-11, 2.683550272729477300e-09, 1.687292700522954566e-12, 6.476913602724499499e-11, 2.206041255080086667e-09, 1.672000622928530478e-09
2.037000000000000000e+03, 1.319303108455305122e-09, 2.113950484362774399e-10, 6.172632952254820083e-11, 2.518553061923978819e-09, 1.845318022987482220e-12, 6.438773527303928038e-11, 2.214827538744974788e-09, 1.678250345240766278e-09
2.038000000000000000e+03, 1.665223367374207669e-09, 2.124560658083374954e-10, 6.072312005159023644e-11, 2.917000578678146621e-09, 1.683964350836275674e-12, 6.406909391697704380e-11, 2.232389334077851212e-09, 1.672743880873929833e-09
2.039000000000000000e+03, 1.745324757354049227e-09, 2.133000909042517862e-10, 6.005320391498044128e-11, 3.033841892808212711e-09, 1.779487619535238317e-12, 6.363605623063249252e-11, 2.234635527461683164e-09, 1.671022300826150767e-09
2.040000000000000000e+03, 1.766882690288931078e-09, 2.139597127160316222e-10, 5.891313999297261918e-11, 3.007078036959181784e-09, 1.709531045679106442e-12, 6.257113533206489672e-11, 2.220118658286888487e-09, 1.678363662038852921e-09
2.041000000000000000e+03, 1.976028192187939302e-09, 2.144285997506262121e-10, 6.249969353310459351e-11, 3.092727816619694309e-09, 1.241744216900814446e-12, 6.208433839387729056e-11, 2.209661640432900283e-09, 1.664249413580181595e-09
2.042000000000000000e+03, 1.888530632379758924e-09, 2.147003762919247849e-10, 6.404100912309923535e-11, 2.803400103210592451e-09, 1.139786775478358073e-12, 5.967266033068067184e-11, 2.220220896266772066e-09, 1.703457610355920651e-09
2.043000000000000000e+03, 1.878266627181684448e-09, 2.148232653447806720e-10, 6.437525502079147795e-11, 2.823918648833817910e-09, 1.044912511558703071e-12, 5.714058494995290168e-11, 2.224959232017006532e-09, 1.722105484236266632e-09
2.044000000000000000e+03, 1.957446123728856356e-09, 2.149843801351547064e-10, 6.439878867568366289e-11, 2.789762779054937535e-09, 8.796610194606817273e-13, 5.418247339539524083e-11, 2.219244054233320877e-09, 1.693011683021447966e-09
2.045000000000000000e+03, 1.966718407643193439e-09, 2.149095140681921766e-10, 6.302642129732059386e-11, 2.976232211472795795e-09, 7.866796483516354670e-13, 5.024272925124737169e-11, 2.208168911455866974e-09, 1.714127846327620302e-09
2.046000000000000000e+03, 1.982765623890805413e-09, 2.144398050728679384e-10, 6.971239788649891526e-11, 3.186845177500236661e-09, 9.130560564351972718e-13, 4.891091286053125408e-11, 2.187107486591600316e-09, 1.705935672701949023e-09
2.047000000000000000e+03, 1.833335223058638873e-09, 2.138430243463725200e-10, 7.208557003000016886e-11, 2.759473317563863439e-09, 1.065531637670048362e-12, 4.892474314719191286e-11, 2.160534385783728169e-09, 1.694727754816933791e-09
2.048000000000000000e+03, 1.759969443878309777e-09, 2.131451848045391741e-10, 7.312496043665907690e-11, 2.763066551783710962e-09, 1.100932358737729115e-12, 4.850862855663327184e-11, 2.150439059325434438e-09, 1.640816693050059418e-09
2.049000000000000000e+03, 1.973855523232512175e-09, 2.125958966365947394e-10, 7.388317198301125154e-11, 3.076407131026860321e-09, 1.068019715902668199e-12, 4.892340399092555526e-11, 2.153967036158865028e-09, 1.648271458309828085e-09
2.050000000000000000e+03, 2.055914945394875956e-09, 2.122796479094904852e-10, 7.385443475913780434e-11, 2.756910286478453486e-09, 1.005365165391851513e-12, 4.837008340990221118e-11, 2.158217024145396180e-09, 1.637807262935100424e-09
2.051000000000000000e+03, 1.997521376202405836e-09, 2.126467360892989164e-10, 6.893378848493192366e-11, 2.865257566064780280e-09, 7.996744037900594544e-13, 4.903276606904495779e-11, 2.165120546234250578e-09, 1.630506601073899368e-09
2.052000000000000000e+03, 1.695042252408732640e-09, 2.134977864962701501e-10, 6.608632663368940597e-11, 2.780161060170885805e-09, 7.012847456100872924e-13, 4.839089271646145838e-11, 2.168914792698202925e-09, 1.572679686696970472e-09
2.053000000000000000e+03, 1.863154447484879483e-09, 2.141058330811028776e-10, 6.453470539570884986e-11, 2.645075743735963074e-09, 7.394939635875055976e-13, 4.741543952067972562e-11, 2.140453888542709743e-09, 1.590581208549722756e-09
2.054000000000000000e+03, 1.840438902952193096e-09, 2.144643600909535603e-10, 6.368595397032743437e-11, 2.971917108742578307e-09, 7.444972708009050139e-13, 4.644421991437119012e-11, 2.121743847288874331e-09, 1.608320595578329062e-09
2.055000000000000000e+03, 1.813261274493355799e-09, 2.145857357753042445e-10, 6.320738545405407229e-11, 2.873558546716008703e-09, 7.102145807439520443e-13, 4.550715271027453394e-11, 2.140360890296761668e-09, 1.651974725235849345e-09
2.056000000000000000e+03, 1.822485006745782633e-09, 2.146411931664593759e-10, 7.135650278460738083e-11, 2.912571727995469292e-09, 5.867483713710642115e-13, 4.394520931857837105e-11, 2.154961828332927341e-09, 1.631743926621941951e-09
