year, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, CanESM5, CESM2-WACCM, IPSL-CM6A-LR
2.025000000000000000e+03, 1.257993893284015563e+01, 2.196810170630257630e+01, 4.455874878256649851e-01, 2.589023012701435977e+00, 1.837524416867488686e+00, 2.368638565741218560e+00, 1.894551570966637755e+01, 3.833442998162311266e+00, 1.734408212471235222e+00, 5.839789031360361093e+00, 7.694097214063392087e+00, 1.889379050378042768e+00, 5.901428176898939171e+00
2.026000000000000000e+03, 1.262347710829153868e+01, 2.197733823057851410e+01, 4.346137136342927976e-01, 2.595587370938743810e+00, 1.851248765558282994e+00, 2.327495883466685012e+00, 1.920729505203355103e+01, 3.911564437171425102e+00, 1.712468403092077596e+00, 5.916308683761283937e+00, 7.698467011682388339e+00, 1.898213909627089802e+00, 5.931446393757675573e+00
2.027000000000000000e+03, 1.264039956994134428e+01, 2.198518773008756710e+01, 4.592618998878129077e-01, 2.594619590244040541e+00, 1.995078290939565901e+00, 2.495070203607157033e+00, 1.909755830420268552e+01, 3.966559212995590666e+00, 1.721578562204771012e+00, 5.952830111803047330e+00, 7.440937426294357060e+00, 1.829623554974993294e+00, 5.872407006032647203e+00
2.028000000000000000e+03, 1.262503754539795331e+01, 2.207832072769349452e+01, 4.924739136970835429e-01, 2.594840939451839024e+00, 1.987525888407745578e+00, 2.684353509675831528e+00, 1.912015918675194825e+01, 4.013823179652233897e+00, 1.705065131635404407e+00, 6.012073398881245367e+00, 7.264326888496912993e+00, 1.766217574346236496e+00, 5.931963237441310710e+00
2.029000000000000000e+03, 1.263289515981728606e+01, 2.211289120708809008e+01, 4.316591956175575007e-01, 2.616905556449787618e+00, 1.921804771774032083e+00, 2.431464624027901422e+00, 1.928170727704230103e+01, 4.020852468453242956e+00, 1.622166547798022274e+00, 6.077056933163427210e+00, 7.587996554778031921e+00, 1.794942267194484797e+00, 5.993104250125993460e+00
2.030000000000000000e+03, 1.259248631310998334e+01, 2.220248796443815209e+01, 3.627025253372049285e-01, 2.624573325847210370e+00, 1.870667443568937438e+00, 2.360457580589453652e+00, 1.932521159467426841e+01, 3.947780218963362842e+00, 1.716535270876010655e+00, 6.076945089193043437e+00, 7.609277795824461066e+00, 1.874868035734111427e+00, 6.040110706721158351e+00
2.031000000000000000e+03, 1.258224998438058329e+01, 2.227377561646423842e+01, 4.497510621070269776e-01, 2.716012996850520889e+00, 1.859941932547016563e+00, 2.926372779524620160e+00, 1.930060186242999976e+01, 3.908446673671496896e+00, 1.762864411131063624e+00, 6.089811178207133580e+00, 7.620485007181236448e+00, 1.855530294470308261e+00, 6.048342690426908419e+00
2.032000000000000000e+03, 1.261825263943826414e+01, 2.236819155235229672e+01, 4.041102060817048369e-01, 2.707665045625095246e+00, 1.850520378106619734e+00, 2.632561738360050807e+00, 1.929477986288375391e+01, 3.926056671705033807e+00, 1.729596841840592036e+00, 6.160928963129628677e+00, 7.659105448872427502e+00, 1.761126410500830852e+00, 6.012195466234542707e+00
2.033000000000000000e+03, 1.259757414750230886e+01, 2.247557955857249112e+01, 4.478748026643737945e-01, 2.675027026704297040e+00, 1.861768256855473647e+00, 2.274116518577057988e+00, 1.922084947575778102e+01, 3.961112704108780136e+00, 1.724112197575419225e+00, 6.150926306043285052e+00, 7.747855517826761407e+00, 1.851496599279730093e+00, 5.995031061724294119e+00
2.034000000000000000e+03, 1.270988383774091623e+01, 2.265596272957725077e+01, 3.958273484062762027e-01, 2.634930619006090602e+00, 1.888869477890411153e+00, 2.239056017763083606e+00, 1.940028540613505470e+01, 3.978841617176012146e+00, 1.701448884828983044e+00, 6.184819491320786788e+00, 7.715334371086686183e+00, 1.844429988642972029e+00, 5.973097384564841406e+00
2.035000000000000000e+03, 1.272429469547188141e+01, 2.291078184996834821e+01, 4.707109044352155158e-01, 2.622032522033995061e+00, 1.913309199858438392e+00, 2.930796505731648516e+00, 1.954626667452897593e+01, 4.009065312938885128e+00, 1.733238138779497506e+00, 6.203823100277590541e+00, 7.680427700769675070e+00, 1.906239002011675288e+00, 5.973521340540425939e+00
2.036000000000000000e+03, 1.277798743847519169e+01, 2.305031861886615019e+01, 5.086909812105414597e-01, 2.666231061041770545e+00, 1.957064799949680189e+00, 2.956533798238285105e+00, 1.952866352741943246e+01, 4.027161090213280836e+00, 1.724391848845091335e+00, 6.202324766985728210e+00, 7.616185413906994661e+00, 1.916741766278917680e+00, 6.013804098499248241e+00
2.037000000000000000e+03, 1.280208348183504086e+01, 2.307931692941001245e+01, 3.842179071399758339e-01, 2.560135255211660521e+00, 1.947780336451190975e+00, 2.504666739817794863e+00, 1.956559082145239969e+01, 3.982150095318862437e+00, 1.727812815582688621e+00, 6.209302789120739519e+00, 7.470484409327944775e+00, 1.952311632040989675e+00, 6.039108829771146603e+00
2.038000000000000000e+03, 1.281447486205283504e+01, 2.314124180534132336e+01, 4.472098690053600278e-01, 2.513195839739092108e+00, 1.866607864942208650e+00, 2.597896198322238615e+00, 1.944217332666498876e+01, 4.010500226416794156e+00, 1.760463468316985303e+00, 6.311617552082648963e+00, 7.416413556316552302e+00, 1.844730538486349714e+00, 5.989225927274917538e+00
2.039000000000000000e+03, 1.281726794969466177e+01, 2.310159417661781234e+01, 4.067527659456874889e-01, 2.475343381455707981e+00, 1.862554155394638311e+00, 2.467566846048532270e+00, 1.947250615097951609e+01, 4.073167409409408357e+00, 1.811423984625169847e+00, 6.317945550244674635e+00, 7.475546210083267695e+00, 1.806614961038113476e+00, 6.034065505673054552e+00
2.040000000000000000e+03, 1.283002966403301848e+01, 2.309222619155868372e+01, 4.267340015297907407e-01, 2.501857526065170756e+00, 1.841627540892105452e+00, 2.342345255837310791e+00, 1.958115701358019933e+01, 4.098735715618361475e+00, 1.756742636120996348e+00, 6.338683376657017199e+00, 7.616609823984617833e+00, 1.881614283661960485e+00, 6.043970149620502497e+00
