year, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.027000000000000000e+03, 1.444859364967810553e-09, 1.496791317786603901e-09, 1.075793533395754514e-10, 2.261479966665885589e-09, 1.077589923385285516e-09, 3.395919260859427221e-10, 3.021579523831898941e-10, 2.784156830708871629e-09, 1.696697788099907426e-09
2.028000000000000000e+03, 1.468110892065532074e-09, 1.756422857067784255e-09, 1.074384999841966428e-10, 2.346644339903434907e-09, 1.199975887607792344e-09, 3.400427053359803958e-10, 3.026656655015217495e-10, 2.851302923682365772e-09, 1.679618370084056867e-09
2.029000000000000000e+03, 1.570149589183203228e-09, 1.528502433388186294e-09, 1.070167148488391597e-10, 2.294874355419103899e-09, 1.223334284974744019e-09, 3.404348474196100040e-10, 3.028547112611651971e-10, 2.924156190538134494e-09, 1.668118659025631957e-09
2.030000000000000000e+03, 1.344513702482392472e-09, 1.585197079095810408e-09, 1.075177557043518110e-10, 2.383839837030989896e-09, 1.207555623351651929e-09, 3.406370517817568259e-10, 3.028982858110458029e-10, 2.664178183278476131e-09, 1.657806940284790120e-09
2.031000000000000000e+03, 1.419101127411363977e-09, 1.543293664345468155e-09, 1.090244467440727518e-10, 2.316528335412616910e-09, 1.147628533177935231e-09, 3.410199123004142947e-10, 3.021722341430677490e-10, 2.487482443380990210e-09, 1.652715049270050054e-09
2.032000000000000000e+03, 1.575765540982519148e-09, 1.750329801574532538e-09, 1.099426468856197333e-10, 2.390609898173774475e-09, 9.800788023044027854e-10, 3.407830048676160319e-10, 3.018412602173236552e-10, 2.686157274215149235e-09, 1.686506711987643281e-09
2.033000000000000000e+03, 1.441578452830563068e-09, 1.543454554715165117e-09, 1.120518342402849325e-10, 2.379468204871330836e-09, 9.709005846787326121e-10, 3.400507112330022848e-10, 3.015114976342694849e-10, 2.812892382717464963e-09, 1.679599886647906812e-09
2.034000000000000000e+03, 1.462576270133796525e-09, 1.716780540393812280e-09, 1.188368470790428162e-10, 2.433237150300596284e-09, 1.132409106924293694e-09, 3.398135164213337261e-10, 3.002319894351874084e-10, 2.591161512469315570e-09, 1.742619269120240046e-09
2.035000000000000000e+03, 1.372307428088922980e-09, 1.489168448199765329e-09, 1.192931747012730146e-10, 2.199000925287515409e-09, 1.214779515186817529e-09, 3.384347601036996487e-10, 3.035081463343326225e-10, 2.802452396027914180e-09, 1.674779859452735526e-09
2.036000000000000000e+03, 1.321000871235161845e-09, 1.835982340247294933e-09, 1.147551270098951071e-10, 2.410912709526857008e-09, 1.084114982485391482e-09, 3.365870778375820052e-10, 3.058226170290996343e-10, 2.660796194222359504e-09, 1.658917619306346441e-09
2.037000000000000000e+03, 9.789100748144903824e-10, 1.562818094694387244e-09, 1.113618514736124374e-10, 2.205281889753488185e-09, 1.016121359489621768e-09, 3.355960037086609428e-10, 3.052720771447166955e-10, 2.496066574122691197e-09, 1.665220395326628980e-09
2.038000000000000000e+03, 1.323962466191822471e-09, 1.747793096938943051e-09, 1.095486594035489093e-10, 2.354526731937375951e-09, 1.224157080997110662e-09, 3.351416855317778745e-10, 3.040996699024772593e-10, 2.894546825796167873e-09, 1.659572836336403960e-09
2.039000000000000000e+03, 1.403298495185562171e-09, 1.685698008060357113e-09, 1.078422075015949825e-10, 2.496454772610194839e-09, 1.257300553026815534e-09, 3.345321023054438525e-10, 3.031706846604383257e-10, 3.011011963122041818e-09, 1.657520898631173620e-09
2.040000000000000000e+03, 1.424293372254151510e-09, 1.756655882479984320e-09, 1.067196712553177665e-10, 2.435215556307905665e-09, 1.192194614180692056e-09, 3.345280928267239484e-10, 3.024554940427424950e-10, 2.984730035619383890e-09, 1.665410075621499221e-09
2.041000000000000000e+03, 1.633055280191895985e-09, 1.510091841881756930e-09, 1.058907091431433056e-10, 2.304121534603463691e-09, 1.119062533321401641e-09, 3.340434369979988991e-10, 2.994410218080349390e-10, 3.071945232634594213e-09, 1.651487102954980065e-09
2.042000000000000000e+03, 1.545457515662398118e-09, 2.001732686796168253e-09, 1.044154836741839776e-10, 2.238000412327959102e-09, 1.388092672860825256e-09, 3.331772809135865166e-10, 2.973033851382050583e-10, 2.783323348237293100e-09, 1.690444134687348808e-09
2.043000000000000000e+03, 1.535042158249428789e-09, 1.736313733646247341e-09, 1.024665543426661576e-10, 2.449908259516711842e-09, 1.301382428718291475e-09, 3.366499898638005014e-10, 3.001208606811148874e-10, 2.803905143190469486e-09, 1.708970971196018920e-09
2.044000000000000000e+03, 1.614380447341012102e-09, 1.591226322772921006e-09, 1.018758512380700674e-10, 2.323728866811893646e-09, 1.240167273351049186e-09, 3.356274925167465869e-10, 2.991055065749584502e-10, 2.769687353647524628e-09, 1.680018824983428877e-09
2.045000000000000000e+03, 1.624105134051323129e-09, 1.824344475372579424e-09, 1.026480352277733312e-10, 2.430890201684053835e-09, 1.152716501276692113e-09, 3.350895608557691452e-10, 2.949446180031408903e-10, 2.956106758234065429e-09, 1.700241121410162763e-09
2.046000000000000000e+03, 1.640792437357150694e-09, 1.839026420226338312e-09, 1.022292617017571020e-10, 2.460045726524940010e-09, 1.309815090230411137e-09, 3.338362129468153488e-10, 2.939598263498505875e-10, 3.165269434435009002e-09, 1.691927390823788886e-09
2.047000000000000000e+03, 1.492121682271732697e-09, 1.834854126818465586e-09, 1.009430093636786686e-10, 2.389403946852458301e-09, 1.229281197356457619e-09, 3.325116655526790676e-10, 2.929461939401119367e-10, 2.738289694840384383e-09, 1.681030052980331489e-09
2.048000000000000000e+03, 1.419471552005688962e-09, 1.845739295567074434e-09, 1.006309996887190379e-10, 2.308271290751679795e-09, 1.276318459739419659e-09, 3.313187060778186338e-10, 2.919555526813664649e-10, 2.741714440634617479e-09, 1.627641300242348386e-09
2.049000000000000000e+03, 1.633833141939526427e-09, 1.822892432949232411e-09, 1.015533915703378402e-10, 2.465711825260583318e-09, 1.178167474961483677e-09, 3.304974232617159275e-10, 2.910373347373796457e-10, 3.054844814356202242e-09, 1.634910869101368396e-09
2.050000000000000000e+03, 1.716285420897242338e-09, 1.778730562370775665e-09, 1.024239194608407118e-10, 2.521256696471548828e-09, 1.243919453687586072e-09, 3.292946564275393700e-10, 2.902374855152913223e-10, 2.734884729210648578e-09, 1.625735485746224715e-09
2.051000000000000000e+03, 1.658781404326510463e-09, 1.844744438499270523e-09, 1.029942876691998148e-10, 2.295128669663693368e-09, 1.098892704286866161e-09, 3.217828446042783009e-10, 2.937441652821568956e-10, 2.847588331050810020e-09, 1.619458676397476875e-09
2.052000000000000000e+03, 1.357300221670373999e-09, 1.559770030972513156e-09, 1.017525020372026104e-10, 2.413982775841424277e-09, 1.061186615595075231e-09, 3.211003178373390660e-10, 2.921953043476721926e-10, 2.762557518488822640e-09, 1.561728118410754891e-09
2.053000000000000000e+03, 1.526370916991474150e-09, 1.820179183288021100e-09, 1.025764361433484295e-10, 2.611449705428349630e-09, 1.164766982435781679e-09, 3.202656896586396245e-10, 2.912125539021754844e-10, 2.627389948336336660e-09, 1.579404345275205021e-09
2.054000000000000000e+03, 1.504579172455504687e-09, 1.813249900165108237e-09, 1.032901386144879735e-10, 2.511871025163008190e-09, 1.184026500190076608e-09, 3.193878535808008247e-10, 2.898193572211253829e-10, 2.954257275765788561e-09, 1.596992152752180389e-09
2.055000000000000000e+03, 1.478429678643630852e-09, 2.085048625434825612e-09, 1.040755964807137979e-10, 2.380168847505217593e-09, 1.191634307634379169e-09, 3.178455457719330126e-10, 2.879713986217839450e-10, 2.855891476863531424e-09, 1.639455922309913508e-09
2.056000000000000000e+03, 1.487751884209126182e-09, 1.656303979204424413e-09, 1.046095678653436920e-10, 2.615247411001885999e-09, 9.298701852795603834e-10, 3.163691342631614046e-10, 2.861165545271563149e-10, 2.890641911208604229e-09, 1.619008978076910109e-09
