year, CNRM-ESM2-1, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, MIROC-ES2L, IPSL-CM6A-LR, CMCC-CM2-SR5, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CanESM5, CESM2-WACCM
2.015000000000000000e+03, 6.194066332556624060e-02, 2.963845240201601894e-01, 3.915490005883756619e-01, -7.402156252427476157e-02, 6.315538625205134593e-02, 3.212728962977882685e-01, 1.547689026237916710e-01, 2.755358290942847010e-01, -7.393927583902543121e-02, -1.295277286893383728e-01, 1.642278085029089674e-01, -1.070143105229254404e-01, 7.897377590410961656e-02, 4.705033093905140046e-02, 7.082133879672007637e-02, 9.096264352385090290e-02
2.016000000000000000e+03, 2.815040031432080037e-01, 2.288833493713237355e-01, -1.162973777928119484e-01, -8.540690484799576265e-02, 5.889314907045813119e-02, 1.259082301635356671e-01, -1.756997343147290447e-01, 2.192565288751296138e-01, -3.930956355775894889e-02, 7.625070456635851812e-02, 2.276094017492525379e-01, 8.699866013356760686e-02, 2.178097104484314362e-03, 1.103621887092096909e-01, -2.991652986374079837e-02, -2.439304195644922957e-02
2.017000000000000000e+03, -1.048383821261362689e-02, 3.084139972470088809e-02, 1.411954089005899027e-01, -4.120863507219890143e-01, 9.939714838355862003e-02, 6.082396429863102388e-02, -6.117911567849543958e-02, 1.910002177101104426e-01, 3.051890902879656475e-01, 3.348690200239238801e-01, 8.296638048531779219e-02, 2.231785244088662079e-01, 1.243898998221104613e-01, -2.762209356419401685e-01, 3.201804490782190205e-01, 1.443232232799502301e-01
2.018000000000000000e+03, 3.735784494167082581e-01, 9.271963488474251058e-02, 2.382242143588004235e-01, -3.061108902636401341e-01, -2.944953567702900121e-02, 1.336220365873391769e-01, -1.185947576412249016e-01, 4.412646234610415608e-01, -1.161148470849492770e-01, -6.663958315377518926e-02, 2.216135419509778492e-01, 1.818446257338596772e-01, 6.515776622250929462e-02, -1.168921373230448479e-01, 1.623312864136894906e-01, 9.783762699717907241e-02
2.019000000000000000e+03, 3.683381904535487639e-01, 3.820234632991407753e-01, 8.734230262955032520e-02, 1.709154047366630846e-01, -6.866943610215092697e-02, 7.232946511902259290e-02, -2.115700181284324854e-01, 5.509292854698310399e-02, 1.572096227128829682e-01, -7.030429846166005858e-02, 1.884002334873690898e-01, 1.954012231299919744e-01, 8.178687176260696079e-02, 1.701520441681954321e-01, -6.848585191067324551e-02, 1.303746249051117856e-01
2.020000000000000000e+03, 2.278634609965310420e-01, 2.276355542285255773e-01, -1.158599155621781729e-01, 1.482962262905610507e-01, 1.556174436612878242e-01, 8.942317281362222037e-02, 1.087043862187381943e-01, 7.369500161615336054e-02, 2.583661290698336388e-01, -2.490631967837645538e-02, 1.941629308191130665e-01, -3.673461539292146444e-02, -2.546288880718744485e-02, -2.632626080816465389e-02, 9.533186506319063502e-02, -5.439905550475797325e-02
2.021000000000000000e+03, 4.062138634054989761e-01, 2.659550893348947564e-01, -2.417576829995984888e-01, 2.282829815852391031e-01, 1.031368133831084971e-01, 2.280489492520913070e-02, -1.111504707833273209e-01, 2.660144741206600938e-01, 1.030316452218845713e-01, 3.636005592725171098e-01, 1.660648502811206406e-01, 2.682545919409345600e-02, -3.553473297862238048e-03, 1.573658318233720488e-01, 2.158903256085000499e-01, 9.070610598908315780e-02
2.022000000000000000e+03, 1.979413124861012160e-02, 1.197807375131989677e-01, -1.536864859525376437e-01, 1.428273047421035058e-01, 8.894903619687542827e-04, 1.047750942574094124e-01, 2.818930482128138570e-01, 2.999405009517316367e-01, 2.165986037852868640e-01, -9.101628393776636794e-02, 3.798586637623801304e-02, 1.447939533772502618e-01, 2.128121541563739172e-01, 8.300955925753739084e-02, 3.549313635648240761e-01, 2.518374815166127267e-01
2.023000000000000000e+03, 1.013935509721871631e-01, 2.539628808778270352e-01, 8.171105121339627964e-02, 4.263698443049440678e-02, 1.218132101122616773e-01, 1.239500725306334761e-01, 1.762343539338179499e-01, 1.844819483065924803e-01, 1.887254400223339623e-01, -5.147699758049467667e-01, 3.000110147114016246e-01, 4.204073019779014375e-03, -9.257185472506954810e-03, -5.749617806674641590e-02, 5.074270364611452311e-02, 1.773297515402549041e-01
2.024000000000000000e+03, 4.880830696182706166e-03, 3.533730802224564482e-01, 3.134832456259353806e-02, -8.259866934646722947e-02, 8.682682920332278342e-02, -8.815618163577711164e-02, 4.893099642714515141e-01, 1.235700876143573101e-01, 1.373097395861574699e-01, 1.524159427741060280e-01, 2.204286873353483722e-01, 2.985371774684571211e-02, 7.447098753258288295e-02, -8.546579452177435754e-02, 2.637975594648706568e-01, 1.340390387714976983e-01
