year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L
2.015000000000000000e+03, 2.884548993446759125e-10, -5.618202097368739861e-10, 4.812856221039944059e-10, 3.732759934029827323e-10, 8.741269221232132865e-10, 3.264688726268646937e-10, 1.456674686111811166e-09
2.016000000000000000e+03, -2.071218048614287193e-09, 4.590526888647349562e-10, -1.290641951268732108e-10, -1.576801934811069271e-10, 1.211484873427242149e-09, 1.483715052631337830e-09, 1.159143028429363355e-09
2.017000000000000000e+03, -2.146651390535646197e-09, 1.175936588125667548e-09, 7.636177842845074363e-10, 1.687565883792928591e-09, 4.416008925312406475e-10, -5.525686452669461224e-11, 1.009760447832567566e-09
2.018000000000000000e+03, -4.848628521611835724e-10, 9.602473720339253919e-10, 5.176613316231205564e-10, 8.555948422604564071e-10, 1.179571018406426092e-09, 1.969009188321442829e-09, 2.332832753494315047e-09
2.019000000000000000e+03, 3.100329245518541775e-09, 1.031061913168477682e-09, 6.898154013914395761e-10, -3.609664098469437507e-10, 1.002788247172473191e-09, 1.941389506126832394e-09, 2.912596690671967607e-10
2.020000000000000000e+03, -2.431321751561654312e-10, -1.917637665457505633e-10, -2.878267633417253735e-10, 5.024629192136880242e-10, 1.033461060307136745e-09, 1.200993389970497167e-09, 3.896032094994295414e-10
2.021000000000000000e+03, 3.357581858623711682e-10, 1.412101433413046029e-10, 4.799282755908475473e-10, 1.137886929657116948e-09, 8.839048500517314756e-10, 2.141019726158770882e-09, 1.406338158869040821e-09
2.022000000000000000e+03, -6.552583565049468491e-10, 7.680250450451645126e-10, 1.332478413834194811e-09, 1.870726529257178845e-09, 2.021854201327690486e-10, 1.043283582449892215e-10, 1.585694813310744756e-09
2.023000000000000000e+03, -1.255990681732754426e-09, 2.214077571291459888e-11, 9.382561508914379025e-10, 2.674481086247661154e-10, 1.596853220434311382e-09, 5.344120727854972496e-10, 9.753003267348039533e-10
2.024000000000000000e+03, 1.006432932063082778e-09, 1.610154814380852687e-10, 7.092039068152909869e-10, 1.390390209216044846e-09, 1.173264453594016125e-09, 2.572525396588165766e-11, 6.532777213770584573e-10
2.025000000000000000e+03, 3.275111165564361131e-10, 1.021912334200022876e-09, 9.570884219071489318e-11, 1.257117420407093611e-09, 8.137352445732383297e-10, 3.680260399215590405e-09, 1.949956805006210359e-09
2.026000000000000000e+03, 1.489514657597311879e-09, -1.810341707768753496e-10, 2.198634718857091187e-10, 2.446533772076111224e-10, -3.599146428722220239e-10, -1.498655028928890970e-10, 1.678415427602080530e-09
2.027000000000000000e+03, -1.261724341047144440e-09, 3.855193850978467592e-10, 3.411439127170033155e-10, -5.176618038847714466e-10, 1.126884600867245890e-09, 1.033668457271077572e-09, 1.727584303259028406e-09
2.028000000000000000e+03, -2.089364283274275289e-09, 7.547176542490262474e-10, 9.514264982052482466e-10, 2.128921362740226015e-09, 1.306192672522397651e-09, 1.866053738809429324e-09, 1.287525420059981417e-09
2.029000000000000000e+03, 1.237367941397413040e-09, -7.501352777472300791e-10, 7.237630131951750147e-10, 2.527770692561460949e-09, 9.856489369896891972e-10, 9.751753201504604045e-10, 1.466182339233207996e-09
2.030000000000000000e+03, 1.352805215460194582e-09, 5.787742909711523708e-11, 2.071654300829160730e-10, 1.457248991750919214e-09, 4.509284015747101115e-10, 1.883123261057931383e-09, 8.601812784614808038e-10
2.031000000000000000e+03, -1.280172736843998190e-09, 9.952079375052220774e-10, 5.121541881250987609e-10, 5.912246616008697587e-10, 7.104901223082065654e-10, 7.768193032537678747e-10, 2.828555240125569216e-09
2.032000000000000000e+03, -1.729927133645722942e-09, 5.428945005943480484e-10, 1.003374722386639360e-09, 1.619051498031996878e-09, 3.006983347524310283e-10, -4.886347644591259210e-11, 1.914397214306478155e-09
2.033000000000000000e+03, 1.526232874640025988e-09, 9.991999979349500351e-10, 2.868453824099513126e-10, 8.121648755144347056e-10, 1.067762473774749476e-09, 2.437003146637943355e-09, 1.555435158973886281e-09
2.034000000000000000e+03, 2.295970622721133621e-09, -3.400975166616361757e-11, 5.127351595087659486e-10, 9.659883865482008993e-10, 4.709849677059026382e-10, 2.355464137683910299e-09, 2.656360506615245293e-09
2.035000000000000000e+03, 5.238552291505747822e-10, 1.074126804484806506e-09, 3.626834183709113316e-10, 9.479933121677055959e-10, 8.466126898386909140e-10, 1.336272997270080746e-09, 6.330966992049904042e-10
2.036000000000000000e+03, -2.867736564973855887e-09, 4.876153191091085456e-10, 1.526013778927859436e-10, 5.804232424162795687e-10, 2.764269980555006472e-10, 1.187079924727522132e-09, 1.820095233844861633e-09
2.037000000000000000e+03, -2.971155820469911479e-10, 7.829981841009738558e-10, 6.850885787917633780e-10, 1.663263409359143676e-09, 1.077250480526778439e-09, -3.312036155693345897e-10, 2.684646038007139892e-09
2.038000000000000000e+03, 1.457682939530027969e-09, 1.404977945975782408e-10, 4.011243388460035308e-12, 1.155688899366170403e-09, 8.148772714826993493e-10, 1.855177834346979960e-09, 1.439334109702380353e-09
2.039000000000000000e+03, 2.015665801940626343e-09, -1.373060616070268379e-10, 1.098665309217161320e-09, 1.643199983909661086e-09, 7.635789946884456627e-10, 2.397925289339065442e-09, 2.101171861569593107e-09
2.040000000000000000e+03, -1.211306932041287572e-09, 5.671909205747324788e-10, 7.131927737418776760e-10, 1.614013892856268357e-09, 6.370654034879262032e-10, 1.868316465795187631e-09, 4.679391420976178823e-10
2.041000000000000000e+03, 6.565198807300238101e-10, 9.011162945714059032e-10, 1.119939401108798364e-09, 1.729099616969602028e-09, 1.147989068409788856e-10, 5.440769127792612361e-10, 2.295014256202819821e-09
2.042000000000000000e+03, -2.128059882635079457e-10, 6.686076959962479539e-10, 5.917657021287158976e-10, 1.008805881949625210e-09, 2.042218922289335413e-09, 2.401417664790702632e-09, 1.436273006293921089e-09
2.043000000000000000e+03, -1.228160103834644770e-09, 3.254873393870792975e-10, 4.649210181408960406e-10, 1.174249321457354952e-09, 1.664463390947266004e-09, 1.434210636943213511e-09, 2.734754890447700297e-09
2.044000000000000000e+03, 1.682169483889688775e-09, 1.362469992090261738e-09, 6.889759411515917925e-10, 1.712655638091676516e-09, 1.622921331727980244e-09, 1.932811687523685477e-09, 1.631802096925076363e-09
2.045000000000000000e+03, 9.033446955690269862e-10, 7.862688783622363242e-11, 4.914270741948833198e-10, 1.852188611111923272e-09, 2.660398743918858735e-10, 1.667655410888632515e-09, 2.210338769643146571e-09
2.046000000000000000e+03, 8.253413755044810045e-10, 2.214163272003952589e-10, 8.636415100832479047e-10, 3.947667266784750526e-10, 1.287814576543719545e-09, 1.816032579189877402e-09, 3.541119881698313108e-10
2.047000000000000000e+03, -6.619423230388314970e-10, 2.007456797753036427e-10, 9.385343512680883576e-10, 2.698876112507495799e-09, 1.422473188274026744e-09, 1.882797222458579485e-09, 7.228029027619213445e-10
2.048000000000000000e+03, -2.048132567224504757e-09, -8.854030259212067710e-11, 1.123981794783794958e-09, 2.449675444338135195e-09, 7.048688201974195604e-10, 1.365440022236019410e-09, 2.143044950964777559e-09
2.049000000000000000e+03, 2.988102978505283930e-12, 4.105317224951184442e-10, 3.212433528239618362e-10, 2.128424209553808350e-09, 9.903507833236767982e-10, 1.996131790721396335e-09, 3.092304368697674425e-09
2.050000000000000000e+03, 9.246818535586434154e-10, -3.011860784861765879e-10, 1.125130027410805311e-09, 8.675567962573317390e-10, 1.247040043111756312e-09, -5.437710609141291254e-10, 1.459859973248506424e-09
2.051000000000000000e+03, -2.022955082853173216e-10, -2.776475115571672344e-11, 7.024146526026009515e-10, 2.552942409333533817e-09, 6.375438452572877241e-10, 2.998853260711535681e-09, 2.785489515949135236e-09
2.052000000000000000e+03, 7.092151099547929146e-10, 5.669193592829398593e-10, 4.338695398391092248e-10, 2.517860654006685074e-09, 1.045869852283999508e-09, 1.510530294580260769e-09, 1.959205753097266330e-09
2.053000000000000000e+03, -7.140590759010826118e-10, 2.808847280054826105e-10, 1.068930801326860564e-09, 2.071090698794278322e-09, 5.428685981153605601e-10, 8.832980426122389291e-11, 1.130883081044101487e-09
2.054000000000000000e+03, -4.440929176565516168e-10, 1.170075135659916934e-09, 3.358478609471802867e-10, -1.913174225958841011e-10, 8.971280590591174407e-10, 2.956106861653704560e-09, 1.381820742911582780e-09
2.055000000000000000e+03, -3.870602549278879492e-10, 3.594458629008118743e-10, 4.537431832445411208e-10, 2.276786699225825675e-09, 8.218709509156879755e-10, 2.954416604947910671e-09, 1.875067923366270706e-09
2.056000000000000000e+03, -6.689474920254645232e-11, 5.080367322067657218e-10, 5.137056060709677401e-10, 1.081390515478684296e-09, -1.807382303001217155e-10, 1.723547930576732647e-09, 2.623433010872524870e-09
2.057000000000000000e+03, 1.381582704278095133e-09, 4.257013913124665159e-10, 8.767817127586595572e-10, 2.581838814632363344e-09, -2.411291630555042716e-10, 2.269466547691653816e-09, 2.448935478559709136e-09
2.058000000000000000e+03, 2.319920598200852568e-09, 8.075934697472922383e-10, 2.483437140153462721e-10, 1.579350139651114588e-09, 5.484250836619485694e-10, 2.381379158483043279e-09, 1.497866965252881048e-09
2.059000000000000000e+03, -1.038143958264016269e-09, 7.170971649970364404e-10, 9.177146271699498843e-10, 1.387872878582017312e-09, 1.541181261393548309e-10, 2.974916452950869751e-10, 2.537041430147674611e-09
2.060000000000000000e+03, -5.026997603051639856e-10, 6.581288610791462063e-10, 9.498518896721609492e-10, 1.831940927644192294e-09, 2.015586066937566993e-09, 3.169747863506646628e-09, 1.950661518685756533e-09
2.061000000000000000e+03, 6.411597919110425883e-10, -1.906537003378601107e-10, 5.478948939474550080e-10, 2.301365983111904094e-09, 7.376900376216819644e-10, 3.129948241598485122e-09, 2.098845610230678062e-09
2.062000000000000000e+03, -1.308339952473800293e-09, 1.061139980087778785e-09, 7.163292114275102954e-10, 3.204223461878310069e-09, 9.766878193120101786e-10, 1.816847979689637165e-09, 2.450629883096456870e-09
2.063000000000000000e+03, -1.050190679275097167e-09, 4.305092895356694902e-10, 9.051660448892672428e-10, 2.556540311142322239e-09, 1.356937300446400671e-09, 1.177527498719958057e-09, 1.812022523505453887e-09
2.064000000000000000e+03, 6.496529963801441608e-10, 2.004342882883629873e-10, 7.345895518610416120e-10, 1.205161643163277079e-09, 1.236756422167466068e-09, 1.932820997824639748e-09, 2.939934071674062532e-09
2.065000000000000000e+03, 5.391265133201001567e-10, 1.083639650883918880e-09, 1.464665133082952485e-09, 2.280880556094404388e-09, 8.246635061748729802e-10, 2.054025599674707535e-09, 1.652711083055492920e-09
2.066000000000000000e+03, 1.956749675752064537e-09, 7.696510148957045163e-10, 4.308131536574200294e-10, 3.509874262655627738e-09, 7.214959009022571548e-10, -5.511620689527409471e-11, 2.050800360103064163e-09
2.067000000000000000e+03, -7.920601188800182022e-10, 9.094925905582266497e-10, 3.325812691285786403e-10, 1.927884305961521995e-09, 5.615620778421796727e-10, 2.405694231046348957e-09, 2.469202639724793999e-09
2.068000000000000000e+03, -6.432092395221606322e-10, -2.614287672377015819e-10, 3.576120189058614977e-10, 7.053812254906427758e-10, 1.117471579387657736e-10, 2.653590307299286392e-09, 3.264853534553996705e-09
2.069000000000000000e+03, -3.845640004065677464e-10, -3.892656423429181096e-10, 9.749549240827701767e-10, 2.984199816153459727e-09, 9.750678162480088638e-10, 1.975251695024973804e-09, 2.860625585903272082e-09
2.070000000000000000e+03, 1.377920340442219647e-09, 1.137442134120829485e-09, 9.633854338861892616e-10, 8.356909216090300728e-10, 1.320468937981062822e-10, 2.233066028311225910e-09, 1.221131077875099517e-09
2.071000000000000000e+03, 8.573524797067078381e-10, 1.567889368371072342e-10, 4.956402324110603084e-10, 1.797741764364387120e-09, 7.406160939873091927e-10, 9.644519367520737450e-10, 1.532664044206629037e-09
