year, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, ACCESS-ESM1-5, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
2.015000000000000000e+03, 1.228906433607583004e+00, 2.760127858126317779e-01, 1.356110948874178664e-02, 3.406740492059816550e-01, 1.275463284351590731e+00, 4.730083522814713115e-01, 9.221249167180310957e-01, 1.801085745442588051e-02, 1.170934894760843102e-03
2.016000000000000000e+03, 1.235601102942490703e+00, 2.775152942105171827e-01, 1.311626298198529349e-02, 4.338132708669419357e-01, 1.272946871737746122e+00, 4.758245111895891277e-01, 9.201436544043984922e-01, 1.711099121596396447e-02, 1.137456480099963488e-03
2.017000000000000000e+03, 1.247518339313164359e+00, 2.786745217447819667e-01, 1.270792433127070770e-02, 4.240667311827306385e-01, 1.267933753088513082e+00, 4.781977202497463275e-01, 9.163618161020115060e-01, 1.609415468338082009e-02, 1.122554433686495136e-03
2.018000000000000000e+03, 1.260863872700954902e+00, 2.797166324767924594e-01, 1.234089871376633021e-02, 4.194725885021808320e-01, 1.267222014529077567e+00, 4.801369747027369739e-01, 9.107000961122074800e-01, 1.572096982992537278e-02, 1.109932768450224132e-03
2.019000000000000000e+03, 1.270825888632195921e+00, 2.814433581289350061e-01, 1.198906257814264659e-02, 4.171154108595920285e-01, 1.269297789441015345e+00, 4.821923898816626863e-01, 9.122803693803632763e-01, 1.494157087082416228e-02, 1.094785775259335707e-03
2.020000000000000000e+03, 1.270662890395644506e+00, 2.833353619228600184e-01, 1.165819525374651305e-02, 4.154090788338905549e-01, 1.266896869999961872e+00, 4.843496556446216239e-01, 9.090578086857211693e-01, 1.464863375228464201e-02, 1.079545071574323405e-03
2.021000000000000000e+03, 1.273436080531597403e+00, 2.854254325002404946e-01, 1.127998358607626428e-02, 4.158488587128549296e-01, 1.263414831967505148e+00, 4.865507539334862908e-01, 9.266757353135933739e-01, 1.448287605030442425e-02, 1.070951064752427486e-03
2.022000000000000000e+03, 1.285718653553468371e+00, 2.873979021024811176e-01, 1.096889068100076643e-02, 4.163535862173120550e-01, 1.263116408697725568e+00, 4.891840167958704799e-01, 9.433489076078760416e-01, 1.562873860633923195e-02, 1.063315100992084710e-03
2.023000000000000000e+03, 1.289042249688028496e+00, 2.898931724241404218e-01, 1.074885975883347472e-02, 4.169439907115444766e-01, 1.265352006836840904e+00, 4.922866525632885737e-01, 9.367928898618121947e-01, 1.666109132716809410e-02, 1.059093364397236444e-03
2.024000000000000000e+03, 1.289887108701210705e+00, 2.924180443414708397e-01, 1.060314929626473418e-02, 4.177209016580999412e-01, 1.266158022438877317e+00, 4.951506732945388789e-01, 9.562204326118418640e-01, 1.758885269241583504e-02, 1.056401361085698015e-03
2.025000000000000000e+03, 1.299491978983560614e+00, 2.952442087030104911e-01, 1.044580657564354691e-02, 4.183742002168920338e-01, 1.269127911380368623e+00, 4.974642723860830396e-01, 9.438284731086716839e-01, 1.829733044066799222e-02, 1.054146309817386102e-03
2.026000000000000000e+03, 1.305994923953738507e+00, 2.982720889652928364e-01, 1.027584329235852606e-02, 4.186515525304960739e-01, 1.275862654389864570e+00, 4.994321926315831717e-01, 9.340345695030944917e-01, 1.956514323353893484e-02, 1.036770473886370909e-03
2.027000000000000000e+03, 1.309125299299602085e+00, 3.015571523166160062e-01, 1.012461569752131849e-02, 4.191404938466500862e-01, 1.282170100938559321e+00, 5.013600093522592172e-01, 9.523495483135544504e-01, 2.055811317073409639e-02, 1.024128381093725604e-03
2.028000000000000000e+03, 1.311271026532567552e+00, 3.041132892452527159e-01, 1.004105262507437070e-02, 4.196132424689152929e-01, 1.287428288959764577e+00, 5.032761698082538482e-01, 9.572552127891360563e-01, 2.133419919086232408e-02, 1.026500750334699390e-03
2.029000000000000000e+03, 1.314615819255622986e+00, 3.068851725935585195e-01, 9.992004555083139686e-03, 4.202787305472385215e-01, 1.291495429827285379e+00, 5.051940226769767728e-01, 9.685485753369983408e-01, 2.190035493164492822e-02, 1.037800678444684944e-03
2.030000000000000000e+03, 1.317818817885908711e+00, 3.098978314500449027e-01, 9.952546552352224338e-03, 4.208949998829700223e-01, 1.296157129292771604e+00, 5.070825404933428926e-01, 9.524074850116112101e-01, 2.280820902609359546e-02, 1.113049081773318221e-03
2.031000000000000000e+03, 1.321636396132527036e+00, 3.129572732428423931e-01, 9.898518255224147619e-03, 4.199651737036014798e-01, 1.298661141222277493e+00, 5.087457615031832914e-01, 9.611644642648359271e-01, 2.307312833974172611e-02, 1.116336497954461410e-03
2.032000000000000000e+03, 1.332339132079602306e+00, 3.153996505771181069e-01, 9.911656533678059669e-03, 4.189770913845178857e-01, 1.303212968130163407e+00, 5.101074658441522303e-01, 9.767244262517048581e-01, 2.405830151858842636e-02, 1.100718587644911777e-03
2.033000000000000000e+03, 1.336101016885816950e+00, 3.182883337792932199e-01, 9.964965911412711902e-03, 4.182463877033704147e-01, 1.308038330522079962e+00, 5.112369104511189644e-01, 9.679225577016044024e-01, 2.493008941586052907e-02, 1.095609478093044313e-03
2.034000000000000000e+03, 1.351379092352640976e+00, 3.209604588823554705e-01, 1.003969636992024621e-02, 4.176863924213253254e-01, 1.322918665395241389e+00, 5.124695389078108843e-01, 9.719572370756297541e-01, 2.556919611287427480e-02, 1.110649171242695816e-03
2.035000000000000000e+03, 1.344008235539225993e+00, 3.240251854576909341e-01, 1.024474449753186994e-02, 4.165128254751521708e-01, 1.335110676509298600e+00, 5.144004149783661939e-01, 9.672192123643128525e-01, 2.598739360407732388e-02, 1.196699792149267475e-03
2.036000000000000000e+03, 1.345545449830958695e+00, 3.263248530026695571e-01, 1.049389998378728005e-02, 4.140355722114186787e-01, 1.337997674103482693e+00, 5.170701467934196716e-01, 9.659240102342396828e-01, 2.513764751971243189e-02, 1.473099370280807601e-03
2.037000000000000000e+03, 1.350866806637466055e+00, 3.287409598893918372e-01, 1.072229184503740128e-02, 4.118700252372817783e-01, 1.341290264962184509e+00, 5.195769331774381383e-01, 9.402708690542727066e-01, 2.434811741706942659e-02, 1.626866019125976009e-03
2.038000000000000000e+03, 1.353974901765113703e+00, 3.310575813998619665e-01, 1.094189354054696077e-02, 4.100458773029986848e-01, 1.347787988334302467e+00, 5.217690059942818870e-01, 9.717350435128826458e-01, 2.353247260249010514e-02, 1.664256325168947349e-03
2.039000000000000000e+03, 1.357517349356916814e+00, 3.333372621689925097e-01, 1.114401920398866777e-02, 4.084481655827301716e-01, 1.352116848686074624e+00, 5.238845027944046828e-01, 9.809485474274245442e-01, 2.273195256768821906e-02, 1.752542090546397365e-03
2.040000000000000000e+03, 1.362617434760671875e+00, 3.355499053105538976e-01, 1.130871452671522621e-02, 4.066695161102872325e-01, 1.353236974945899451e+00, 5.256157546161656091e-01, 9.850738936859965156e-01, 2.203084110622669997e-02, 1.783689681842964229e-03
2.041000000000000000e+03, 1.363888908223245933e+00, 3.373449464337517356e-01, 1.134837566283252233e-02, 4.076041214279418345e-01, 1.352116517386918959e+00, 5.272022664918952772e-01, 1.004605467680237840e+00, 2.119359069788720115e-02, 1.670045361770724698e-03
2.042000000000000000e+03, 1.374362628957021437e+00, 3.389338559902720927e-01, 1.137232781200901884e-02, 4.084271733556899542e-01, 1.354267345141962675e+00, 5.287196699630197783e-01, 9.991232180821209008e-01, 2.042567774776315320e-02, 1.606309021399163033e-03
2.043000000000000000e+03, 1.381223665410513890e+00, 3.406513239235018364e-01, 1.138897933232177646e-02, 4.089987555966480004e-01, 1.356856503655148316e+00, 5.305496735756436433e-01, 1.000079455532412620e+00, 1.976447705108949279e-02, 1.543515000012605663e-03
