year, MIROC-ES2L, NorESM2-MM, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, INM-CM4-8, CanESM5, ACCESS-ESM1-5, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5
2.015000000000000000e+03, 2.996424502492645914e+00, 2.081252917000558700e+00, 2.180841456729210037e+00, 2.015506627133520912e+00, 2.242512880496038807e+00, 3.213249760991860882e+00, 2.078706577877718509e+00, 3.169176690592112156e+00, 2.156292940827335691e+00, 2.789709755468765540e+00, 2.264145114563715921e+00, 2.290687036305288693e+00, 1.701339577708589568e+00, 2.388182865726113047e+00, 2.259912514705519015e+00, 2.354460954063066769e+00
2.016000000000000000e+03, 2.902328333987731934e+00, 2.025174525195799546e+00, 2.125275625844232241e+00, 1.847379343969475674e+00, 2.340100821767141070e+00, 3.040013829370495468e+00, 2.036280988079604892e+00, 3.114567763535588618e+00, 2.242531674137249187e+00, 2.642006724125982142e+00, 2.294648987719402733e+00, 2.529348776233100171e+00, 1.876694935380243567e+00, 2.574326786371972542e+00, 2.535388065537988567e+00, 2.533666199881356995e+00
2.017000000000000000e+03, 2.684209627664400521e+00, 2.042361186805436546e+00, 2.205044296256275960e+00, 2.132028096238449688e+00, 2.333650705719136464e+00, 2.842983861140026214e+00, 2.238392731098038713e+00, 3.077580118042650525e+00, 2.064311495034573340e+00, 2.890821509529660549e+00, 2.276039754807839266e+00, 2.227128882050947389e+00, 2.017204039982291697e+00, 2.661932093432521018e+00, 2.357184396236470025e+00, 2.555398258532461497e+00
2.018000000000000000e+03, 2.809394065830694842e+00, 2.151363528947759285e+00, 2.128870477708588727e+00, 2.060331339187320143e+00, 2.262661794700897566e+00, 3.151953218846121896e+00, 2.233140413599367324e+00, 2.852319337824383627e+00, 2.008187973156998929e+00, 2.706356238577186879e+00, 2.216265226714453362e+00, 2.395703943047595708e+00, 1.914026651635281739e+00, 2.378088645925838129e+00, 2.393577373321397861e+00, 2.621475134667918372e+00
2.019000000000000000e+03, 2.745582222523852867e+00, 2.289014222679993882e+00, 2.058290462004535915e+00, 1.978671900882668089e+00, 2.333474830251349719e+00, 3.086802724397622821e+00, 2.340543832257044432e+00, 3.246510202303563020e+00, 2.178508017913869832e+00, 2.723511609705703940e+00, 2.338243531934757868e+00, 2.451156470252073838e+00, 1.751199622294240532e+00, 2.426796569140127424e+00, 2.324914832337527049e+00, 2.557420743406164654e+00
2.020000000000000000e+03, 2.905588647972551897e+00, 2.314346588139669869e+00, 2.004426270880828476e+00, 1.946696856213496973e+00, 2.153452858602944886e+00, 3.144280168264195652e+00, 2.300178435529155685e+00, 3.145803034000573817e+00, 2.232282983347634087e+00, 2.857250921847010350e+00, 2.320986887621345307e+00, 2.433458089309960215e+00, 1.970987992902744734e+00, 2.658857580381309482e+00, 2.484131292319020190e+00, 2.435321800832134898e+00
2.021000000000000000e+03, 3.037361644704844821e+00, 2.014374777977282704e+00, 2.230597352221527441e+00, 1.963200255580995979e+00, 2.171995319193594565e+00, 2.998593882741328098e+00, 2.190563807738250990e+00, 3.270607181605485803e+00, 2.174448936917229069e+00, 2.908435434064048142e+00, 2.210842121324416709e+00, 2.572554125463889729e+00, 1.986380964295845653e+00, 2.779002418845684996e+00, 2.294263794753375496e+00, 2.287571340303670375e+00
2.022000000000000000e+03, 2.856883257807762089e+00, 1.947207745220340458e+00, 2.158222731179860521e+00, 1.944924647013452468e+00, 2.534886237517136820e+00, 2.915073148573150696e+00, 2.131947727914135005e+00, 3.246515611851729322e+00, 2.186819602100208648e+00, 2.612894568369293680e+00, 2.228169596711016887e+00, 2.455766190922993086e+00, 1.992061631432282542e+00, 2.450215447720808903e+00, 2.497912564012202630e+00, 2.576905099298678614e+00
2.023000000000000000e+03, 2.883214851152987812e+00, 2.073927785886322095e+00, 2.285373656458883129e+00, 1.827237037467750014e+00, 2.368068402568523467e+00, 3.046487856718921527e+00, 2.278885882570306887e+00, 3.039662204229549580e+00, 2.410243843653572249e+00, 2.643789005240790413e+00, 2.212536819764643337e+00, 2.480339760025539686e+00, 1.776051999141156967e+00, 2.489275030277326994e+00, 2.194852713632162278e+00, 2.836802649914579533e+00
2.024000000000000000e+03, 2.791441767031513699e+00, 2.141646309607125875e+00, 2.155401769757697039e+00, 1.910073821930489801e+00, 2.372611667058069695e+00, 2.929369157211363817e+00, 2.174168548776965970e+00, 3.039908444324946224e+00, 2.404200912099468734e+00, 2.714005320349010653e+00, 2.329429923049876727e+00, 2.338424863496349815e+00, 1.933228998980012880e+00, 2.458701201721448903e+00, 2.584768889797387725e+00, 2.477181094485487289e+00
2.025000000000000000e+03, 2.705459485174478651e+00, 2.338417255207081435e+00, 2.038852435288380338e+00, 1.979388552242012267e+00, 2.524319702122911568e+00, 3.043861379447925675e+00, 2.233021978708066957e+00, 3.184542758277906671e+00, 2.389170507579991831e+00, 2.773361390570640683e+00, 2.379920574496557695e+00, 2.457771218133271152e+00, 2.141481212060571071e+00, 2.349424024633343766e+00, 2.209329753261828788e+00, 2.347651332748816877e+00
2.026000000000000000e+03, 2.706536379996740571e+00, 2.000300236932679443e+00, 2.085213465507955277e+00, 1.955006745651511668e+00, 2.162169827888142493e+00, 3.096470502464221397e+00, 2.211700074602825250e+00, 3.236388050132210648e+00, 2.428408041249649152e+00, 2.674314892549138456e+00, 2.175812715492556393e+00, 2.584732400677492326e+00, 1.972088842019944277e+00, 2.410102924085403497e+00, 2.382893394957018796e+00, 2.489393551901378565e+00
2.027000000000000000e+03, 2.825874078662712563e+00, 2.057340030882516047e+00, 2.174144731169749711e+00, 1.909036227491154314e+00, 2.158252230298502550e+00, 3.112977303427403086e+00, 2.251277455377223902e+00, 2.940026903728230501e+00, 2.212625014245562571e+00, 2.962115716175394375e+00, 2.285713932834176898e+00, 2.466075145368541222e+00, 1.825067232701323983e+00, 2.530279755907873795e+00, 2.258346680683343433e+00, 2.791153437504372725e+00
2.028000000000000000e+03, 2.796365558054220823e+00, 2.100394117600163479e+00, 2.148875579539713421e+00, 2.044619239905462127e+00, 2.596383034396056111e+00, 3.095864792424616763e+00, 2.204926099603191414e+00, 3.003158645346170275e+00, 2.259491370569607582e+00, 2.634767625489312870e+00, 2.518977927405007922e+00, 2.541255427752663554e+00, 1.906007304820923620e+00, 2.343079597834313521e+00, 2.623758231355303394e+00, 2.746387206595214181e+00
2.029000000000000000e+03, 2.918485421294634286e+00, 2.082444058532500364e+00, 2.100802992832333072e+00, 1.932762526135686665e+00, 2.431606841252835327e+00, 3.045722349463207301e+00, 2.180415928550766935e+00, 3.208355161883380546e+00, 2.384648022757485997e+00, 2.884161789840654411e+00, 2.223443599946736349e+00, 2.762960752624322502e+00, 1.844243673052120780e+00, 2.383028177484533217e+00, 2.385016672428541096e+00, 2.770034004731765531e+00
2.030000000000000000e+03, 2.779428204235779631e+00, 2.048423174646152312e+00, 2.186081339552008451e+00, 2.026814817220202514e+00, 2.332820351322147268e+00, 3.037679816253649800e+00, 2.089016149383295939e+00, 3.138493449926286427e+00, 2.216908798894601684e+00, 2.684687165092480399e+00, 2.268135282440965295e+00, 2.342047033460329608e+00, 2.047383179688275323e+00, 2.660922124194126770e+00, 2.379209775580775954e+00, 2.512440558054485518e+00
2.031000000000000000e+03, 2.867979782086343743e+00, 2.055158414164267366e+00, 2.159157459687898406e+00, 1.772052607432876403e+00, 2.245584663724915053e+00, 3.097724869824798333e+00, 2.144304393820928301e+00, 3.087507936920864893e+00, 2.199656080063723262e+00, 2.745860082135688440e+00, 2.385889002260826341e+00, 2.363802133952805029e+00, 1.999516667468762998e+00, 2.540666636673472478e+00, 2.345907509381899292e+00, 2.619898287120762781e+00
2.032000000000000000e+03, 3.003419660392354640e+00, 2.073401572732597398e+00, 2.105273943003532988e+00, 1.972689621038136165e+00, 2.302188855420048696e+00, 3.125306028480206777e+00, 2.404072533380896104e+00, 3.108130405318881628e+00, 2.559441712648062417e+00, 2.768528523307311140e+00, 2.096021370397286532e+00, 2.428648533102436335e+00, 2.216103639480522691e+00, 2.622844804147215214e+00, 2.504645463520144055e+00, 2.455594939527547371e+00
2.033000000000000000e+03, 2.938234762529973398e+00, 2.138716447681791699e+00, 2.260450231494908646e+00, 1.984255033132507950e+00, 2.168396842047171980e+00, 3.406528772936472382e+00, 2.362201764632841705e+00, 3.058938683751981191e+00, 2.469916349082478035e+00, 2.713217186259655467e+00, 2.252949913491553602e+00, 2.545964224718860969e+00, 1.992694110242839045e+00, 2.522495072100727764e+00, 2.618406486170796743e+00, 2.491832377990902181e+00
2.034000000000000000e+03, 2.733417366857453068e+00, 2.018636164759347817e+00, 2.050826062040083553e+00, 1.863855967582046969e+00, 2.394177145662753858e+00, 3.117217277687174271e+00, 2.234421087710693588e+00, 3.107194026361967509e+00, 2.374379192886359125e+00, 2.871981291487558430e+00, 2.384325491003706166e+00, 2.618830227937112287e+00, 1.918850759811927542e+00, 2.470423460148125194e+00, 2.443503114278701371e+00, 2.746067890834948955e+00
2.035000000000000000e+03, 2.738561789761484011e+00, 2.179151649742459007e+00, 2.010415459193120036e+00, 1.906590329582512178e+00, 2.492398758323397523e+00, 3.060062426963454651e+00, 2.359947702024964400e+00, 3.161230896491585174e+00, 2.273309468119580679e+00, 2.753801704672397488e+00, 2.195359205669165981e+00, 2.752195138243366923e+00, 1.981290888844968290e+00, 2.627843920709739933e+00, 2.371774424835855211e+00, 2.642769059759417338e+00
2.036000000000000000e+03, 2.895059454912504826e+00, 2.186403134791663039e+00, 2.147865846809783541e+00, 1.974693564693148717e+00, 2.274014279971206864e+00, 3.164905389359543353e+00, 2.202273800060869924e+00, 3.184576688891282092e+00, 2.267351819339206376e+00, 2.742930728833474330e+00, 2.030872826755434790e+00, 2.548534831206976214e+00, 1.844647659094298398e+00, 2.529187236937519678e+00, 2.253793936453083013e+00, 2.634904794161902153e+00
2.037000000000000000e+03, 2.953833779514444924e+00, 2.359661784661668982e+00, 2.205149926041939157e+00, 1.904622476489906457e+00, 2.286589807896702631e+00, 3.209812447729591511e+00, 2.233468094511731561e+00, 3.017622710598394153e+00, 2.299500158946065742e+00, 2.655691348571427302e+00, 2.243334839599679498e+00, 2.335309344580018820e+00, 1.756113977799097059e+00, 2.690253198978094673e+00, 2.419066109619039118e+00, 2.559956060081671314e+00
2.038000000000000000e+03, 2.818288954687544923e+00, 2.128849918893338078e+00, 2.105243206335907225e+00, 1.833738891828016415e+00, 2.340935169131296512e+00, 3.042914739686511272e+00, 2.261419368210904501e+00, 2.996314047963235971e+00, 2.260878003287086990e+00, 2.803070447830329659e+00, 2.193574772146495544e+00, 2.467163920159596735e+00, 1.982093432680204437e+00, 2.473507567877682334e+00, 2.436314320257999988e+00, 2.524082822996686737e+00
2.039000000000000000e+03, 2.673092964379081948e+00, 2.105124065828432922e+00, 2.210505707186722013e+00, 1.995626887295280483e+00, 2.374730349760445058e+00, 3.266187093185835444e+00, 2.334016209476166281e+00, 3.183183878041044412e+00, 2.658682599184428064e+00, 2.747840078775022565e+00, 2.205559637207801238e+00, 2.379809348248306033e+00, 1.822081539037969877e+00, 2.466635547148747776e+00, 2.405129238113797197e+00, 2.812049596849933941e+00
2.040000000000000000e+03, 2.823633407876465107e+00, 1.995766326664892398e+00, 2.072807734784869904e+00, 1.888580569703391498e+00, 2.272483012175685602e+00, 3.255286047642047986e+00, 2.240720960501559222e+00, 3.164380056935724994e+00, 2.403176985600845139e+00, 2.907445839231501239e+00, 2.189884121622176050e+00, 2.440875689476453836e+00, 2.101017595502422619e+00, 2.860201091616271452e+00, 2.395478819627107736e+00, 2.714344910389728582e+00
2.041000000000000000e+03, 2.867700250227371850e+00, 1.977529259110222704e+00, 2.211398746661012993e+00, 2.009026102152352777e+00, 2.047480963698362633e+00, 3.099755719778308105e+00, 2.204856134132449075e+00, 3.108528341783610927e+00, 2.542558504382411044e+00, 2.747752342022694805e+00, 2.495775704649330962e+00, 2.228698908683463209e+00, 1.950539424802066435e+00, 2.619972783980713427e+00, 2.636502838175618368e+00, 2.663209240565950431e+00
2.042000000000000000e+03, 2.869897691850956445e+00, 2.291426598804592096e+00, 2.093153727348546767e+00, 1.991863366846252870e+00, 2.318851933230956952e+00, 3.179694491569882153e+00, 2.206122176263405787e+00, 3.122604433503475718e+00, 2.377952009182606297e+00, 2.762921476350116201e+00, 2.518202408710699558e+00, 2.405423899274425903e+00, 1.910380871803476266e+00, 2.432132296872109301e+00, 2.508024924406994316e+00, 2.568451377557765536e+00
2.043000000000000000e+03, 2.729708456895982405e+00, 2.139780926863892763e+00, 2.164077764893347133e+00, 1.984358850507170313e+00, 2.329416346280906769e+00, 3.113063838336968647e+00, 2.237843691596138829e+00, 3.195376103948691426e+00, 2.549348072449048264e+00, 2.739471889536701177e+00, 2.451116259877411441e+00, 2.727532863216194592e+00, 2.015966901306453618e+00, 2.500887237308659028e+00, 2.626201869597047711e+00, 2.442439955122540862e+00
2.044000000000000000e+03, 2.940026517086301805e+00, 2.136278026771053273e+00, 2.063207541801197920e+00, 2.001852223767015104e+00, 2.270814279387325385e+00, 3.102289250572880963e+00, 2.403699708996530848e+00, 3.262202126043793005e+00, 2.445594482121594471e+00, 2.696275720968170919e+00, 2.215086676722790138e+00, 2.429481686951632913e+00, 1.794364883173440672e+00, 2.708901399200953186e+00, 2.470659383711260926e+00, 2.781053630043542224e+00
2.045000000000000000e+03, 2.969569289838357662e+00, 2.149491140199940808e+00, 2.130292685611292480e+00, 2.012854201612030547e+00, 2.314828088691152974e+00, 3.111507710666269411e+00, 2.241874282387277706e+00, 3.238062796665601706e+00, 2.411219057488155570e+00, 2.793089194950162391e+00, 2.104942554883832084e+00, 2.509649189970078798e+00, 2.119392451470403671e+00, 2.703667743992487438e+00, 2.519465591799079807e+00, 2.791241703164786703e+00
2.046000000000000000e+03, 2.969440222350587355e+00, 2.195543472142015951e+00, 2.250187972909788670e+00, 2.063637456099884471e+00, 2.625539546241698385e+00, 2.984634752515271661e+00, 2.280290354520291718e+00, 3.171529075405699061e+00, 2.515350352595130623e+00, 2.633424934221440861e+00, 2.181919363890574282e+00, 2.589856510540299972e+00, 1.928340737032556929e+00, 2.530110958683196465e+00, 2.699725444162558219e+00, 2.872682701560036911e+00
