year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.042000000000000000e+03, 8.003650980839030995e-10, 6.344088064258392796e-10, 5.810176549596400201e-10
2.043000000000000000e+03, 8.250635640389389662e-10, 6.232014849995593986e-10, 5.389741094398912519e-10
2.044000000000000000e+03, 7.448856929842727772e-10, 6.450440620510550950e-10, 4.258461468856914592e-10
2.045000000000000000e+03, 7.535084684547293442e-10, 5.500725488505275180e-10, 6.055581176195464843e-10
2.046000000000000000e+03, 7.722541616094745984e-10, 6.634626919011223246e-10, 5.930613489430512920e-10
2.047000000000000000e+03, 8.160995852590870470e-10, 6.025586705374162512e-10, 5.174371525823603118e-10
2.048000000000000000e+03, 7.869605002041817731e-10, 6.571994977917902877e-10, 5.717729820953745541e-10
2.049000000000000000e+03, 8.249068440557365267e-10, 6.380048180300389053e-10, 4.824298693601858234e-10
2.050000000000000000e+03, 8.222615927844712619e-10, 6.346367386585318847e-10, 5.487364036833088119e-10
2.051000000000000000e+03, 8.067598254827549715e-10, 6.201800082471734342e-10, 5.195155894606887679e-10
2.052000000000000000e+03, 8.720607169531638494e-10, 6.352204685389268228e-10, 4.997757847734879065e-10
2.053000000000000000e+03, 8.913982087448386522e-10, 6.152264184783340864e-10, 6.256533919022671623e-10
2.054000000000000000e+03, 8.481325157451668768e-10, 6.481163247147309443e-10, 4.944531596182406355e-10
2.055000000000000000e+03, 8.289440860710272873e-10, 6.728356578788894241e-10, 5.722018109793145820e-10
2.056000000000000000e+03, 8.348609759460572720e-10, 5.413881213637137696e-10, 5.274309018996952244e-10
2.057000000000000000e+03, 8.633109563443791206e-10, 7.089515714219329662e-10, 5.255529699987206674e-10
2.058000000000000000e+03, 8.885838357873585545e-10, 5.682110530109467034e-10, 6.460682412943313191e-10
2.059000000000000000e+03, 9.276669882978975235e-10, 6.517767260319627054e-10, 7.148962984666579266e-10
2.060000000000000000e+03, 9.191652331956685643e-10, 6.568715894969969262e-10, 5.817976442178992325e-10
2.061000000000000000e+03, 8.965549931694727660e-10, 6.472717508415806057e-10, 6.190619712036780906e-10
2.062000000000000000e+03, 9.084645285615849243e-10, 6.171769417178766497e-10, 7.325287886904893791e-10
2.063000000000000000e+03, 9.146632581682294904e-10, 6.373771041843804285e-10, 5.961524062892609861e-10
2.064000000000000000e+03, 9.279641428620505083e-10, 6.524028930265155072e-10, 5.689637085335318704e-10
2.065000000000000000e+03, 9.349188388861391798e-10, 6.300568547783784038e-10, 5.747450429463393143e-10
2.066000000000000000e+03, 9.140003681775790852e-10, 7.221230461931863233e-10, 6.726003592887667256e-10
2.067000000000000000e+03, 9.192066600047289743e-10, 6.580583860562674998e-10, 6.887628019331241634e-10
2.068000000000000000e+03, 9.337692022207393652e-10, 6.643409712997289225e-10, 5.919792415363074377e-10
2.069000000000000000e+03, 9.199472365088988262e-10, 7.033252809781366850e-10, 6.562343321372032704e-10
2.070000000000000000e+03, 9.167949178053013328e-10, 7.281473397934248284e-10, 7.688102861000209504e-10
2.071000000000000000e+03, 9.318777365443309354e-10, 6.782167031484595603e-10, 6.984654955623122720e-10
2.072000000000000000e+03, 9.209206860909419486e-10, 6.596579973241295085e-10, 7.328657425406528053e-10
2.073000000000000000e+03, 9.511712370861331216e-10, 6.755013203122995390e-10, 6.507695565705586271e-10
2.074000000000000000e+03, 9.535385016788595593e-10, 6.988888060807882993e-10, 7.223101234477652842e-10
2.075000000000000000e+03, 9.457534979419382870e-10, 7.330044954700166569e-10, 7.758564112096146234e-10
2.076000000000000000e+03, 9.741867068600386790e-10, 6.784817434042442483e-10, 8.284850171318986138e-10
2.077000000000000000e+03, 9.957781312300107382e-10, 7.113104527283891134e-10, 8.147821360935123498e-10
2.078000000000000000e+03, 9.787983140180669349e-10, 7.159838568326894241e-10, 8.216618430984718133e-10
2.079000000000000000e+03, 9.880628841232842219e-10, 6.906599376374356990e-10, 8.020616006697032213e-10
2.080000000000000000e+03, 9.692281880930740372e-10, 7.183430491706150165e-10, 8.581947851652818803e-10
2.081000000000000000e+03, 9.904348305540754254e-10, 7.236753834343168217e-10, 7.812201280548231408e-10
2.082000000000000000e+03, 9.926100647653172052e-10, 7.274328926249112532e-10, 8.641764032483625618e-10
2.083000000000000000e+03, 9.953369015382664696e-10, 6.985286388988202627e-10, 8.094787453150237474e-10
2.084000000000000000e+03, 9.794615068761352034e-10, 7.545070011106205513e-10, 9.159497804636256117e-10
2.085000000000000000e+03, 9.551553202672596521e-10, 7.544407396746880842e-10, 8.335881799867476070e-10
2.086000000000000000e+03, 9.479732697019979202e-10, 7.272700851226760323e-10, 8.589366865608197654e-10
2.087000000000000000e+03, 1.002789109393972301e-09, 7.314773715925788055e-10, 8.759396571004758493e-10
2.088000000000000000e+03, 9.875506456685210076e-10, 7.502988898976848947e-10, 9.163435636137615337e-10
2.089000000000000000e+03, 1.005656475659704800e-09, 7.595394329111157441e-10, 8.407268184740424875e-10
2.090000000000000000e+03, 1.006796364189801113e-09, 7.578025566759771263e-10, 8.909690097719235682e-10
2.091000000000000000e+03, 1.014688308374017540e-09, 7.584002313186482964e-10, 9.314683456310741424e-10
2.092000000000000000e+03, 1.013025446036888105e-09, 7.416037990975331043e-10, 8.592158222355960687e-10
2.093000000000000000e+03, 9.760467297196729025e-10, 7.520179241514746273e-10, 9.543501024935185325e-10
2.094000000000000000e+03, 1.003788372235447832e-09, 7.811789923454936160e-10, 8.671319615333711994e-10
2.095000000000000000e+03, 1.003715499008436614e-09, 7.805709930479045338e-10, 8.864890588180610165e-10
2.096000000000000000e+03, 1.027597352216550425e-09, 7.720272827620068873e-10, 1.056355338410325522e-09
2.097000000000000000e+03, 1.027278546823967811e-09, 7.501296957098643364e-10, 9.825271829381641145e-10
2.098000000000000000e+03, 1.056063877737880524e-09, 7.777934067898349314e-10, 9.281541841874483614e-10
2.099000000000000000e+03, 1.064474332784743858e-09, 7.518940240393980671e-10, 9.364219506812100762e-10
2.100000000000000000e+03, 1.082130353270274033e-09, 7.756186881999273032e-10, 1.041403261048416671e-09
