year, TaiESM1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5
2.025000000000000000e+03, 6.831346013968924069e+01, 1.342684910101133084e+02, 1.110931052473208211e+02, 1.008757965914924597e+02, 9.435899063498784756e+01, 1.013406587552139371e+02, 5.887450674838694908e+01, 1.013851175824707411e+02, 2.031356196631344062e+02, 3.813355834267307642e+01, 1.215403290471173676e+02, 1.445035401522609675e+02, 2.752981802190146823e+02
2.026000000000000000e+03, 6.842158185228028344e+01, 1.342821302364866654e+02, 1.111645879528072811e+02, 1.010661698674659021e+02, 9.434514026259007835e+01, 1.013831182788973848e+02, 5.884755482076907640e+01, 1.014563939054238517e+02, 2.032176163852986974e+02, 3.817088740391103130e+01, 1.215138804078746801e+02, 1.446530825928074080e+02, 2.754851376132527889e+02
2.027000000000000000e+03, 6.852365320248530622e+01, 1.342872982683858822e+02, 1.112449517441473859e+02, 1.012417490004755933e+02, 9.435781204453240889e+01, 1.015201403206937272e+02, 5.890107012425713151e+01, 1.015700985026971068e+02, 2.033034564014485568e+02, 3.820843137480608220e+01, 1.214866895687936506e+02, 1.448228629802402736e+02, 2.755720484113445536e+02
2.028000000000000000e+03, 6.856025996954265622e+01, 1.342846742891624956e+02, 1.113385628918380945e+02, 1.014301634572347268e+02, 9.438986975010470815e+01, 1.016184190022838720e+02, 5.909364457802288229e+01, 1.016739915936496743e+02, 2.032785454376172822e+02, 3.825112203208229289e+01, 1.214717504930805063e+02, 1.449851824065782182e+02, 2.755813125380806241e+02
2.029000000000000000e+03, 6.856640079501316620e+01, 1.343281747452566890e+02, 1.113610505931323473e+02, 1.016154847243317505e+02, 9.443056624608693994e+01, 1.016535275791355275e+02, 5.915264416057341634e+01, 1.017651913144802478e+02, 2.032133939759325756e+02, 3.828408116300775532e+01, 1.214467667099307420e+02, 1.451102191726459125e+02, 2.756914913493284303e+02
2.030000000000000000e+03, 6.858791760114895908e+01, 1.343943306358807206e+02, 1.113269768722088600e+02, 1.018391372948507723e+02, 9.445363080494215069e+01, 1.016961845124469050e+02, 5.917624895822328313e+01, 1.018877970462564093e+02, 2.032846655697753704e+02, 3.833053298764493633e+01, 1.214200213221093350e+02, 1.452927850959965781e+02, 2.758283744912897646e+02
2.031000000000000000e+03, 6.863508050186644027e+01, 1.344777669392826169e+02, 1.113273820833747294e+02, 1.020759055475606232e+02, 9.446432861895767985e+01, 1.017885756848689169e+02, 5.924779226852457725e+01, 1.019911280395700715e+02, 2.034644658998897739e+02, 3.838020505079653333e+01, 1.214146356467764178e+02, 1.454577932870684833e+02, 2.758954906086327696e+02
2.032000000000000000e+03, 6.859458565052123902e+01, 1.345443593613016731e+02, 1.114097402553251470e+02, 1.022966286064462196e+02, 9.447235166012389129e+01, 1.019106231828195916e+02, 5.932716370693366059e+01, 1.020827720993729173e+02, 2.035251319196206339e+02, 3.843081972942105295e+01, 1.214367670155123449e+02, 1.456192271005602663e+02, 2.760286979613781000e+02
2.033000000000000000e+03, 6.875820949606239196e+01, 1.346129745154703699e+02, 1.114820366265047227e+02, 1.025070845215764450e+02, 9.448014688348158074e+01, 1.019508363735704677e+02, 5.939643154162866523e+01, 1.021697155546574152e+02, 2.038279429849207247e+02, 3.847584091729535771e+01, 1.214579242378136996e+02, 1.457875446293278685e+02, 2.762128456733136659e+02
2.034000000000000000e+03, 6.877397522590887036e+01, 1.346899140370413477e+02, 1.114670463465238726e+02, 1.027017930818137330e+02, 9.449269904777852958e+01, 1.020085036294923384e+02, 5.944625811604525012e+01, 1.022274270885265963e+02, 2.039036964211716167e+02, 3.852602262867524274e+01, 1.214755529337152211e+02, 1.459587548088315714e+02, 2.763647834919557340e+02
2.035000000000000000e+03, 6.879491904819400361e+01, 1.347222104062542769e+02, 1.114445099331053939e+02, 1.029233736983177181e+02, 9.451718109083189745e+01, 1.020738651722559922e+02, 5.955841219698137934e+01, 1.023038351921120181e+02, 2.038439995413953056e+02, 3.857567273908108518e+01, 1.215091092311163976e+02, 1.461176778845608908e+02, 2.763495684397830701e+02
2.036000000000000000e+03, 6.868411934692875320e+01, 1.347473834139499900e+02, 1.114851926745087667e+02, 1.031199656829287790e+02, 9.455060284938305415e+01, 1.021102231709651562e+02, 5.962179085184435934e+01, 1.023756799954824288e+02, 2.037832659559941249e+02, 3.860745827428927157e+01, 1.215372736879884030e+02, 1.462896077813783222e+02, 2.763978962213216164e+02
2.037000000000000000e+03, 6.875924830289623912e+01, 1.347887279899720170e+02, 1.115836744063961277e+02, 1.033114700931190697e+02, 9.456792956122269800e+01, 1.022201141805092846e+02, 5.973918318798591542e+01, 1.024546310422729221e+02, 2.041473028161825596e+02, 3.865290480630714143e+01, 1.215631532894182953e+02, 1.465031313431812521e+02, 2.765670764922417106e+02
2.038000000000000000e+03, 6.882677772065316901e+01, 1.348511744377469768e+02, 1.116433873952959601e+02, 1.035413587779268454e+02, 9.458022815040541786e+01, 1.023529837480398328e+02, 5.980335727380572308e+01, 1.025443334469126171e+02, 2.044287555614183418e+02, 3.869365687362195416e+01, 1.215988824974487841e+02, 1.466723635234685617e+02, 2.766620143702953101e+02
