year, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, CESM2-WACCM
2.025000000000000000e+03, 1.275076797517589400e+00, 2.828942708156778618e+00, 9.703909580850533789e-01, 2.418433661898358622e+00, 2.881632873964754538e+00, 1.289474911587791706e+00, 1.157049289493962574e+00, 2.124837973390239831e+00, 1.536022698755153737e+00, 9.337733038360711557e-01, 1.201260898616550721e+00, 1.722681057717129649e+00, 9.448654514221204170e-01, 2.304539136484978545e+00, 1.112829072287026211e+00, 2.254789212854835245e+00
2.026000000000000000e+03, 1.287511221319937116e+00, 2.515469203624832950e+00, 9.884230023785739450e-01, 2.412877764172205897e+00, 2.807430774782527561e+00, 1.281402864691703725e+00, 1.162403132758423663e+00, 2.139871875185952010e+00, 1.610313079283429261e+00, 9.273234011964566204e-01, 1.181609179228883644e+00, 1.719109750380308999e+00, 9.728529338091075340e-01, 2.320884432602488889e+00, 1.145716068176650726e+00, 2.247425100065080894e+00
2.027000000000000000e+03, 1.318484446403116683e+00, 2.577005379560975307e+00, 9.486904314024305895e-01, 2.402624741765508887e+00, 2.726102240839327173e+00, 1.321232434149452573e+00, 1.158158619090752461e+00, 2.137255110687616089e+00, 1.541201672178834414e+00, 9.341994515217634243e-01, 1.160042292442098999e+00, 1.756286490391054000e+00, 9.774469552360499636e-01, 2.320402679487309605e+00, 1.134695052728635245e+00, 2.252264588964559611e+00
2.028000000000000000e+03, 1.342379028791991891e+00, 2.918945767733757357e+00, 1.023380123529296526e+00, 2.418869966140584804e+00, 2.631974640316530945e+00, 1.293343706731195919e+00, 1.120968459706263465e+00, 2.131815923032769344e+00, 1.544898144227617287e+00, 9.325676744590182254e-01, 1.166930106272639156e+00, 1.684806360340310727e+00, 1.025024397271836252e+00, 2.330307442279840213e+00, 1.129686430265736341e+00, 2.209541931401575177e+00
2.029000000000000000e+03, 1.301007058407162020e+00, 3.074662503902557020e+00, 1.033231849857371820e+00, 2.455203254588253170e+00, 2.758867072313468505e+00, 1.296958317305985320e+00, 1.142279897550869006e+00, 2.169669977133203975e+00, 1.605954329297951455e+00, 9.611114562533753514e-01, 1.166933264019293093e+00, 1.798655687655234869e+00, 9.713469481501515457e-01, 2.306653435083923842e+00, 1.145339134495125810e+00, 2.183541987905678106e+00
2.030000000000000000e+03, 1.291136369943856499e+00, 3.106812257815406486e+00, 1.027020804727580616e+00, 2.510839104575689262e+00, 2.868885036083651752e+00, 1.302185066698435589e+00, 1.128610888291170067e+00, 2.186592897949752867e+00, 1.632836242053406828e+00, 9.287840883992333207e-01, 1.187068212405357093e+00, 1.710053728355606761e+00, 9.800058114502390172e-01, 2.337451682576273893e+00, 1.135070454335396883e+00, 2.291326640782683555e+00
2.031000000000000000e+03, 1.305684260427139254e+00, 2.747810880755961804e+00, 9.854504463799401703e-01, 2.407580686562915240e+00, 2.892119429291064581e+00, 1.295520272099573100e+00, 1.152927597583566000e+00, 2.176778867669750817e+00, 1.652867308267103263e+00, 9.320868361253745737e-01, 1.192719895800983920e+00, 1.739169683787958220e+00, 1.004796110145390831e+00, 2.309788820654657737e+00, 1.164425747380751552e+00, 2.280650509014039873e+00
2.032000000000000000e+03, 1.342627204750078240e+00, 2.641412436668958641e+00, 1.009799611937844732e+00, 2.392504677767074650e+00, 2.931190368277033276e+00, 1.323458693558351662e+00, 1.129885694874413149e+00, 2.244509970122826381e+00, 1.629217468109618761e+00, 9.494184048204667992e-01, 1.179421778753172223e+00, 1.805735242800389440e+00, 9.879187838547606182e-01, 2.315238295966655535e+00, 1.155182146478808125e+00, 2.186466898630172295e+00
2.033000000000000000e+03, 1.343894858543840387e+00, 2.889555967327836594e+00, 1.068054474545300891e+00, 2.508735084329146492e+00, 2.952623720490418879e+00, 1.319236287244229366e+00, 1.151038679344065230e+00, 2.215257141395016394e+00, 1.541194463124047065e+00, 9.551008485604780551e-01, 1.191975450041863782e+00, 1.790735230046361037e+00, 9.616954481207781180e-01, 2.370791136023393531e+00, 1.176384950791604878e+00, 2.205334887246451991e+00
2.034000000000000000e+03, 1.343835302407207166e+00, 3.156278975040005541e+00, 1.045539495879386216e+00, 2.583556573844451254e+00, 2.879461694723965071e+00, 1.322653202080027679e+00, 1.171635033064254205e+00, 2.261088776136036316e+00, 1.589194252105967653e+00, 9.515203759846857512e-01, 1.201154617436388072e+00, 1.763656259756201994e+00, 9.775904542357910509e-01, 2.363279657054361493e+00, 1.148702330266437865e+00, 2.322661279201919449e+00
