year, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
2.031000000000000000e+03, 9.825472946413924196e-11, 3.111607833492580735e-10, 2.624724530304652818e-10, 2.138740950145033704e-10, 1.612115427161926488e-10, 2.798889428930035864e-10, 2.818328947139241556e-10, 9.825472946413924196e-11, 2.624724530304652818e-10, 3.508762997803514853e-10, 6.736016263797191995e-10, 3.111607833492580735e-10
2.032000000000000000e+03, 1.143682724573169856e-10, 3.676606551144072699e-10, 3.661745394541899370e-10, 2.209980355762328807e-10, 2.155352986674645986e-10, 3.566523474677663407e-10, 3.586354834863783989e-10, 1.143682724573169856e-10, 3.661745394541899370e-10, 4.999058643988406671e-10, 2.464946128500042251e-10, 3.676606551144072699e-10
2.033000000000000000e+03, 1.416399740032051304e-10, 3.376253659744536918e-10, 2.323827375553711051e-10, 1.697222754796492969e-10, 1.576710602329610744e-10, 2.104491086948841983e-10, 2.123473894632445180e-10, 1.416399740032051304e-10, 2.323827375553711051e-10, 2.311773104003699775e-10, 1.698693896349515737e-10, 3.376253659744536918e-10
2.034000000000000000e+03, 1.463694194989273651e-10, 3.328806175220103482e-10, 3.259656030626955742e-10, 2.526356516107015748e-10, 2.133984721768184940e-10, 2.941612959036399408e-10, 2.961744426934129853e-10, 1.463694194989273651e-10, 3.259656030626955742e-10, 1.033316213642353137e-10, 1.384147754659965541e-10, 3.328806175220103482e-10
2.035000000000000000e+03, 1.146187464045855412e-10, 3.020679233125814658e-10, 2.795845549011385832e-10, 2.565981681939552423e-10, 1.966390868667412569e-10, 6.151643921921044002e-10, 6.171393978819619752e-10, 1.146187464045855412e-10, 2.795845549011385832e-10, 1.758485247392791725e-10, 1.026294470915304519e-10, 3.020679233125814658e-10
2.036000000000000000e+03, 1.516323122142676840e-10, 5.372685520753555212e-10, 2.549380503464703375e-10, 1.975312318916963657e-10, 2.918251482365762200e-10, 5.672339134520853201e-10, 5.691621035507826647e-10, 1.516323122142676840e-10, 2.549380503464703375e-10, 4.644666549272738551e-10, 1.712895888985168546e-10, 5.372685520753555212e-10
2.037000000000000000e+03, 1.162189424786914209e-10, 3.026615805596376505e-10, 3.085917657839685118e-10, 2.886691641071375757e-10, 4.056015227047872082e-10, 2.997681809345776061e-10, 3.015710877634145381e-10, 1.162189424786914209e-10, 3.085917657839685118e-10, 2.681959758693293146e-10, 2.270694702732318331e-10, 3.026615805596376505e-10
2.038000000000000000e+03, 2.048562285115770338e-10, 2.937823272965722685e-10, 4.266982918919181062e-10, 3.534523112830012878e-10, 2.783203642714917971e-10, 4.557399332132551766e-10, 4.576707765255065669e-10, 2.048562285115770338e-10, 4.266982918919181062e-10, 2.095647569895534044e-10, 1.433237640627947480e-10, 2.937823272965722685e-10
2.039000000000000000e+03, 1.499543893949980296e-10, 4.838706087091604932e-10, 5.946971354740891388e-10, 2.145261552564339434e-10, 3.629549012227930100e-10, 3.170504456962094597e-10, 3.189780193333711514e-10, 1.499543893949980296e-10, 5.946971354740891388e-10, 2.403523042673493117e-10, 3.394612956509173302e-10, 4.838706087091604932e-10
2.040000000000000000e+03, 1.157808437781768451e-10, 5.078555635682246349e-10, 5.630688398411978690e-10, 2.863863869928315956e-10, 2.241253465663980636e-10, 4.349746552357826673e-10, 4.367769540854441406e-10, 1.157808437781768451e-10, 5.630688398411978690e-10, 1.289960973812534213e-10, 2.240294387017759212e-10, 5.078555635682246349e-10
2.041000000000000000e+03, 1.344632318020997509e-10, 3.610723532470732991e-10, 3.775246401911625725e-10, 2.350678689217071740e-10, 2.301166743658169895e-10, 4.164077999396151784e-10, 4.182377392700998687e-10, 1.344632318020997509e-10, 3.775246401911625725e-10, 3.429572200038295314e-10, 3.650837272113465922e-10, 3.610723532470732991e-10
