year, TaiESM1, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5
2.030000000000000000e+03, 4.587827605613363779e+00, 5.548543531087358538e+00, 5.263918813188974255e+00, 4.204444113713585729e+00, 6.604713230653018741e+00, 6.435914915158252647e+00, 6.353477068269643979e+00, 5.458232133300215061e+00, 6.066125958008057317e+00, 5.505103574016575685e+00, 3.177326412840971059e+00, 4.189443699904656704e+00, 4.916740009097353870e+00, 3.572591869355318028e+00, 4.523347888359560365e+00, 5.160507383136775594e+00
2.031000000000000000e+03, 4.914702942858472312e+00, 5.097802786514304074e+00, 5.202645958621864963e+00, 4.324491008586417884e+00, 6.289059407088936737e+00, 6.516052325979108772e+00, 6.585936993284242646e+00, 5.419875920585372597e+00, 6.044504243011875388e+00, 5.148395689019357846e+00, 3.267906346566319620e+00, 4.100777059870009289e+00, 4.827855415218166080e+00, 3.637826943814987501e+00, 4.533142178700744651e+00, 4.970230251186507964e+00
2.032000000000000000e+03, 4.517307388475194863e+00, 5.112148706787545294e+00, 5.124389965382651013e+00, 4.452577114474816078e+00, 6.627265476413768397e+00, 6.397578423289223437e+00, 6.421007533822054469e+00, 5.317137864006368453e+00, 6.226159768009371653e+00, 5.693174738601340934e+00, 3.390374944394290768e+00, 4.050334077998916982e+00, 4.915245251405417015e+00, 3.590037935700172600e+00, 4.211880695540595632e+00, 4.816198922749984845e+00
2.033000000000000000e+03, 4.690949116389152351e+00, 5.496015640864922780e+00, 5.409557509689323140e+00, 4.425772566106692452e+00, 6.775329864019738579e+00, 6.601095340187228544e+00, 6.689217884445211482e+00, 5.117327173402796525e+00, 6.045424831541211574e+00, 5.552797421178842896e+00, 3.394057929924254147e+00, 4.215091587425535913e+00, 5.181556353078478061e+00, 3.697301128587462404e+00, 4.411170797635660001e+00, 4.949939963537108412e+00
2.034000000000000000e+03, 4.963661840852762630e+00, 5.579445648949543646e+00, 5.518219446613321644e+00, 4.461182380818848436e+00, 6.865995096302301981e+00, 6.659669193188938685e+00, 6.456750021164481268e+00, 5.643073159637051361e+00, 6.114036029119544580e+00, 5.507469066254416568e+00, 3.339180168077046318e+00, 4.313979959158523947e+00, 4.787133548558283103e+00, 3.637264631398577475e+00, 4.532070760082095084e+00, 5.268911574019632837e+00
2.035000000000000000e+03, 4.816624660757280907e+00, 5.551548503035107274e+00, 5.437278996706124801e+00, 4.531516774074788145e+00, 6.996231635304654972e+00, 6.733479068332491657e+00, 6.529872910011307319e+00, 5.603406671080747969e+00, 5.967716469843393767e+00, 5.800575876953703691e+00, 3.182568713751226852e+00, 4.204255299369507703e+00, 4.973083869292118209e+00, 3.660156470094645176e+00, 4.574367155750038272e+00, 5.356131902187692084e+00
2.036000000000000000e+03, 4.991781659127708437e+00, 5.502312590928014835e+00, 5.524310260276570794e+00, 4.551368945220490403e+00, 7.000478534298848921e+00, 6.757860985843351820e+00, 6.752507528692865080e+00, 5.760458342102768192e+00, 6.264444234694548364e+00, 5.736740107834178204e+00, 3.361820404610935675e+00, 3.892931425865508110e+00, 4.974564763616628582e+00, 3.732694008991528811e+00, 4.809885606931392665e+00, 4.761295622658725080e+00
2.037000000000000000e+03, 4.609238866452187722e+00, 5.417194505657447756e+00, 5.506565720895923555e+00, 4.339064498721239005e+00, 6.559501026052062755e+00, 6.638441072820620015e+00, 6.822750538711136237e+00, 5.793202948445953737e+00, 6.206391631607302450e+00, 5.486098339049824801e+00, 3.419202362195816303e+00, 4.377838716947596076e+00, 5.077971072521890505e+00, 3.797799033266088031e+00, 4.940173167316697977e+00, 5.141472255894796284e+00
2.038000000000000000e+03, 4.886969233680281910e+00, 5.413958193340025815e+00, 5.417191979665256341e+00, 4.333059672459018685e+00, 6.732808761864063740e+00, 6.718723665205869722e+00, 6.727418494182601627e+00, 5.697136297715385211e+00, 6.249705189002707328e+00, 5.695176845674669863e+00, 3.405694502719367467e+00, 4.318391966636045964e+00, 4.937311105242435438e+00, 3.685187439535089204e+00, 4.410118256226389200e+00, 5.138157430244835844e+00
2.039000000000000000e+03, 4.995070662543490414e+00, 5.638037201359884953e+00, 5.508951901102741466e+00, 4.352505632920732559e+00, 6.924030387179444190e+00, 6.705769081497676254e+00, 6.577732876542280671e+00, 5.765763406773544375e+00, 6.197146378829274660e+00, 5.673198698748406876e+00, 3.498086462531910801e+00, 4.144277104959275704e+00, 5.239589991104088185e+00, 3.826469487896517307e+00, 4.570604998223195992e+00, 5.545839251818756921e+00
2.040000000000000000e+03, 5.058579283037069274e+00, 5.870212554005910910e+00, 5.367777998645916426e+00, 4.429411081467345745e+00, 6.810119229405361629e+00, 6.625978163546045963e+00, 6.829990100902424643e+00, 5.786579841941802194e+00, 6.346988869136689360e+00, 5.638357350374501920e+00, 3.437728254191707578e+00, 4.048950182540635545e+00, 5.074346183983852399e+00, 3.897377698102888921e+00, 4.833466021079252606e+00, 5.022748548479409436e+00
2.041000000000000000e+03, 4.692078299031051891e+00, 5.728361108808972091e+00, 5.400128621161304210e+00, 4.413531410490984186e+00, 6.331994504489528275e+00, 6.759023279709838405e+00, 6.874176211397546865e+00, 5.732893769150711805e+00, 6.393499325148430223e+00, 5.178231379848278415e+00, 3.597973157511131781e+00, 4.540742974945424670e+00, 5.331225452045829094e+00, 3.928837424107129994e+00, 4.901576778291955705e+00, 5.199604130933391133e+00
2.042000000000000000e+03, 4.886822980770663349e+00, 5.673032031404482645e+00, 5.680232798291136476e+00, 4.543511399398123096e+00, 6.748051964422906224e+00, 6.711408849215604988e+00, 6.803783616396076539e+00, 5.625872386073605291e+00, 6.447289144935214544e+00, 5.604571095172196316e+00, 3.506037619384069437e+00, 4.448114657424737217e+00, 5.305909635722190210e+00, 4.127166467200112265e+00, 4.832767997080236633e+00, 5.316018836062275987e+00
2.043000000000000000e+03, 4.993297497891864722e+00, 5.732546215364510367e+00, 5.513978941594011474e+00, 4.351926932973330331e+00, 7.330718968457889062e+00, 7.003147771424267809e+00, 6.955662442749664720e+00, 5.617838719327511221e+00, 6.567203186040144303e+00, 5.850995023945920082e+00, 3.542800149023193512e+00, 4.749316004584785311e+00, 5.297910406411201478e+00, 4.018172696006427458e+00, 4.987288416545059277e+00, 5.055135524237814870e+00
2.044000000000000000e+03, 4.955179570203005923e+00, 6.008306819866237269e+00, 5.652782822015687714e+00, 4.414517982754963654e+00, 6.914460097542927564e+00, 6.602719348403200961e+00, 6.689707263225101563e+00, 5.847487048778299723e+00, 5.993052596677158839e+00, 6.003637858776781577e+00, 3.385700476630910671e+00, 4.409468726744701250e+00, 5.307829054582352768e+00, 4.170084476235688342e+00, 4.351644441987858158e+00, 5.884435624873782800e+00
2.045000000000000000e+03, 5.112226191589059887e+00, 5.739698726895173131e+00, 5.609661660787825355e+00, 4.577019051075818190e+00, 6.819387761538214576e+00, 7.150514997851754373e+00, 6.591219104226016867e+00, 5.850443040330383759e+00, 6.183590278123140216e+00, 5.468359541843810234e+00, 3.434400382862999646e+00, 4.039230216547464281e+00, 5.562365952805255809e+00, 4.148472209735212246e+00, 5.102602402770874512e+00, 5.860558971062327593e+00
2.046000000000000000e+03, 5.016688287351854569e+00, 5.860857444293591456e+00, 5.568339910620102806e+00, 4.508666673725933549e+00, 6.661081350493143205e+00, 6.948005262115590774e+00, 6.691457867799137205e+00, 5.900123674461186241e+00, 6.330225501142224154e+00, 6.288158364460022298e+00, 3.499484330586501102e+00, 4.045921456126141180e+00, 5.246801313447488013e+00, 4.228474370943447802e+00, 4.776665233188060355e+00, 4.986495781177016973e+00
2.047000000000000000e+03, 4.829199355867194399e+00, 5.975677829876814506e+00, 5.993004305540589272e+00, 4.517650833253879838e+00, 7.112746214478580242e+00, 6.804650146546229905e+00, 6.770079555419254547e+00, 6.002438100033002932e+00, 6.670818120736373480e+00, 5.802107642535836440e+00, 3.578538372360432707e+00, 4.279927343387456062e+00, 5.478235268531049584e+00, 4.123913532067764010e+00, 4.935604226895017987e+00, 5.341470422525908646e+00
2.048000000000000000e+03, 5.003791036130537329e+00, 6.031001048380487894e+00, 5.928448622886118180e+00, 4.645170973548031768e+00, 7.250064711765754843e+00, 7.152579834149717541e+00, 6.854756403848459634e+00, 5.904708432255988626e+00, 6.269090798201795600e+00, 5.936345950636980895e+00, 3.600278376626122601e+00, 4.293683285237980485e+00, 5.516370601088299352e+00, 3.952069537272221655e+00, 4.977166963819378509e+00, 5.397085475061340176e+00
2.049000000000000000e+03, 5.182616343972359374e+00, 5.881419322573898434e+00, 5.985549864993926938e+00, 4.628626095978024324e+00, 7.142001452906964865e+00, 7.071489390549934306e+00, 6.931895932927776727e+00, 5.509634528655741548e+00, 6.718040999073521924e+00, 5.718389456651767233e+00, 3.362491424224468339e+00, 4.180320185718075621e+00, 5.469930463515120245e+00, 4.313068336951136672e+00, 5.352761399776301943e+00, 5.358719214871622505e+00
2.050000000000000000e+03, 5.067931858562917391e+00, 6.025323800215478975e+00, 5.679465340819997543e+00, 4.504578431166837760e+00, 7.449269134737495079e+00, 6.874181294000243803e+00, 7.034058327600179794e+00, 6.116079127791422820e+00, 6.632989986137403982e+00, 5.753502012952690592e+00, 3.573646161723856629e+00, 4.244849106933222593e+00, 5.513709122371611038e+00, 4.265454405825191309e+00, 4.960012667265935704e+00, 5.817107068153494431e+00
2.051000000000000000e+03, 5.167497826259309868e+00, 5.699448077708681559e+00, 5.643561370069874350e+00, 4.673089663260168614e+00, 7.463621538469726424e+00, 6.888304392614238658e+00, 7.031946068556279350e+00, 5.813078806809405918e+00, 6.693321470103131610e+00, 5.784032139205052658e+00, 3.500288287066857240e+00, 4.624855802571340213e+00, 5.626384027151043021e+00, 4.673161888560347421e+00, 4.959758798716589645e+00, 5.363925795215956249e+00
2.052000000000000000e+03, 5.148297110784944230e+00, 5.977603495645782417e+00, 5.719509066589671065e+00, 4.540997049765383764e+00, 7.079864683671033276e+00, 7.122245929067736903e+00, 6.947096388491871721e+00, 5.817299111236104991e+00, 7.025981062956770273e+00, 5.790809669075863475e+00, 3.596271128111702797e+00, 4.612994020534823214e+00, 6.107379399527027353e+00, 4.537749089610652042e+00, 5.082134522852230774e+00, 5.539356116897049098e+00
2.053000000000000000e+03, 5.111064667972764042e+00, 6.109800386881817147e+00, 5.686158329616280760e+00, 4.515095230132586401e+00, 7.571967383567567822e+00, 7.167838794274679515e+00, 7.148911421795823173e+00, 6.216697024469931776e+00, 7.116225744888682314e+00, 6.138714919582429985e+00, 3.734434512071755030e+00, 4.502692041163578907e+00, 5.667350539824355771e+00, 4.266065534619778887e+00, 4.717750085333047849e+00, 5.508968494106411207e+00
2.054000000000000000e+03, 4.920394764010074695e+00, 6.163442058950402647e+00, 5.471241263597367066e+00, 4.492161422779903823e+00, 7.433013202675867070e+00, 7.111971550876442727e+00, 6.949258358199217334e+00, 5.905356682604202767e+00, 6.820091360420807547e+00, 6.113534186809720161e+00, 3.685565915408657744e+00, 4.347422924826999768e+00, 5.535700924164543402e+00, 4.678218979449519033e+00, 5.488927233215170176e+00, 5.818408785624496815e+00
2.055000000000000000e+03, 5.307692735762059577e+00, 5.812928172617417566e+00, 5.882779975617872026e+00, 4.559272044112343103e+00, 7.689221379750899033e+00, 7.167805142375305749e+00, 7.007669579200120680e+00, 6.267952334910612322e+00, 6.614790232606374332e+00, 5.895386517248695668e+00, 3.716475710484943296e+00, 4.716764565740941606e+00, 5.586192589282758192e+00, 4.765935883350029378e+00, 4.529297436484804429e+00, 5.624674123696227213e+00
2.056000000000000000e+03, 5.123948890783257326e+00, 5.909776977689426225e+00, 5.840464500575675899e+00, 4.533576241129665618e+00, 7.456550561323784798e+00, 7.193139184475920267e+00, 7.102479456460208951e+00, 6.011981391266568941e+00, 6.921648182898916701e+00, 5.876209740507569279e+00, 3.628167980226539413e+00, 4.788777776837370048e+00, 5.612917986441556373e+00, 4.637068735261113517e+00, 5.615317714056091702e+00, 5.531972242236526505e+00
2.057000000000000000e+03, 4.880987995900048837e+00, 6.191496921753003591e+00, 5.641583601562147443e+00, 4.404085012732673832e+00, 7.519218972440655513e+00, 7.218152566286963001e+00, 7.101370431323472232e+00, 6.197662008756616103e+00, 7.083387917220234975e+00, 6.082151362891822899e+00, 3.796921900031206665e+00, 4.588328709983206188e+00, 5.968131269412192630e+00, 4.893251637171958102e+00, 5.030819331856313248e+00, 5.940374353029322485e+00
2.058000000000000000e+03, 5.566530807694586969e+00, 6.014733774016846723e+00, 6.409987661964141381e+00, 4.355827006487889896e+00, 7.165393440721844698e+00, 7.426160337205866213e+00, 6.803072764547789752e+00, 6.132462803619102232e+00, 7.177915943227388240e+00, 6.014415717952098284e+00, 3.785493486455449030e+00, 4.748415235766875853e+00, 5.823921997174999809e+00, 4.926614204675953346e+00, 5.322442904857966894e+00, 5.585179299061944214e+00
2.059000000000000000e+03, 5.322596390142923184e+00, 6.307644465368059450e+00, 6.200166190940885613e+00, 4.496051866414001452e+00, 7.341130247732389869e+00, 7.144130693679327848e+00, 7.114110064450378523e+00, 5.854383467177659561e+00, 7.443576801733438941e+00, 6.138776981755962758e+00, 3.729786520130072613e+00, 4.692892023750123265e+00, 6.086589066952707405e+00, 4.521483714038335933e+00, 5.326056535293217209e+00, 5.127714462966439513e+00
2.060000000000000000e+03, 4.987861498632371493e+00, 5.924222088671046826e+00, 6.012462342641313739e+00, 4.546935042995567500e+00, 7.223575888162368841e+00, 7.329737118902269088e+00, 7.335558624272318085e+00, 6.129346499681974869e+00, 7.286301432226640173e+00, 5.863947526768395591e+00, 3.690989055859495327e+00, 4.766768846557988049e+00, 6.139615943315874347e+00, 4.997225280429233862e+00, 5.209189864582110197e+00, 5.647686376858353619e+00
2.061000000000000000e+03, 5.143106746823201014e+00, 6.115944336938767378e+00, 6.205984433286040769e+00, 4.624838054078288963e+00, 7.547645949041403846e+00, 7.247030439428361781e+00, 7.333637430442107252e+00, 6.129556017853021288e+00, 7.165811001544708070e+00, 5.898765893242005731e+00, 3.740003144687972014e+00, 4.707892371271086951e+00, 5.984193605631467960e+00, 5.125907045056289135e+00, 5.011488088422329845e+00, 5.991757630492615228e+00
2.062000000000000000e+03, 5.534724083500818459e+00, 6.202593328298047659e+00, 5.879312311250299850e+00, 4.631463165584470687e+00, 8.092725503274662557e+00, 7.222034418708791925e+00, 7.151675095113724900e+00, 6.118057208144811021e+00, 7.306886608657325866e+00, 6.300123003832726276e+00, 3.751995289176911719e+00, 4.722158891948063264e+00, 6.237641660405241595e+00, 4.691133189251803337e+00, 5.355892324345022715e+00, 5.914300048428192902e+00
2.063000000000000000e+03, 5.554592846133003192e+00, 6.074009262694922029e+00, 6.125716637682931065e+00, 4.530057913390439950e+00, 7.644440697205461710e+00, 7.257176971355237427e+00, 6.906394821866967071e+00, 6.026451077567422487e+00, 7.334425877921802339e+00, 6.306679250369334966e+00, 3.648601657827062361e+00, 5.084043946533259195e+00, 6.352721774628189877e+00, 5.240667416189030092e+00, 5.528263915952932983e+00, 5.273941773622508045e+00
2.064000000000000000e+03, 5.135659035846513731e+00, 6.236726325061662912e+00, 6.046941361872849363e+00, 4.688717992585416106e+00, 7.239948239681540443e+00, 7.454430049401810088e+00, 7.193914299774156973e+00, 6.141818338413077782e+00, 7.480059524771429658e+00, 6.295202406598244593e+00, 3.787051098901341284e+00, 4.697764994316257159e+00, 6.475113801367724520e+00, 4.702092985151632654e+00, 5.145181979026537178e+00, 5.529192961487647828e+00
