year, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg
2.015000000000000000e+03, 1.261094346418823120e+00, 1.232099689802420794e+00, 1.747376877957055319e+00, 1.172620167820808135e-01, 1.393741833059325197e+00, 1.576550127585041983e+00, 4.888663000989542096e-01, 1.322387831258650497e-02, 8.543692743390181310e-02
2.016000000000000000e+03, 1.260068538028613849e+00, 1.225241760974729699e+00, 1.748947792556940772e+00, 1.065162312888309620e-01, 1.389196080946844658e+00, 1.676710748675060980e+00, 4.868567530836150348e-01, 1.309673288577495667e-02, 8.184805598340641475e-02
2.017000000000000000e+03, 1.259605198444914143e+00, 1.220615349662284688e+00, 1.751422730830015428e+00, 9.577888526314375095e-02, 1.384743896259198692e+00, 1.650282848128727498e+00, 4.865703729125633314e-01, 1.288554674803077914e-02, 7.846310750275450885e-02
2.018000000000000000e+03, 1.258646131338708285e+00, 1.219195367905151040e+00, 1.753509079661207171e+00, 8.320806888771938026e-02, 1.375572603037289454e+00, 1.618183406401149771e+00, 4.868245661892761089e-01, 1.256968239101769608e-02, 7.516292434947306755e-02
2.019000000000000000e+03, 1.257040601939165558e+00, 1.219043259615993913e+00, 1.754345846826895317e+00, 7.011385311685261468e-02, 1.366817119333185060e+00, 1.605040591811964568e+00, 4.869141284122517344e-01, 1.226488710356232921e-02, 7.206400388522041234e-02
2.020000000000000000e+03, 1.255294581846045698e+00, 1.220675096425905437e+00, 1.762072547459382132e+00, 6.560650267660415869e-02, 1.365277241016984000e+00, 1.578601978490429714e+00, 4.873967376278165453e-01, 1.201664314350868630e-02, 6.912831472006508715e-02
2.021000000000000000e+03, 1.253058554067639552e+00, 1.221827899396864314e+00, 1.763034123378895979e+00, 6.031820286573023188e-02, 1.349582252004192684e+00, 1.567100661668115347e+00, 4.876083865758549796e-01, 1.182657895406346443e-02, 6.600089807787457019e-02
2.022000000000000000e+03, 1.250592953378556027e+00, 1.224678082949077318e+00, 1.757369498705383615e+00, 5.540791245645407953e-02, 1.331647406982992221e+00, 1.544044367833026232e+00, 4.859483606908153175e-01, 1.162665993739345552e-02, 6.304690275044093350e-02
2.023000000000000000e+03, 1.247861357444376873e+00, 1.227557447256427681e+00, 1.750373736191771279e+00, 5.082876041534840905e-02, 1.315765076454273208e+00, 1.523105490681925467e+00, 4.856002020211632186e-01, 1.136488190739764342e-02, 6.026689348909697319e-02
2.024000000000000000e+03, 1.244639891679077515e+00, 1.228939674144960525e+00, 1.750008367535806686e+00, 4.673861010568270552e-02, 1.298151431260291533e+00, 1.503865956658654746e+00, 4.844337159406900684e-01, 1.115113380909011319e-02, 5.764256522519004694e-02
2.025000000000000000e+03, 1.241534582975183376e+00, 1.229158118415368151e+00, 1.748899130746720765e+00, 4.296944766086599476e-02, 1.290181704845072774e+00, 1.485850402941165216e+00, 4.836064574663125337e-01, 1.092560578376887935e-02, 5.513420334519064658e-02
2.026000000000000000e+03, 1.238587081809863433e+00, 1.231490586483666050e+00, 1.743931888704022715e+00, 3.965464118631566864e-02, 1.281947410851030034e+00, 1.468690078328542148e+00, 4.835417610528202070e-01, 1.079715608159287701e-02, 5.269096792472581503e-02
2.027000000000000000e+03, 1.235529907321615273e+00, 1.237309137186880070e+00, 1.744570099073488478e+00, 3.695760568174215333e-02, 1.268882659744162034e+00, 1.452400394273443807e+00, 4.830944989274584267e-01, 1.064329637427462866e-02, 5.038948928288532192e-02
2.028000000000000000e+03, 1.232436451863791582e+00, 1.243939545836291405e+00, 1.743807055943992879e+00, 3.457800228534196191e-02, 1.255093035791984057e+00, 1.436677275879004956e+00, 4.827535228667956257e-01, 1.046887526676989512e-02, 4.819400080824681049e-02
2.029000000000000000e+03, 1.229350712891537523e+00, 1.247685334974494742e+00, 1.741625342034590629e+00, 3.261184856500783796e-02, 1.245282957866810536e+00, 1.421748608351784959e+00, 4.821200291587237619e-01, 1.027834703915096563e-02, 4.611883209888412855e-02
2.030000000000000000e+03, 1.225702391435532057e+00, 1.244644867994325166e+00, 1.734869134133854462e+00, 3.158445895612256582e-02, 1.235814724035867229e+00, 1.407311557705281491e+00, 4.813447708065711206e-01, 1.019713508489101736e-02, 4.416445005225662357e-02
2.031000000000000000e+03, 1.221283325846161949e+00, 1.241327375161233926e+00, 1.732113375377654307e+00, 3.010479021200111738e-02, 1.222970428571341639e+00, 1.391403382312415893e+00, 4.798335578818987424e-01, 1.009245263296040286e-02, 4.214055117802702199e-02
2.032000000000000000e+03, 1.216838568365020246e+00, 1.237916494164985393e+00, 1.725967228904394579e+00, 2.852511418754674621e-02, 1.215280787253860462e+00, 1.376240349957928766e+00, 4.782458176804008088e-01, 9.897872087040692629e-03, 4.022087832858217693e-02
2.033000000000000000e+03, 1.212463816644725911e+00, 1.233509811288578506e+00, 1.720218457527680656e+00, 2.688138863249077762e-02, 1.213929558800977748e+00, 1.361547000343242164e+00, 4.765236284090855201e-01, 9.812336522922930279e-03, 3.839428423320290912e-02
2.034000000000000000e+03, 1.208039920199466266e+00, 1.229309972134699835e+00, 1.716880781915278487e+00, 2.527292448953110532e-02, 1.208412136508772994e+00, 1.347979798174223198e+00, 4.745795163750166079e-01, 9.702622155935156437e-03, 3.667159198911583429e-02
2.035000000000000000e+03, 1.203180197532402795e+00, 1.224978140478636846e+00, 1.714476253249583193e+00, 2.364833595604684882e-02, 1.190709597331066849e+00, 1.334517013371801841e+00, 4.723363472374137451e-01, 9.592268155915531502e-03, 3.504471997552247725e-02
2.036000000000000000e+03, 1.198120223880993818e+00, 1.223418089660507135e+00, 1.709333140954388153e+00, 2.172598286452724278e-02, 1.190543552862884047e+00, 1.322309595140829241e+00, 4.700133902183070700e-01, 9.564869910228403216e-03, 3.344420568492921519e-02
2.037000000000000000e+03, 1.193295177293635989e+00, 1.223540108322134223e+00, 1.707078117358458380e+00, 1.989451684793595160e-02, 1.183062905558809552e+00, 1.311151836650035651e+00, 4.675256613099769698e-01, 9.440842110620170646e-03, 3.192382636456693457e-02
2.038000000000000000e+03, 1.188559698445776247e+00, 1.224364293005454352e+00, 1.700150470725803054e+00, 1.805954899149262924e-02, 1.175152716610946335e+00, 1.299479686962616176e+00, 4.654799465006384529e-01, 9.275013674097094471e-03, 3.048269532032625573e-02
2.039000000000000000e+03, 1.183969614251445535e+00, 1.224313535177690149e+00, 1.696975304743063129e+00, 1.630108456987380827e-02, 1.175578057926338404e+00, 1.287499026838785365e+00, 4.629891155440268302e-01, 9.160667351783967349e-03, 2.911410831731885834e-02
2.040000000000000000e+03, 1.179468390292786495e+00, 1.224514887374454464e+00, 1.689961749631233134e+00, 1.429474208018246401e-02, 1.171200303788882957e+00, 1.274874302307006380e+00, 4.613801111925560083e-01, 9.057180062127811321e-03, 2.781300121600817007e-02
2.041000000000000000e+03, 1.174856339576056952e+00, 1.223869481889373612e+00, 1.682300859046350849e+00, 1.256436244248543103e-02, 1.160823881676836367e+00, 1.284551488810814046e+00, 4.593886505336404191e-01, 8.806247447530507130e-03, 2.656808297105633931e-02
2.042000000000000000e+03, 1.170182274665836575e+00, 1.221197426826591270e+00, 1.679305085708346912e+00, 1.093599901432132544e-02, 1.155867036318577235e+00, 1.270631835078675831e+00, 4.572043260994174685e-01, 8.696275229350174107e-03, 2.538124265718008296e-02
2.043000000000000000e+03, 1.165413927134943961e+00, 1.216409695537187918e+00, 1.674966929396877191e+00, 8.645327478575123500e-03, 1.152599153829887424e+00, 1.277603700684363908e+00, 4.556320568357829504e-01, 8.682173410010153927e-03, 2.425014154951162654e-02
2.044000000000000000e+03, 1.160419291818221010e+00, 1.212862911185853321e+00, 1.669850604750056755e+00, 7.706009391290944734e-03, 1.146225681617546011e+00, 1.261956197701632698e+00, 4.538302808606492489e-01, 8.637877899186005570e-03, 2.317227319447274017e-02
2.045000000000000000e+03, 1.155987884455514703e+00, 1.210484001854901237e+00, 1.662919229682293443e+00, 6.817243865639015070e-03, 1.139224416332611289e+00, 1.266992172294301833e+00, 4.523810579862270753e-01, 8.507890395109787493e-03, 2.214817734023573695e-02
2.046000000000000000e+03, 1.152166383541529449e+00, 1.209393470095093681e+00, 1.656082582861826635e+00, 5.969061712375190419e-03, 1.133024549725310415e+00, 1.253954789950695092e+00, 4.501047916805532290e-01, 8.384519976343516451e-03, 2.116723127018561509e-02
2.047000000000000000e+03, 1.148162170199248378e+00, 1.208846898350055099e+00, 1.652865242322487216e+00, 5.149533761391576932e-03, 1.131801749746937036e+00, 1.258088193304102598e+00, 4.473484857549788751e-01, 8.311736274791372073e-03, 2.023343948578403689e-02
2.048000000000000000e+03, 1.143906393178994785e+00, 1.207266854101398446e+00, 1.647239197092333907e+00, 4.186846325140151925e-03, 1.128810654820896264e+00, 1.243183361888976490e+00, 4.449933828066857666e-01, 8.240041387665203790e-03, 1.934495959588275124e-02
2.049000000000000000e+03, 1.139629302161611291e+00, 1.199321583648916389e+00, 1.640934769443819219e+00, 3.268945941139033123e-03, 1.121050679484593582e+00, 1.245819643634890950e+00, 4.424626694240722524e-01, 8.154031023729265901e-03, 1.850133464668510253e-02
2.050000000000000000e+03, 1.135295931079672194e+00, 1.190351030645338426e+00, 1.639079548890356008e+00, 3.065471995338385231e-03, 1.114372134779010981e+00, 1.232857642948107291e+00, 4.388806712394809351e-01, 8.042974535889840793e-03, 1.769808547089461032e-02
2.051000000000000000e+03, 1.128294909247756994e+00, 1.184760941384799038e+00, 1.631670501758276881e+00, 2.935383749012863627e-03, 1.108860932146181311e+00, 1.235906431112716364e+00, 4.361197867875842293e-01, 7.889593161602120874e-03, 1.694313955112310144e-02
2.052000000000000000e+03, 1.119389243291353919e+00, 1.178047331231649952e+00, 1.625921867734644755e+00, 2.799131543769772541e-03, 1.106406097044061454e+00, 1.221699701192779264e+00, 4.339300413233744824e-01, 7.710580579635834854e-03, 1.621873178947937089e-02
2.053000000000000000e+03, 1.111168771875584937e+00, 1.172103948711059163e+00, 1.621166036657573306e+00, 2.666209769643485342e-03, 1.105437228827056639e+00, 1.224984062929822093e+00, 4.307117239148860466e-01, 7.551955681640875641e-03, 1.552676165383828216e-02
2.054000000000000000e+03, 1.103510956235365770e+00, 1.169328561892459373e+00, 1.614102380844402163e+00, 2.505962041859878444e-03, 1.105719816023673641e+00, 1.211499287638998501e+00, 4.265585186217873970e-01, 7.489115013215578986e-03, 1.486744751902718299e-02
2.055000000000000000e+03, 1.096312033503230365e+00, 1.167821852340118705e+00, 1.605322667400655767e+00, 2.357823788499549718e-03, 1.097893592335251745e+00, 1.218277510472046909e+00, 4.233754661042358758e-01, 7.439398318351966161e-03, 1.423911908533243183e-02
2.056000000000000000e+03, 1.089610710884916678e+00, 1.167548592822722053e+00, 1.594988010645923326e+00, 2.214516129647445264e-03, 1.097333131939173700e+00, 1.209253372262308002e+00, 4.205353466079775338e-01, 7.322337857624341279e-03, 1.364995440872393898e-02
2.057000000000000000e+03, 1.083416040215983589e+00, 1.167330043101816317e+00, 1.591296736180511928e+00, 2.057916427360104248e-03, 1.109029813628756633e+00, 1.211125675115451328e+00, 4.173653615908602954e-01, 7.244894470454720306e-03, 1.308945487724520740e-02
2.058000000000000000e+03, 1.076825822864403204e+00, 1.167918794191668885e+00, 1.587628850906479983e+00, 1.921644028492455487e-03, 1.108611308508828497e+00, 1.198698012225115628e+00, 4.145959216404057623e-01, 7.134838259246823779e-03, 1.255359390195365417e-02
2.059000000000000000e+03, 1.069755749060353311e+00, 1.164701300118234029e+00, 1.583597618973125565e+00, 1.793965643834054009e-03, 1.102941784512353696e+00, 1.200201402590355348e+00, 4.117948306016276927e-01, 7.020726292422751515e-03, 1.204244796414660930e-02
2.060000000000000000e+03, 1.062952516014188165e+00, 1.159346036839183247e+00, 1.578247037658467189e+00, 1.698269983983579810e-03, 1.101634735507759810e+00, 1.188572323326546165e+00, 4.084878099067839052e-01, 6.920069195681615923e-03, 1.155393834521743768e-02
2.061000000000000000e+03, 1.056914644703688788e+00, 1.155087254233669425e+00, 1.571099857947980682e+00, 1.597589652101256844e-03, 1.102884742502510562e+00, 1.188537181223117134e+00, 4.054832282610505434e-01, 6.822590506137399258e-03, 1.109118225653727384e-02
2.062000000000000000e+03, 1.051275880699273024e+00, 1.152886509313129526e+00, 1.562612554110949903e+00, 1.487384236212765292e-03, 1.105257670954425508e+00, 1.173669040321600132e+00, 4.028349250257448610e-01, 6.771709995462135354e-03, 1.064719326456956341e-02
2.063000000000000000e+03, 1.045357036641559656e+00, 1.150686106665710806e+00, 1.554512720927826663e+00, 1.390297095853029481e-03, 1.108398162278388499e+00, 1.173658647837040103e+00, 3.994486426589329287e-01, 6.733404016917240303e-03, 1.022184298247794457e-02
2.064000000000000000e+03, 1.039444052169090638e+00, 1.147863618486472781e+00, 1.547513383905694928e+00, 1.325791191119319147e-03, 1.115100986206594147e+00, 1.158834091720252646e+00, 3.965740543084190772e-01, 6.613745151348416305e-03, 9.815987378275173314e-03
2.065000000000000000e+03, 1.033524625929207019e+00, 1.145287467350666777e+00, 1.538849759028164899e+00, 1.250127290980287357e-03, 1.112329282848619094e+00, 1.159318808388674515e+00, 3.939624047507145344e-01, 6.546666905039245400e-03, 9.427251068371434589e-03
2.066000000000000000e+03, 1.027655231300847349e+00, 1.145895621818908472e+00, 1.531172107783089320e+00, 1.188889517810135530e-03, 1.100622197878167396e+00, 1.151766990740448637e+00, 3.913207784464993177e-01, 6.517053675287614103e-03, 9.056455900813388873e-03
2.067000000000000000e+03, 1.021875270751899434e+00, 1.147571675644307732e+00, 1.525982245412739413e+00, 1.110701473118783479e-03, 1.106106429649478029e+00, 1.151086428579046528e+00, 3.886538114611887140e-01, 6.479412653573104856e-03, 8.702079931404638896e-03
2.068000000000000000e+03, 1.016491723827986693e+00, 1.147332286349248998e+00, 1.519221462215762264e+00, 1.051964107783292558e-03, 1.113322371511616282e+00, 1.137041002304335580e+00, 3.857941597750672025e-01, 6.433621436919463761e-03, 8.362524651323416727e-03
2.069000000000000000e+03, 1.011542981092450999e+00, 1.142877076354872123e+00, 1.514462537419043020e+00, 1.002708803780074992e-03, 1.112383453658800869e+00, 1.136846442800096391e+00, 3.830460744643328641e-01, 6.358840764534323155e-03, 8.043280366329787559e-03
2.070000000000000000e+03, 1.005997626443676962e+00, 1.139057920010076552e+00, 1.507862252875116216e+00, 9.702734025733039148e-04, 1.114647734520898270e+00, 1.124250877953276273e+00, 3.806129548598750634e-01, 6.314698011239328578e-03, 7.739156806831853572e-03
2.071000000000000000e+03, 9.999470365975499098e-01, 1.138160380420978113e+00, 1.500695624661103400e+00, 1.002122922723262637e-03, 1.136768567971929711e+00, 1.153776313324294645e+00, 3.784596035390485058e-01, 6.253797399688483007e-03, 7.490156031371726815e-03
2.072000000000000000e+03, 9.940370339932088628e-01, 1.136746174567108802e+00, 1.493880066355143255e+00, 1.027218179808805964e-03, 1.147271795689406737e+00, 1.135332983460090261e+00, 3.761321129012566988e-01, 6.179692462255591094e-03, 7.260689556247578239e-03
2.073000000000000000e+03, 9.883244126103510885e-01, 1.133525746325840577e+00, 1.487006352304346191e+00, 1.047819143552252948e-03, 1.155713178990369849e+00, 1.170522325635988237e+00, 3.732555430094949833e-01, 6.126342501199136779e-03, 7.039878592781893298e-03
2.074000000000000000e+03, 9.826497790858412795e-01, 1.134293781375865562e+00, 1.481133136529172889e+00, 1.071703834596682368e-03, 1.171728185298423819e+00, 1.149830831424139888e+00, 3.710883490942895602e-01, 6.090711373879481583e-03, 6.819946402919996320e-03
