year, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg
2.075000000000000000e+03, 9.771149038129562925e-01, 1.136009591580789069e+00, 1.474819025398286687e+00, 1.100834599945858371e-03, 1.180213997239508261e+00, 1.145779409443588248e+00, 3.691679610998898631e-01, 6.043451820803668120e-03, 6.607641413077413456e-03
2.076000000000000000e+03, 9.717391468471729965e-01, 1.136896394323559045e+00, 1.465779594733692681e+00, 1.334790910517005954e-03, 1.201223985426030483e+00, 1.158186447956926601e+00, 3.672777231527340480e-01, 5.974395155037902187e-03, 6.436898988955295185e-03
2.077000000000000000e+03, 9.662961327468149175e-01, 1.135556020512489273e+00, 1.457386476453844448e+00, 1.545378402357574371e-03, 1.213611267775967395e+00, 1.140774734322370199e+00, 3.654028939849188751e-01, 5.922054809719526185e-03, 6.276524162380801852e-03
2.078000000000000000e+03, 9.608811887470734003e-01, 1.130571353399293599e+00, 1.449747635688626524e+00, 1.754780200255511881e-03, 1.222007460573822701e+00, 1.139537033993135218e+00, 3.631555132715519885e-01, 5.822660379077779919e-03, 6.127949623565544408e-03
2.079000000000000000e+03, 9.555660303311814818e-01, 1.125890088765152175e+00, 1.442962356051605166e+00, 1.945767719151009949e-03, 1.230170157006116760e+00, 1.134777329910833910e+00, 3.607297426844199295e-01, 5.786124895753056059e-03, 5.984052442303678179e-03
2.080000000000000000e+03, 9.502221109311510538e-01, 1.123703079571070074e+00, 1.435431868301737302e+00, 2.123167919209493701e-03, 1.249388050361289304e+00, 1.132715094943466783e+00, 3.585614884713770878e-01, 5.762733366905491150e-03, 5.852266453102179973e-03
2.081000000000000000e+03, 9.455738646114523194e-01, 1.127278858509868531e+00, 1.428823755477911295e+00, 2.338345168667366886e-03, 1.252747858925063351e+00, 1.117672190092310780e+00, 3.557746899429448662e-01, 5.654713862611342179e-03, 5.730702551654413834e-03
2.082000000000000000e+03, 9.436206617584499412e-01, 1.128605157171657103e+00, 1.422485588866008177e+00, 2.549529261441955356e-03, 1.255690389351070024e+00, 1.143152364578391644e+00, 3.528616043018700243e-01, 5.580137523678108460e-03, 5.621017214882135377e-03
2.083000000000000000e+03, 9.432543280087394288e-01, 1.129111568526902643e+00, 1.415634028668680822e+00, 2.732910806892772070e-03, 1.248578048213613290e+00, 1.125412151691200346e+00, 3.502943326158624582e-01, 5.537714459988032044e-03, 5.518133519142496071e-03
2.084000000000000000e+03, 9.420702684198629662e-01, 1.132791383505359128e+00, 1.409103701478337856e+00, 2.882670336989429354e-03, 1.248565049061888255e+00, 1.132640036667230010e+00, 3.481049800028431229e-01, 5.477475295988418549e-03, 5.420848193936233204e-03
2.085000000000000000e+03, 9.401861063258085682e-01, 1.136778457991034053e+00, 1.402946811973140084e+00, 3.007277013035609091e-03, 1.247184445228201488e+00, 1.119874720499086651e+00, 3.458092436598314001e-01, 5.463576401194442621e-03, 5.334416675001537982e-03
2.086000000000000000e+03, 9.378186725575820004e-01, 1.140363011739135901e+00, 1.395081712978057054e+00, 3.297741036155892817e-03, 1.257450068236519281e+00, 1.125314613819157650e+00, 3.436931608573902674e-01, 5.431268265539198649e-03, 5.313692993540327335e-03
2.087000000000000000e+03, 9.349852895369082928e-01, 1.143376301383962623e+00, 1.393497370717068362e+00, 3.579475438571439946e-03, 1.249984749804419426e+00, 1.110258005174634244e+00, 3.418676652578594988e-01, 5.420653110246679944e-03, 5.301323993717462629e-03
2.088000000000000000e+03, 9.318161634058215181e-01, 1.143416862944637291e+00, 1.391613068537940645e+00, 3.843569064761772139e-03, 1.257662341088904068e+00, 1.108811303374720447e+00, 3.400406943692111383e-01, 5.389724776521199155e-03, 5.292187828855750807e-03
2.089000000000000000e+03, 9.284170207552839837e-01, 1.142172000842943014e+00, 1.387387072286569545e+00, 4.087135902861071916e-03, 1.261157790782339472e+00, 1.096058414798492642e+00, 3.380006168023821922e-01, 5.362741479659730200e-03, 5.295468432914749411e-03
2.090000000000000000e+03, 9.255989743443752138e-01, 1.147727777397987037e+00, 1.381875021678354187e+00, 4.303696885740742988e-03, 1.257519606388965316e+00, 1.099582160115788465e+00, 3.359747120729186243e-01, 5.363264364144242936e-03, 5.314010772896591434e-03
2.091000000000000000e+03, 9.232484363598703059e-01, 1.150692751766794641e+00, 1.373477312111260451e+00, 5.702127394846510933e-03, 1.238240666707397297e+00, 1.096984886667959236e+00, 3.357033843120750816e-01, 5.406506997853917709e-03, 5.601262832511944012e-03
2.092000000000000000e+03, 9.206102059648343383e-01, 1.152489236135398221e+00, 1.367330828528634301e+00, 6.994026878282670959e-03, 1.241211017576576037e+00, 1.098434538903827917e+00, 3.349775202847825595e-01, 5.413946777295616103e-03, 5.887599029165001448e-03
2.093000000000000000e+03, 9.177692415223196454e-01, 1.153308836305068752e+00, 1.361150091731740064e+00, 8.168020970517126528e-03, 1.227078755078913730e+00, 1.089483343228497603e+00, 3.333390091819586898e-01, 5.387782042285912433e-03, 6.195961797720515342e-03
2.094000000000000000e+03, 9.147530202083188344e-01, 1.155673174366044442e+00, 1.354320558807335484e+00, 9.236008314101287059e-03, 1.231431289824117314e+00, 1.091325867034242503e+00, 3.316212322185015937e-01, 5.375707116698702319e-03, 6.550638086135036724e-03
2.095000000000000000e+03, 9.126743594507220614e-01, 1.159950917478629995e+00, 1.350754779863622579e+00, 1.018938051965691087e-02, 1.224377384441503791e+00, 1.082899758161341763e+00, 3.300917039063971936e-01, 5.391705062143174396e-03, 6.899306331048299032e-03
2.096000000000000000e+03, 9.113044556315785805e-01, 1.165095089203925127e+00, 1.344748992927442099e+00, 1.312502793707324804e-02, 1.201012544404801652e+00, 1.112109116971767619e+00, 3.287284816408344024e-01, 5.493054138136483841e-03, 7.551887552908399803e-03
2.097000000000000000e+03, 9.095612147487219801e-01, 1.169201777023991751e+00, 1.339291542362787135e+00, 1.579406866243545163e-02, 1.188139020735802909e+00, 1.103182720150929441e+00, 3.271707097360212479e-01, 5.545974876598203269e-03, 8.230618110994257497e-03
2.098000000000000000e+03, 9.075578339924420535e-01, 1.170923430287744926e+00, 1.336252971111608456e+00, 1.819958630103375719e-02, 1.182171048748383191e+00, 1.096589651650385244e+00, 3.256403295901759143e-01, 5.566901773605964845e-03, 8.947264027743527873e-03
2.099000000000000000e+03, 9.053529461976416171e-01, 1.170626023959382866e+00, 1.334915778656153629e+00, 2.032206344980128782e-02, 1.169504771767025275e+00, 1.090730298659932318e+00, 3.238562316736767754e-01, 5.591334248391800071e-03, 9.661307058024738714e-03
2.100000000000000000e+03, 8.760612066485253813e-01, 1.170400620174697703e+00, 1.332500289107211966e+00, 2.199406673874888113e-02, 1.158024225521648409e+00, 1.102030545044693000e+00, 3.219988442626189329e-01, 5.563328633834218814e-03, 1.035335706248052129e-02
