year, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2
2.029000000000000000e+03, 1.381929983760818291e-10, 1.628289194700751284e-09, 4.656746554518938981e-10, 3.485869530000857816e-11, 1.160872942396968421e-09, 1.045119195673805649e-09, -1.602796824058543050e-09
2.030000000000000000e+03, 1.198727959846266691e-09, 1.529779810828197472e-09, 1.401704713641784160e-09, 1.216383488868922461e-09, 2.181623203844929406e-09, 8.599562754360771570e-10, -5.339961051575536452e-10
2.031000000000000000e+03, 1.208887667117273199e-09, 1.124945362449161168e-09, 5.561879874262934501e-10, 5.768821904820625726e-10, 1.743862457523045098e-09, 4.354575854694833233e-10, 3.857281049317355567e-11
2.032000000000000000e+03, 8.744826926326577606e-10, 1.377164689657176892e-09, 4.820049434419182372e-11, 1.176800382385813204e-09, 1.299225702199273841e-09, 5.624807597384526038e-10, -1.214030141276917882e-09
2.033000000000000000e+03, 6.977122377813967658e-10, 1.504581780000640918e-09, 7.009315162179873715e-10, 1.234865300700267168e-09, 9.270227658290289294e-10, 1.297504196080274192e-09, -2.584625970854056160e-09
2.034000000000000000e+03, 1.033071655182141925e-09, 1.610833309555752488e-09, 1.332597460571692218e-09, 5.004065089821361573e-10, 2.246947180837302234e-09, 5.420581318080532763e-10, -7.786745966928126715e-10
2.035000000000000000e+03, 3.068251460230754355e-10, 1.358283364776725532e-09, 1.335914168977294112e-09, 3.687532150560086005e-10, 1.840085001203694471e-09, 7.817022261720554591e-10, 4.486401958244418731e-10
2.036000000000000000e+03, 1.826888497209335828e-09, 1.118800326365998623e-09, 9.789662838958097071e-10, 1.488247524732432861e-09, 2.030421922899960787e-09, 8.403699014453561902e-10, -3.178731874013581351e-10
2.037000000000000000e+03, 1.097088505168245892e-09, 1.775178699739753123e-09, 3.584062486393739707e-10, 1.135969122852691126e-09, 2.052369668241932241e-09, 7.588589757384244302e-10, -2.511313623992182584e-09
2.038000000000000000e+03, 8.575548200278149479e-10, 1.512046772750959577e-09, 6.294861049921848843e-10, 1.235322328488088653e-09, 2.279931591279644949e-09, 5.866646251890073005e-10, -1.915750257701153457e-09
2.039000000000000000e+03, 6.123963626324900908e-10, 1.329218722762708357e-09, 8.873586500679468988e-10, 1.584622371094908231e-09, 2.040312809827105050e-09, 8.799294559309775439e-10, -6.037797192293882545e-10
2.040000000000000000e+03, 1.187610846430445023e-09, 1.017654556876911295e-09, 1.776680625492558451e-09, 9.229130047987347738e-10, 1.691926696465268388e-09, 9.586361118780806498e-10, -7.643395712118376059e-10
2.041000000000000000e+03, 1.890127716126323266e-09, 1.928189932462971670e-09, 7.399406082828192245e-10, 9.393225922673502189e-10, 1.674959368704548162e-09, 1.326283671455431428e-09, -3.506598321283885776e-10
2.042000000000000000e+03, 1.306443631422927803e-09, 1.510564182776261339e-09, 8.062887039166470679e-10, 9.798679530917273500e-10, 1.263723160232884709e-09, 1.246099009461637980e-09, -1.848170975561257906e-09
2.043000000000000000e+03, 1.720553117542009505e-09, 2.081006536882512946e-09, 8.031474953614715898e-10, 8.641970013477360725e-10, 1.335997621824670149e-09, 1.124946190187192537e-09, -6.933236954557651020e-10
2.044000000000000000e+03, -2.652967205370156034e-10, 1.670603452965794114e-09, 1.608645325143120425e-09, 7.265789890300310938e-10, 2.008885639660915603e-09, 1.105386154037691555e-09, -1.811190700447855688e-09
2.045000000000000000e+03, 4.958851447969978981e-10, 1.087566056800660423e-09, 7.567843482765722829e-10, 8.218290684120271923e-10, 2.067618105406958878e-09, 1.655707814344400790e-09, -1.456250027098753896e-09
2.046000000000000000e+03, 1.158139886943053565e-09, 1.226764492493432926e-09, 7.903574010823658799e-10, 1.907515192153348802e-10, 1.715306030265162506e-09, 5.299453313933901831e-10, -5.925395319826596751e-10
2.047000000000000000e+03, 1.713674201726309428e-09, 1.464281805985577956e-09, 1.293867818475080141e-09, 1.414709061463349214e-09, 2.082636121158966313e-09, 1.502563722472367843e-09, -1.339770598874996318e-09
2.048000000000000000e+03, 9.477643679832144181e-10, 1.609892549925895470e-09, 1.843872522197171846e-09, 1.433644464751357532e-09, 1.999012294590115147e-09, 1.453644577747222291e-09, -1.859422395923741536e-09
2.049000000000000000e+03, 2.083864841419485700e-09, 1.439366326089027562e-09, 8.551117247701262895e-10, 1.491040677119694223e-09, 8.900810362901350420e-10, 1.067129515590023615e-09, -1.441526046199557002e-09
2.050000000000000000e+03, 1.436599230635753922e-09, 1.231521288005274075e-09, 1.467827339787002674e-09, 8.885959311318834247e-10, 1.724609568977596750e-09, 1.146235342897640246e-09, -6.594572942455027776e-10
2.051000000000000000e+03, 1.348585232412088282e-09, 1.951216938198931082e-09, 4.670219577467150857e-10, 1.524402292970582074e-09, 1.558845299246356778e-09, 1.183979931598239066e-09, -1.705986863756044656e-09
2.052000000000000000e+03, 2.222785768634534819e-09, 1.714658456288422101e-09, 7.592594607255691213e-10, 1.072577455051237188e-09, 1.626785416521065485e-09, 2.392797041110241711e-09, -2.457528969667162430e-09
