year, NorESM2-MM, GFDL-ESM4, TaiESM1, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 8.272029901300669953e-10, 2.904759979422216328e-10, 2.109812761234600842e-10, 1.539812208347531935e-10, 1.621103557597018559e-10
2.016000000000000000e+03, 4.005754824533843539e-10, 5.277624088798195327e-10, 1.361512242491518397e-10, 1.085215123132986613e-10, 2.641937821717038961e-10
2.017000000000000000e+03, 2.215512055346587009e-10, 2.937817345354809772e-10, 6.832289446818720563e-11, 1.848118361008680901e-10, 2.499891331060572898e-10
2.018000000000000000e+03, 1.823454395172628748e-10, 3.274108123178603195e-10, 1.176797009945019660e-10, 2.487530408067679059e-10, 2.069223193537677729e-10
2.019000000000000000e+03, 2.630806516081332913e-10, 3.047564581457479317e-10, 1.166227628785744411e-10, 1.285902082225597512e-10, 2.725127614459849305e-10
2.020000000000000000e+03, 2.139316484288021832e-10, 2.272558665103860029e-10, 1.141724440386131469e-10, 1.410763322384699874e-10, 3.245741826789569236e-10
2.021000000000000000e+03, 1.852130334265542288e-10, 3.286038791562702421e-10, 7.718537267345316483e-11, 3.749959024026577416e-10, 2.260053407440582942e-10
2.022000000000000000e+03, 5.170544090118547839e-10, 3.454238778158715705e-10, 1.410995555043046879e-10, 1.680958580422389116e-10, 2.230799618625025595e-10
2.023000000000000000e+03, 4.001748868784777166e-10, 3.212927217679963534e-10, 1.555879254028029019e-10, 1.704034989776702445e-10, 2.578226617250458299e-10
2.024000000000000000e+03, 4.077671144630790286e-10, 6.307982328035672905e-10, 1.763576878327896353e-10, 1.121906795418398395e-10, 2.526174191398997052e-10
2.025000000000000000e+03, 2.627332511243754744e-10, 3.346973530263000609e-10, 1.683728987627641955e-10, 1.264907368652275401e-10, 2.700739710500921732e-10
2.026000000000000000e+03, 2.762813339023986936e-10, 4.106494189813761633e-10, 1.844952320788652834e-10, 2.124664938484360029e-10, 2.457800951595236552e-10
2.027000000000000000e+03, 3.283740477013861283e-10, 3.033519865327669095e-10, 1.680519532040731994e-10, 2.416786622775582856e-10, 3.227199590563384253e-10
2.028000000000000000e+03, 2.210686939309143675e-10, 4.262206909965971543e-10, 2.244014501039374335e-10, 2.182803539856633109e-10, 2.624571098125263285e-10
2.029000000000000000e+03, 4.752068098551430066e-10, 3.134348431306495664e-10, 1.514242632759295817e-10, 1.692635000001602112e-10, 3.933159662392506213e-10
2.030000000000000000e+03, 3.352496397292953263e-10, 4.254806915031279340e-10, 1.943292638623211679e-10, 1.996291824776157846e-10, 3.211450074343104476e-10
2.031000000000000000e+03, 2.624724530304652818e-10, 2.798889428930035864e-10, 9.825472946413924196e-11, 6.736016263797191995e-10, 3.111607833492580735e-10
2.032000000000000000e+03, 3.661745394541899370e-10, 3.566523474677663407e-10, 1.143682724573169856e-10, 2.464946128500042251e-10, 3.676606551144072699e-10
2.033000000000000000e+03, 2.323827375553711051e-10, 2.104491086948841983e-10, 1.416399740032051304e-10, 1.698693896349515737e-10, 3.376253659744536918e-10
2.034000000000000000e+03, 3.259656030626955742e-10, 2.941612959036399408e-10, 1.463694194989273651e-10, 1.384147754659965541e-10, 3.328806175220103482e-10
2.035000000000000000e+03, 2.795845549011385832e-10, 6.151643921921044002e-10, 1.146187464045855412e-10, 1.026294470915304519e-10, 3.020679233125814658e-10
2.036000000000000000e+03, 2.549380503464703375e-10, 5.672339134520853201e-10, 1.516323122142676840e-10, 1.712895888985168546e-10, 5.372685520753555212e-10
2.037000000000000000e+03, 3.085917657839685118e-10, 2.997681809345776061e-10, 1.162189424786914209e-10, 2.270694702732318331e-10, 3.026615805596376505e-10
2.038000000000000000e+03, 4.266982918919181062e-10, 4.557399332132551766e-10, 2.048562285115770338e-10, 1.433237640627947480e-10, 2.937823272965722685e-10
2.039000000000000000e+03, 5.946971354740891388e-10, 3.170504456962094597e-10, 1.499543893949980296e-10, 3.394612956509173302e-10, 4.838706087091604932e-10
2.040000000000000000e+03, 5.630688398411978690e-10, 4.349746552357826673e-10, 1.157808437781768451e-10, 2.240294387017759212e-10, 5.078555635682246349e-10
2.041000000000000000e+03, 3.775246401911625725e-10, 4.164077999396151784e-10, 1.344632318020997509e-10, 3.650837272113465922e-10, 3.610723532470732991e-10
2.042000000000000000e+03, 2.461528403506818853e-10, 3.951260519255843818e-10, 1.500447613491723833e-10, 2.057675991413789646e-10, 2.869486492299232432e-10
2.043000000000000000e+03, 3.451212268687309446e-10, 4.410622414760591101e-10, 1.317847970655979359e-10, 2.500277248869047260e-10, 3.073892301140008357e-10
2.044000000000000000e+03, 4.241830375422853321e-10, 5.235891370162590727e-10, 2.122544972775773813e-10, 1.710977241054420960e-10, 5.004443609727345855e-10
2.045000000000000000e+03, 3.013925198939041989e-10, 4.105954484348593608e-10, 1.197468389397436059e-10, 4.149886496877132779e-10, 6.670964609507334277e-10
2.046000000000000000e+03, 3.067696573168951868e-10, 3.700194044612607482e-10, 1.485196338145389238e-10, 1.808097716941381211e-10, 4.651853015844110837e-10
2.047000000000000000e+03, 2.166822158734872050e-10, 5.290714865795867983e-10, 1.525264179644429199e-10, 5.407783482962947209e-10, 4.826216435547146938e-10
2.048000000000000000e+03, 2.177126091556719443e-10, 6.685682490746950445e-10, 1.310627263009450518e-10, 7.038107095505738838e-10, 4.406332083199330383e-10
2.049000000000000000e+03, 2.909335256406162128e-10, 5.701143877625997161e-10, 7.631363549716054844e-11, 3.872296085933814730e-10, 6.041011459661663378e-10
2.050000000000000000e+03, 3.981359808865923048e-10, 4.321908344153286643e-10, 1.901759006839208350e-10, 3.725502236849757040e-10, 4.784195824527303911e-10
2.051000000000000000e+03, 4.005836078542716008e-10, 5.203376081103734996e-10, 1.752616657397091538e-10, 3.558200958255349646e-10, 2.952884930425463948e-10
2.052000000000000000e+03, 3.816606884914352268e-10, 3.812075876346668401e-10, 1.648443228570417261e-10, 1.881495146180609866e-10, 3.740797539705283456e-10
2.053000000000000000e+03, 7.542925667029363091e-10, 5.549975466086140733e-10, 1.539442149690710421e-10, 2.492427037374080706e-10, 4.786858992506461894e-10
2.054000000000000000e+03, 8.820971325827916596e-10, 3.984485066403450770e-10, 2.856745143586151741e-10, 2.627798233416946148e-10, 6.131287634864938922e-10
2.055000000000000000e+03, 4.022548906592034937e-10, 4.673648607285403228e-10, 1.129198952825179227e-10, 2.780682472976978355e-10, 4.658154224697220660e-10
2.056000000000000000e+03, 5.802496228088103669e-10, 5.552961541729344380e-10, 1.909008318921693267e-10, 2.611967544530249146e-10, 3.377192106627483715e-10
2.057000000000000000e+03, 3.778811936073797005e-10, 3.895162992579922875e-10, 1.438370571039535632e-10, 1.918965495664938372e-10, 4.913239773652631364e-10
2.058000000000000000e+03, 1.510668002137498188e-10, 5.164728517760028437e-10, 1.436948516334671519e-10, 2.572994553288361220e-10, 4.462619015861835549e-10
2.059000000000000000e+03, 3.094056722618314118e-10, 1.050423178555611623e-09, 1.107244017370111476e-10, 1.928135742603863879e-10, 5.240961431691955369e-10
2.060000000000000000e+03, 5.997921534699147398e-10, 5.762670721243324650e-10, 1.999086929076419753e-10, 4.922454656589403404e-10, 3.696568741805645690e-10
2.061000000000000000e+03, 3.586349335177960942e-10, 4.578007696182708592e-10, 1.780823866809850615e-10, 5.567959565137368538e-10, 6.604197777414266946e-10
2.062000000000000000e+03, 3.332170526031505747e-10, 1.031992205710256844e-09, 1.165066799447163819e-10, 3.304369877626173020e-10, 5.963799480115831737e-10
2.063000000000000000e+03, 3.851674806670906284e-10, 5.336019901247025143e-10, 1.558313166927537368e-10, 1.608431758000356092e-10, 3.352571810143906506e-10
2.064000000000000000e+03, 4.531978813046889875e-10, 6.518135619629726788e-10, 1.871298461591457299e-10, 3.476649150340260664e-10, 6.271156444829332651e-10
2.065000000000000000e+03, 3.388037023987039895e-10, 7.327608875556821121e-10, 1.516547875533834341e-10, 2.098771425624516886e-10, 3.851917346854598318e-10
2.066000000000000000e+03, 3.833697602940580617e-10, 5.984763757994804717e-10, 1.694134377308135282e-10, 2.042930285412766097e-10, 4.376331967546674028e-10
2.067000000000000000e+03, 4.417962141062598420e-10, 9.069268451690247395e-10, 2.185318769669872847e-10, 4.984587725431883559e-10, 5.291409822836581256e-10
2.068000000000000000e+03, 5.824083272282878181e-10, 5.558028242482614178e-10, 1.460443341861538705e-10, 4.660484950754315043e-10, 5.162430906232556526e-10
2.069000000000000000e+03, 7.010858496286141299e-10, 3.757254926039678499e-10, 2.592676493254905628e-10, 3.360931695203549086e-10, 5.525318369734607869e-10
2.070000000000000000e+03, 3.787192000022858252e-10, 1.121595640381399694e-09, 1.543263797937602496e-10, 4.268263840760445177e-10, 4.491182421720402830e-10
2.071000000000000000e+03, 8.225303612388765749e-10, 8.677333266161377116e-10, 1.726498774145594709e-10, 4.529575000041356285e-10, 7.011514613058945315e-10
2.072000000000000000e+03, 4.824194031339270788e-10, 8.857239486442314708e-10, 2.317244364266996753e-10, 2.022441014337862827e-10, 7.449821596587750229e-10
2.073000000000000000e+03, 4.669224546814264350e-10, 5.155601668947386052e-10, 1.421078596974674215e-10, 2.785595558849931966e-10, 6.561679627987507450e-10
2.074000000000000000e+03, 4.352249617819611155e-10, 6.628978961921104550e-10, 1.683891726679790923e-10, 1.157174397756211561e-10, 7.019508223746040040e-10
2.075000000000000000e+03, 5.603026235657862030e-10, 6.650514636481970469e-10, 1.737146898545795481e-10, 4.325201529552285915e-10, 7.233532331304847823e-10
2.076000000000000000e+03, 3.354163200605596620e-10, 4.798244451771318917e-10, 1.851367787290855815e-10, 5.460596579208087482e-10, 6.239689269983477318e-10
2.077000000000000000e+03, 3.153949166248656281e-10, 7.719273592647684401e-10, 2.406279267386728350e-10, 5.107470513889357270e-10, 8.288854117749321503e-10
2.078000000000000000e+03, 3.043594926578602183e-10, 1.069563722944845288e-09, 1.845448774857457697e-10, 5.639177484155280496e-10, 5.796056380752181743e-10
2.079000000000000000e+03, 5.508126351385380038e-10, 5.567429312151874694e-10, 2.142541058613644924e-10, 3.753869735930156681e-10, 4.697109026659191572e-10
2.080000000000000000e+03, 5.831310879890571645e-10, 6.561474161884880549e-10, 1.950560922296342196e-10, 4.923675575321359188e-10, 5.498899892752316962e-10
2.081000000000000000e+03, 3.443842834133635826e-10, 1.528139617246385246e-09, 1.773233363580947344e-10, 3.663246074695593740e-10, 4.790938632236461766e-10
2.082000000000000000e+03, 4.714012358094376571e-10, 1.046137607411111596e-09, 2.162736750959864536e-10, 5.051770448438422340e-10, 8.552116763743592469e-10
2.083000000000000000e+03, 6.753043295857703757e-10, 8.079775535293901255e-10, 2.061303595733438244e-10, 2.175360782399755423e-10, 7.124134155898785592e-10
2.084000000000000000e+03, 6.533643838333523200e-10, 1.110016265423596987e-09, 9.829444541838485615e-11, 2.010457365651179689e-10, 6.342765656052664659e-10
2.085000000000000000e+03, 8.141752948238480673e-10, 5.567465986027222879e-10, 2.419003717906592448e-10, 1.953101735825853848e-10, 6.358602898952387787e-10
2.086000000000000000e+03, 4.691577690887223681e-10, 9.336840569020714154e-10, 4.088933890084810127e-10, 2.309831324143675833e-10, 6.820655375167489880e-10
2.087000000000000000e+03, 3.094869786399275328e-10, 8.623849366591371957e-10, 2.067972170655852527e-10, 5.203470640176026909e-10, 5.911216400417970097e-10
2.088000000000000000e+03, 5.339176106466619435e-10, 6.720583389991815641e-10, 2.154076040295528068e-10, 4.130295824884817900e-10, 8.057942160993225433e-10
2.089000000000000000e+03, 4.261776782204919580e-10, 9.603880807440571890e-10, 2.242039460194952788e-10, 3.520373045671554576e-10, 7.758975876065217704e-10
2.090000000000000000e+03, 7.205923912568252405e-10, 7.769825187507864581e-10, 2.577180655628678471e-10, 5.082752892425164206e-10, 6.852359126627696472e-10
2.091000000000000000e+03, 4.394692256506454264e-10, 1.468754932127616648e-09, 3.014375920204587624e-10, 2.841318647822343795e-10, 6.461519685949598772e-10
2.092000000000000000e+03, 4.828671403086336872e-10, 9.068599212208528901e-10, 1.942513541139024805e-10, 3.853763970744265828e-10, 7.224148967291965441e-10
2.093000000000000000e+03, 5.565886181304173321e-10, 1.564941708803759670e-09, 1.788177154132490315e-10, 2.344436828172865627e-10, 6.001592849384334052e-10
2.094000000000000000e+03, 8.469934822972298476e-10, 1.335615062912521654e-09, 2.496842897715991919e-10, 3.075451445490793647e-10, 7.225371001940718485e-10
2.095000000000000000e+03, 5.326023710245607049e-10, 9.457716897158758811e-10, 3.443512481825741692e-10, 4.799712811883066396e-10, 4.645313779874658401e-10
2.096000000000000000e+03, 4.930033530594218833e-10, 1.082288976718088953e-09, 2.799316255419920381e-10, 6.031957045523281375e-10, 6.955435669120498216e-10
2.097000000000000000e+03, 3.178949769635555572e-10, 9.464314140891542089e-10, 2.765828970005153867e-10, 3.392912022210075972e-10, 8.982990674652601952e-10
2.098000000000000000e+03, 3.428484671822521722e-10, 1.304262436937156485e-09, 1.741540826677363071e-10, 2.644935597273465062e-10, 1.054025852217820993e-09
2.099000000000000000e+03, 2.452463299973833118e-10, 1.196305180758978549e-09, 1.709648772493397803e-10, 2.064273694318095067e-10, 6.719951834824665573e-10
2.100000000000000000e+03, 3.805883450069415401e-10, 1.550817803843199359e-09, 3.048392855543006287e-10, 3.548895242053832189e-10, 7.808194046917012397e-10
