year, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM
2.028000000000000000e+03, 1.369527486869452220e-11, 5.681817813267620848e-11, 1.331498210083968232e-09, 2.902055446877913074e-10, 3.662567166770244173e-11, 1.383356621885027266e-09, 2.493276867987141631e-12, 2.908783553690008721e-10, 3.692515586151887997e-11, 2.032248337430903510e-10
2.029000000000000000e+03, 1.390190367616488161e-11, 5.715112073573681500e-11, 1.322671970884156432e-09, 2.914023563198157221e-10, 3.399103637037746115e-11, 1.414515437855874798e-09, 2.400318788893923047e-12, 2.819004966750512985e-10, 3.644558634018341542e-11, 2.014536293135181064e-10
2.030000000000000000e+03, 1.380984870238423364e-11, 5.702087481493099931e-11, 1.365756403263960747e-09, 2.917965076959800962e-10, 3.111027598742998964e-11, 1.407096795815110313e-09, 2.579622560535114580e-12, 2.692838371139371869e-10, 3.511574237966330111e-11, 2.004608971056048233e-10
2.031000000000000000e+03, 1.147905554094974545e-11, 5.620699487847188724e-11, 1.341109288447637874e-09, 2.815853212365416930e-10, 2.871471210121283715e-11, 1.382517742284542532e-09, 2.695139892889940477e-12, 2.581236394718496934e-10, 3.432794984736860606e-11, 2.228368966248982154e-10
2.032000000000000000e+03, 1.148545038364627854e-11, 5.674387708017981698e-11, 1.316770439008042206e-09, 2.841639848032185894e-10, 2.815112778048193610e-11, 1.385313233447565091e-09, 2.532463023107689876e-12, 2.537058531444153943e-10, 3.401067074123858226e-11, 2.187843026979919401e-10
2.033000000000000000e+03, 1.171809857148796995e-11, 5.488117231034471772e-11, 1.349709034515593136e-09, 2.900737557058722905e-10, 2.783189567961192825e-11, 1.376554975532708762e-09, 2.663004758878864382e-12, 2.412846187021595358e-10, 3.361825843744472035e-11, 2.149756900380435845e-10
2.034000000000000000e+03, 1.149103723775386882e-11, 5.585611391000150279e-11, 1.392170221527047075e-09, 2.933507719695521344e-10, 2.837838409164974827e-11, 1.369595808377435447e-09, 2.709603038859420266e-12, 2.374906566470690549e-10, 3.332028545216095380e-11, 2.144876594749281268e-10
2.035000000000000000e+03, 1.143899940478033703e-11, 5.544709599249158828e-11, 1.381305555735635923e-09, 2.870219406215159212e-10, 2.840277261141986615e-11, 1.368475104912284139e-09, 2.739585641818205459e-12, 2.376147835263501674e-10, 3.297862607092147104e-11, 2.139945579755492230e-10
2.036000000000000000e+03, 1.051841540037905642e-11, 5.323049141784430136e-11, 1.351591318302658853e-09, 2.810243868002188297e-10, 2.372245429778676015e-11, 1.357192908312722654e-09, 2.989770806906402100e-12, 2.401890273754849005e-10, 3.269465555566802231e-11, 2.196552808852311235e-10
2.037000000000000000e+03, 1.049980031729477820e-11, 5.327158873595015159e-11, 1.344937332256722219e-09, 2.894927225800994447e-10, 2.461151436735948345e-11, 1.363624502333697240e-09, 2.970767377515904136e-12, 2.312126053174211188e-10, 3.272311654568080741e-11, 2.206034424979243707e-10
2.038000000000000000e+03, 1.038385605726543134e-11, 5.344334556671592989e-11, 1.337103424246279354e-09, 2.927459726624897006e-10, 2.401510732993528620e-11, 1.307483124807145612e-09, 2.810095368761722563e-12, 2.274710262961163921e-10, 3.259316822046972882e-11, 2.196877310057444413e-10
2.039000000000000000e+03, 1.030860228982023922e-11, 5.311515863543069506e-11, 1.368628866326883593e-09, 2.868506940703352677e-10, 2.396088828612959591e-11, 1.318403739194153854e-09, 2.785874863378734506e-12, 2.242706661809217204e-10, 3.259941650811230087e-11, 2.179925258847357283e-10
2.040000000000000000e+03, 9.831043679223344074e-12, 5.252865655091709135e-11, 1.349231070158267892e-09, 2.817608342523199378e-10, 2.213469905208715646e-11, 1.331564870054206265e-09, 2.793165216862269807e-12, 2.236445338409062941e-10, 3.050831595410221998e-11, 2.192268352715571820e-10
2.041000000000000000e+03, 9.329067045494790949e-12, 5.012675221020075083e-11, 1.305426406101743903e-09, 2.698803793389915868e-10, 1.771819664530864097e-11, 1.311254199805129163e-09, 2.380043592017732618e-12, 2.173620258768907670e-10, 2.932962850249498276e-11, 2.274733054989247452e-10
2.042000000000000000e+03, 9.631288432441744668e-12, 5.018973024763970574e-11, 1.297786572180271228e-09, 2.689072147834659907e-10, 1.818205421214123633e-11, 1.303580479637744345e-09, 2.333002251529442353e-12, 2.114154101016389180e-10, 2.903058691654244421e-11, 2.293113416883897349e-10
2.043000000000000000e+03, 9.625739894602020949e-12, 5.000983281478060357e-11, 1.297601515842037369e-09, 2.639361328105388098e-10, 1.759678040215590601e-11, 1.315742095059928795e-09, 2.547306856515625527e-12, 2.111791659743502775e-10, 2.862314390388244913e-11, 2.358135115372715425e-10
2.044000000000000000e+03, 9.566968385690783794e-12, 4.941498224321377716e-11, 1.302072285826398903e-09, 2.720282266762176564e-10, 1.354018431912909837e-11, 1.267252209282391933e-09, 2.691188636740179665e-12, 2.115484890119657193e-10, 2.810696230753640191e-11, 2.359905931197636073e-10
2.045000000000000000e+03, 9.496877491881747344e-12, 5.391504159317691687e-11, 1.301662898009148035e-09, 2.807715714529943592e-10, 1.280903831518206281e-11, 1.246496557537874952e-09, 2.581621789340439181e-12, 2.136235211491991276e-10, 2.774852850643337929e-11, 2.384692136490671551e-10
2.046000000000000000e+03, 9.135515386464004746e-12, 5.386136857768300023e-11, 1.280397171984763685e-09, 2.690649170288397175e-10, 1.152862724537760846e-11, 1.280520028596242828e-09, 2.480662275340438696e-12, 2.184115350137582747e-10, 2.757526255081765555e-11, 2.278606746751364571e-10
2.047000000000000000e+03, 9.102073327376286447e-12, 5.253268584987753488e-11, 1.262998407245037573e-09, 2.690763422478345670e-10, 1.152738719056313928e-11, 1.270158053303070620e-09, 2.511838852544598275e-12, 2.107521496560663239e-10, 2.745399308305399104e-11, 2.282896968534560045e-10
2.048000000000000000e+03, 9.130371506855291292e-12, 5.261586220340014932e-11, 1.283859754843213079e-09, 2.665701214436684049e-10, 1.206632505761273857e-11, 1.260884294091342198e-09, 2.538274568571435071e-12, 2.098847386347099123e-10, 2.716788902508358110e-11, 2.276966241272060729e-10
2.049000000000000000e+03, 9.144194806520031438e-12, 5.280754349799098850e-11, 1.301267297126060598e-09, 2.670557789408201187e-10, 9.895851184143015887e-12, 1.231480966569977665e-09, 2.534046498743716709e-12, 2.073540008428138047e-10, 2.710482007797514900e-11, 2.261251051535345803e-10
2.050000000000000000e+03, 9.349003226920945312e-12, 5.170965405320307659e-11, 1.278458206488814172e-09, 2.523617887494871239e-10, 6.131413145668879711e-12, 1.242975727277486994e-09, 2.445961271575709896e-12, 1.973654444694647211e-10, 2.688173585912728268e-11, 2.271609916635428881e-10
2.051000000000000000e+03, 9.474085489270131668e-12, 4.145073338608322233e-11, 1.259324838551132155e-09, 2.490703278785909092e-10, 8.409469844181785273e-12, 1.262384557922277588e-09, 2.243741576866297166e-12, 1.931021575808941076e-10, 2.619447702620617229e-11, 2.368772519109070684e-10
2.052000000000000000e+03, 9.313718096907558355e-12, 4.078899764266761602e-11, 1.237797969580607291e-09, 2.534543317898330851e-10, 7.229528899468814301e-12, 1.257839749483585554e-09, 1.965311436738726715e-12, 1.933720264583640613e-10, 2.604805505302691877e-11, 2.381176350932514429e-10
2.053000000000000000e+03, 9.193543174055915742e-12, 4.022411702079160752e-11, 1.219540923706588749e-09, 2.462560899051592347e-10, 6.978465242457125721e-12, 1.247226580784532741e-09, 1.726226190101515971e-12, 1.956128482147642367e-10, 2.594299385800283763e-11, 2.397094492700871657e-10
2.054000000000000000e+03, 9.470955411685227948e-12, 3.972056141813149584e-11, 1.222173868498851445e-09, 2.368169785240804038e-10, 6.861711942153677897e-12, 1.239550465564217237e-09, 1.760054599349712837e-12, 1.903732784623592237e-10, 2.571935665176559244e-11, 2.348661514442143875e-10
2.055000000000000000e+03, 9.309288819403086289e-12, 3.975786392280816588e-11, 1.230287982831553176e-09, 2.279888962211052890e-10, 6.595384908567663867e-12, 1.298768849821080729e-09, 1.825558328526701496e-12, 1.888622341453595360e-10, 2.468947706761932292e-11, 2.379122883315842261e-10
2.056000000000000000e+03, 8.947142378708930383e-12, 3.823881619562791451e-11, 1.237657649321100115e-09, 2.378834271639668472e-10, 6.435018589308967836e-12, 1.236060309198011696e-09, 1.705428544086878293e-12, 1.930741353381328756e-10, 2.374311738282610200e-11, 2.541389424842360646e-10
2.057000000000000000e+03, 8.840366731442232407e-12, 3.852770477749795523e-11, 1.196829964144101580e-09, 2.361988536880821271e-10, 6.017676412992016369e-12, 1.199879037955297270e-09, 1.683249735758235482e-12, 1.857526328078750950e-10, 2.344633046854145717e-11, 2.602594111110155390e-10
2.058000000000000000e+03, 8.710834015663217267e-12, 3.747341814017617507e-11, 1.245066980524336878e-09, 2.314217430105469586e-10, 6.088485263116862805e-12, 1.156738280739831238e-09, 1.577621929936777471e-12, 1.840179164828040370e-10, 2.330666727948362036e-11, 2.586094772482227633e-10
2.059000000000000000e+03, 8.710087895721009733e-12, 3.678376810983558643e-11, 1.209910453962536709e-09, 2.190048446919999630e-10, 5.891450889946436352e-12, 1.171281392302458166e-09, 1.448972965079772088e-12, 1.849226846642669431e-10, 2.334288314721654268e-11, 2.599923432440013370e-10
2.060000000000000000e+03, 8.403771881410108644e-12, 3.712944990010002527e-11, 1.197881438319549506e-09, 2.091014618199179834e-10, 6.255900314150396786e-12, 1.202014749784843636e-09, 1.359810855029899638e-12, 1.734114492782368056e-10, 2.279960888649855629e-11, 2.681079374694010193e-10
2.061000000000000000e+03, 8.594496622102544493e-12, 3.546150442170602265e-11, 1.172683613917591778e-09, 2.195713335955772640e-10, 6.103248315530054778e-12, 1.188734947719430600e-09, 1.272700749093365467e-12, 1.711858432127444591e-10, 2.230468179336149235e-11, 2.753166259124240521e-10
2.062000000000000000e+03, 8.587761967674513619e-12, 3.469929317848776533e-11, 1.218301504125824367e-09, 2.187577990202545563e-10, 5.878602518073399028e-12, 1.203841969268135346e-09, 1.309776055965734459e-12, 1.720426844056485772e-10, 2.197525451935529151e-11, 2.803445605654766743e-10
2.063000000000000000e+03, 8.510580485360530617e-12, 3.490729233274580863e-11, 1.238072390429048805e-09, 2.071486269894013016e-10, 6.180705851817927560e-12, 1.189868154996833447e-09, 1.388493832985513645e-12, 1.743537206676028153e-10, 2.172884680290235909e-11, 2.823833775207802889e-10
2.064000000000000000e+03, 8.503013042250769143e-12, 3.499649299938260678e-11, 1.209394882191564702e-09, 2.102869207279764386e-10, 5.891789823366527691e-12, 1.179167926894467493e-09, 1.237804204078251884e-12, 1.727797212604631327e-10, 2.155148208240480064e-11, 2.881443442028107016e-10
2.065000000000000000e+03, 8.633781036652020910e-12, 3.456674166887064048e-11, 1.165516614980707294e-09, 2.221077013655297493e-10, 5.440277733147911411e-12, 1.172707116448656965e-09, 1.220595346706998031e-12, 1.708100339594428269e-10, 2.173794743614133849e-11, 2.962492761636446627e-10
2.066000000000000000e+03, 9.289707375663953911e-12, 3.333457444685945890e-11, 1.166707310724148244e-09, 2.153980438436802697e-10, 5.723512991318051463e-12, 1.211720017048087817e-09, 1.310240392971259036e-12, 1.716591856272963398e-10, 2.153924287601302226e-11, 2.618137898815561912e-10
2.067000000000000000e+03, 9.379651587047770132e-12, 3.291168031101435893e-11, 1.171692769754387585e-09, 2.060165050046575391e-10, 5.081925424917536515e-12, 1.216919154108458151e-09, 1.378944970569254530e-12, 1.685569321818620654e-10, 2.111509460561786426e-11, 2.747703587519334767e-10
2.068000000000000000e+03, 9.173498158721106341e-12, 3.228930713848117538e-11, 1.182816722876642925e-09, 2.024691613047898963e-10, 5.136303051192005612e-12, 1.213381483692944927e-09, 1.422390564231258611e-12, 1.696566894337277408e-10, 2.085478677587254872e-11, 2.804685191977817214e-10
2.069000000000000000e+03, 9.997446453205407619e-12, 3.210955229372289746e-11, 1.187445761351730996e-09, 2.068504108393091282e-10, 5.153038958636919349e-12, 1.204511938245595797e-09, 1.379739848229018880e-12, 1.706237796677648059e-10, 2.064667864356692737e-11, 2.804734507872329360e-10
2.070000000000000000e+03, 1.014823402062492801e-11, 3.198059647761841928e-11, 1.201370940930267592e-09, 2.030187428794530487e-10, 5.251949347459663393e-12, 1.189447112124542898e-09, 1.419864424612833328e-12, 1.662511294662312727e-10, 2.033365816963592616e-11, 2.837011454773322193e-10
2.071000000000000000e+03, 1.006737686510540372e-11, 3.147000772256536130e-11, 1.180924585963480689e-09, 2.088118394411683875e-10, 5.484360024388302242e-12, 1.144061051166068445e-09, 1.416918606814694139e-12, 1.647220704781948379e-10, 1.991851476414797565e-11, 3.845769299851098733e-10
2.072000000000000000e+03, 1.016204903858344439e-11, 3.129923216621146262e-11, 1.176612906866017666e-09, 1.994238987339055127e-10, 5.195104523547151093e-12, 1.147248874883109863e-09, 1.371612465779953747e-12, 1.643303046375173107e-10, 1.963345053178126383e-11, 4.003724497815143438e-10
2.073000000000000000e+03, 1.024059018452633759e-11, 3.129306134738034558e-11, 1.176207569038202304e-09, 1.942724646908408967e-10, 5.129382840863065675e-12, 1.172681934462957706e-09, 1.380625204381237442e-12, 1.635780570846015791e-10, 1.947231178230023006e-11, 3.936033925029102089e-10
2.074000000000000000e+03, 1.016375922685550653e-11, 3.088144161015372547e-11, 1.189868825110670133e-09, 1.918833127569952291e-10, 5.032998658581665327e-12, 1.204787537967573534e-09, 1.439205744936655667e-12, 1.648731684847489207e-10, 1.935250344412783732e-11, 3.974016669656952222e-10
2.075000000000000000e+03, 1.063541684852978878e-11, 3.105510085913643737e-11, 1.175311117103192787e-09, 1.964769044000061646e-10, 5.202601068380189355e-12, 1.235855677155493273e-09, 1.453814570047184247e-12, 1.625314148431697637e-10, 1.938079006942189775e-11, 4.006685265124289414e-10
2.076000000000000000e+03, 1.053425863517419067e-11, 3.186491051514974311e-11, 1.178615569628253167e-09, 2.007816224714200761e-10, 6.841388281768003088e-12, 1.181760889810033108e-09, 1.380006754329024932e-12, 1.630252302860157179e-10, 1.940015514130044096e-11, 4.394501814186935838e-10
2.077000000000000000e+03, 1.062967048997545164e-11, 3.116037946402767440e-11, 1.181549347459087810e-09, 1.972486857720820094e-10, 6.955436065223325202e-12, 1.152235130990972054e-09, 1.351356934111489617e-12, 1.614285187471227796e-10, 1.936719111203604723e-11, 4.500661445685114382e-10
2.078000000000000000e+03, 1.075924580698621662e-11, 3.159913796139303103e-11, 1.213877730865018098e-09, 1.877514059851134326e-10, 7.747519153545973041e-12, 1.187340825087042780e-09, 1.203266979429245069e-12, 1.625978650256672735e-10, 1.963219325367478747e-11, 4.563656030501562239e-10
2.079000000000000000e+03, 1.075492084685501454e-11, 3.178578412248097922e-11, 1.198911578993541179e-09, 1.993103313173485383e-10, 7.559016963151188344e-12, 1.174808990094133824e-09, 1.230150022135943249e-12, 1.669771567504583581e-10, 1.944403373060083430e-11, 4.608436800924624944e-10
2.080000000000000000e+03, 1.068953659352326442e-11, 3.164191081627263757e-11, 1.156929199214709477e-09, 1.898168559519681982e-10, 8.129013431574997238e-12, 1.168183211758177792e-09, 1.297345666188705960e-12, 1.601174819043788445e-10, 1.917217269945815533e-11, 4.675110113254867484e-10
2.081000000000000000e+03, 1.075327795721040458e-11, 3.403881898587286301e-11, 1.171661541078286073e-09, 1.891425587235687920e-10, 8.584233596132517575e-12, 1.190759377443075808e-09, 1.105741960505084128e-12, 1.599080877654222298e-10, 1.918423082527060176e-11, 3.986241963324397857e-10
2.082000000000000000e+03, 1.060648680270818664e-11, 4.319012186973617964e-11, 1.140339954244752998e-09, 1.825275308486576829e-10, 8.611438799899213235e-12, 1.168210047105245730e-09, 9.802507292576945057e-13, 1.612511248913401157e-10, 1.927258090595110121e-11, 3.947370048846013979e-10
2.083000000000000000e+03, 1.052051084402239431e-11, 4.239359912218417150e-11, 1.152230885486879308e-09, 1.834723717400565926e-10, 8.971202849470423878e-12, 1.135342700934457007e-09, 9.516642515577309753e-13, 1.620215151852735700e-10, 1.916123589210003509e-11, 3.933790031502338507e-10
2.084000000000000000e+03, 1.042421801434410491e-11, 4.169178876826728266e-11, 1.211706452258651664e-09, 1.882911727510918688e-10, 9.022129475745372680e-12, 1.162069386292121206e-09, 8.806305040416130968e-13, 1.626510443652584116e-10, 1.924686277165821035e-11, 3.898674684379021064e-10
2.085000000000000000e+03, 1.026121817084631410e-11, 4.069133153285541370e-11, 1.176909099324982099e-09, 1.862937698335002030e-10, 9.299046724105159579e-12, 1.205593801291822378e-09, 9.283584184456455886e-13, 1.595549614594610598e-10, 1.911397355822689969e-11, 3.869882163742945521e-10
2.086000000000000000e+03, 1.210079870090414996e-11, 4.174319439447221539e-11, 1.161522185124140423e-09, 1.871617828922638659e-10, 1.077495833603177240e-11, 1.265831814336221763e-09, 8.910083664495108777e-13, 1.581988229763262778e-10, 1.904642411499312549e-11, 3.929275679957379508e-10
2.087000000000000000e+03, 1.199614950105263988e-11, 4.147181591525450755e-11, 1.177918703168238232e-09, 1.858026939020810071e-10, 1.117489180278968609e-11, 1.235606763288971732e-09, 9.045514032663331983e-13, 1.586975237698956185e-10, 1.922954697450166453e-11, 3.931565129301875196e-10
2.088000000000000000e+03, 1.195487108355530264e-11, 4.123091717533215801e-11, 1.154383130032933766e-09, 1.854789004876992531e-10, 1.126078074503162693e-11, 1.210731807572764858e-09, 8.705722302334695167e-13, 1.634005876558917046e-10, 1.927067192775653518e-11, 3.903987187281991081e-10
2.089000000000000000e+03, 1.192327186936436862e-11, 4.049911168094488975e-11, 1.163869043788602492e-09, 1.884340528742697062e-10, 1.154546201309420680e-11, 1.187539446533509439e-09, 8.630718339946412362e-13, 1.608671424484477496e-10, 1.928679922034690724e-11, 3.925149286592893388e-10
2.090000000000000000e+03, 1.176850003213874580e-11, 4.055613068384708112e-11, 1.152598366483527528e-09, 1.870020627744172316e-10, 1.149229364236893067e-11, 1.183657358500007480e-09, 9.147817561888644357e-13, 1.584754964915382394e-10, 2.008079599745748664e-11, 3.948732710463739523e-10
2.091000000000000000e+03, 1.875113271414972676e-11, 4.828137518063229545e-11, 1.195961453279525374e-09, 1.869363246443422388e-10, 2.272708589527917029e-11, 1.207228572058013180e-09, 1.018787119405522356e-12, 1.594143245117261453e-10, 2.038540772481041203e-11, 2.920288490301738684e-10
2.092000000000000000e+03, 1.924788717430850354e-11, 4.868218795631565142e-11, 1.189501963513554829e-09, 1.912645942893931404e-10, 2.355367002501339984e-11, 1.183401867330019309e-09, 1.007760669531886336e-12, 1.592186141892861518e-10, 2.037620901672731491e-11, 2.860887028619957960e-10
2.093000000000000000e+03, 1.973348168300749304e-11, 4.920524515544949880e-11, 1.200057977843660692e-09, 1.879128411765016074e-10, 2.428219599108860573e-11, 1.193984367529192355e-09, 9.338723030416067797e-13, 1.595616683946639448e-10, 2.039397857558906921e-11, 2.816924138671316806e-10
2.094000000000000000e+03, 2.031631007462491311e-11, 4.918842884094799737e-11, 1.186848417586555273e-09, 1.852404581230112351e-10, 2.520181374150389805e-11, 1.220596676964261007e-09, 9.137198684518104699e-13, 1.590057376495410848e-10, 2.056168491890431917e-11, 2.787601639342493193e-10
2.095000000000000000e+03, 2.104138840411174615e-11, 4.949479409420539314e-11, 1.206014399306057310e-09, 1.958690617476573155e-10, 2.606768876536372196e-11, 1.222342771281545416e-09, 9.807787368494299864e-13, 1.654817568783765388e-10, 2.532692234953748349e-11, 2.749132371156763602e-10
2.096000000000000000e+03, 2.310974685928194143e-11, 5.823675142950791324e-11, 1.236465069570023589e-09, 1.948943971102502351e-10, 4.250034579915027987e-11, 1.143124902991590077e-09, 1.206425340682307073e-12, 1.646681870370487787e-10, 2.874960039003626664e-11, 2.125585938316169852e-10
2.097000000000000000e+03, 2.367043868919526215e-11, 5.809939340058471696e-11, 1.213265185110860446e-09, 1.931140719251820993e-10, 4.418484260283918119e-11, 1.139626340567968631e-09, 1.285299830869506298e-12, 1.660780073164330608e-10, 2.987746723710852056e-11, 2.062483769526767116e-10
2.098000000000000000e+03, 2.430500544093452564e-11, 5.906189033845497706e-11, 1.200442866742219062e-09, 1.921871856541155142e-10, 4.591659675587158951e-11, 1.179705035027121973e-09, 1.300292309531108052e-12, 1.669738954398947523e-10, 3.049944842845335502e-11, 2.017433609676341167e-10
2.099000000000000000e+03, 2.544876026754166710e-11, 5.991830469814780563e-11, 1.194985455983027173e-09, 1.914798682171504678e-10, 4.763173770785215357e-11, 1.204256690767446877e-09, 1.312047033048020799e-12, 1.672660986927058773e-10, 3.067155902553813275e-11, 1.971203185428621728e-10
2.100000000000000000e+03, 2.555394566252812828e-11, 5.969182627466640507e-11, 1.246651104190541621e-09, 1.492684984676468348e-10, 4.894506229295773240e-11, 1.197446896475291262e-09, 1.265437284443416940e-12, 1.368543396620540124e-10, 1.753257919649888611e-11, 1.952054205889398617e-10
