year, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM
2.015000000000000000e+03, 2.099132609640400006e-11, 5.478040574684122383e-11, 1.232754491550385710e-09, 2.820702461036210588e-10, 1.087841962461699618e-10, 1.390005929744591552e-09, 1.416693405226818620e-12, 1.120819765295183693e-09, 4.874679275086106080e-11, 2.425889293808421562e-10
2.016000000000000000e+03, 1.621302272750386024e-11, 5.681840786339834925e-11, 1.248335884301828155e-09, 2.794363015663183210e-10, 1.089194354230112607e-10, 1.379832420847365067e-09, 2.031531849487456381e-12, 9.453049796078898043e-10, 4.513414084402626425e-11, 2.503910989890419720e-10
2.017000000000000000e+03, 1.596836604270882243e-11, 6.086315474038349944e-11, 1.267809457809782553e-09, 2.774743268186010973e-10, 1.072477861166902457e-10, 1.392022036591739707e-09, 2.370308309032007376e-12, 8.006605030711551010e-10, 4.326221360720531117e-11, 2.486033418590654098e-10
2.018000000000000000e+03, 1.585585184760193110e-11, 5.975862640152643675e-11, 1.345189101417963043e-09, 2.760706570151074401e-10, 1.064693874863197578e-10, 1.356180407253954889e-09, 2.334150678434326364e-12, 6.836756073617819314e-10, 4.158604094800668791e-11, 2.451184978808737147e-10
2.019000000000000000e+03, 1.561025773519211649e-11, 6.127204436047715808e-11, 1.383704166530580194e-09, 2.837041255180081421e-10, 9.472762860075299278e-11, 1.307660352615797303e-09, 2.280832974199491708e-12, 5.887742337459637618e-10, 4.060400484986871479e-11, 2.412371362953169590e-10
2.020000000000000000e+03, 1.319157289708747299e-11, 6.194109873028738528e-11, 1.386486863235003813e-09, 2.838191415600047874e-10, 6.399966582402041346e-11, 1.339276378855345974e-09, 2.321550215556125058e-12, 5.181921347914508565e-10, 4.119675023878435528e-11, 2.367375808623109476e-10
2.021000000000000000e+03, 1.254527094002756553e-11, 5.668175806268085679e-11, 1.404906227693953027e-09, 2.838952935240502606e-10, 5.246370435256482857e-11, 1.359200755874478566e-09, 2.472980729151623377e-12, 4.607678987222624362e-10, 4.142175568943312284e-11, 2.244913976326845401e-10
2.022000000000000000e+03, 1.224049139645603885e-11, 5.615796331243348127e-11, 1.414768589167632749e-09, 2.792775597288360081e-10, 5.061187265680511838e-11, 1.304991401181882784e-09, 2.566573127701316845e-12, 4.148819931999787453e-10, 4.083063656148506375e-11, 2.188540609676443755e-10
2.023000000000000000e+03, 1.231510007956030846e-11, 5.592125554466099688e-11, 1.375681117903676975e-09, 2.794277111304850679e-10, 4.831941383341553621e-11, 1.309951631040855461e-09, 2.443787376354498287e-12, 3.800179316564334973e-10, 4.006010477432956532e-11, 2.131439177905434450e-10
2.024000000000000000e+03, 1.155233563537847028e-11, 5.652381209294649768e-11, 1.368798950902942028e-09, 2.762795919755779820e-10, 4.741654278418641728e-11, 1.322458633819321499e-09, 2.415048708716274291e-12, 3.515744052660624733e-10, 3.944411082496457230e-11, 2.079136737423638938e-10
2.025000000000000000e+03, 1.137297430952917701e-11, 5.537599374554537022e-11, 1.350392319670133113e-09, 2.902875847535571319e-10, 4.422425850169869572e-11, 1.392538791400663502e-09, 2.321995848383143044e-12, 3.408181539574730675e-10, 3.825249061180738311e-11, 2.023183746824134950e-10
2.026000000000000000e+03, 1.351672948960843492e-11, 5.665169710112477193e-11, 1.370248547408278999e-09, 2.847190217532525833e-10, 4.073982962706801038e-11, 1.406875858740711164e-09, 2.465942275525618746e-12, 3.204501318373902125e-10, 3.735538962128370148e-11, 2.121089515533232390e-10
2.027000000000000000e+03, 1.366207982212153161e-11, 5.703304653193799276e-11, 1.339133045944990287e-09, 2.937013060923765279e-10, 3.965546850287975822e-11, 1.375099702325783154e-09, 2.523408960212568387e-12, 3.018447562984749865e-10, 3.718561198196695521e-11, 2.093156164652893369e-10
