year, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR
2.025000000000000000e+03, 2.340927288780480205e-10, 1.152793483201877908e-09, 1.016036456019271147e-09, 3.264949633881376524e-11, 7.912715074968765589e-11, 1.284916502353178157e-09, 2.321995849573283077e-12, 7.177035820970441319e-10
2.026000000000000000e+03, 2.330290166908304572e-10, 1.179490798957838946e-09, 1.024058463705015834e-09, 2.957860656854488017e-11, 7.675218356491558696e-11, 1.264973693737896554e-09, 2.465942251688476749e-12, 7.096703141563015708e-10
2.027000000000000000e+03, 2.319690145570946792e-10, 1.174530686381931283e-09, 1.036112177090910884e-09, 2.653082898158409814e-11, 7.467783551211936104e-11, 1.315256644178581436e-09, 2.523408939971858252e-12, 7.176814883634522815e-10
2.028000000000000000e+03, 2.308045452101670519e-10, 1.152853665971162870e-09, 1.046326604315496998e-09, 2.357949962992907116e-11, 7.263103776886945530e-11, 1.260906018246316298e-09, 2.493276838231339386e-12, 7.215875702135922181e-10
2.029000000000000000e+03, 2.296668687623712394e-10, 1.152759941972429334e-09, 1.044077817396867973e-09, 2.048301304484110648e-11, 7.091277025019955602e-11, 1.361212012683444586e-09, 2.400318810317745008e-12, 7.213271587509637833e-10
2.030000000000000000e+03, 2.283684348308812858e-10, 1.152114258833853820e-09, 1.028022374915503154e-09, 1.735174331747407899e-11, 6.921570206597325827e-11, 1.253525970670372346e-09, 2.579622558471547349e-12, 7.082981800606987029e-10
2.031000000000000000e+03, 2.268844269828404216e-10, 1.130882381431329738e-09, 1.021349050689733698e-09, 1.756582154640101193e-11, 6.589909791955285592e-11, 1.271670928751018301e-09, 2.695139881403237528e-12, 7.074393397413522504e-10
2.032000000000000000e+03, 2.254686334740357319e-10, 1.138669299944632399e-09, 1.014306397459311311e-09, 1.760261100363938874e-11, 6.365503406001783975e-11, 1.276084247863283406e-09, 2.532463036007504482e-12, 6.973517736653828798e-10
2.033000000000000000e+03, 2.241074432895255892e-10, 1.182947057552636715e-09, 1.007009406240953267e-09, 1.759336788398231607e-11, 6.178737382017292218e-11, 1.340101557113704498e-09, 2.663004781773607747e-12, 6.884409169800515919e-10
2.034000000000000000e+03, 2.228026866562342605e-10, 1.197721771637890303e-09, 9.993900975663035609e-10, 1.748322339698249060e-11, 6.075857840576486612e-11, 1.229691480530946242e-09, 2.709603030640217658e-12, 6.865300348744037464e-10
2.035000000000000000e+03, 2.214089399304604735e-10, 1.135304718422594214e-09, 9.946769846824553226e-10, 1.743498414186980783e-11, 5.937659110059734655e-11, 1.172465479731285944e-09, 2.739585593784058721e-12, 6.874840032705604945e-10
2.036000000000000000e+03, 2.198821065977207705e-10, 1.170431682990810572e-09, 9.966961437683780842e-10, 1.739497222808881622e-11, 5.888067231367178160e-11, 1.215401554710379004e-09, 2.989770845403226654e-12, 6.810914904330196329e-10
2.037000000000000000e+03, 2.184019376070932003e-10, 1.159853352809326336e-09, 1.000116021678819621e-09, 1.698539089135822392e-11, 5.877737096327070306e-11, 1.197639534208798134e-09, 2.970767393835208269e-12, 6.832839880856988516e-10
2.038000000000000000e+03, 2.170251420729975253e-10, 1.146456499099569349e-09, 1.001140087611169089e-09, 1.667092905596618293e-11, 5.761565752733052026e-11, 1.260295735716928817e-09, 2.810095379179785709e-12, 6.724165754312032401e-10
2.039000000000000000e+03, 2.157010845876885037e-10, 1.183060179391810101e-09, 1.000727244077461952e-09, 1.630682345084837687e-11, 5.610110707065147817e-11, 1.288736988688710972e-09, 2.785874841527918116e-12, 6.724350761294712733e-10
