year, NorESM2-MM, NorESM2-LM, CanESM5, INM-CM5-0, EC-Earth3-Veg, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, MIROC-ES2L, INM-CM4-8, TaiESM1, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.020280353711290999e+01, 3.311179670865904257e+01, 2.986622452177220310e+01, 3.641227698593350937e+01, 2.012176779535938564e+01, 3.044815250620147040e+01, 4.669540203777173559e+01, 1.524992179018201988e+01, 4.430006296752426209e+01, 3.468896295887923031e+01, 3.281223354581022278e+01, 2.470706046021095759e+01, 3.229759730744817148e+01, 3.728404566547742149e+01, 3.071206076968912058e+01, 3.181619437664363303e+01
2.016000000000000000e+03, 3.009748480504528700e+01, 3.315123482142152511e+01, 3.004839253800599863e+01, 3.662474706662367652e+01, 2.050890401032106070e+01, 3.048934749387187892e+01, 4.673894388125386712e+01, 1.535491780130696071e+01, 4.462719491261990612e+01, 3.472789273845520341e+01, 3.193151125349939079e+01, 2.457246324400705362e+01, 3.248026106210568997e+01, 3.740942787103364964e+01, 3.094848358550133938e+01, 3.186482650153029894e+01
2.017000000000000000e+03, 3.038499449516353934e+01, 3.316421138580076189e+01, 3.022596360262520676e+01, 3.672638604013099695e+01, 2.044578652692544907e+01, 3.057787563717902657e+01, 4.702731085558585278e+01, 1.540796085576285535e+01, 4.498659564910867914e+01, 3.478114684957164116e+01, 3.278293012238253823e+01, 2.448983255271375370e+01, 3.279188997726742372e+01, 3.756209820491371687e+01, 3.169154333494942222e+01, 3.198337816996571803e+01
2.018000000000000000e+03, 3.083381245019909045e+01, 3.319530211803081698e+01, 3.035773791994061810e+01, 3.680267711855326951e+01, 2.055283917196617693e+01, 3.081588391688416451e+01, 4.728023909940519331e+01, 1.547463899024248235e+01, 4.518656706245911181e+01, 3.479460737017781469e+01, 3.330150124077493956e+01, 2.459032974597684174e+01, 3.315068341100905513e+01, 3.756409593644220735e+01, 3.219664984871251789e+01, 3.207587805846785045e+01
2.019000000000000000e+03, 3.108375008161833364e+01, 3.339590143915383180e+01, 3.051367074033199245e+01, 3.690290036321731293e+01, 2.067544979311956510e+01, 3.097934929792563707e+01, 4.748821071756093204e+01, 1.555630182980678988e+01, 4.533344260466378728e+01, 3.478003419488442916e+01, 3.299402492970414613e+01, 2.459684526473548516e+01, 3.352855408424031225e+01, 3.770650425618455870e+01, 3.198641273757564818e+01, 3.228508856085747425e+01
2.020000000000000000e+03, 3.125401478179377435e+01, 3.363359886792356690e+01, 3.073559234103072768e+01, 3.703982404748114732e+01, 2.090866319409644447e+01, 3.127373639095021929e+01, 4.768971027412445096e+01, 1.558671252060777768e+01, 4.559734274141386834e+01, 3.491165508422573538e+01, 3.201997990021591534e+01, 2.460717362422935039e+01, 3.381044266691046118e+01, 3.784337237864058068e+01, 3.169142623032798411e+01, 3.247998679284904711e+01
2.021000000000000000e+03, 3.166807328502624230e+01, 3.361475302308881652e+01, 3.100024129637428416e+01, 3.723724729917927334e+01, 2.090060581110322246e+01, 3.161500099984717238e+01, 4.793712519909603742e+01, 1.568358663069837888e+01, 4.595352454220402905e+01, 3.514770806646433954e+01, 3.223522829673859036e+01, 2.468961267755942757e+01, 3.413614731806302416e+01, 3.805338802915267138e+01, 3.188225237755185404e+01, 3.270428345467983888e+01
2.022000000000000000e+03, 3.170344039274683823e+01, 3.378083842093014511e+01, 3.127592215150798438e+01, 3.734716530655150990e+01, 2.121205045235586795e+01, 3.164941068923453926e+01, 4.815376001184851162e+01, 1.582327133262275787e+01, 4.638418605482453927e+01, 3.533193553554603739e+01, 3.281816153429755190e+01, 2.473007281997941220e+01, 3.444316866023005730e+01, 3.828468334602514034e+01, 3.191563813131762117e+01, 3.283042737020065971e+01
2.023000000000000000e+03, 3.159436193920596736e+01, 3.411804672282938355e+01, 3.134130479671537728e+01, 3.730007278540307425e+01, 2.121858623936162402e+01, 3.173630233921724653e+01, 4.840002341002985276e+01, 1.607382475975142100e+01, 4.664556204503752923e+01, 3.544597457756691483e+01, 3.403224111343428859e+01, 2.488015278912396866e+01, 3.476919929636230933e+01, 3.842028966570761384e+01, 3.195042199521249771e+01, 3.294804946361176690e+01
2.024000000000000000e+03, 3.181490157605597346e+01, 3.436816210235672742e+01, 3.168950699302440910e+01, 3.736844277104251688e+01, 2.151118647952795371e+01, 3.174466425535911540e+01, 4.858688549852723071e+01, 1.622713467824543443e+01, 4.708459286074404559e+01, 3.564724199211293154e+01, 3.433980077042424028e+01, 2.477492593446873315e+01, 3.513979475265988839e+01, 3.841628564770526566e+01, 3.239668058820143415e+01, 3.308311348562421017e+01
