year, CESM2-WACCM, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR, GFDL-ESM4
2.015000000000000000e+03, 9.577607819904417816e-10, 1.886583974122826596e-09, 2.403521597141163592e-10, 7.415581509241812923e-10, 0.000000000000000000e+00, 1.225354752003509175e-09, 1.462519346948817371e-10, 6.768915985409424451e-10, 2.800822772352166329e-10
2.016000000000000000e+03, 9.378251371479988301e-10, 1.984732908990426029e-09, 2.691226504604368161e-10, 7.584721944467805978e-10, 2.226180380943813282e-10, 1.249536801788439781e-09, 1.500218662123024382e-10, 6.792607928334261173e-10, 2.954543957101047083e-10
2.017000000000000000e+03, 9.309371256890319444e-10, 1.854404923260797801e-09, 2.671733097175530062e-10, 6.963880378166696637e-10, 2.236871149238415591e-10, 1.218437700873182684e-09, 1.520688467442552302e-10, 6.822031202042013458e-10, 2.496897857097685458e-10
2.018000000000000000e+03, 9.221633223902237365e-10, 1.977476269149790069e-09, 2.658740471194718659e-10, 6.900597358901871166e-10, 2.189220580910072551e-10, 1.230310998474081077e-09, 1.549566572194361302e-10, 6.839846836796932189e-10, 2.829796233258166047e-10
2.019000000000000000e+03, 9.252670312464447111e-10, 2.002220017258453608e-09, 2.644637698391830371e-10, 6.951318450732797301e-10, 2.154106172744031804e-10, 1.207910712016833711e-09, 1.590793067322290233e-10, 6.824991421700744903e-10, 2.606281232508478890e-10
2.020000000000000000e+03, 9.820411301212395735e-10, 2.046124849659921501e-09, 2.621380707393520449e-10, 7.013390798838448334e-10, 2.142007464582989000e-10, 1.130093028284977306e-09, 1.655967051202364469e-10, 7.004030547961490336e-10, 2.854536493637519637e-10
2.021000000000000000e+03, 9.706062367827939406e-10, 2.009657138203772693e-09, 2.560440838108719068e-10, 7.770914424859625552e-10, 2.128964346786585040e-10, 1.230738641632020703e-09, 1.768164381384661202e-10, 7.006083756080493242e-10, 2.885820640571158933e-10
2.022000000000000000e+03, 9.472888484382430804e-10, 2.064436928564824402e-09, 2.483559517419657110e-10, 7.149483923602240765e-10, 2.111599411350603015e-10, 1.242756637548250811e-09, 1.759044201780921670e-10, 6.851405535846454422e-10, 3.089903568266820902e-10
2.023000000000000000e+03, 9.379607655194432974e-10, 1.997192617474213817e-09, 2.398532142106685926e-10, 6.714814155224222916e-10, 2.091017463782372727e-10, 1.331356826977901820e-09, 1.699443161630007157e-10, 6.702619320998218021e-10, 2.948140859889600155e-10
2.024000000000000000e+03, 9.190175373177252073e-10, 2.025359858568957192e-09, 2.277757463679119461e-10, 7.109705160992206656e-10, 2.066180691737215478e-10, 1.286065337613557679e-09, 1.649506663553282466e-10, 6.756312207293112171e-10, 3.075478384600712323e-10
2.025000000000000000e+03, 9.579092209915479074e-10, 1.948643741910404765e-09, 2.444031335710816916e-10, 6.983119230815306907e-10, 2.040084125810490561e-10, 1.273543514386538841e-09, 1.608278849183905829e-10, 6.794560761694121553e-10, 3.125073187489621082e-10
2.026000000000000000e+03, 9.890794887406122063e-10, 2.028677623772237878e-09, 2.382544185919033907e-10, 7.260865636073938997e-10, 2.023785019485787094e-10, 1.251456960929012586e-09, 1.575716213168588526e-10, 6.723156952235302198e-10, 3.374166237738271321e-10
2.027000000000000000e+03, 9.882996700310457092e-10, 1.936583411124574002e-09, 2.347542127119594895e-10, 7.169987971721637918e-10, 2.010299953330892763e-10, 1.301594565683181100e-09, 1.544221680954736574e-10, 6.804967201601991863e-10, 3.160484054841993096e-10
2.028000000000000000e+03, 9.696718797226605290e-10, 2.013901681668516231e-09, 2.318346544830039434e-10, 7.074090995613931288e-10, 2.000152952561217967e-10, 1.247210753562001337e-09, 1.519376861360849008e-10, 6.846629594919907946e-10, 3.369564137471382312e-10
2.029000000000000000e+03, 9.723054799101823015e-10, 2.019963062116450894e-09, 2.293517957499014938e-10, 7.318892329886738896e-10, 1.984667358603692407e-10, 1.347310094376696540e-09, 1.495676847584772537e-10, 6.848838340277552128e-10, 3.149683987269599960e-10
2.030000000000000000e+03, 9.741094319079812157e-10, 2.027808579599069417e-09, 2.268030758612840342e-10, 7.140926178872439721e-10, 1.970923408747976214e-10, 1.239716122564190229e-09, 1.482349426478390779e-10, 6.731839493981596854e-10, 3.400330447318815869e-10
2.031000000000000000e+03, 9.553103302348267575e-10, 2.084771074590930194e-09, 2.250387826478806461e-10, 6.338277076203978394e-10, 1.955765168239681178e-10, 1.260191874000733918e-09, 1.469428819314724628e-10, 6.731097840489375502e-10, 3.216963639438824446e-10
2.032000000000000000e+03, 9.652534678852601358e-10, 1.971128822349450722e-09, 2.236837499909305881e-10, 6.995699297226292728e-10, 1.941820514299372272e-10, 1.264598793696379965e-09, 1.463175049741418875e-10, 6.633417910546941776e-10, 3.296631385555881280e-10
2.033000000000000000e+03, 1.011437332217121634e-09, 1.984204956736881674e-09, 2.216316880193738688e-10, 7.322908385492371648e-10, 1.932899298136384413e-10, 1.328383451246151709e-09, 1.457800583327307720e-10, 6.548269793715381465e-10, 2.950252187954540809e-10
2.034000000000000000e+03, 1.027793085228500802e-09, 1.972216565419447924e-09, 2.206173961468367394e-10, 7.126646675942726958e-10, 1.911890692664280122e-10, 1.218200439495656283e-09, 1.451991245370137559e-10, 6.532107641193817179e-10, 3.329588762178066884e-10
