year, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, CanESM5, GFDL-ESM4, NorESM2-MM, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, INM-CM4-8, INM-CM5-0, NorESM2-LM, EC-Earth3-Veg, TaiESM1, CMCC-CM2-SR5, IPSL-CM6A-LR
2.015000000000000000e+03, 2.804483195632319621e+02, 2.804240233963236619e+02, 2.808534987346891398e+02, 2.779932021572831786e+02, 2.782631295454231690e+02, 2.811153201292196968e+02, 2.801211352910026449e+02, 2.815763144458859415e+02, 2.781268569670667716e+02, 2.802357254523155916e+02, 2.799393923843763332e+02, 2.819921826543879320e+02, 2.792449077350333368e+02, 2.799682656008635604e+02, 2.797873841617416701e+02, 2.762031128074648905e+02
2.016000000000000000e+03, 2.789463203334579475e+02, 2.804173674896111947e+02, 2.804447644554081194e+02, 2.777289683327553007e+02, 2.782099832772320269e+02, 2.811650290933138763e+02, 2.806452374939064498e+02, 2.814276058251425070e+02, 2.779164595220456135e+02, 2.800320891562371344e+02, 2.800886211462190545e+02, 2.812275685667415814e+02, 2.791835694097111968e+02, 2.796012140469108544e+02, 2.794697211362200164e+02, 2.767386340205573561e+02
2.017000000000000000e+03, 2.792923940021991029e+02, 2.800897030398542711e+02, 2.809722207914936121e+02, 2.776228032449083685e+02, 2.786239654474851477e+02, 2.810163404056047511e+02, 2.805374363749880899e+02, 2.816033513708546820e+02, 2.782997925362822116e+02, 2.805195284929909576e+02, 2.803558347501693220e+02, 2.817792476044233467e+02, 2.795233735546153753e+02, 2.792952148697804091e+02, 2.800974167712384997e+02, 2.769020799545419891e+02
2.018000000000000000e+03, 2.800429747018464468e+02, 2.796011004192359337e+02, 2.810037420453817845e+02, 2.787584756276989992e+02, 2.785632350343097414e+02, 2.811636406600177338e+02, 2.805527822741818795e+02, 2.815793416778358278e+02, 2.770679000011009521e+02, 2.798434983677364585e+02, 2.799750437031127603e+02, 2.818983160524703635e+02, 2.794275286502356721e+02, 2.800590451318439591e+02, 2.797620194509320299e+02, 2.770840807377312558e+02
2.019000000000000000e+03, 2.792296686779691299e+02, 2.802578728769557301e+02, 2.809635952921070725e+02, 2.786760448262336354e+02, 2.783553988308826774e+02, 2.810677242453600115e+02, 2.806991898416079607e+02, 2.814534197823114141e+02, 2.772046221455403838e+02, 2.803971755483392485e+02, 2.798815555626016476e+02, 2.820806473832269603e+02, 2.791008898412197823e+02, 2.800497491947909339e+02, 2.796798474182833161e+02, 2.768427956889073016e+02
2.020000000000000000e+03, 2.795760920158562612e+02, 2.802637253180261609e+02, 2.810446456565740050e+02, 2.781305458501634575e+02, 2.776997622500871898e+02, 2.804232180653066280e+02, 2.803269988466644236e+02, 2.813423143727453635e+02, 2.777347423424106410e+02, 2.803821052375857334e+02, 2.799993409360047849e+02, 2.819289829685685049e+02, 2.790884214247008117e+02, 2.799993071758021870e+02, 2.798551377561802838e+02, 2.763303341740505630e+02
2.021000000000000000e+03, 2.801677870617441499e+02, 2.802217530888577244e+02, 2.813083391650686735e+02, 2.790059761796883890e+02, 2.784550865020167976e+02, 2.808456339068551415e+02, 2.812372337029131586e+02, 2.815882143443553787e+02, 2.774605447701302410e+02, 2.803337826767509000e+02, 2.802784146682386108e+02, 2.821243712816291236e+02, 2.791090958034955634e+02, 2.798624765397163969e+02, 2.804290806754226537e+02, 2.764514347760878081e+02
2.022000000000000000e+03, 2.798146502460134002e+02, 2.801054003715709655e+02, 2.806637084563195117e+02, 2.785048913950910219e+02, 2.786619185580416911e+02, 2.803237123307613388e+02, 2.808056514899622016e+02, 2.810054900847910062e+02, 2.775148021514777952e+02, 2.803594226949602444e+02, 2.802207019962360732e+02, 2.815594065450027301e+02, 2.789454053726405505e+02, 2.794305544296799440e+02, 2.800522736670965855e+02, 2.767255113087013001e+02
2.023000000000000000e+03, 2.797931826372029604e+02, 2.797884696153236632e+02, 2.813092062792088655e+02, 2.790185998073969245e+02, 2.785889507055077843e+02, 2.807055632184575416e+02, 2.808707165043061309e+02, 2.819330479184775413e+02, 2.780220486069594017e+02, 2.802538236766700948e+02, 2.798079260075077173e+02, 2.820393452498052511e+02, 2.797502001346004477e+02, 2.800276341919517904e+02, 2.799047790615738336e+02, 2.767943375641644934e+02
2.024000000000000000e+03, 2.806934283853226475e+02, 2.797959521512742640e+02, 2.813157332110801576e+02, 2.782879703231167809e+02, 2.786169603626340177e+02, 2.806594531403268888e+02, 2.813421323171068025e+02, 2.819098570466171054e+02, 2.781864220909620826e+02, 2.801648500461880076e+02, 2.804337349104267787e+02, 2.818398796356247544e+02, 2.792800477129766250e+02, 2.798230451750360430e+02, 2.796481611546963677e+02, 2.762466545462844465e+02
2.025000000000000000e+03, 2.811698752143864226e+02, 2.800335403176339355e+02, 2.808989308569580317e+02, 2.783373520836686907e+02, 2.781912152368668103e+02, 2.805837392007524613e+02, 2.809741109755203183e+02, 2.818395319250024613e+02, 2.781464635267058725e+02, 2.810620121406967087e+02, 2.799361020239900313e+02, 2.811836015793797969e+02, 2.797042386995835841e+02, 2.807535484612055825e+02, 2.807103624587446689e+02, 2.771230232789090451e+02
2.026000000000000000e+03, 2.804146420185803663e+02, 2.804735889630579777e+02, 2.809553719555634643e+02, 2.782345754043087709e+02, 2.788104415854230638e+02, 2.800888171702123373e+02, 2.808744040975376492e+02, 2.817267270954361038e+02, 2.778729108589994894e+02, 2.807853787787900615e+02, 2.804569445961654424e+02, 2.814965767348954273e+02, 2.792236355468527904e+02, 2.806347074062649085e+02, 2.808096892627980878e+02, 2.774731728222640186e+02
2.027000000000000000e+03, 2.805848959189655716e+02, 2.806332291946845316e+02, 2.810354342288626412e+02, 2.784632446307575151e+02, 2.792054185298365496e+02, 2.807728168505922213e+02, 2.802752123058293705e+02, 2.818982900606186490e+02, 2.787130430134787957e+02, 2.809036136039177904e+02, 2.802362745576494945e+02, 2.817093650972164482e+02, 2.796438231619475232e+02, 2.802790875021960346e+02, 2.806211199642664837e+02, 2.770479237499481542e+02
