year, NorESM2-LM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, CanESM5
2.015000000000000000e+03, 4.315802248887387726e+00, 2.931270084402209708e+00, 3.775579250057124359e+00, 4.024266760498071527e+00, 2.942448966216332451e+00, 3.759058552174804557e+00, 4.994966665924951421e+00, 4.310474936423077885e+00, 4.100007567745685755e+00, 5.664916066810259387e+00, 2.356647889695306475e+00, 4.686750021835930369e+00, 3.354210631150153166e+00, 4.312299367550806117e+00
2.016000000000000000e+03, 4.415887614132003591e+00, 2.997432828563298290e+00, 4.416051168073411581e+00, 3.950536637969793929e+00, 2.772960160877229185e+00, 3.900395997996442876e+00, 4.930107077998519216e+00, 4.320398473666644534e+00, 3.909101425423043619e+00, 5.851448453991861420e+00, 2.399097889713921017e+00, 4.269886530784939183e+00, 3.275766046620926186e+00, 4.300557905066590969e+00
2.017000000000000000e+03, 4.344104914233439807e+00, 2.962721368436567193e+00, 4.165353561862789711e+00, 4.094821989216492319e+00, 2.813099930587171560e+00, 3.905554699637607374e+00, 5.117449058735116019e+00, 4.322322026293218933e+00, 3.973207794757039668e+00, 5.435309111351307898e+00, 2.419882501141258579e+00, 4.193863981063341129e+00, 3.323701033731334853e+00, 4.129357861005443553e+00
2.018000000000000000e+03, 4.421274784513010481e+00, 3.063251322799604104e+00, 4.126839302697278278e+00, 4.124528694325934275e+00, 2.844736717947522031e+00, 3.933419294080870099e+00, 5.032904608573478100e+00, 4.361580168661730816e+00, 4.157515860630405236e+00, 5.784014835921731823e+00, 2.402737392236907521e+00, 4.311300781468087706e+00, 3.308302496037974993e+00, 4.289911087582345850e+00
2.019000000000000000e+03, 4.502205291285782174e+00, 2.972438400931065150e+00, 4.152566968575086115e+00, 4.110761618901164205e+00, 2.909269778815005925e+00, 3.926669166768194330e+00, 5.245970921268019005e+00, 4.375640096503388143e+00, 4.143184933754376686e+00, 5.711875791598817642e+00, 2.372221344029866064e+00, 4.477283489035868591e+00, 3.239491654166585910e+00, 4.415127853118179679e+00
2.020000000000000000e+03, 4.354523471444798233e+00, 2.764967513957726108e+00, 4.340622741230814263e+00, 4.119098422371382462e+00, 2.839462745867466609e+00, 3.876955308928064170e+00, 5.206860192621348027e+00, 4.551758267314624185e+00, 4.302580565093560239e+00, 5.836806746245741806e+00, 2.317744939898170209e+00, 4.553768714490267655e+00, 3.206679535588388141e+00, 4.377860174329254228e+00
2.021000000000000000e+03, 4.284108066845053742e+00, 2.867726588385171471e+00, 4.146857327160955897e+00, 4.185346356808971713e+00, 2.883409968276978486e+00, 4.012239932901243478e+00, 5.237214084068137154e+00, 4.459346093384868759e+00, 4.038557924485183470e+00, 6.057257948514744861e+00, 2.375881074590258102e+00, 4.455050263113883524e+00, 3.327585958622700790e+00, 4.499800231822584706e+00
2.022000000000000000e+03, 4.533406558522011132e+00, 2.842448573172602355e+00, 4.289874340572544575e+00, 4.101061796647825552e+00, 2.860727513072509165e+00, 3.963699588387364248e+00, 5.150730959807503950e+00, 4.470426779666477834e+00, 3.960957399255207179e+00, 5.870128107640603332e+00, 2.403999118174121374e+00, 4.459486069848602519e+00, 3.359255995744970580e+00, 4.332421844909173814e+00
2.023000000000000000e+03, 4.622924799183358857e+00, 3.187108210876381076e+00, 4.256574259563159046e+00, 4.225078794706226937e+00, 2.924361659259112844e+00, 3.957218491146082595e+00, 5.248129244634376356e+00, 4.335156546110973785e+00, 4.232517230467103708e+00, 5.913710879716862934e+00, 2.477757332068567298e+00, 4.297664578047614370e+00, 3.410971543227466540e+00, 4.684204559146750491e+00
2.024000000000000000e+03, 4.677162915871928561e+00, 3.118536688895308107e+00, 4.054168925782938970e+00, 4.289248029946771901e+00, 3.022017992842020551e+00, 4.037400902538474057e+00, 5.097464721139267851e+00, 4.561218864029656928e+00, 4.149541063438015875e+00, 5.831643691346763525e+00, 2.419341681901954644e+00, 4.150224554890144191e+00, 3.486915488624097392e+00, 4.563335033810086649e+00
