year, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, IPSL-CM6A-LR, INM-CM5-0, CNRM-ESM2-1, INM-CM4-8, CESM2-WACCM, ACCESS-ESM1-5, CanESM5
2.015000000000000000e+03, 3.317277005997705253e-01, 1.189427769511680610e-02, 3.104188311653771626e-01, 3.018803089850854438e-01, 3.476881450044105870e-02, -7.351716661338844050e-01, 3.694311942996680309e-01, 3.179665548843701450e-01, 4.545172966139515713e-01, 1.936676684044122132e-01, 7.180203100749242839e-01, 4.719475770124090808e-01, 4.521053449326384865e-01, 3.154216582650907763e-01, 3.209316223777963772e-01, 1.069039040741602276e-01
2.016000000000000000e+03, 1.668035704465543612e-01, -5.435855783951099029e-01, 8.763542027634581288e-02, 5.216211286381278178e-02, 1.582282710195602182e-01, -3.350418518753804920e-01, -2.174012267634569950e-01, -1.060245802367064671e-01, 3.872074449270339058e-01, 1.668980846464434287e-01, 4.560819657543724870e-01, 2.969232524111896643e-01, 7.070463438304505077e-01, -7.246461640579045238e-02, 2.355058963994273724e-01, 4.802383705524385094e-02
2.017000000000000000e+03, 1.416035575522435752e-01, -5.831855909043853758e-02, 3.840032456387031806e-02, 2.614614116285591816e-01, 3.430139037666447011e-01, 8.800589742735837051e-02, 1.270250697745850255e-01, 5.920347073797835868e-01, 5.466297351477021893e-01, 4.317734997831169236e-02, 2.229684530728001657e-01, 4.083737158619480390e-01, 5.354242692306999674e-01, 1.356607475323168277e-01, 3.184075085658985005e-01, 2.555964635583126143e-01
2.018000000000000000e+03, 1.360796456575721070e-01, 3.231856159259124256e-02, 2.796471027286065447e-01, -7.619711620613707492e-02, 4.018559755469982009e-01, -3.106413187266985343e-01, 3.633306746548161520e-02, 2.989878758641839607e-01, 6.708101127928665086e-01, 1.140263330202666153e-01, 4.303763609762236708e-01, 3.465984389983316483e-01, 3.555952805318225440e-01, 2.271810473793885732e-01, 1.361450442268612449e-01, 2.349721139782985357e-01
2.019000000000000000e+03, 2.086900866757003814e-01, 4.140689935266545982e-03, 1.671167061278129862e-01, 3.521120660372832611e-02, 1.816067861987884224e-01, -5.374971710978337924e-01, 2.237562282579377004e-01, -1.586499897175880636e-01, 5.167190943575246109e-01, 1.376320652995683680e-01, 4.137898933323715944e-01, 3.165310473208574615e-01, 6.576491074002722703e-01, 2.343700685279178353e-01, 2.171734453025246370e-01, 1.015255792386126760e-01
2.020000000000000000e+03, 2.998884088323938713e-01, -1.702217656641970625e-02, 4.021245590421252403e-01, 1.879106302587101041e-01, 2.871552733389904355e-01, -4.634911649707305625e-01, 1.610252356687502107e-01, -1.805911121344200010e-01, 6.201478775181824554e-01, 8.529218574925138963e-02, 5.682103127405506715e-01, 3.183941614214085836e-01, 2.893122445504529017e-01, 2.950893681724276463e-01, 2.816349194312495752e-01, 1.393380733837453200e-01
2.021000000000000000e+03, 7.094602008107767088e-02, -8.408931998311054701e-02, 3.264053249971182180e-01, 4.940144827232015312e-01, 5.443138444429458378e-01, 5.971914618562525201e-02, 5.051179145767337175e-01, 4.556421428766818660e-01, 5.241537720422918545e-01, 1.693748862352894013e-01, 6.005244001363087003e-01, 4.832555479781358576e-01, 8.577157047936093681e-01, 3.064471498734552268e-01, 1.943081785868829570e-01, 2.325459865337873577e-01
2.022000000000000000e+03, 3.280366282694506808e-01, -1.302259934354879981e-02, 2.048002086798302868e-01, 2.359166326738800223e-01, 1.051267311776923341e-01, -2.189360712068323389e-01, 2.020343877896093598e-01, 5.201327896132568185e-01, 6.369537919378097657e-01, 2.467745984309262786e-01, 2.326753231493563778e-01, 5.052415458517464097e-01, 7.247535638350116605e-01, 7.564010996958098199e-02, 2.052572043471362073e-01, 3.268372348566999652e-01
2.023000000000000000e+03, 1.624038984560040311e-01, 1.086535579508346311e-01, 1.518583341106540252e-01, 2.054344602730923397e-01, 1.078302578690588792e-01, 1.488795210235095701e-01, 1.875590983244180554e-01, 7.039792892489636911e-01, 6.560602646493642887e-01, 3.544699248439572292e-01, 1.961195356334396178e-01, 3.569452644114936013e-01, 5.346768776789246891e-01, 2.383238350036544495e-01, 2.589025037640180216e-01, -8.659446497017894706e-02
2.024000000000000000e+03, 2.580892930169854105e-01, -2.452302040222747448e-01, 3.089383265992986516e-01, 3.966987200744623854e-01, 2.915788170557782610e-01, 2.894663520878617002e-01, -4.689422577105363810e-01, 2.564516029566737965e-01, 6.601435523510463810e-01, 3.295283041799713097e-01, 2.588699824004426220e-01, 4.225924404527933165e-01, 3.230203435659819156e-01, 7.435623336799358774e-02, -7.797959353256860536e-04, 2.005778833597247901e-01
2.025000000000000000e+03, 4.395725488719703922e-01, 1.009773180995478803e-01, 1.678604069583743419e-01, 2.049976523727040367e-01, 3.004715748687055155e-01, -1.789887264666588651e-01, 5.016757961748828931e-01, 4.204541019659430862e-02, 6.071018022074623488e-01, 1.218795317286756746e-01, 4.826461165228701500e-01, 5.151792800048742293e-01, 5.456784745373949308e-01, 3.243946525298256889e-01, 2.058970088174753854e-01, 3.499906900667711374e-01
2.026000000000000000e+03, 3.330202247734623811e-01, 4.206353953520439171e-02, 3.463921085114936016e-01, 3.165365003931238097e-01, 3.986987515125154369e-01, -3.327557103841319308e-02, 8.762044021001104410e-02, 1.283293539752969337e-01, 7.403863435952819927e-01, 1.485989305530182880e-01, 5.439180366563736158e-01, 5.929358125131484192e-01, 6.458522631877052778e-01, 2.521143246195127197e-01, 2.919172808505723360e-01, 1.890398907950049112e-01
2.027000000000000000e+03, 2.137550415503772783e-01, 1.630458484140816511e-01, 6.818323282363791815e-01, 1.990384879126269047e-01, 1.502806527923123137e-01, -2.406129558137277691e-01, -1.609643057279952494e-01, 5.301509180117309761e-01, 6.975353735078314577e-01, 2.131047278879193707e-01, 5.980307618363874811e-01, 4.464443200356413288e-01, 2.403887866795388628e-01, 1.334466890643208614e-01, 3.773498698720874622e-01, 1.705147939330083628e-01
2.028000000000000000e+03, 1.941049621565224814e-01, -1.698015845885799402e-01, 2.542168841152073200e-01, 1.704030784063942094e-01, 4.251574886691983357e-01, 3.567259684688089960e-01, 5.392716670799000411e-01, 5.702106862886517913e-01, 6.002443607964341732e-01, 2.183662992001925707e-01, 5.687130138346753183e-01, 3.496766272879025528e-01, 3.472553552349352812e-01, -1.646591396715486599e-01, 4.251031044398372871e-01, 4.248054911907862552e-01
2.029000000000000000e+03, 3.646304523240110340e-01, 2.019974922089326497e-01, 4.995655859063165977e-02, 1.280299238442913351e-02, 2.588204741582678103e-01, 1.420503102311410082e-01, 3.907914261051118610e-01, -3.218032495943204396e-02, 4.272068418840224147e-01, 3.068175962436687221e-01, 4.322972888565534966e-01, 5.986282131999574041e-01, 4.859715453369343741e-01, 1.710330142838566159e-01, 9.760719173487850120e-02, 3.846089047904594493e-01
2.030000000000000000e+03, 3.598528805842601819e-01, 1.574203049800291035e-02, 4.417104011671779129e-01, 4.467564953450888221e-01, 3.671661481120502279e-01, -1.882955225672657551e-01, 5.497983098660131906e-01, 5.029783012334723136e-01, 8.028478613439762324e-01, 1.076766940569161279e-01, 4.911488997387407074e-01, 5.624119829117663061e-01, 6.164397824498505374e-01, 5.148181879844873077e-01, 2.042087669665356431e-01, 3.164680570716284502e-01
2.031000000000000000e+03, -4.857483250103063199e-02, 6.253325270075288378e-02, 4.456970712801175405e-01, 2.118787931644941780e-01, 3.485770569774456207e-01, 3.494613049460386645e-01, 3.445886956166112625e-01, 3.869572292472128194e-01, 6.417497953051402027e-01, 2.112289443665751609e-01, 6.565267162766760256e-01, 4.135776583558808950e-01, 4.902489885486284726e-01, 2.042767560662697157e-01, 3.183068108126735907e-01, 1.602504917366273929e-01
2.032000000000000000e+03, 3.987762701883003635e-01, -5.957637643581750048e-02, 3.205074799658723661e-01, 4.322183089186114602e-01, 2.485305694483651295e-01, -8.217530162618053025e-02, 1.557632614524553927e-01, 6.367363189691818692e-02, 4.781213247894824936e-01, 2.854593232992173601e-01, 4.568212640255547297e-01, 5.063041873240831103e-01, 5.010387722210164485e-01, 1.770308033976896941e-02, 3.739528234416789609e-01, 2.069956325213575254e-01
2.033000000000000000e+03, 4.714302714944584860e-01, 1.267069528439934145e-01, 2.582649151263233245e-01, 4.535445433225213652e-01, 3.397071119936651562e-01, -1.659941180002851013e-01, 2.779708620341451164e-01, 2.887625024885356328e-01, 3.411488490089949477e-01, 2.654972106568825874e-01, 6.641044427428821617e-01, 5.531481173653086669e-01, 5.646245705427016537e-01, 2.574381676601694702e-01, 2.945314254032420642e-01, 4.774878022345822592e-01
2.034000000000000000e+03, 2.653587398727679236e-01, 5.448898078019032143e-02, 3.801880444864385589e-01, 1.837906057148237793e-01, 5.762295546087379261e-01, 2.938257740697807208e-01, 2.828969424643236197e-01, 3.835590917778625708e-01, 8.268873999454997570e-01, 3.230120981340455777e-01, 4.891158720645722990e-01, 5.922106889860877521e-01, 5.349314877013452429e-01, 4.894364720953429670e-01, 3.883000386318427588e-01, 1.994800069412629162e-01
2.035000000000000000e+03, 4.461695766966335963e-01, -9.057577221246441990e-02, 1.115181625832171036e-01, 1.354366410866408577e-01, 2.917363666425381030e-01, 2.212337204408603153e-01, 3.784619411755625884e-01, 8.321456463576534235e-01, 6.771601554768399422e-01, 1.594671858325347469e-01, 5.235379341425839828e-01, 4.993626109672433255e-01, 6.923918769215355873e-01, 4.906546329496419556e-01, 4.241926711960255503e-01, 2.876701895102639073e-01
2.036000000000000000e+03, 6.683249530224142365e-01, 3.402508026038907063e-02, 6.749110545123168103e-01, 5.466074263912612530e-01, 5.667937570723167173e-01, 4.927063677539076925e-01, 4.957048831965216729e-01, 8.963822239443244508e-03, 7.472050606874766077e-01, 2.243340464435187032e-01, 6.660647652152200671e-01, 4.113184822939843222e-01, 5.645080118094266686e-01, 3.595547931516381301e-01, 3.377222684431990807e-01, 3.092601769747263529e-01
