year, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, INM-CM5-0, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM4-8, CanESM5, NorESM2-MM
2.015000000000000000e+03, 6.883199252012525804e+00, 7.791865755463808441e+00, 1.120426978330246826e+01, 1.125999934619359699e+01, 1.002368126130837389e+01, 7.366619708200191852e+00, 1.086086079309576036e+01, 1.101848016413494058e+01, 1.019405077826237260e+01, 8.407847517393483017e+00, 1.075908779011526484e+01, 6.564947778264394351e+00, 1.216893647022649994e+01, 1.074184434841227542e+01, 7.835468091029805571e+00, 9.868804396162264680e+00
2.016000000000000000e+03, 5.954849047304641374e+00, 8.006125634568009630e+00, 1.076677567858228635e+01, 1.111086420261946195e+01, 9.963033543298021044e+00, 7.090567341220232578e+00, 1.055782645999855873e+01, 1.075296053903330318e+01, 9.702799368220610177e+00, 8.163913489492516717e+00, 1.030489097431778056e+01, 6.669582346704274300e+00, 1.155744966508475002e+01, 1.114516715836568217e+01, 7.723598973009766055e+00, 9.508494003099441372e+00
2.017000000000000000e+03, 6.537287574668376955e+00, 8.119682162500330591e+00, 1.148480473523583889e+01, 1.070988192853945975e+01, 1.078206608006978051e+01, 7.582242591040328605e+00, 1.035722370261062686e+01, 1.078816527146328497e+01, 9.942509727249010609e+00, 8.660141344236604866e+00, 1.049859036609228724e+01, 6.511781728828296423e+00, 1.235497430939269314e+01, 1.105582510571832167e+01, 7.744567452893961423e+00, 9.826901341120153788e+00
2.018000000000000000e+03, 6.920402137761455741e+00, 7.893330103704236933e+00, 1.181390569845737737e+01, 1.074004171422893705e+01, 1.069485044093580761e+01, 7.236926285337180964e+00, 1.044881835503260881e+01, 1.080211854866868748e+01, 1.022959535929002328e+01, 8.903550617191511307e+00, 1.061195802174410119e+01, 6.543457970950210978e+00, 1.220836510191761981e+01, 1.052465095981526666e+01, 8.028112593690611476e+00, 1.022214919403264588e+01
2.019000000000000000e+03, 6.887701620812957337e+00, 8.062146841608441861e+00, 1.179939120173312617e+01, 1.073204443750113413e+01, 1.012561569901150627e+01, 6.961332095892803551e+00, 1.044693337345020545e+01, 1.068791849201714683e+01, 1.030653705546956722e+01, 8.684966245517371064e+00, 1.097828877669133796e+01, 6.590605127674880492e+00, 1.236645776628641080e+01, 1.126810834268390238e+01, 8.029691609236861538e+00, 1.002338231588485939e+01
2.020000000000000000e+03, 6.594350953166836504e+00, 8.060552695153688774e+00, 1.169380703290881307e+01, 1.127892450742586483e+01, 9.680433436856972662e+00, 6.937846752187923904e+00, 1.042673132915881418e+01, 1.090370790304846693e+01, 1.063849218488935477e+01, 8.842090825882841898e+00, 1.122828731833645577e+01, 6.286459617731835259e+00, 1.179893419744531435e+01, 1.090025472571181631e+01, 7.976901034377117838e+00, 1.037000952960839051e+01
2.021000000000000000e+03, 6.737220787032419445e+00, 8.227643507858484639e+00, 1.225749902520943735e+01, 1.241176177203237785e+01, 1.030391164736608012e+01, 7.403428357572235718e+00, 1.027485704937919841e+01, 1.111608493120749408e+01, 1.072048449896886524e+01, 8.802248779989469085e+00, 1.119763881618199264e+01, 6.582806000344392672e+00, 1.273092047685596384e+01, 1.150732388954091157e+01, 8.337763020671095759e+00, 1.051463123808457389e+01
2.022000000000000000e+03, 6.801936203616062215e+00, 8.107440873452663510e+00, 1.179398561547524515e+01, 1.153008188058726091e+01, 1.064094547165739080e+01, 7.531638876289329154e+00, 1.068255769297778812e+01, 1.087549678763031125e+01, 1.024878258586284474e+01, 8.834497728376859982e+00, 1.082927379499560416e+01, 6.751001249713072916e+00, 1.206411242859732624e+01, 1.156879357206098646e+01, 8.251290920645756088e+00, 9.991051277559519050e+00
2.023000000000000000e+03, 7.096897964205369114e+00, 8.242393878960839970e+00, 1.194201791550345959e+01, 1.149262820587954792e+01, 1.132407824377225580e+01, 7.416583699541996921e+00, 1.076444434082522150e+01, 1.058053373542973219e+01, 1.060749845652021506e+01, 9.113631059559741843e+00, 1.077524356541580630e+01, 7.172398076899543007e+00, 1.272283507900793431e+01, 1.112519901139086365e+01, 8.221103427227030025e+00, 9.916205009646031243e+00
2.024000000000000000e+03, 6.843666236186995100e+00, 8.063838478040137758e+00, 1.209365775897317441e+01, 1.176844732613778888e+01, 1.066346564997456170e+01, 7.803833225204675372e+00, 1.087977155338957935e+01, 1.083476690684296173e+01, 1.035297186353681553e+01, 9.210056308092939403e+00, 1.084740645568702178e+01, 6.999073404367004869e+00, 1.176629894562245404e+01, 1.108173224239896726e+01, 8.394174534191019887e+00, 1.021885939872516502e+01
2.025000000000000000e+03, 7.128851449816520969e+00, 8.177485230580884945e+00, 1.215629670100065063e+01, 1.184140361958410281e+01, 1.060710424907309957e+01, 8.084477683231238387e+00, 1.092260847199592888e+01, 1.087206158550795188e+01, 1.055544775711719652e+01, 9.060246914757870584e+00, 1.112366104984010562e+01, 6.964587191964905166e+00, 1.272413749854433895e+01, 1.148846360076002249e+01, 8.438006042809071516e+00, 1.028970484772237270e+01
