year, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, TaiESM1, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM
2.035000000000000000e+03, 7.140548260799999980e+01, 6.267818237399999504e+01, 8.142088258799999778e+01, 8.332059545999999273e+01, 6.155589103199999812e+01, 5.188406788799999703e+01, 4.860447762599999777e+01, 7.224557011199999579e+01, 5.186907251999999602e+01, 5.193371737799999721e+01, 8.818792477199998814e+01, 5.037882307199999588e+01, 7.821040741199999502e+01, 5.109587681399999326e+01, 5.843320025399999196e+01, 5.333524028999999445e+01
2.036000000000000000e+03, 7.239890602799999897e+01, 6.124432717799999182e+01, 8.351376922799998681e+01, 8.358693274799999529e+01, 6.178393967399999553e+01, 5.152069432799999760e+01, 4.595165353799999508e+01, 7.259706248399999140e+01, 5.313465950399999826e+01, 5.115080464199999710e+01, 9.502590718799999081e+01, 4.997139766199999400e+01, 7.865120185199999980e+01, 5.064553484999999711e+01, 6.017867843399999828e+01, 5.342370665399999297e+01
2.037000000000000000e+03, 7.308142390799999077e+01, 6.223819998599999792e+01, 8.165029910399999835e+01, 8.453891786399999830e+01, 6.126465607199999397e+01, 5.069847590999999909e+01, 4.729990031999999900e+01, 7.351651033199999574e+01, 5.280895569599999817e+01, 5.273731772999999379e+01, 9.479768903999999452e+01, 4.878894745799999555e+01, 8.333175920399999370e+01, 5.048655004799999801e+01, 5.619014706599999442e+01, 5.373491572799999716e+01
2.038000000000000000e+03, 7.231608460799999705e+01, 6.350735447999999650e+01, 8.348646693599999935e+01, 8.386933762799999670e+01, 6.156260819999999256e+01, 5.161447844999999290e+01, 4.768240440599999630e+01, 7.654223973599999908e+01, 5.139794044799999284e+01, 5.289046048799999511e+01, 9.272769753599999376e+01, 5.103768895199999633e+01, 8.214208725599999639e+01, 5.116755025799999856e+01, 5.853456484199999466e+01, 5.268232288799999452e+01
2.039000000000000000e+03, 7.093126789199999394e+01, 6.341275042199999490e+01, 8.160830103600000029e+01, 8.317248663599998793e+01, 6.151577723999999847e+01, 5.228971151399999684e+01, 4.767120912599999372e+01, 7.528914889200000005e+01, 5.023979661599999957e+01, 5.198339051999999327e+01, 9.069267157199999474e+01, 5.042721112199999567e+01, 7.947159512399998960e+01, 5.146185997799999257e+01, 6.092836799399999848e+01, 5.343026219999999427e+01
2.040000000000000000e+03, 7.244889058799999759e+01, 6.529619071799999119e+01, 8.317355885999999998e+01, 8.362045551599999271e+01, 6.217611348599999843e+01, 5.166799504199999404e+01, 4.814765501399999437e+01, 7.387572113999999601e+01, 5.234806888199999264e+01, 5.437990970999999263e+01, 9.207994809599999542e+01, 4.874253040799999326e+01, 8.084048615999999754e+01, 5.131263162599999816e+01, 6.075660716999999522e+01, 5.382514022399999476e+01
2.041000000000000000e+03, 7.286213044799998784e+01, 6.321148372799999748e+01, 8.289003445199999476e+01, 8.430571702799998945e+01, 6.130823488199999360e+01, 5.188753290599999701e+01, 4.817745259199999452e+01, 7.637870192399999780e+01, 5.148369865799999445e+01, 5.259203926199999302e+01, 9.294488596799999414e+01, 5.133868430399999738e+01, 8.034371531999998695e+01, 5.149899755999999940e+01, 6.003938786399999827e+01, 5.446963751399999865e+01
2.042000000000000000e+03, 7.378169655599999999e+01, 6.135751382399999443e+01, 8.417174421599999334e+01, 8.447623217999999667e+01, 6.109282823399999529e+01, 5.283152364599999373e+01, 4.784168485799999360e+01, 7.521032465999999772e+01, 5.042773146599999734e+01, 5.258628394199999434e+01, 9.195329951999998741e+01, 4.986029239199999807e+01, 7.912501448399999049e+01, 5.055540496199999723e+01, 5.729102940599999272e+01, 5.467279242599999378e+01
2.043000000000000000e+03, 7.195143383999999287e+01, 6.414343954199999587e+01, 8.351057620799998915e+01, 8.277569279999998741e+01, 6.360323968799999506e+01, 5.206431583799999885e+01, 4.827081491999999940e+01, 7.429524454799999944e+01, 5.035098072599999597e+01, 5.087843215199999491e+01, 9.416442250799998703e+01, 5.177220575399999802e+01, 8.027993375999999159e+01, 5.218377026399999608e+01, 6.020799508799999700e+01, 5.322268830599999490e+01
2.044000000000000000e+03, 7.220212138799999479e+01, 6.407937415799999314e+01, 8.264195650799999271e+01, 8.568119120399998678e+01, 6.134379172199999175e+01, 5.303672839799999394e+01, 4.749433158599999416e+01, 7.366641670799999986e+01, 5.255734966199999292e+01, 5.163401500199999816e+01, 9.384076853999999912e+01, 5.024216575799999873e+01, 8.069953600799999549e+01, 5.272812892799999673e+01, 5.827408142399999491e+01, 5.399127187199999867e+01
