year, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, UKESM1-0-LL, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM
2.015000000000000000e+03, 3.691842151383040118e+02, 5.183847352238079793e+02, 5.545126243860479462e+02, 3.436353672970240041e+02, 6.617339999027200292e+02, 5.311389090447360104e+02, 3.438592424673279879e+02, 3.767325530521599717e+02, 4.965826088140800039e+02, 6.564401842749439311e+02, 6.715020977111039429e+02, 5.583370243276799556e+02, 4.299456879001600100e+02, 4.840598599106559732e+02, 4.228206055915520096e+02, 4.842689375764479678e+02
2.016000000000000000e+03, 3.707183573237759902e+02, 5.217578280550400223e+02, 5.557454142177280119e+02, 3.445360689152000191e+02, 6.634438666485759768e+02, 5.350088087961599967e+02, 3.457356398591999778e+02, 3.778044829368320165e+02, 4.968959401000959701e+02, 6.581666269102080378e+02, 6.699473195499519989e+02, 5.582116985241599423e+02, 4.322003108495359811e+02, 4.848661058027519744e+02, 4.215997275832319815e+02, 4.860254449827839949e+02
2.017000000000000000e+03, 3.707380537753600152e+02, 5.246213632819200257e+02, 5.579188018872320072e+02, 3.442922624122879824e+02, 6.649478433996799822e+02, 5.374041925877760377e+02, 3.480470704619519893e+02, 3.793822458839039768e+02, 4.983982391295999719e+02, 6.608607793643519699e+02, 6.734344303411199917e+02, 5.592173248512000328e+02, 4.332163390504960034e+02, 4.869853030645759873e+02, 4.242147251322879811e+02, 4.879466710958079716e+02
2.018000000000000000e+03, 3.722176700088319876e+02, 5.257427523993600289e+02, 5.595916916490240283e+02, 3.452105129984000200e+02, 6.664655103590399676e+02, 5.381383635599360105e+02, 3.492705321615359821e+02, 3.817529336135680182e+02, 5.005727676497920129e+02, 6.636661983150079323e+02, 6.760625476730880337e+02, 5.601237307228159352e+02, 4.338007901470720071e+02, 4.890237683630080028e+02, 4.256252527902719862e+02, 4.896936154890240118e+02
2.019000000000000000e+03, 3.742809991413760144e+02, 5.295063852646400164e+02, 5.614231261020159991e+02, 3.474865772298239790e+02, 6.695320498995199614e+02, 5.410848117882879933e+02, 3.498785384693759966e+02, 3.828614378291200069e+02, 5.027586711224319629e+02, 6.651766846259199610e+02, 6.786053696389119523e+02, 5.608067311861759663e+02, 4.341288518287360034e+02, 4.910332426321920138e+02, 4.278467910696959962e+02, 4.914221049446400116e+02
2.020000000000000000e+03, 3.762204453109760038e+02, 5.327623731281919390e+02, 5.621983341445119322e+02, 3.482957759119360048e+02, 6.724925574348800410e+02, 5.451220810465280238e+02, 3.506058643374079793e+02, 3.829411296051200111e+02, 5.056975024947199699e+02, 6.670503641087999540e+02, 6.799867384954879981e+02, 5.618045057761279395e+02, 4.351842393784319825e+02, 4.922613683978240147e+02, 4.276300629934079893e+02, 4.935495565967360108e+02
2.021000000000000000e+03, 3.779452773335040092e+02, 5.349758583439360109e+02, 5.643954112430079704e+02, 3.485868606095360178e+02, 6.747128542003199527e+02, 5.493538317926399941e+02, 3.522325160919040172e+02, 3.844137665167360183e+02, 5.075147769774079620e+02, 6.696747233443840059e+02, 6.801438403461120288e+02, 5.632564396031999649e+02, 4.368107569151999883e+02, 4.937001488875520181e+02, 4.264320355532800022e+02, 4.957797183651840101e+02
2.022000000000000000e+03, 3.805420212715520165e+02, 5.361469080207359639e+02, 5.672601544294400355e+02, 3.501501951508479920e+02, 6.766700171100160333e+02, 5.541049715916799414e+02, 3.527036538716159839e+02, 3.860580007936000015e+02, 5.089363104890879868e+02, 6.722134516695040247e+02, 6.824062143692799509e+02, 5.640695305994239561e+02, 4.373949060218880049e+02, 4.958814889574400127e+02, 4.302830777139199654e+02, 4.977336936038399813e+02
2.023000000000000000e+03, 3.833302939074559958e+02, 5.383908942151680321e+02, 5.695776919388159740e+02, 3.525322242785280196e+02, 6.792649155543040251e+02, 5.565695446220800022e+02, 3.546517906391039787e+02, 3.887675211775999742e+02, 5.118090731847680104e+02, 6.748905584721919695e+02, 6.846717425090560027e+02, 5.645943219159039472e+02, 4.366108396093439978e+02, 4.981859737927679816e+02, 4.327324841410559770e+02, 4.999132552888319765e+02
2.024000000000000000e+03, 3.848040045608959758e+02, 5.403334609469440011e+02, 5.721193730539520175e+02, 3.536784436756479977e+02, 6.799717732188159971e+02, 5.565967237119999709e+02, 3.574274132541439712e+02, 3.916977961697280080e+02, 5.133011045580799419e+02, 6.767521583595520269e+02, 6.862919518126079765e+02, 5.653640605859840207e+02, 4.371172095426559849e+02, 5.008047294382079713e+02, 4.349571094282239869e+02, 5.024785251696640103e+02
2.025000000000000000e+03, 3.866753687879680115e+02, 5.438782853611519386e+02, 5.731239927480320375e+02, 3.551668511703039712e+02, 6.809794128117760010e+02, 5.593329534238720271e+02, 3.600654291435519667e+02, 3.933557877637119873e+02, 5.151267340943360296e+02, 6.780891011481600117e+02, 6.869058637004800403e+02, 5.665789323509759470e+02, 4.393552901570560039e+02, 5.030741163376640088e+02, 4.334496094617600193e+02, 5.051283857735679703e+02
2.026000000000000000e+03, 3.887814798213120184e+02, 5.482655944540159680e+02, 5.748834529443839756e+02, 3.556440958566399786e+02, 6.833229885603840330e+02, 5.634584372838399986e+02, 3.606367604572159848e+02, 3.931452001484800007e+02, 5.184912705454080424e+02, 6.784774601441280311e+02, 6.876751326085119445e+02, 5.679603683164159520e+02, 4.390130685050879720e+02, 5.038391238328320014e+02, 4.320458933534719677e+02, 5.073012365721600077e+02
2.027000000000000000e+03, 3.913696002703359795e+02, 5.503494924533760013e+02, 5.776628336558079582e+02, 3.577958409175039947e+02, 6.851273445867519740e+02, 5.662058741759999521e+02, 3.612849649745920146e+02, 3.950786065203199655e+02, 5.204106176102400241e+02, 6.800213666693119876e+02, 6.897918132879359518e+02, 5.693061023662079378e+02, 4.365692321136639862e+02, 5.068392927068159679e+02, 4.321238738534399886e+02, 5.095757572997119951e+02
