year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, ACCESS-ESM1-5, CanESM5, CESM2-WACCM, TaiESM1
2.015000000000000000e+03, 2.886898842337279802e+02, 1.934464678625280101e+02, 3.523531610521600044e+01, 5.412365113753600099e+01, 3.055026679316479772e+02, 1.088708358963200027e+02, 2.759177755688959905e+02, 3.310718707302400077e+01, 4.951530641817599587e+01, 5.076858961920000013e+01, 1.120030582374400012e+02, 3.515229405184000200e+01, 1.192201447014399918e+01
2.016000000000000000e+03, 2.885000332574720119e+02, 1.941939096125439903e+02, 3.510666841292800200e+01, 5.340552337817599948e+01, 3.059580351283199775e+02, 1.093035874058240040e+02, 2.763729749934079791e+02, 3.355299125657600001e+01, 5.048562928844799558e+01, 5.119666028543999658e+01, 1.120247008460799947e+02, 3.551199336857600031e+01, 1.210506752819200038e+01
2.017000000000000000e+03, 2.893249354137599880e+02, 1.943403075993599884e+02, 3.523415428300799590e+01, 5.382518865920000195e+01, 3.077468554526719799e+02, 1.096442403880959944e+02, 2.768496492543999921e+02, 3.359287069900799594e+01, 4.878871874764799799e+01, 5.112150674636799863e+01, 1.131664491151360039e+02, 3.515465334783999651e+01, 1.212623513190400004e+01
2.018000000000000000e+03, 2.894270079959039776e+02, 1.943775362416639894e+02, 3.549779145523199730e+01, 5.416961651507200060e+01, 3.088100611850239829e+02, 1.092530712084479916e+02, 2.771626449960959917e+02, 3.367470995865600258e+01, 4.933381888409599725e+01, 5.123510108159999987e+01, 1.133886801182719921e+02, 3.482769896243200236e+01, 1.235816126873599963e+01
2.019000000000000000e+03, 2.898162058526719989e+02, 1.953284017356799893e+02, 3.579081811558400261e+01, 5.451907334143999861e+01, 3.084499550208000187e+02, 1.094725004165119913e+02, 2.776677566382080045e+02, 3.390865984716799630e+01, 4.923908213964799785e+01, 5.132662079488000018e+01, 1.133155901767679978e+02, 3.467687179059200275e+01, 1.207383988633599969e+01
2.020000000000000000e+03, 2.905226608639999881e+02, 1.960736288931840079e+02, 3.614580303462400224e+01, 5.425244982476800004e+01, 3.080114321489920144e+02, 1.097681149624319943e+02, 2.778486989127679863e+02, 3.372654316748799630e+01, 5.058970255359999868e+01, 5.140406861823999662e+01, 1.134123947130879912e+02, 3.505540353228799688e+01, 1.218372016537600011e+01
2.021000000000000000e+03, 2.909615863889919751e+02, 1.962000787701759918e+02, 3.592681003417600039e+01, 5.410056149401599868e+01, 3.083268102553599874e+02, 1.098750697144320014e+02, 2.777421635911679800e+02, 3.349942789734399895e+01, 5.056850454118399796e+01, 5.114725557862399796e+01, 1.137305242828799976e+02, 3.560298459955200201e+01, 1.190454309683200051e+01
2.022000000000000000e+03, 2.918626235514880136e+02, 1.957065434071039931e+02, 3.587215405875200247e+01, 5.416892026060799736e+01, 3.089583046655999965e+02, 1.100598791372799923e+02, 2.782336185794559924e+02, 3.364754554879999660e+01, 4.876978985369599684e+01, 5.110652049817599618e+01, 1.137501200711679985e+02, 3.548107295948799589e+01, 1.264931307520000026e+01
2.023000000000000000e+03, 2.920135849410559672e+02, 1.963727331000320078e+02, 3.594320137420800165e+01, 5.395983840051199820e+01, 3.094291740098560126e+02, 1.104556117196799931e+02, 2.785873661788160121e+02, 3.364986290176000239e+01, 4.984975602483199708e+01, 5.111342851686399769e+01, 1.151302893567999917e+02, 3.565319880703999900e+01, 1.231087783116799983e+01
2.024000000000000000e+03, 2.925697832058879726e+02, 1.973675716771840030e+02, 3.590231529881599926e+01, 5.417813934080000138e+01, 3.091759387115520212e+02, 1.106998544302079921e+02, 2.792131395583999733e+02, 3.386923968102399840e+01, 4.989800729804800028e+01, 5.108464300851199624e+01, 1.155256025087999916e+02, 3.610733287833600258e+01, 1.208893728358400033e+01
