year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.025000000000000000e+03, 4.401461386799999786e+01, 8.417672690399999169e+01, 4.476747673799999916e+01, 4.139746093799999471e+01, 5.001100293599999702e+01, 6.762847895999999537e+01, 4.179345848999999902e+01, 4.277390484599999354e+01, 6.973777220399999521e+01, 6.249566777399999751e+01, 4.586896614599999822e+01, 4.770508667399999325e+01, 4.600135427399999344e+01, 4.754167500599999840e+01
2.026000000000000000e+03, 4.405107342599999498e+01, 8.417113714799999968e+01, 4.382738069399999858e+01, 4.211257521599999620e+01, 4.996997459999999336e+01, 6.784032992399998818e+01, 4.261067450999999551e+01, 4.445957500199999402e+01, 6.830061361199999226e+01, 6.157276673399999822e+01, 4.664330503199999356e+01, 4.705781421599999703e+01, 4.686732100799999756e+01, 4.741172303399999777e+01
2.027000000000000000e+03, 4.391435698199999393e+01, 8.425550383199998805e+01, 4.350783034799999882e+01, 4.235848505999999958e+01, 5.007197384999999912e+01, 6.640489004399999828e+01, 4.214913332399999746e+01, 4.477578647399999312e+01, 7.039512435599999662e+01, 6.182348581799999465e+01, 4.599423107999999871e+01, 4.647762671399999590e+01, 4.654380895199999912e+01, 4.777899523199999976e+01
2.028000000000000000e+03, 4.402676311199999759e+01, 8.543861629199999186e+01, 4.448850139799999681e+01, 4.231799677799999415e+01, 4.984814708999999766e+01, 6.874572059999999851e+01, 4.154991384599999549e+01, 4.375149719399999526e+01, 7.079508755999999892e+01, 6.363325801799999226e+01, 4.569399653399999295e+01, 4.782466330199999760e+01, 4.609374292799999751e+01, 4.821087680999999492e+01
2.029000000000000000e+03, 4.410613528199999678e+01, 8.453864192399998956e+01, 4.364345485799999835e+01, 4.265893247399999666e+01, 5.027678440199999699e+01, 6.865918581599999015e+01, 4.260038194799999900e+01, 4.437739218599999447e+01, 7.116718870799999763e+01, 6.478992754200000093e+01, 4.420612805399999701e+01, 4.813176086999999370e+01, 4.612857049799999487e+01, 4.858559150399999282e+01
2.030000000000000000e+03, 4.464510917399999812e+01, 8.562825802799999053e+01, 4.464013831199999771e+01, 4.259901013199999653e+01, 5.055057995399999271e+01, 6.841363075199998889e+01, 4.301727604199999888e+01, 4.483100600999999585e+01, 6.965588898000000029e+01, 6.294333311999999836e+01, 4.494130711199999695e+01, 4.812237102599999616e+01, 4.651510724999999979e+01, 4.865715062999999674e+01
2.031000000000000000e+03, 4.438595815199999350e+01, 8.592002909999999360e+01, 4.473621667799999813e+01, 4.253498022599999473e+01, 5.057077087799999759e+01, 6.764443617599999925e+01, 4.236765020999999365e+01, 4.430747687399999535e+01, 7.091602811999999290e+01, 6.229205164799999750e+01, 4.611568015799999642e+01, 4.800003499799999673e+01, 4.554725952599999772e+01, 4.874678382599999793e+01
2.032000000000000000e+03, 4.433991559199999699e+01, 8.557289657999999122e+01, 4.488075404999999307e+01, 4.275178234199999849e+01, 5.018279923799999409e+01, 6.819380117999999413e+01, 4.270668980399999981e+01, 4.397585218199999701e+01, 7.032434180399999946e+01, 6.249288866399999165e+01, 4.632539455799999928e+01, 4.735431962999999911e+01, 4.557010735799999424e+01, 4.815441554399999546e+01
2.033000000000000000e+03, 4.472819076599999732e+01, 8.661044674799998688e+01, 4.466473639199999468e+01, 4.299477510599999874e+01, 5.048265929399999408e+01, 6.777818823599999121e+01, 4.331152268999999677e+01, 4.426232126399999345e+01, 7.066366916399999809e+01, 6.420677171399999850e+01, 4.525766049599999974e+01, 4.869081136799999854e+01, 4.614541466399999337e+01, 4.891197727799999484e+01
2.034000000000000000e+03, 4.505554627199999373e+01, 8.609927184000000011e+01, 4.538990276999999907e+01, 4.272712513199999762e+01, 5.027683564799999516e+01, 6.913440968399999065e+01, 4.306748529599999387e+01, 4.474274068799999782e+01, 7.119715579199998956e+01, 6.558322350599999595e+01, 4.619614426199999713e+01, 4.899755809799999895e+01, 4.646154729599999911e+01, 4.938980286599999658e+01
