year, MIROC-ES2L, ACCESS-ESM1-5, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CanESM5, INM-CM5-0, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, NorESM2-LM, INM-CM4-8, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4
2.015000000000000000e+03, 1.257175071359999947e+02, 1.200406092839999843e+02, 1.529438919839999755e+02, 1.307797919999999863e+02, 1.142377408799999898e+02, 1.440537674400000014e+02, 1.541294405999999810e+02, 1.629530241839999860e+02, 1.174533721919999891e+02, 1.271951816039999841e+02, 1.105981947719999852e+02, 1.163317391639999840e+02, 1.656768358079999928e+02, 1.103555883239999957e+02, 1.344450793679999947e+02, 1.123254372599999868e+02
2.016000000000000000e+03, 1.256374687679999909e+02, 1.220370272999999912e+02, 1.553935296239999957e+02, 1.300573574279999889e+02, 1.135787961599999960e+02, 1.433288021039999762e+02, 1.557701009999999826e+02, 1.655557217999999864e+02, 1.150428628439999841e+02, 1.265870177279999922e+02, 1.087394077439999904e+02, 1.177638835319999941e+02, 1.635149957040000004e+02, 1.154347291799999908e+02, 1.324837924560000033e+02, 1.120376870279999935e+02
2.017000000000000000e+03, 1.253941054559999912e+02, 1.249539496199999888e+02, 1.587287927519999755e+02, 1.334074976639999761e+02, 1.160235851399999945e+02, 1.443333340799999860e+02, 1.538319930479999869e+02, 1.634553611279999927e+02, 1.189861558199999934e+02, 1.216566242999999901e+02, 1.122061681079999858e+02, 1.165820009759999891e+02, 1.676060821439999984e+02, 1.132708471199999849e+02, 1.417656256559999974e+02, 1.094159574359999851e+02
2.018000000000000000e+03, 1.265948307719999946e+02, 1.252805048999999968e+02, 1.575697659119999798e+02, 1.322541867239999931e+02, 1.165125823559999958e+02, 1.408797794159999910e+02, 1.533962286000000006e+02, 1.657845785519999993e+02, 1.185602542559999932e+02, 1.269459052919999920e+02, 1.121003490599999850e+02, 1.160294035319999892e+02, 1.668156638399999849e+02, 1.112802238439999911e+02, 1.383078767039999946e+02, 1.132529267879999963e+02
2.019000000000000000e+03, 1.264414712039999955e+02, 1.253999159639999874e+02, 1.541467223279999814e+02, 1.338952492079999956e+02, 1.165196148839999921e+02, 1.442504417039999964e+02, 1.565802450719999968e+02, 1.699154791919999923e+02, 1.206497586599999892e+02, 1.277187816959999935e+02, 1.134453909959999862e+02, 1.165458291839999845e+02, 1.657221057359999747e+02, 1.155892161599999923e+02, 1.383509864159999836e+02, 1.161139357799999914e+02
2.020000000000000000e+03, 1.255541506559999902e+02, 1.227881202119999955e+02, 1.522221433199999865e+02, 1.353204714239999760e+02, 1.168263103679999944e+02, 1.452988560240000027e+02, 1.580899522320000017e+02, 1.711515800159999969e+02, 1.215642553559999897e+02, 1.268468980199999834e+02, 1.097238434039999930e+02, 1.178108248679999974e+02, 1.663180099919999861e+02, 1.167530443559999895e+02, 1.417285550879999789e+02, 1.131033278879999955e+02
2.021000000000000000e+03, 1.283340490559999978e+02, 1.219533622919999942e+02, 1.557798771599999839e+02, 1.354902612479999959e+02, 1.170828163079999911e+02, 1.444236374159999912e+02, 1.597941261359999885e+02, 1.685643192719999774e+02, 1.207017378719999954e+02, 1.284617067840000004e+02, 1.098023680439999907e+02, 1.186107118559999947e+02, 1.674930571199999747e+02, 1.157153207399999957e+02, 1.431956886479999866e+02, 1.121162274359999884e+02
2.022000000000000000e+03, 1.286644201919999944e+02, 1.254177811079999856e+02, 1.554841010159999826e+02, 1.348237636559999828e+02, 1.186366896359999856e+02, 1.445001122159999909e+02, 1.608253217999999833e+02, 1.702923974639999756e+02, 1.213806448799999913e+02, 1.312094778839999947e+02, 1.139023160999999931e+02, 1.176281368199999946e+02, 1.706138596799999902e+02, 1.097230707719999856e+02, 1.394271997199999760e+02, 1.153918954079999963e+02
2.023000000000000000e+03, 1.293087637440000037e+02, 1.260409324679999941e+02, 1.619227745999999968e+02, 1.353789549359999853e+02, 1.186665226919999867e+02, 1.471037559119999969e+02, 1.578771788399999991e+02, 1.711303405199999759e+02, 1.228781239559999960e+02, 1.317279454920000035e+02, 1.143739842839999881e+02, 1.194440112359999944e+02, 1.715395201199999917e+02, 1.134742464359999872e+02, 1.388996024399999953e+02, 1.188994948919999928e+02
2.024000000000000000e+03, 1.301019335639999781e+02, 1.239533596439999883e+02, 1.636315369919999796e+02, 1.366606410480000022e+02, 1.200319526519999869e+02, 1.483499009519999845e+02, 1.568587867919999894e+02, 1.658728793519999840e+02, 1.225265606279999844e+02, 1.298746063079999828e+02, 1.142362665719999910e+02, 1.186076292119999920e+02, 1.662332727599999771e+02, 1.096303706999999861e+02, 1.420022402639999939e+02, 1.164656725559999870e+02
