year, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-LM, INM-CM4-8, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, GFDL-ESM4
2.025000000000000000e+03, 1.685694177562499840e+00, 2.780742727124999814e+00, 3.085856976374999672e+00, 1.234768551187499952e+00, 7.560000244687499205e-01, 3.563657926874999937e+00, 2.621469173624999982e+00, 3.878826493499999639e+00, 3.064637190374999598e+00, 9.806053756640624453e-02, 3.551309119124999913e+00, 3.953262540374999912e+00, -6.612165438749999513e-01, 2.816422261874999666e+00, 2.067377711624999836e+00, 2.659696657031249689e-01
2.026000000000000000e+03, -2.112910029000000023e+00, 1.508870840062499941e+00, 1.616476599562499894e+00, 4.287281258249999283e+00, 1.653143335839843756e-02, 3.000315083624999879e+00, 2.881474870499999952e+00, 2.269479616874999994e+00, 3.004868586374999762e+00, 1.143672257249999991e+00, 3.589182869624999661e+00, 4.255455521250000039e+00, 1.498234246171874784e-01, 3.125622886874999562e+00, 2.301625641374999809e+00, 9.702723619687498857e-01
2.027000000000000000e+03, -3.374303956874999955e-01, 3.984822192374999794e+00, 1.309527102937499965e+00, 4.281376142250000072e+00, 8.155715284687499178e-01, 4.272259774499999274e+00, 3.918579838874999499e+00, 3.306547628999999766e+00, 3.889211446124999583e+00, 2.086062298874999943e+00, 2.555138617874999962e+00, 1.064680490250000000e+00, 7.700108163749999068e-01, 3.073422676499999895e+00, 3.485436820874999952e+00, 2.851836697124999986e+00
2.028000000000000000e+03, 2.318750428500000016e+00, 3.737364127874999831e+00, -5.227252759687499584e-01, 3.544155374624999855e+00, 2.470159691999999740e+00, 3.478197337874999739e+00, 2.996185838624999764e+00, 2.778205557374999746e+00, 1.652226227999999963e+00, 2.092703090624999707e+00, 2.773389418874999901e+00, 3.397101528374999901e+00, 2.419476412499999896e+00, 2.306808139499999744e+00, 2.895275073374999675e+00, 2.944369726874999760e+00
2.029000000000000000e+03, -5.922515002499999515e-01, 2.852891674874999950e+00, 4.420747523249999311e+00, 6.255811102499999610e-01, 1.426612386937499810e+00, 4.514731208999999801e+00, 3.431670897374999640e+00, 2.794704551999999786e+00, 3.134374865999999926e+00, 1.859255633249999873e+00, 4.701366677249999348e+00, 4.555181056499999492e+00, 3.106206319499999591e+00, 2.938465349999999976e+00, 3.480959201624999722e+00, -3.710401032656249765e-01
2.030000000000000000e+03, -5.034789845156250054e-01, 9.134418568359374546e-02, 2.643701068124999942e+00, 4.061978711999999270e+00, 3.355542192656249534e-01, 3.709072393874999651e+00, 1.866950786812499929e+00, 3.397964579999999568e+00, 3.734654495624999626e+00, 8.565482489062499205e-01, 2.933471082374999650e+00, 4.063260601125000093e+00, 8.567212657499999606e-01, 2.751579318374999694e+00, 4.079233092374999536e+00, 1.124364341249999955e+00
2.031000000000000000e+03, 5.642620683749999255e-01, 1.232159948085937429e-01, 2.525414459624999886e+00, 5.085015914249999547e+00, 3.915057661874999706e+00, 2.637956588624999821e+00, 2.830918966874999665e+00, 4.085654363999999816e+00, 2.268980214750000002e+00, 1.194818583164062448e-01, 8.753270129999999316e-01, 1.700212563562499835e+00, 3.096648201374999854e+00, 3.479572110374999916e+00, 1.880141704312499940e+00, 1.559228534999999916e+00
2.032000000000000000e+03, 1.090760885437499939e+00, 3.292360617374999965e+00, 2.840255101124999904e+00, 5.342423093999999928e+00, 2.469249829124999795e+00, 3.309617215124999845e+00, 1.969771081499999799e+00, 2.365326143999999964e+00, 3.888863810999999782e+00, 7.980429327187499311e-01, 2.537470327499999900e+00, 3.895396936874999660e+00, 1.816355709562499809e+00, 3.326339425499999614e+00, 3.202847159624999662e+00, 3.491824585499999856e+00
2.033000000000000000e+03, -9.935310858749999419e-01, 5.950010945249999850e+00, 3.917848597874999506e+00, 3.477245344874999589e+00, 2.117896658999999904e+00, 4.135409795249999299e+00, 2.102799538124999756e+00, 3.689174656124999618e+00, 5.536346334749999265e+00, 9.964755134999999653e-01, 3.480757420499999810e+00, 1.941688273499999839e+00, 9.554110681640624880e-02, 2.679460428374999648e+00, 4.334600533499999742e+00, 8.949255899062499298e-01
2.034000000000000000e+03, 4.212914257968749521e-01, 5.372622755999999278e+00, 9.942460045312498940e-01, -7.099438522499998960e-01, 3.685515740999999679e+00, 5.041997853749999869e+00, 3.242535461999999757e+00, 3.817478872124999700e+00, 4.918701948749999886e+00, 2.317483814624999638e+00, 3.555473102999999746e+00, 3.193681270499999947e+00, 2.400457740749999846e+00, 3.520700720999999866e+00, 3.794674402124999624e+00, 2.625850706624999642e+00
