year, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, NorESM2-LM
2.015000000000000000e+03, 1.310462570397696027e+03, 2.891653572460543728e+03, 1.198312384364543959e+03, 8.652289464074240186e+02, 5.129888805683200417e+02, 1.583363718643711991e+03, 1.875300698816512067e+03, 1.365745778819072029e+03, 7.131426109521919443e+02, 1.780955568144383960e+03, 5.532916121599999997e+02, 1.457555268173824061e+03, 3.167567908700160046e+02, 2.448859087241216002e+03
2.016000000000000000e+03, 1.310443645698047931e+03, 2.892154473021440026e+03, 1.198671148351488000e+03, 8.655413381693439305e+02, 5.126588391751679410e+02, 1.584412361752575862e+03, 1.875773145219071921e+03, 1.364994830630912020e+03, 7.136032461946880403e+02, 1.781666922102783928e+03, 5.538095583723519439e+02, 1.457837393838080061e+03, 3.166218013900800088e+02, 2.449334486433791881e+03
2.017000000000000000e+03, 1.310453712027647953e+03, 2.892483843325951966e+03, 1.199086686437375874e+03, 8.657958149816320201e+02, 5.127869835509759469e+02, 1.585199011856384004e+03, 1.876176335273984023e+03, 1.364189524262912073e+03, 7.141585049354239345e+02, 1.782711001808896071e+03, 5.541445658214399828e+02, 1.458145960394751910e+03, 3.155328258539519766e+02, 2.449828676108288164e+03
2.018000000000000000e+03, 1.310575850160128084e+03, 2.892659131678719859e+03, 1.199713080573952084e+03, 8.660278774333439742e+02, 5.128933175459840186e+02, 1.586205644816383938e+03, 1.876466379784191986e+03, 1.363388647079935936e+03, 7.146269248061439612e+02, 1.783996807643135980e+03, 5.543428725145599856e+02, 1.458590623727616048e+03, 3.152714368286719946e+02, 2.450294680059903840e+03
2.019000000000000000e+03, 1.310706846662656062e+03, 2.892867437592576152e+03, 1.200066744287232041e+03, 8.662983261552640215e+02, 5.129732106485760141e+02, 1.586959680012287890e+03, 1.876623548743679976e+03, 1.362725879939072001e+03, 7.152335889367039954e+02, 1.784727086301184045e+03, 5.546883489464320292e+02, 1.459080786870272050e+03, 3.155974516899839841e+02, 2.450699212292096036e+03
2.020000000000000000e+03, 1.310756775657471962e+03, 2.893187412656127890e+03, 1.200142845739007953e+03, 8.665289793208320361e+02, 5.128452340449280200e+02, 1.588017047273471917e+03, 1.876772530421759939e+03, 1.362186861543423902e+03, 7.153832417034240052e+02, 1.784632328585215873e+03, 5.550830497300479465e+02, 1.459650809561087954e+03, 3.150148460871679958e+02, 2.451163874066432072e+03
2.021000000000000000e+03, 1.310745367150592074e+03, 2.893946548125696154e+03, 1.200692869988351958e+03, 8.665032766259199661e+02, 5.127801384468480137e+02, 1.589054147657727981e+03, 1.877167667412991932e+03, 1.361869570834431897e+03, 7.152698277232640294e+02, 1.785329723899903911e+03, 5.554203388805119630e+02, 1.460245930967040067e+03, 3.138662443253759875e+02, 2.451603034472448144e+03
2.022000000000000000e+03, 1.310729663676416067e+03, 2.894017683521536128e+03, 1.201376038223872001e+03, 8.664889153290239392e+02, 5.128621790330879548e+02, 1.590104938250239911e+03, 1.877549651066879960e+03, 1.361718441672703875e+03, 7.159125964226559518e+02, 1.785587690373120040e+03, 5.557937661542399610e+02, 1.460747502616575957e+03, 3.137456496967679982e+02, 2.451988507787264098e+03
2.023000000000000000e+03, 1.310721879048192022e+03, 2.893852058845183819e+03, 1.201768759295999871e+03, 8.665636074946560257e+02, 5.132833207091199483e+02, 1.591211429199871873e+03, 1.877731381870592031e+03, 1.361492955889664017e+03, 7.164004778639359756e+02, 1.785813041938431979e+03, 5.562535625359359983e+02, 1.461265180393472065e+03, 3.141427999539200187e+02, 2.452376665456639785e+03
2.024000000000000000e+03, 1.310616786567167992e+03, 2.893802666721279820e+03, 1.202027262640127901e+03, 8.666313203384320332e+02, 5.132648657715200216e+02, 1.592369191321600056e+03, 1.878184500920320033e+03, 1.361140231700479944e+03, 7.171851147018239772e+02, 1.786429369745407939e+03, 5.566161852825599681e+02, 1.461772254969856021e+03, 3.141350153256959743e+02, 2.452762675642367867e+03
