year, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM4-8, CNRM-ESM2-1, NorESM2-MM, CanESM5, TaiESM1, UKESM1-0-LL, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM
2.015000000000000000e+03, 2.877138366699218750e+02, 2.893149414062500000e+02, 2.873930358886718750e+02, 2.877717895507812500e+02, 2.881523742675781250e+02, 2.882600402832031250e+02, 2.879132995605468750e+02, 2.876165161132812500e+02, 2.873417358398437500e+02, 2.884190673828125000e+02, 2.871915283203125000e+02, 2.882920837402343750e+02, 2.872597961425781250e+02, 2.886037902832031250e+02, 2.887249755859375000e+02, 2.882722167968750000e+02
2.016000000000000000e+03, 2.876412658691406250e+02, 2.888475952148437500e+02, 2.874808959960937500e+02, 2.877819519042968750e+02, 2.878710327148437500e+02, 2.882884521484375000e+02, 2.878806457519531250e+02, 2.876330261230468750e+02, 2.874084777832031250e+02, 2.884135131835937500e+02, 2.873025207519531250e+02, 2.882777404785156250e+02, 2.873071899414062500e+02, 2.887643737792968750e+02, 2.885805053710937500e+02, 2.883744812011718750e+02
2.017000000000000000e+03, 2.877154235839843750e+02, 2.888918151855468750e+02, 2.875086364746093750e+02, 2.878308410644531250e+02, 2.878795776367187500e+02, 2.885079650878906250e+02, 2.880447082519531250e+02, 2.877043762207031250e+02, 2.875829162597656250e+02, 2.885269470214843750e+02, 2.875211486816406250e+02, 2.882285461425781250e+02, 2.872813415527343750e+02, 2.887181396484375000e+02, 2.886116333007812500e+02, 2.883789062500000000e+02
2.018000000000000000e+03, 2.876438293457031250e+02, 2.890718688964843750e+02, 2.875118408203125000e+02, 2.878771362304687500e+02, 2.878622131347656250e+02, 2.884182434082031250e+02, 2.880885314941406250e+02, 2.878139953613281250e+02, 2.873905639648437500e+02, 2.885789489746093750e+02, 2.876052551269531250e+02, 2.882570800781250000e+02, 2.873271179199218750e+02, 2.885665283203125000e+02, 2.885939025878906250e+02, 2.885940246582031250e+02
2.019000000000000000e+03, 2.878940124511718750e+02, 2.894394226074218750e+02, 2.875323791503906250e+02, 2.878201904296875000e+02, 2.879007263183593750e+02, 2.883503723144531250e+02, 2.882428894042968750e+02, 2.879646606445312500e+02, 2.874888916015625000e+02, 2.885184631347656250e+02, 2.874615478515625000e+02, 2.884504089355468750e+02, 2.874073791503906250e+02, 2.885110778808593750e+02, 2.887709655761718750e+02, 2.884254455566406250e+02
2.020000000000000000e+03, 2.879724121093750000e+02, 2.891857604980468750e+02, 2.875333557128906250e+02, 2.878719482421875000e+02, 2.880404052734375000e+02, 2.883367004394531250e+02, 2.881577453613281250e+02, 2.879574890136718750e+02, 2.876952514648437500e+02, 2.883793334960937500e+02, 2.874281921386718750e+02, 2.885152282714843750e+02, 2.875516052246093750e+02, 2.885685119628906250e+02, 2.889097595214843750e+02, 2.883625488281250000e+02
2.021000000000000000e+03, 2.879445495605468750e+02, 2.890631408691406250e+02, 2.876023559570312500e+02, 2.881391906738281250e+02, 2.879776611328125000e+02, 2.883471679687500000e+02, 2.880945739746093750e+02, 2.879984436035156250e+02, 2.878276062011718750e+02, 2.884488830566406250e+02, 2.875578918457031250e+02, 2.885082397460937500e+02, 2.875795593261718750e+02, 2.887149353027343750e+02, 2.890834045410156250e+02, 2.884894104003906250e+02
2.022000000000000000e+03, 2.878799133300781250e+02, 2.891664428710937500e+02, 2.876773071289062500e+02, 2.881325378417968750e+02, 2.878985290527343750e+02, 2.884176025390625000e+02, 2.881475830078125000e+02, 2.881459045410156250e+02, 2.876145629882812500e+02, 2.886461181640625000e+02, 2.875710144042968750e+02, 2.884539489746093750e+02, 2.874705505371093750e+02, 2.887468566894531250e+02, 2.889278259277343750e+02, 2.885975952148437500e+02
2.023000000000000000e+03, 2.877532043457031250e+02, 2.893653564453125000e+02, 2.876327819824218750e+02, 2.879655456542968750e+02, 2.880654907226562500e+02, 2.887585144042968750e+02, 2.883914184570312500e+02, 2.880989685058593750e+02, 2.875498352050781250e+02, 2.886848449707031250e+02, 2.876933898925781250e+02, 2.884769592285156250e+02, 2.874489746093750000e+02, 2.883978576660156250e+02, 2.889085998535156250e+02, 2.884570007324218750e+02
2.024000000000000000e+03, 2.878271179199218750e+02, 2.895585632324218750e+02, 2.876954956054687500e+02, 2.880887145996093750e+02, 2.881136779785156250e+02, 2.888406677246093750e+02, 2.884529724121093750e+02, 2.881645812988281250e+02, 2.876139221191406250e+02, 2.885346984863281250e+02, 2.877465515136718750e+02, 2.884254150390625000e+02, 2.876152343750000000e+02, 2.883518981933593750e+02, 2.890305175781250000e+02, 2.886475219726562500e+02
2.025000000000000000e+03, 2.879244079589843750e+02, 2.893647766113281250e+02, 2.877806396484375000e+02, 2.881212463378906250e+02, 2.883042602539062500e+02, 2.886741333007812500e+02, 2.883821105957031250e+02, 2.880904235839843750e+02, 2.878006896972656250e+02, 2.885158081054687500e+02, 2.877506713867187500e+02, 2.886599426269531250e+02, 2.875574035644531250e+02, 2.884657897949218750e+02, 2.890679626464843750e+02, 2.887242126464843750e+02
2.026000000000000000e+03, 2.880359191894531250e+02, 2.891787109375000000e+02, 2.877172851562500000e+02, 2.880227966308593750e+02, 2.882397155761718750e+02, 2.887848815917968750e+02, 2.886928710937500000e+02, 2.882128906250000000e+02, 2.877799377441406250e+02, 2.887222595214843750e+02, 2.874809875488281250e+02, 2.887789611816406250e+02, 2.875807189941406250e+02, 2.886869812011718750e+02, 2.890310363769531250e+02, 2.884700927734375000e+02
2.027000000000000000e+03, 2.879018859863281250e+02, 2.892491760253906250e+02, 2.876464538574218750e+02, 2.882090454101562500e+02, 2.881354675292968750e+02, 2.887260131835937500e+02, 2.886860351562500000e+02, 2.883125000000000000e+02, 2.876334228515625000e+02, 2.886430664062500000e+02, 2.874306335449218750e+02, 2.888838806152343750e+02, 2.877289733886718750e+02, 2.889551391601562500e+02, 2.891742858886718750e+02, 2.885326232910156250e+02
2.028000000000000000e+03, 2.879579772949218750e+02, 2.895851745605468750e+02, 2.877320251464843750e+02, 2.881254577636718750e+02, 2.882205505371093750e+02, 2.888080444335937500e+02, 2.886022949218750000e+02, 2.883779602050781250e+02, 2.876947937011718750e+02, 2.886070556640625000e+02, 2.875844421386718750e+02, 2.887189025878906250e+02, 2.877409362792968750e+02, 2.891520385742187500e+02, 2.891283264160156250e+02, 2.885657958984375000e+02
2.029000000000000000e+03, 2.881061401367187500e+02, 2.897049560546875000e+02, 2.877685852050781250e+02, 2.879101562500000000e+02, 2.880410461425781250e+02, 2.887522888183593750e+02, 2.886896362304687500e+02, 2.881726379394531250e+02, 2.878677673339843750e+02, 2.886649169921875000e+02, 2.876096191406250000e+02, 2.887490539550781250e+02, 2.877434082031250000e+02, 2.890522766113281250e+02, 2.891836853027343750e+02, 2.885932617187500000e+02
2.030000000000000000e+03, 2.882724304199218750e+02, 2.893093872070312500e+02, 2.878100891113281250e+02, 2.879090881347656250e+02, 2.880706481933593750e+02, 2.889589538574218750e+02, 2.887574462890625000e+02, 2.881873474121093750e+02, 2.878366088867187500e+02, 2.886196594238281250e+02, 2.878273620605468750e+02, 2.888803405761718750e+02, 2.876951904296875000e+02, 2.887856750488281250e+02, 2.890879211425781250e+02, 2.887478332519531250e+02
2.031000000000000000e+03, 2.883283996582031250e+02, 2.893023376464843750e+02, 2.877757873535156250e+02, 2.882541809082031250e+02, 2.882550964355468750e+02, 2.889952697753906250e+02, 2.887406005859375000e+02, 2.883375549316406250e+02, 2.878284912109375000e+02, 2.887076721191406250e+02, 2.878697814941406250e+02, 2.887398986816406250e+02, 2.877245788574218750e+02, 2.887581787109375000e+02, 2.891811828613281250e+02, 2.885515441894531250e+02
2.032000000000000000e+03, 2.880587463378906250e+02, 2.893588867187500000e+02, 2.879125671386718750e+02, 2.881330566406250000e+02, 2.881308288574218750e+02, 2.890585632324218750e+02, 2.887918090820312500e+02, 2.882901916503906250e+02, 2.877286071777343750e+02, 2.888558349609375000e+02, 2.877933654785156250e+02, 2.888098449707031250e+02, 2.876792297363281250e+02, 2.888757934570312500e+02, 2.891783142089843750e+02, 2.886737060546875000e+02
