year, GFDL-ESM4, TaiESM1, NorESM2-LM, CNRM-ESM2-1, NorESM2-MM
2.015000000000000000e+03, 6.469929749115271382e-11, 2.073696136589963245e-11, 1.093789811977238005e-10, 1.415315931885479463e-10, 1.215126522512660970e-10
2.016000000000000000e+03, 8.157327278951747435e-11, 2.901772864367506625e-11, 9.693861852510047653e-11, 2.247543613498189492e-10, 1.373778037567085724e-10
2.017000000000000000e+03, 6.408057005577672999e-11, 2.331147761039457914e-11, 1.149523166952657069e-10, 1.534917414122340352e-10, 1.273668582944745444e-10
2.018000000000000000e+03, 9.601217877262663287e-11, 1.881166483333627916e-11, 1.181057358227911462e-10, 1.735973393092860321e-10, 8.655404432184792032e-11
2.019000000000000000e+03, 7.249765989638355811e-11, 2.076123767253628371e-11, 1.294751644882395584e-10, 1.936048622365701762e-10, 1.344218512055242436e-10
2.020000000000000000e+03, 5.598595046208205733e-11, 2.343846647905578890e-11, 1.282348984682128190e-10, 1.818858329233497447e-10, 9.622804377983415270e-11
2.021000000000000000e+03, 1.045419569449118202e-10, 2.531634336970791117e-11, 1.138679218274493545e-10, 1.899153389017296825e-10, 1.093587056483365835e-10
2.022000000000000000e+03, 9.420730665222436426e-11, 2.037069802654199522e-11, 9.943319816968908182e-11, 2.016482506528918553e-10, 1.161121406846928790e-10
2.023000000000000000e+03, 6.998354110313829005e-11, 1.751460639302800094e-11, 8.927476314624588982e-11, 1.456703733037596701e-10, 1.313153279033560006e-10
2.024000000000000000e+03, 9.107893951979944257e-11, 2.268241278869536168e-11, 1.149641719227787615e-10, 1.565603321649738686e-10, 1.338792972243083329e-10
2.025000000000000000e+03, 7.610948268078053408e-11, 2.540979634409098980e-11, 1.281724833078702396e-10, 1.656598730423905999e-10, 9.943901929349840614e-11
2.026000000000000000e+03, 1.008966545612669799e-10, 2.255605269173540923e-11, 9.228847564596268903e-11, 1.365842529620717537e-10, 1.064108600616989007e-10
2.027000000000000000e+03, 8.477105496032497018e-11, 2.227417348309609545e-11, 1.203813201973027272e-10, 2.587916053208056715e-10, 1.347689389495347756e-10
2.028000000000000000e+03, 6.907676012852140345e-11, 2.300835849872502292e-11, 1.250489190817407216e-10, 1.658608792554934276e-10, 1.056512491610522418e-10
2.029000000000000000e+03, 7.663539470797903645e-11, 2.015628211385410943e-11, 9.909799665381067012e-11, 1.839179045747322256e-10, 1.455221469986594607e-10
2.030000000000000000e+03, 7.332258039003848542e-11, 2.300788777177222770e-11, 1.208436835831113888e-10, 1.984390991160877085e-10, 1.282374127578954669e-10
2.031000000000000000e+03, 9.267228459862332149e-11, 1.903317057842426611e-11, 1.194013571787004781e-10, 1.534555933503162511e-10, 9.432076679758293337e-11
2.032000000000000000e+03, 9.189606955246693851e-11, 2.501046516750567317e-11, 9.001147841794101269e-11, 1.971943718082679964e-10, 1.047965695632277761e-10
2.033000000000000000e+03, 6.316469669225030494e-11, 2.335416128764074900e-11, 1.603644532097709171e-10, 1.782348358562617438e-10, 1.184294414704017740e-10
2.034000000000000000e+03, 9.726470006485169122e-11, 2.117002330623508408e-11, 1.403564568945048071e-10, 2.092549962833491321e-10, 1.842278783192553169e-10
2.035000000000000000e+03, 9.738685590325411253e-11, 2.603044032266898654e-11, 1.249507028647994655e-10, 1.894285858899106713e-10, 1.332368451358658677e-10
2.036000000000000000e+03, 9.369608136138622991e-11, 1.864368767187418460e-11, 1.026534412978834338e-10, 2.144551023716551234e-10, 1.535025719395033428e-10
