year, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, NorESM2-LM, MIROC-ES2L, CanESM5
2.035000000000000000e+03, 1.491443778861719416e+00, 5.828363341101812090e-01, 1.221531390957902197e+00, 8.432174720778145005e-01, 9.672738202402553220e-01, 5.240412134534130351e-01, 1.867351878265973708e+00, 6.279937994576210158e-01, 1.117399063411858906e+00, 6.372714517785330601e-01, 7.096519961642607788e-01, 6.073670132277150246e-01, 7.621288194166948582e-01, 2.099962444762171643e+00
2.036000000000000000e+03, 1.360482448127275257e+00, 5.862177977427027731e-01, 1.197450894589871639e+00, 8.616663082321521783e-01, 1.080030085829401187e+00, 5.329834121088543597e-01, 2.036832853774924068e+00, 6.021439038210267825e-01, 1.132743458156048710e+00, 6.513013446365645276e-01, 7.151896388105249969e-01, 7.083768634333322822e-01, 7.794335409623383004e-01, 2.098736206717664476e+00
2.037000000000000000e+03, 1.100382260580279992e+00, 6.093850391968731461e-01, 1.193796818943950067e+00, 7.368390706568016535e-01, 1.054108636624899287e+00, 4.995734131246775123e-01, 1.915033921259984506e+00, 6.221940753786973088e-01, 1.145197850659977812e+00, 6.682208030214171757e-01, 8.147147120694990807e-01, 6.774756740543282918e-01, 7.712129315468551072e-01, 1.991720553908464364e+00
2.038000000000000000e+03, 1.414395856063083379e+00, 6.079512165183577066e-01, 1.191929499070983445e+00, 8.985216801883635362e-01, 9.739975751292044848e-01, 5.595268351248947614e-01, 1.931265838538438473e+00, 6.609283899220492753e-01, 1.077697038268510932e+00, 6.819340971725704748e-01, 7.238983658881430472e-01, 6.414229299282157015e-01, 7.923385774812052862e-01, 2.187576677508789480e+00
2.039000000000000000e+03, 1.334917438255269095e+00, 6.015256904171160102e-01, 1.254031840577011003e+00, 8.869980534765966596e-01, 9.644514969681354799e-01, 5.454649597070779787e-01, 1.955770880486718655e+00, 6.757135125384994279e-01, 1.148124318590611148e+00, 6.980627599555103702e-01, 6.645268621947975074e-01, 6.461784388634870258e-01, 7.626316484299211496e-01, 2.198845250389454442e+00
2.040000000000000000e+03, 1.280625865340733860e+00, 5.937758067253270378e-01, 1.223444870334442491e+00, 9.351380180972722611e-01, 1.070136492420775909e+00, 4.845465437473253090e-01, 1.697355529368627547e+00, 6.357211763730284959e-01, 1.112777267253055591e+00, 6.036110045775378019e-01, 7.545362251668894515e-01, 6.073061120572383897e-01, 7.655124902905159345e-01, 2.125734960487251524e+00
2.041000000000000000e+03, 1.267504717959889060e+00, 6.081084482649357081e-01, 1.198707518512476033e+00, 8.719681656115357837e-01, 9.899433759916009823e-01, 5.056101774750749733e-01, 1.752681417550812082e+00, 6.454633487123192515e-01, 1.016980437291581385e+00, 6.914820073292494707e-01, 7.934027588330567760e-01, 6.314521643142291252e-01, 7.350888418679552005e-01, 2.088838828120025415e+00
2.042000000000000000e+03, 1.259442984681910405e+00, 6.036056167318828436e-01, 1.202967162631434217e+00, 8.152331844461221388e-01, 1.098859860404902467e+00, 5.521239198762626366e-01, 1.932896165963177149e+00, 6.365054285889998331e-01, 1.124295424043559199e+00, 7.137474320290556618e-01, 7.507392590529979870e-01, 6.796888219426314715e-01, 7.729367600548048278e-01, 2.218418140071252154e+00
2.043000000000000000e+03, 1.269613922950776796e+00, 6.033359894634074960e-01, 1.239278556365740913e+00, 9.078458147762162866e-01, 1.058969214332766473e+00, 5.615907689987440499e-01, 1.899162202883784900e+00, 6.215227019127064212e-01, 1.190842696985543681e+00, 6.437259594857863698e-01, 7.977478074939317043e-01, 7.037492336239896673e-01, 7.900422179401997980e-01, 2.104024341151386590e+00
2.044000000000000000e+03, 1.369895265592104172e+00, 5.860198251572599215e-01, 1.209819235024064410e+00, 8.820028281907469347e-01, 1.054398696632454335e+00, 5.581246471552654409e-01, 2.025700096134328110e+00, 5.914337407538935443e-01, 1.141670443969730497e+00, 6.345290528121628748e-01, 7.786485611381676053e-01, 6.137086270225783347e-01, 7.479460091283065548e-01, 2.032616203306890856e+00
2.045000000000000000e+03, 1.349409258587345839e+00, 6.253695958855977066e-01, 1.241078201551229609e+00, 8.079593596361367425e-01, 1.077900149335538682e+00, 5.662295284659921712e-01, 1.839358894057793403e+00, 6.107438409953954706e-01, 1.140696770385821734e+00, 6.901105521699064660e-01, 7.384604002467657358e-01, 5.471564069757390847e-01, 7.587750702010385151e-01, 2.140038619792967278e+00
2.046000000000000000e+03, 1.281552427267768302e+00, 6.419491433073879483e-01, 1.242109145416187665e+00, 9.086670639169898145e-01, 1.019989067975791031e+00, 5.459399137489264753e-01, 1.722838040022095729e+00, 6.344045667577273839e-01, 1.205486021570035371e+00, 6.950656290705661267e-01, 7.577069232670081700e-01, 5.954620405690960183e-01, 7.817469817837573443e-01, 2.258127846015431484e+00
2.047000000000000000e+03, 1.310192413095612407e+00, 6.303907915708238940e-01, 1.200480284034777245e+00, 8.079894681429040659e-01, 9.836377780606300192e-01, 5.645127907139856349e-01, 1.930480429385384333e+00, 6.187304581329554631e-01, 1.196436454421219597e+00, 6.264187765990145706e-01, 7.904156934507283738e-01, 6.182626456155634331e-01, 7.774028604899323458e-01, 2.131358662825923567e+00
2.048000000000000000e+03, 1.327294535666448283e+00, 6.352801698419010545e-01, 1.213216624989312376e+00, 8.446130599064021194e-01, 1.096907424729848923e+00, 5.564954097177365888e-01, 2.170056759061236740e+00, 6.287195923398111175e-01, 1.058558830378090176e+00, 6.780680417209639099e-01, 7.831701259209317145e-01, 6.584377000086585330e-01, 7.441482390181456408e-01, 2.118949603963078410e+00
2.049000000000000000e+03, 1.363690710664901884e+00, 6.563163400598756025e-01, 1.199830683196168035e+00, 8.745082804995341075e-01, 1.060099261298814932e+00, 5.563355086910677372e-01, 1.969068669669336913e+00, 6.155135736178599659e-01, 9.712055448587660900e-01, 6.837166126235355579e-01, 7.575783688395580917e-01, 6.966883655413581566e-01, 7.679864735730717040e-01, 2.137089457019258454e+00
2.050000000000000000e+03, 1.159077415639888642e+00, 6.704959931186312838e-01, 1.202642570236112096e+00, 8.731037717891384498e-01, 1.052080067916642436e+00, 5.369620545642520559e-01, 1.710811064281302363e+00, 6.625230969307028817e-01, 1.097944410371277657e+00, 6.564011543381789160e-01, 7.186379847114702235e-01, 6.411418579161473064e-01, 7.620715669380421220e-01, 2.102708672616031116e+00
