year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.068000000000000000e+03, 1.843678933137788913e-10, 4.273105438154092175e-10, 1.183925363332660100e-10
2.069000000000000000e+03, 1.768136339532402026e-10, 4.920242028596114757e-10, 1.020638032203370423e-10
2.070000000000000000e+03, 1.786622809213136672e-10, 4.601969673739019075e-10, 1.245232835936319975e-10
2.071000000000000000e+03, 2.144567826645808589e-10, 3.749901057417236705e-10, 8.762070707396184197e-11
2.072000000000000000e+03, 1.853894846379696439e-10, 3.980834140153418254e-10, 6.449445451441075075e-11
2.073000000000000000e+03, 1.871638310470114897e-10, 4.998852655983946743e-10, 7.970260160000339535e-11
2.074000000000000000e+03, 1.480636380500777181e-10, 3.991357710075484358e-10, 9.722385969792989319e-11
2.075000000000000000e+03, 1.785189329261087757e-10, 3.665842059549546911e-10, 8.181425912393088389e-11
2.076000000000000000e+03, 1.835692116069987392e-10, 4.709065421305392979e-10, 7.203839136866315386e-11
2.077000000000000000e+03, 2.033102204451927331e-10, 4.717243210017084968e-10, 6.555952447713394694e-11
2.078000000000000000e+03, 1.693831783836281185e-10, 4.730745257719896705e-10, 1.020346610512459113e-10
2.079000000000000000e+03, 1.946165041421564882e-10, 3.210808288457968591e-10, 1.251802840926686144e-10
2.080000000000000000e+03, 1.458201943612122629e-10, 3.194689673690089042e-10, 7.599913971058811889e-11
2.081000000000000000e+03, 1.582968970339484981e-10, 3.783446911170976610e-10, 7.897637878088650408e-11
2.082000000000000000e+03, 1.573916027492622857e-10, 5.096977864032284310e-10, 9.202986377695302589e-11
2.083000000000000000e+03, 1.816220947524341126e-10, 5.013313002044809763e-10, 1.089523788019358345e-10
2.084000000000000000e+03, 1.694934513613880844e-10, 4.015695945679524456e-10, 9.007138732533098618e-11
2.085000000000000000e+03, 1.453435714472599812e-10, 3.976367858344411726e-10, 6.144921706419911469e-11
2.086000000000000000e+03, 1.406421795582460647e-10, 4.152205330982152958e-10, 7.192942164714086114e-11
2.087000000000000000e+03, 1.383640168159487334e-10, 4.348795999047263486e-10, 7.689400441307527325e-11
2.088000000000000000e+03, 1.831298923513818338e-10, 4.286829972184888031e-10, 9.540862694554265388e-11
2.089000000000000000e+03, 1.610562238088233372e-10, 4.464556716753480608e-10, 8.284443439357908395e-11
2.090000000000000000e+03, 1.625395270438469121e-10, 3.867201947640767927e-10, 8.807054112289785044e-11
2.091000000000000000e+03, 1.884281111442535949e-10, 3.646112049360715395e-10, 8.563461670470960310e-11
2.092000000000000000e+03, 1.686645965415374719e-10, 3.828365885602265403e-10, 7.260982500397966059e-11
2.093000000000000000e+03, 1.857259712085804628e-10, 5.494340022192373515e-10, 5.734199548017702137e-11
2.094000000000000000e+03, 1.722260087429798611e-10, 3.346740885154436665e-10, 1.064007201473255889e-10
2.095000000000000000e+03, 1.540156785618229085e-10, 3.073942058066351799e-10, 8.606932159849008757e-11
2.096000000000000000e+03, 1.467180275044749312e-10, 4.097012216821644176e-10, 7.132940257606493289e-11
2.097000000000000000e+03, 1.925304094843486832e-10, 4.983114435215545874e-10, 7.513241755609788304e-11
2.098000000000000000e+03, 1.616567484783951743e-10, 5.255205327643217443e-10, 5.822943132465884229e-11
2.099000000000000000e+03, 1.721209564911562781e-10, 3.327577550345398824e-10, 6.337313939435010395e-11
2.100000000000000000e+03, 1.603152382756493049e-10, 3.525390410921327342e-10, 7.365773033057854644e-11
