year, EC-Earth3-Veg, NorESM2-LM, CESM2-WACCM, TaiESM1, INM-CM4-8, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, INM-CM5-0, MPI-ESM1-2-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR
2.015000000000000000e+03, 2.187348587944678346e+00, 7.506704779139607986e-01, 8.891761610314349307e-01, 5.524133914884870045e-01, 1.405886304070705917e+00, 8.252321280097782985e-01, 5.624004401005850973e-01, 9.995494632106196597e-01, 1.190964726596607681e+00, 1.081050751967933543e+00, 1.970730378627469692e+00, 1.750465482812511020e+00, 1.465251444797457836e+00, 1.157314977545180978e+00, 6.826422488533854249e-01, 7.487877182715900748e-01
2.016000000000000000e+03, 1.794224085840530281e+00, 6.290115192568159763e-01, 9.274617834818495998e-01, 4.805596723491198374e-01, 1.476656954169798697e+00, 8.380382555752371454e-01, 5.732534795848546194e-01, 7.818638894426809260e-01, 1.173343159392990165e+00, 1.015658778991010536e+00, 1.944500946924483831e+00, 1.734994305192866682e+00, 1.822378904026355162e+00, 1.135087823067713275e+00, 7.878314692464790658e-01, 6.822990293693633745e-01
2.017000000000000000e+03, 2.023484867780815488e+00, 7.056716521232394568e-01, 8.907507449779969999e-01, 5.307621427054569629e-01, 1.552388864999571627e+00, 7.749125849625704276e-01, 5.932680548495417039e-01, 7.712152438320891701e-01, 1.091515638202105398e+00, 9.766378677674765196e-01, 2.022379507481100624e+00, 1.560303383631354235e+00, 1.529763709748456213e+00, 1.107591278341378382e+00, 6.776491470792956884e-01, 7.212305776876958285e-01
2.018000000000000000e+03, 2.198847155033405887e+00, 7.458924891186252681e-01, 9.049494896669235677e-01, 5.819886229892974328e-01, 1.468044421518706288e+00, 7.895488510658691395e-01, 4.694765611231392910e-01, 7.359754879488451529e-01, 1.435102804311360947e+00, 9.912131340896807030e-01, 1.918495348908260567e+00, 1.576530886124335007e+00, 1.229653702327886844e+00, 1.126518969679280113e+00, 6.554446741576583912e-01, 7.422826632051131579e-01
2.019000000000000000e+03, 2.617081537638201727e+00, 6.821072156467656855e-01, 1.009968327727600146e+00, 5.590587278717652486e-01, 1.249983592437296176e+00, 7.816922685387699410e-01, 5.542722350977777879e-01, 1.077854718151362245e+00, 1.184487789449029549e+00, 1.189682709893301826e+00, 1.928747505354285741e+00, 1.791750549356196265e+00, 1.306023939878082407e+00, 1.226160390552543999e+00, 6.651851896243691220e-01, 7.314050587102552958e-01
2.020000000000000000e+03, 2.216878541206578568e+00, 6.865272787283618339e-01, 7.681046787351158978e-01, 5.106908335659279263e-01, 1.277127580262087392e+00, 9.636053378275444281e-01, 6.218615063217624028e-01, 6.937601015822982831e-01, 1.285272070422675883e+00, 8.419313333133993105e-01, 2.002444773198723826e+00, 1.804451220716724702e+00, 1.609485602303752483e+00, 1.181044393497535872e+00, 6.939091869084708097e-01, 6.724050312492356740e-01
2.021000000000000000e+03, 2.305017475407507455e+00, 8.266323694348529649e-01, 9.273492808965368983e-01, 5.085854379489613830e-01, 1.377841822411410400e+00, 9.071714922782176949e-01, 6.078482778017952892e-01, 8.731199195939666202e-01, 1.339840590181413882e+00, 1.164881668189435393e+00, 1.876016084144982443e+00, 1.784288212290254583e+00, 1.532817048431638352e+00, 1.288759988690768576e+00, 7.103195353113690436e-01, 7.579633306253376057e-01
2.022000000000000000e+03, 1.888343977818237596e+00, 7.438835619851332792e-01, 9.847762132853045136e-01, 5.087843977072483703e-01, 1.331388731874645126e+00, 9.524315425148012215e-01, 5.728219838549869491e-01, 1.008653740216680639e+00, 1.144008010056690727e+00, 1.164804919865106481e+00, 1.975491698730156065e+00, 1.536493898869383701e+00, 1.279600345708082898e+00, 1.264937877931016308e+00, 7.002291463463122811e-01, 7.525368259438853791e-01
2.023000000000000000e+03, 2.134628306243153251e+00, 8.182754922343574711e-01, 8.729383687151589521e-01, 5.511287814769730842e-01, 1.329356923082967823e+00, 6.368346469955359357e-01, 5.847163903505380178e-01, 9.197803455509849790e-01, 1.171759571225801100e+00, 1.218929165946673887e+00, 2.056644592882373779e+00, 1.633192758607759920e+00, 1.246218386793757071e+00, 1.199317433561365664e+00, 6.988106928923434324e-01, 8.461433754308633759e-01
2.024000000000000000e+03, 2.182467537033264016e+00, 7.760987249258423093e-01, 1.005095485301295444e+00, 5.391204704933010294e-01, 1.316942355882507742e+00, 8.615881005126605485e-01, 5.448071237769763764e-01, 9.287844084322020022e-01, 1.184456376953738399e+00, 1.088434585995724735e+00, 2.038310112493555426e+00, 1.591109635551457346e+00, 1.382094584253702685e+00, 1.120348519289631861e+00, 6.356203386596792626e-01, 7.601540102740701466e-01
2.025000000000000000e+03, 2.297624556578070631e+00, 7.238278329831517866e-01, 1.134621815162198288e+00, 4.833257129061557800e-01, 1.333621161130642996e+00, 9.108794211030305510e-01, 5.819960357587599109e-01, 8.276907654252556590e-01, 1.295425263412806727e+00, 9.183981245631881452e-01, 2.056817611932422185e+00, 1.448877381012853460e+00, 1.391258688118015119e+00, 1.075668014084529833e+00, 5.964774164534789591e-01, 7.916322004019720193e-01
2.026000000000000000e+03, 2.647056882221667795e+00, 9.387455565520160805e-01, 8.726120755927504469e-01, 5.748318701138943609e-01, 1.318772663398562139e+00, 9.840491141054710234e-01, 6.128121888113726712e-01, 7.922745581380369329e-01, 1.195145702761217121e+00, 1.054787481686972228e+00, 2.001195508504519882e+00, 1.778271886810822489e+00, 1.331857075754624420e+00, 1.095241115918218489e+00, 6.385745130794592272e-01, 6.985316750390045959e-01
2.027000000000000000e+03, 2.606919794000553736e+00, 7.002848056268786703e-01, 9.850110444303411539e-01, 5.618333924679528302e-01, 1.280014277449437632e+00, 8.430338805520825041e-01, 5.208272689054930238e-01, 9.132087067727261420e-01, 1.328572265605872937e+00, 1.268154321960431874e+00, 2.046236790746446044e+00, 1.694292069546121882e+00, 1.367422149649994090e+00, 1.128346337505502284e+00, 6.693497649626058976e-01, 7.642496231699000830e-01
2.028000000000000000e+03, 1.618509519393101170e+00, 6.766409581323382660e-01, 1.009411181551618464e+00, 5.404957947845978605e-01, 1.280912278685134797e+00, 9.714823503587742826e-01, 5.741891075849230308e-01, 8.636145982570166968e-01, 1.268034442676615248e+00, 1.314611531947328382e+00, 2.058755249435557655e+00, 1.642664080846865104e+00, 1.473581515194713809e+00, 1.236138844502694401e+00, 7.927890089525709838e-01, 9.229427960743925574e-01
2.029000000000000000e+03, 1.920305390120262246e+00, 7.842705656128470260e-01, 9.880943778539175160e-01, 5.702645768140195415e-01, 1.314187423300309021e+00, 7.657014948818224864e-01, 6.765629597110575100e-01, 9.683586920635675055e-01, 1.023588620778316916e+00, 9.872606326553406975e-01, 2.055647509474758827e+00, 1.676686138381591418e+00, 1.589351935043625819e+00, 1.315713898786330605e+00, 8.435207630847424420e-01, 8.635640032472821082e-01
2.030000000000000000e+03, 2.664803535423107217e+00, 6.460325009831887622e-01, 1.190001537669217457e+00, 5.496422200169093220e-01, 1.357552975825285557e+00, 8.467328681011621061e-01, 7.815846898809161170e-01, 8.353094616317980892e-01, 1.337037855998021829e+00, 1.050765300990649909e+00, 2.059641189254927784e+00, 1.555114314133554165e+00, 1.773260694280986094e+00, 1.195900803491069864e+00, 6.386223450437193971e-01, 9.387777190948353168e-01
2.031000000000000000e+03, 2.604691649101644302e+00, 7.390930148531328348e-01, 7.353275125435306814e-01, 5.638333857098586366e-01, 1.392097956191542085e+00, 8.872503201274640761e-01, 6.687625645999115687e-01, 7.130502476025952774e-01, 1.393598839114029708e+00, 1.156698483905977737e+00, 2.008254737835022397e+00, 1.571859584137917709e+00, 1.816657274277186263e+00, 1.174697424747975116e+00, 7.761985467155066987e-01, 8.583968768233174451e-01
2.032000000000000000e+03, 2.190128898171078919e+00, 9.707771951927159915e-01, 1.006981519593376895e+00, 5.001332014550571303e-01, 1.369736791639182716e+00, 1.062661262318516098e+00, 6.449678635171139929e-01, 8.556738091664189971e-01, 1.361411904190865219e+00, 1.096492361752122058e+00, 2.014256334106514501e+00, 1.600260255517025998e+00, 1.309974121021047377e+00, 1.214614246643797024e+00, 6.936857830716818274e-01, 7.637093889546691106e-01
2.033000000000000000e+03, 2.359137821853700245e+00, 8.355843598702635822e-01, 1.030694446888245075e+00, 5.373025593167325420e-01, 1.615405496361640436e+00, 8.507560075136225697e-01, 7.515600508006397007e-01, 7.902770559643432779e-01, 1.070575354580095118e+00, 1.231357427583062547e+00, 2.041115934392102815e+00, 1.779050745892730934e+00, 1.161077406027550163e+00, 1.233190229989282072e+00, 7.283366108344576650e-01, 9.024305938450836173e-01
2.034000000000000000e+03, 2.553201679824201431e+00, 7.051084572370407422e-01, 1.171900797035996922e+00, 5.536591124681964349e-01, 1.466990310103309048e+00, 8.025783363679001026e-01, 7.082153656243388440e-01, 9.765511938512267953e-01, 1.365585861638148879e+00, 1.407762482844445495e+00, 2.144245788713923684e+00, 1.892729460748834525e+00, 1.219545203861257754e+00, 1.193113272428783844e+00, 7.364134782402182999e-01, 7.547572848967877279e-01
2.035000000000000000e+03, 2.091908144410431714e+00, 6.456456177244548345e-01, 9.097448905400266073e-01, 4.881801930582752580e-01, 1.487731491526827821e+00, 9.023286682258053748e-01, 6.446671076891988816e-01, 7.818656483838655191e-01, 1.140511465805925218e+00, 1.325036574812916257e+00, 2.093412994388610837e+00, 1.881808104166986961e+00, 1.803855776066094041e+00, 1.214161675447375188e+00, 7.517421351799934426e-01, 7.649723509463952631e-01
2.036000000000000000e+03, 2.440227011443078631e+00, 8.411052630135871233e-01, 1.242879822661774991e+00, 6.109778541293375831e-01, 1.328583140274108620e+00, 8.746384499820717418e-01, 6.637262508699861563e-01, 8.019580889737140117e-01, 1.375593707605079263e+00, 1.355776893228481939e+00, 2.177202955587142164e+00, 1.728312231431234247e+00, 1.751058784359114329e+00, 1.287809876434056644e+00, 6.987320603149527187e-01, 8.099935474858500628e-01
2.037000000000000000e+03, 2.129159840167613282e+00, 8.287086620221197908e-01, 7.440671596842544089e-01, 6.261207880808973281e-01, 1.432986805273164466e+00, 1.079996252459358930e+00, 8.044750541558148837e-01, 8.054256165289332969e-01, 1.300181495546582910e+00, 1.328855671421606210e+00, 2.158061116650034972e+00, 1.630410777562254721e+00, 1.378465766177785046e+00, 1.257836401953063232e+00, 5.917387372772225929e-01, 8.710705759366167422e-01
2.038000000000000000e+03, 1.904884779677733286e+00, 8.052909566776130790e-01, 1.058232089545046994e+00, 4.579378241365967828e-01, 1.512923544635410122e+00, 9.052414001940533028e-01, 7.271130691125703427e-01, 8.266145747998340232e-01, 1.193192487280797298e+00, 1.281576771794048497e+00, 2.067148601832329735e+00, 1.681643915689885915e+00, 1.701128175064335002e+00, 1.292191830426863364e+00, 7.046126649108114259e-01, 9.867233945247229077e-01
2.039000000000000000e+03, 2.255435569922079164e+00, 8.208632588831030752e-01, 1.180953166369647533e+00, 5.213151249292217182e-01, 1.316307826223899635e+00, 7.775395778907968625e-01, 5.294572252885080266e-01, 8.965165064634932346e-01, 1.199365262866290083e+00, 1.294409281168044323e+00, 2.162936728794612407e+00, 1.783586612519534542e+00, 1.640466415830109437e+00, 1.230012627914977896e+00, 9.124748550990613438e-01, 8.818676711521136191e-01
2.040000000000000000e+03, 2.466585194107322909e+00, 6.268237119175424921e-01, 1.128251349880191379e+00, 5.967353533202265359e-01, 1.239403520523723268e+00, 8.737969098170049742e-01, 6.830363276748137036e-01, 7.633396324072989625e-01, 1.335862009041465459e+00, 1.321493003018625156e+00, 2.175940029114440399e+00, 1.715790975058817613e+00, 1.595137746542079071e+00, 1.154449454345591208e+00, 8.033595066527026152e-01, 7.878310881723844528e-01
2.041000000000000000e+03, 2.284778574369728421e+00, 9.155681328840484801e-01, 1.210232704390263647e+00, 5.613366939099729835e-01, 1.312374155531540243e+00, 1.019064997982664700e+00, 7.892072740720541546e-01, 7.692200463800347165e-01, 1.211907261557773952e+00, 1.073107394054736430e+00, 2.186476673868697596e+00, 1.591052456093366319e+00, 1.708308169720292868e+00, 1.179181354160836692e+00, 6.096991900105986906e-01, 8.712962157786919848e-01
2.042000000000000000e+03, 2.585826345604972598e+00, 9.334594861552635292e-01, 8.616483612828890193e-01, 6.180203609721752755e-01, 1.329793884464527842e+00, 8.784127277621834873e-01, 7.456704977838204407e-01, 8.503584526301267710e-01, 1.312130555784715824e+00, 1.308181451869872891e+00, 2.173515482469150051e+00, 1.765448530386713344e+00, 1.408057069841638809e+00, 1.229027428371419317e+00, 7.272783087002333557e-01, 8.028251034943231224e-01
