year, ACCESS-ESM1-5, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CMCC-CM2-SR5, CNRM-ESM2-1
2.029000000000000000e+03, 5.464131745992038131e-02, 1.830109352733114494e-02, 1.105555301721953959e-01, 2.951186299020118753e-01, 3.931820196006624330e-05, 7.877668479027282247e-03, 3.643623699668824267e-02, 3.166668469622036224e-03, 2.000866944732811094e-03
2.030000000000000000e+03, 5.386651813196580152e-02, 1.752208694015978604e-02, 1.131194010570790165e-01, 2.961459962604403029e-01, 3.368412071298503631e-05, 7.974241518403590856e-03, 4.099748499165840193e-02, 3.114616565481893688e-03, 1.937538215681698997e-03
2.031000000000000000e+03, 5.311217727491993057e-02, 1.681364458277369647e-02, 1.216588274742018694e-01, 2.958758345986439164e-01, 3.101950197982808878e-05, 7.898894763806899727e-03, 3.614283419231800742e-02, 3.067003274968554440e-03, 1.856781713137229664e-03
2.032000000000000000e+03, 5.239033687780579596e-02, 1.613946338864316946e-02, 1.214499202482707402e-01, 2.944271160897809492e-01, 2.914650533268044679e-05, 7.819872581953098839e-03, 3.373912808326937768e-02, 3.021115315456636072e-03, 1.777086203599501611e-03
2.033000000000000000e+03, 5.169774185406172257e-02, 1.549420803261629224e-02, 1.074236268422042867e-01, 2.934613794867947933e-01, 2.935971881598498713e-05, 7.769986105943074185e-03, 3.561325838828146434e-02, 2.975756736672107838e-03, 1.694005341380777543e-03
2.034000000000000000e+03, 5.103168841487153856e-02, 1.488031825085037174e-02, 1.003197580634244829e-01, 2.937222961681523192e-01, 3.526212061970456142e-05, 7.754641006103575596e-03, 4.042770418119151499e-02, 2.930191081919619918e-03, 1.604868177973059430e-03
2.035000000000000000e+03, 5.039007087425252662e-02, 1.429794350233301592e-02, 1.073075159716398719e-01, 2.945189249277725962e-01, 3.557677787427962382e-05, 7.684441260391938235e-03, 4.099973573481000000e-02, 2.884237775500945577e-03, 1.509000401713493558e-03
2.036000000000000000e+03, 4.971278956803845683e-02, 1.373483927805110340e-02, 1.163819675404904191e-01, 2.947174939656155290e-01, 3.278419142003563476e-05, 7.803318520400778086e-03, 4.434184014371564397e-02, 2.838495604415832395e-03, 1.444578572230612468e-03
2.037000000000000000e+03, 5.018521249453852806e-02, 1.320114484505371076e-02, 1.167403455618220842e-01, 2.939788519811826206e-01, 3.197746890693853506e-05, 7.803560216997591087e-03, 3.816703861766200523e-02, 2.794116249056356402e-03, 1.385388039295339969e-03
2.038000000000000000e+03, 4.940023626058936967e-02, 1.268767221816600836e-02, 1.164303236097201932e-01, 2.934162057110810129e-01, 3.192397970064603382e-05, 7.850055985553959503e-03, 3.890492744066286618e-02, 2.751109650411533939e-03, 1.332472512477956466e-03
2.039000000000000000e+03, 4.982929089896791230e-02, 1.218620006588119926e-02, 1.196345709956900816e-01, 2.940156021951884635e-01, 3.143590314027248114e-05, 7.843603070048948619e-03, 4.371001633238059264e-02, 2.709115650590189581e-03, 1.292016001511159251e-03
2.040000000000000000e+03, 4.902914523984935879e-02, 1.171009957451581152e-02, 1.204552598355261850e-01, 2.948142249951261618e-01, 3.476431299854404938e-05, 7.870057369979498174e-03, 4.593793109463994301e-02, 2.665767456906127826e-03, 1.248987854278287230e-03
2.041000000000000000e+03, 4.874306063487536533e-02, 1.123793382023157046e-02, 1.212994964741587606e-01, 2.952193829611649001e-01, 3.632960247459761957e-05, 7.859663820378243876e-03, 4.800411795127806913e-02, 2.622241545048624271e-03, 1.176273211589134483e-03
2.042000000000000000e+03, 4.817591321677294758e-02, 1.078980342430095954e-02, 1.210241849575634104e-01, 2.956504909214178189e-01, 3.653856063236299745e-05, 7.936056206064254562e-03, 3.756542353342966906e-02, 2.580793061647764647e-03, 1.117632509199238677e-03
2.043000000000000000e+03, 4.773670782791118034e-02, 1.036382224833833424e-02, 1.138005702653758777e-01, 2.966564395777554486e-01, 4.115113860724873180e-05, 7.946732558146865286e-03, 3.613996677721829920e-02, 2.540691685051508011e-03, 1.054007163684764561e-03
2.044000000000000000e+03, 4.721857239360093689e-02, 9.955272950109545979e-03, 1.137813936614459481e-01, 2.979773736551292740e-01, 4.254748411817779459e-05, 7.987984137493337952e-03, 4.209730629481875375e-02, 2.501769998296944283e-03, 1.004764910751982732e-03
2.045000000000000000e+03, 4.681225249187161846e-02, 9.566163860026689544e-03, 1.144983027583028334e-01, 2.985703184186277448e-01, 3.980211233602323783e-05, 7.941336809780234415e-03, 3.737558810456755032e-02, 2.466905525170522660e-03, 9.554551237799463817e-04
2.046000000000000000e+03, 4.619641916060911180e-02, 9.188013845387562120e-03, 1.122785698366724899e-01, 2.989168921817788038e-01, 3.914880086730970337e-05, 7.908838733759285602e-03, 3.959889721825215342e-02, 2.435556769961554763e-03, 9.537150864212574648e-04
2.047000000000000000e+03, 4.562012519155168172e-02, 8.826446982091947641e-03, 1.104585902198898795e-01, 2.986379477079171840e-01, 4.241284776558128678e-05, 7.924834511889826058e-03, 3.936436556739325576e-02, 2.404484011021282112e-03, 9.463426874944553266e-04
2.048000000000000000e+03, 4.516725980519260136e-02, 8.482684868946545678e-03, 1.162341232101500726e-01, 2.976438483131635948e-01, 4.594714534488650239e-05, 7.887197189427333499e-03, 4.209433713368739699e-02, 2.374241551839790902e-03, 9.372930683558295274e-04
2.049000000000000000e+03, 4.461595826072031062e-02, 8.152496570931595798e-03, 1.220580256193205121e-01, 2.964270336863930599e-01, 4.269352829469976775e-05, 7.846118632509431132e-03, 4.309544228585968084e-02, 2.344621153849770889e-03, 9.353956406245827852e-04
2.050000000000000000e+03, 4.408693450938105940e-02, 7.838176906069832528e-03, 1.150437320989099316e-01, 2.960998329453876643e-01, 3.963217086533542618e-05, 7.856698658790524370e-03, 4.549308087904407882e-02, 2.311094060315264584e-03, 9.378851208658793267e-04
2.051000000000000000e+03, 4.359139805842474069e-02, 7.509720707188499711e-03, 1.132848206694869603e-01, 2.978113367762448838e-01, 3.495899518233380455e-05, 7.635187663770627749e-03, 3.920031385487492831e-02, 2.267416701951917128e-03, 9.087126725943617126e-04
2.052000000000000000e+03, 4.314983110018440898e-02, 7.195031352751146171e-03, 1.182512464070837599e-01, 3.002730685638779207e-01, 3.170496719667242273e-05, 7.674016162141488254e-03, 4.187804992814765648e-02, 2.219371816465049146e-03, 8.805586309316735865e-04
2.053000000000000000e+03, 4.267644127297877399e-02, 6.893444383876404062e-03, 1.141516182956383713e-01, 3.004316892146534634e-01, 3.040512820252521981e-05, 7.634828720455165765e-03, 3.837437006705837761e-02, 2.174427493578298069e-03, 8.622266508601599379e-04
2.054000000000000000e+03, 4.225468405267161776e-02, 6.605438742259365018e-03, 1.138962128836101262e-01, 2.998622360283307864e-01, 2.706811904231780794e-05, 7.644623322943889208e-03, 3.917856313562203402e-02, 2.132322171469391067e-03, 8.389613038119914535e-04
2.055000000000000000e+03, 4.179918865137989548e-02, 6.330270407504861273e-03, 1.141689773523810736e-01, 3.001976828849741152e-01, 2.635597398789293655e-05, 7.715008586247901548e-03, 5.023784743651524970e-02, 2.119775187716952617e-03, 8.181373111155898102e-04
2.056000000000000000e+03, 4.277245944427241625e-02, 6.071902182314663915e-03, 1.155509272097614976e-01, 3.019299280454130763e-01, 2.953002177418262599e-05, 7.790191855700075163e-03, 4.102931332778631673e-02, 2.131169292608611418e-03, 7.862625678561161076e-04
2.057000000000000000e+03, 4.333997490411841541e-02, 5.823051158889550917e-03, 1.122040194431050963e-01, 3.037925120753561248e-01, 2.690396170073387593e-05, 7.914255477765162750e-03, 3.783719730041073398e-02, 2.136177645674548937e-03, 7.554554575301795786e-04
2.058000000000000000e+03, 4.384028990913975410e-02, 5.585270344203578652e-03, 1.078264061596220375e-01, 3.035799711022909575e-01, 2.326778779028756619e-05, 7.932944044728260091e-03, 4.195406358061043450e-02, 2.134957576642780661e-03, 7.358137042933650396e-04
2.059000000000000000e+03, 4.429659334530451631e-02, 5.356725474267662150e-03, 1.063140643808409558e-01, 3.033895425366676113e-01, 2.360126850004197320e-05, 8.040736157966318562e-03, 3.704277886454309526e-02, 2.130475651723902006e-03, 7.186809763735312571e-04
2.060000000000000000e+03, 4.472052567578764515e-02, 5.138249806150557014e-03, 1.100079993752833829e-01, 3.039319311227114961e-01, 2.457019814959605263e-05, 8.143867168959113140e-03, 3.785086885184991978e-02, 2.100653611541699294e-03, 7.116234405206520609e-04
2.061000000000000000e+03, 4.386828397464474089e-02, 4.930630065935271214e-03, 1.193343240353430812e-01, 3.038284975290158063e-01, 2.215020751523693075e-05, 8.114506246816147877e-03, 3.568845713038288486e-02, 2.050204534869396952e-03, 6.807659829875934007e-04
2.062000000000000000e+03, 4.316753319982794684e-02, 4.731170247219306478e-03, 1.168319251351170596e-01, 3.041656679375554506e-01, 2.137238990722370696e-05, 8.025839704177558168e-03, 3.513872358108140193e-02, 2.003067699657143288e-03, 6.492126796825344612e-04
2.063000000000000000e+03, 4.253714071142902786e-02, 4.538917225045287912e-03, 1.038932924338599184e-01, 3.044960740800597421e-01, 2.539711922816213416e-05, 7.951438251135393639e-03, 4.423843321415721341e-02, 1.960430662366674948e-03, 6.212478498941412935e-04
2.064000000000000000e+03, 4.194611582035832897e-02, 4.355754082581445898e-03, 1.087778907890080277e-01, 3.048703368640471312e-01, 2.729947919964010336e-05, 7.930225575927369111e-03, 4.670955168152839121e-02, 1.922149155242167161e-03, 5.929703215359665358e-04
2.065000000000000000e+03, 4.138227733070672792e-02, 4.180978871617894305e-03, 1.144333772088583501e-01, 3.049982393071236642e-01, 2.282216051415532500e-05, 7.768666573934972924e-03, 5.434238775968120577e-02, 1.886574888484279658e-03, 5.683056550944418691e-04
2.066000000000000000e+03, 4.088724412217129706e-02, 4.017674876006783330e-03, 1.138450225770470392e-01, 3.055064708431523002e-01, 2.004614288376330039e-05, 7.792611260626768066e-03, 4.457582502654998391e-02, 1.854328766082242487e-03, 6.416623030780454996e-04
2.067000000000000000e+03, 4.040392032641933889e-02, 3.860708075072233608e-03, 1.133296314095651874e-01, 3.070159683838655784e-01, 2.028783777011338083e-05, 7.805168223136988402e-03, 4.144236433589536250e-02, 1.823715769124970151e-03, 6.960472266452462841e-04
2.068000000000000000e+03, 3.993367356891709685e-02, 3.710123195258742835e-03, 1.143814296707678091e-01, 3.091169921094918394e-01, 2.047457991067131659e-05, 7.681762308710623002e-03, 4.529000350936603775e-02, 1.793307537784064303e-03, 7.371858277023516553e-04
2.069000000000000000e+03, 3.947634390591548553e-02, 3.565240352940799318e-03, 1.137348555137635137e-01, 3.108447017754674691e-01, 1.978688549670381422e-05, 7.746537345183555738e-03, 4.713763033192738122e-02, 1.778903827895465155e-03, 7.716818136519551377e-04
2.070000000000000000e+03, 3.903130408137071156e-02, 3.426912382798491963e-03, 1.138745647664420740e-01, 3.117467672829323244e-01, 2.236060525767422357e-05, 7.747823342414098848e-03, 3.813243269331269975e-02, 1.782762106051363456e-03, 8.048678252458300224e-04
2.071000000000000000e+03, 3.859587240702482686e-02, 3.297831734671465790e-03, 1.148091399694463194e-01, 3.096578615972113147e-01, 2.468628455959396393e-05, 7.641505075672451637e-03, 4.133503453131049526e-02, 1.789284609036025748e-03, 8.374982747640670726e-04
2.072000000000000000e+03, 3.817155176012149154e-02, 3.174173602200344897e-03, 1.159595155417951079e-01, 3.063287455542787474e-01, 2.145096577045146457e-05, 7.542736756235945798e-03, 4.929334889311134948e-02, 1.789802591669700056e-03, 8.542141488832943148e-04
2.073000000000000000e+03, 3.775753195979798804e-02, 3.055675139499577139e-03, 1.156540636580517811e-01, 3.032834389234240757e-01, 1.841703602478730298e-05, 7.445825411556865510e-03, 4.267522096486806721e-02, 1.813626960616413712e-03, 8.594314082655813000e-04
2.074000000000000000e+03, 3.735408043428069952e-02, 2.942332635134135149e-03, 1.110969073206251878e-01, 3.017493612491153332e-01, 1.723770702415318697e-05, 7.381347873999140330e-03, 4.144822982133471861e-02, 1.845100772809314281e-03, 8.543960075323715330e-04
2.075000000000000000e+03, 3.695946428547348950e-02, 2.833509159560368505e-03, 1.099184724665277363e-01, 3.016506747596338078e-01, 1.900914902788980801e-05, 7.250970235101543947e-03, 4.820618861508696451e-02, 1.883330811472286401e-03, 8.373724353743613102e-04
2.076000000000000000e+03, 3.658700794243829879e-02, 2.724586371373695012e-03, 1.077125351088403238e-01, 3.010039083734726284e-01, 1.928480895258634486e-05, 7.233382159405460192e-03, 4.023265652742562259e-02, 1.938986069047250304e-03, 7.960031842295002416e-04
2.077000000000000000e+03, 3.622050122315551013e-02, 2.621302810491632409e-03, 1.151280217358882363e-01, 3.009616095041497963e-01, 1.838297859767281709e-05, 7.210526874610635739e-03, 5.088649717615461449e-02, 2.034435042974868692e-03, 7.653735409142320987e-04
2.078000000000000000e+03, 3.586036887499165215e-02, 2.522018641143740966e-03, 1.145594640436159856e-01, 3.019467579720163664e-01, 1.746384066523151105e-05, 7.134623252199305370e-03, 4.607151448172999708e-02, 2.158701511872309145e-03, 7.356440650819773839e-04
2.079000000000000000e+03, 3.550659234861985175e-02, 2.426610699862385544e-03, 1.136174916499129023e-01, 3.022770829417782412e-01, 1.881569383721337659e-05, 7.096351254768188191e-03, 4.482897555063040246e-02, 2.262393251976395608e-03, 7.090355852838751884e-04
2.080000000000000000e+03, 3.515884853749268874e-02, 2.335236396783767817e-03, 1.150320540061531005e-01, 3.041392048186701835e-01, 2.027302283382120929e-05, 7.069935663760967479e-03, 4.788286137600624576e-02, 2.372062206974095717e-03, 6.817833062638953626e-04
2.081000000000000000e+03, 3.489055499245451164e-02, 2.261560713251343103e-03, 1.053773102242739762e-01, 3.046955359492704574e-01, 2.318620321162195589e-05, 7.186952549311388834e-03, 4.127621649701410794e-02, 2.486039538379401174e-03, 7.297231324133546335e-04
2.082000000000000000e+03, 3.461537667808929630e-02, 2.200326759211708970e-03, 1.044152045582428939e-01, 3.052387790425714065e-01, 2.531224995161344087e-05, 7.129445658945693896e-03, 3.762352093248378521e-02, 2.598276770338514390e-03, 7.720312989785960665e-04
2.083000000000000000e+03, 3.434233655068889834e-02, 2.159532361747295345e-03, 1.101377830142956649e-01, 3.061036922572752395e-01, 2.367612668654944636e-05, 7.188222052649615758e-03, 4.112158910618088359e-02, 2.716373927152728081e-03, 8.160254572836704101e-04
2.084000000000000000e+03, 3.406882738298823432e-02, 2.127265441110934817e-03, 1.151947121311445860e-01, 3.070272884790333223e-01, 2.253644730062948098e-05, 7.184753762752902825e-03, 4.995359751679813443e-02, 2.836530901220443626e-03, 8.566501056375245855e-04
2.085000000000000000e+03, 3.379972503482090579e-02, 2.110295366417801362e-03, 1.099643117370157075e-01, 3.052424017826211866e-01, 2.254383276973379461e-05, 7.158360160065461650e-03, 5.503372598243540248e-02, 2.941586232701562820e-03, 8.925083655920080291e-04
2.086000000000000000e+03, 3.342139006828009212e-02, 2.037095434299916828e-03, 1.069124295928142176e-01, 3.034739230370503416e-01, 2.231034789036094652e-05, 7.013780524463223559e-03, 5.311026057232419439e-02, 3.024023698559163888e-03, 8.517669942027532217e-04
2.087000000000000000e+03, 3.306232179393006620e-02, 1.969496426621987137e-03, 1.049361642278969914e-01, 3.015636855222676993e-01, 2.159655880741399858e-05, 7.039055342539718603e-03, 4.890451016026763076e-02, 3.100127523705043572e-03, 8.061989201664106729e-04
2.088000000000000000e+03, 3.271388849907466007e-02, 1.908882257452220984e-03, 1.096328466837769577e-01, 3.002882009637747873e-01, 1.947201669642795798e-05, 6.976286417038758507e-03, 5.032726782223826550e-02, 3.176736363280493677e-03, 7.685439555970019227e-04
2.089000000000000000e+03, 3.237309250667151639e-02, 1.848948881126673141e-03, 1.101484731104933890e-01, 2.995935458910676252e-01, 1.954868820633837983e-05, 6.962362217425789764e-03, 5.048021502212163975e-02, 3.269629637397518905e-03, 7.247917213442787087e-04
2.090000000000000000e+03, 3.203883727942580945e-02, 1.792228051712604344e-03, 1.028392295888162222e-01, 2.990465446147518858e-01, 2.135930138288733216e-05, 6.950641731734305551e-03, 4.982085513521176956e-02, 3.363645732039416240e-03, 6.804950683624093029e-04
2.091000000000000000e+03, 3.173820900748412083e-02, 1.725885011317985964e-03, 1.114281472274488011e-01, 2.978208551068519117e-01, 2.203087548641972311e-05, 6.970337285784196715e-03, 4.848576038496443114e-02, 3.437545929067308513e-03, 6.935924172341870154e-04
2.092000000000000000e+03, 3.143793457598647451e-02, 1.662711843079138713e-03, 1.196505161575267123e-01, 2.971051843639733736e-01, 2.217233822287033507e-05, 6.845452305301846438e-03, 5.235853577436158646e-02, 3.506034389725275809e-03, 6.989923267866178990e-04
2.093000000000000000e+03, 3.113990671586699954e-02, 1.601269919397387866e-03, 1.187034113376768674e-01, 2.975152626771350173e-01, 2.446597584994675837e-05, 6.734715454668646108e-03, 4.422007286293609674e-02, 3.589741160481089381e-03, 7.055534694293941591e-04
2.094000000000000000e+03, 3.084465858535522312e-02, 1.542770915243050567e-03, 1.198791781760282921e-01, 2.986426795567150849e-01, 2.427015568359251947e-05, 6.603068204412116705e-03, 5.420140530836217718e-02, 3.690651221112590565e-03, 7.175398439229458509e-04
2.095000000000000000e+03, 3.055241670127566145e-02, 1.488729001353776516e-03, 1.137010066086107662e-01, 2.997228709867514329e-01, 2.423532284969600025e-05, 6.551187870965939110e-03, 4.493197804210923713e-02, 3.800883814332064580e-03, 7.434399948218609923e-04
2.096000000000000000e+03, 3.039214407889232264e-02, 1.428294640994917826e-03, 1.103595290947289448e-01, 3.007006073012222780e-01, 2.716603861367128866e-05, 6.560668509863049752e-03, 4.316755328373515777e-02, 3.899699727965066660e-03, 7.819956113088160233e-04
2.097000000000000000e+03, 3.021137701163886802e-02, 1.371180764482101376e-03, 1.125959715950925338e-01, 3.014721573163064439e-01, 2.525516137389758345e-05, 6.481925856248267961e-03, 5.301606407797296999e-02, 3.977059853188473666e-03, 8.138904322305776659e-04
2.098000000000000000e+03, 3.001969279048962574e-02, 1.317061070874810157e-03, 1.172972743803784440e-01, 3.020301164248603287e-01, 2.552665311070690009e-05, 6.463237362487979885e-03, 5.410902180437578146e-02, 4.040381004034263382e-03, 8.471065686160605176e-04
2.099000000000000000e+03, 2.982091315799934028e-02, 1.265381646082288898e-03, 1.148489921165126021e-01, 3.015065422364690551e-01, 2.975124645550749505e-05, 6.633885641247411896e-03, 5.541087700098549368e-02, 4.095535857054003262e-03, 8.806097729391393130e-04
2.100000000000000000e+03, 2.961690606655437846e-02, 1.216909522007478001e-03, 1.141852429632575633e-01, 3.017069537507575672e-01, 2.653299312879620712e-05, 6.608722669001839203e-03, 4.985334937869105587e-02, 3.938129178896442213e-03, 9.076719428827993751e-04
