year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, TaiESM1, TaiESM1, NorESM2-LM, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, NorESM2-MM, CESM2-WACCM
2.015000000000000000e+03, 6.469929749115271382e-11, 4.223445337753289623e-10, 1.415315931885479463e-10, 1.360892758196509622e-10, 2.073696136589963245e-11, 2.073696136589963245e-11, 1.093789811977238005e-10, 6.723184689555756186e-11, 1.215126522512660970e-10, 1.415315931885479463e-10, 1.215126522512660970e-10, 1.133629850788570868e-10
2.016000000000000000e+03, 8.157327278951747435e-11, 3.371692440881824555e-10, 2.247543613498189492e-10, 3.013629473882696440e-10, 2.901772864367506625e-11, 2.901772864367506625e-11, 9.693861852510047653e-11, 8.409133205141042259e-11, 1.373778037567085724e-10, 2.247543613498189492e-10, 1.373778037567085724e-10, 1.136766636262108221e-10
2.017000000000000000e+03, 6.408057005577672999e-11, 4.389895964121849268e-10, 1.534917414122340352e-10, 2.185813616325273723e-10, 2.331147761039457914e-11, 2.331147761039457914e-11, 1.149523166952657069e-10, 6.651162616018077903e-11, 1.273668582944745444e-10, 1.534917414122340352e-10, 1.273668582944745444e-10, 1.695826682718987260e-10
2.018000000000000000e+03, 9.601217877262663287e-11, 4.329423125282128756e-10, 1.735973393092860321e-10, 2.080814414503419846e-10, 1.881166483333627916e-11, 1.881166483333627916e-11, 1.181057358227911462e-10, 9.849238293058777194e-11, 8.655404432184792032e-11, 1.735973393092860321e-10, 8.655404432184792032e-11, 8.321304582427560218e-11
2.019000000000000000e+03, 7.249765989638355811e-11, 4.081889291694754621e-10, 1.936048622365701762e-10, 1.510445426012378059e-10, 2.076123767253628371e-11, 2.076123767253628371e-11, 1.294751644882395584e-10, 7.502226935102422691e-11, 1.344218512055242436e-10, 1.936048622365701762e-10, 1.344218512055242436e-10, 1.185530065538628292e-10
2.020000000000000000e+03, 5.598595046208205733e-11, 3.785286763610604813e-10, 1.818858329233497447e-10, 1.500414331216683933e-10, 2.343846647905578890e-11, 2.343846647905578890e-11, 1.282348984682128190e-10, 5.847998898267436737e-11, 9.622804377983415270e-11, 1.818858329233497447e-10, 9.622804377983415270e-11, 1.973670883433492679e-10
2.021000000000000000e+03, 1.045419569449118202e-10, 4.478341212615208929e-10, 1.899153389017296825e-10, 2.082224142602850623e-10, 2.531634336970791117e-11, 2.531634336970791117e-11, 1.138679218274493545e-10, 1.070205394690235211e-10, 1.093587056483365835e-10, 1.899153389017296825e-10, 1.093587056483365835e-10, 1.068054057340070345e-10
2.022000000000000000e+03, 9.420730665222436426e-11, 4.202311706490147452e-10, 2.016482506528918553e-10, 1.820756915869909698e-10, 2.037069802654199522e-11, 2.037069802654199522e-11, 9.943319816968908182e-11, 9.671180386856497080e-11, 1.161121406846928790e-10, 2.016482506528918553e-10, 1.161121406846928790e-10, 1.055924676114363505e-10
2.023000000000000000e+03, 6.998354110313829005e-11, 4.334955904749994222e-10, 1.456703733037596701e-10, 2.142766526842317715e-10, 1.751460639302800094e-11, 1.751460639302800094e-11, 8.927476314624588982e-11, 7.251038391516022587e-11, 1.313153279033560006e-10, 1.456703733037596701e-10, 1.313153279033560006e-10, 1.426952324211237208e-10
2.024000000000000000e+03, 9.107893951979944257e-11, 3.883298316684875671e-10, 1.565603321649738686e-10, 2.613656907615254048e-10, 2.268241278869536168e-11, 2.268241278869536168e-11, 1.149641719227787615e-10, 9.352547620206681908e-11, 1.338792972243083329e-10, 1.565603321649738686e-10, 1.338792972243083329e-10, 1.183366926686547361e-10
