year, CanESM5, MIROC-ES2L, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CMCC-ESM2, UKESM1-0-LL, MPI-ESM1-2-LR
2.015000000000000000e+03, -2.160955666553005220e-11, 4.748264057092157804e-10, -1.212450012830260903e-11, 9.396934910847617339e-11, 5.491999678017110635e-10, 3.767722737092871563e-10, 8.681928055514890560e-11, 1.066625497420374657e-10
2.016000000000000000e+03, 1.446914936295451882e-10, -8.273461957561913507e-11, -6.140419764866518967e-11, 2.452986182288827229e-10, 4.660221959852544826e-10, -7.913670017360103396e-11, 1.307487426802564028e-10, 7.525448284848111662e-10
2.017000000000000000e+03, -6.891692406807533694e-11, -8.564531932200317759e-11, -1.521919450736505186e-11, 2.331368705333634724e-10, 2.783526959156828234e-10, -8.402260157764085605e-11, 2.667026905549757672e-11, 1.781443155554256035e-10
2.018000000000000000e+03, 9.754542089016392253e-11, -2.027358609121862713e-10, -2.860421360128157359e-10, -4.528167349052206524e-11, 8.572581081708556689e-10, -6.687640076059808771e-11, -5.124697618637089728e-11, -1.816517338269070739e-10
2.019000000000000000e+03, 9.948205756810820711e-11, 7.399122806816662095e-10, -6.234551348611366162e-11, 4.768069095698671340e-10, 4.447688894862450733e-10, -8.541090737376951403e-11, 2.805846180601570643e-10, -5.167438730995597045e-12
2.020000000000000000e+03, 2.948057589798642804e-10, -3.952732521897970687e-10, 1.421800639709302417e-10, -2.679725147098175165e-11, 6.059879849408948556e-10, -1.413260019097913245e-10, -3.481637353475605691e-10, 2.287602166609976386e-10
2.021000000000000000e+03, 5.882566439858048385e-12, 1.111793628320468685e-10, -2.009092103591515827e-11, 9.922066915817187343e-11, 7.558680826031110468e-10, -1.609313242794553400e-10, 4.071489345403072443e-10, 2.716144577656255929e-10
2.022000000000000000e+03, 1.818812098041773818e-10, 5.072965373039402329e-10, -7.632789163255850819e-11, 3.134501425146501463e-10, 2.697631898816010900e-10, 1.527271566707413573e-10, 2.051697466209937954e-10, 2.361387461514038805e-11
2.023000000000000000e+03, -5.383841923023748739e-11, 2.399940430703174389e-10, 5.840875153089574998e-12, 9.996192897178089353e-11, 4.299064621664790985e-10, 1.289131977392157717e-10, 3.653705709254330807e-10, -1.791811737549742014e-10
2.024000000000000000e+03, 1.577656355034920521e-10, 2.343968620570754082e-10, -1.417451260835000498e-10, 1.776518645572482805e-10, 3.828063462882158250e-10, -2.770298017827000157e-10, 7.533765580487088444e-11, 4.852660598885877109e-10
2.025000000000000000e+03, 7.390515235807114508e-11, -7.002873980226322334e-11, -5.626705466372138923e-11, 6.305032075577496281e-10, 6.394609862415046549e-10, -3.186482949016246352e-10, -1.093195719998943555e-10, -4.518185344828311046e-11
2.026000000000000000e+03, -2.817783847071321288e-10, -9.409615292881956943e-11, 3.804484587705241467e-11, -4.319245478643868742e-11, 3.862845181915838898e-10, 1.687759171447089663e-10, 2.960986891461742556e-11, 3.394372834009504516e-11
2.027000000000000000e+03, 1.453817522996954682e-10, 2.233964794785040694e-10, -2.163637521830751650e-10, 2.849231436131472107e-10, 6.614836606159184186e-10, 7.218134773289324003e-11, 2.587080751251594944e-10, 9.027184139017994319e-11
2.028000000000000000e+03, -5.850767184709606482e-12, 7.371637932775124289e-11, -2.597093592734712668e-11, 1.980114226485769411e-10, 4.993365659488527340e-10, -2.222051479773694159e-10, 4.612963988004939574e-10, 2.181249784093713070e-10
2.029000000000000000e+03, -1.840686653916672693e-10, 2.601917546634237957e-10, 2.194396335888612785e-10, 1.149862481989866077e-10, 7.538921282224417472e-11, -1.489144332162438298e-10, -3.005853693570719904e-11, 2.921437254475030929e-10
