year, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, CESM2-WACCM
2.015000000000000000e+03, 1.149570382950724223e+01, 2.091263504179470267e+00, 5.566559320410131129e+00, 9.352118086165580602e-01, 4.398340096381772923e+00, 8.585070459155261791e-01, 8.590620807725060093e-01, 1.552097014997251501e+00, 7.798314678694401536e+00, 1.794082824789662522e+00, 1.975195688088161594e-01, 1.087889413368272384e+00, 9.931616726023309027e-01
2.016000000000000000e+03, 1.157149388928702827e+01, 2.102816842285561538e+00, 5.649136219322795860e+00, 8.600165422535287485e-01, 4.381667461499795913e+00, 8.793072471573285531e-01, 8.771285074408762261e-01, 1.507853313401853912e+00, 7.795183908369849313e+00, 1.795675227909713012e+00, 2.291422902407286855e-01, 1.109482457592754656e+00, 9.487482746562301283e-01
2.017000000000000000e+03, 1.160589264435860635e+01, 2.097818150902204248e+00, 5.644415245632877109e+00, 9.511396654160451103e-01, 4.403638372276464708e+00, 8.848562026542047265e-01, 9.571982768238930239e-01, 1.537296730085731866e+00, 7.873380128114674470e+00, 1.770229264580777562e+00, 2.025022903907848781e-01, 1.097412270758835184e+00, 9.788564631092602220e-01
2.018000000000000000e+03, 1.158319479254229556e+01, 2.102281633287879536e+00, 5.724704165568804903e+00, 1.032881786987302153e+00, 4.410283087372876665e+00, 9.230197956313007657e-01, 9.679845714014347902e-01, 1.572197838994274566e+00, 7.934398397452237184e+00, 1.740810446107546872e+00, 2.000091246629714936e-01, 1.125627878689198891e+00, 9.759635286213450556e-01
2.019000000000000000e+03, 1.172003968984060407e+01, 2.104525275426432529e+00, 5.779593202113760597e+00, 9.985034245559917254e-01, 4.376820720995603153e+00, 9.569377050016154573e-01, 9.482270354203659046e-01, 1.523715103044064989e+00, 7.891670431379085748e+00, 1.723221053869464114e+00, 2.083395728534024327e-01, 1.129214983951687623e+00, 9.353948715531599234e-01
2.020000000000000000e+03, 1.175379951926551492e+01, 2.104996409384182865e+00, 5.860520376167887235e+00, 9.773389831708696462e-01, 4.375784207125415826e+00, 9.373053435564087099e-01, 9.150118759039406191e-01, 1.656832825371509221e+00, 7.888160926059349265e+00, 1.744672116972440845e+00, 2.334832379081141218e-01, 1.098596157565391529e+00, 1.041728590400860632e+00
2.021000000000000000e+03, 1.180842618402918021e+01, 2.086422133550383418e+00, 5.904236135319126610e+00, 9.605824535422411437e-01, 4.367144323317684318e+00, 9.391328566249028675e-01, 9.240948743150507738e-01, 1.787655018481155267e+00, 7.911315919301521227e+00, 1.759000649681415451e+00, 2.273104425450607202e-01, 1.114549500424535600e+00, 1.022806970251363801e+00
2.022000000000000000e+03, 1.189579105832384798e+01, 2.099739375011407727e+00, 5.983910179314916533e+00, 9.426106883681486526e-01, 4.350054277091964572e+00, 9.567259397312156688e-01, 9.734340046015284020e-01, 1.788290303759460409e+00, 7.942351241247431304e+00, 1.770868633792264335e+00, 2.385630841805917446e-01, 1.122745225000997715e+00, 9.843411769016229274e-01
2.023000000000000000e+03, 1.188941868805093982e+01, 2.109703368524127765e+00, 6.036975770044744394e+00, 9.946102661337836714e-01, 4.346018363393667094e+00, 9.508966290822372658e-01, 1.091904566232275720e+00, 1.714828676649533090e+00, 7.931747605071141294e+00, 1.772090840927161182e+00, 2.040739815943100610e-01, 1.133317986276899836e+00, 1.050601207783343316e+00
2.024000000000000000e+03, 1.191854761708855115e+01, 2.132978656249729710e+00, 5.976353702316610672e+00, 1.008754768494097176e+00, 4.347052256100038647e+00, 9.706960467984071528e-01, 1.003646080105320637e+00, 1.591384492485304225e+00, 7.925069416155667845e+00, 1.747885186399892099e+00, 2.270548413505186491e-01, 1.141356167221525331e+00, 1.013446150412726787e+00
2.025000000000000000e+03, 1.194720031748732758e+01, 2.131547544820419304e+00, 6.081867694842659766e+00, 1.050095641786646716e+00, 4.348496055549680328e+00, 9.767515533726629506e-01, 9.487491132663861126e-01, 1.613513947717347241e+00, 7.975774172675399676e+00, 1.716105200718970103e+00, 2.265097531266794806e-01, 1.141891513608988218e+00, 9.936737855886544901e-01
2.026000000000000000e+03, 1.200154977450321425e+01, 2.141834568601178823e+00, 6.018281264914577378e+00, 9.856705010507462728e-01, 4.364062779049413976e+00, 9.483652403030026212e-01, 9.294287726878769362e-01, 1.613062597600082526e+00, 7.973315541517653315e+00, 1.701978728376210004e+00, 1.878299723945441591e-01, 1.136157474273435719e+00, 1.118167376080548170e+00
2.027000000000000000e+03, 1.202836170782965652e+01, 2.142766443939696064e+00, 5.923137383002555545e+00, 9.182937127328795190e-01, 4.391635657482333421e+00, 9.681998369608613153e-01, 9.969408061613156402e-01, 1.620594265863400940e+00, 7.955980625167432763e+00, 1.682365956906716198e+00, 1.945886946154416486e-01, 1.157607388433777862e+00, 1.106763611332407971e+00
2.028000000000000000e+03, 1.210005311167192232e+01, 2.148608752411070633e+00, 5.944885415368960757e+00, 8.376227033365568619e-01, 4.412110603873851566e+00, 1.002479217110645138e+00, 9.705342616982349790e-01, 1.708466046947745065e+00, 7.967302406075852161e+00, 1.669759791430189821e+00, 2.109511949864147640e-01, 1.144053139196704150e+00, 1.094800467827308221e+00
2.029000000000000000e+03, 1.214872237120060561e+01, 2.199701354603072367e+00, 5.951666308942803241e+00, 8.681924435382109007e-01, 4.430657995307901054e+00, 9.455540003419325989e-01, 1.018791424138350443e+00, 1.742238633554339167e+00, 7.983100770349953024e+00, 1.687363544427185502e+00, 2.111130766989765539e-01, 1.133795556018117656e+00, 1.093553627274639339e+00
2.030000000000000000e+03, 1.212456515760488429e+01, 2.220729825630613163e+00, 5.864065735579181649e+00, 1.039459711942066988e+00, 4.474236907592795909e+00, 9.634409861227569705e-01, 1.010329385614261000e+00, 1.510719427925806047e+00, 7.999215894727870868e+00, 1.712494681037359801e+00, 2.455532197524476490e-01, 1.134133457916530308e+00, 1.043144725869147305e+00
2.031000000000000000e+03, 1.218518526991331186e+01, 2.267893349445914808e+00, 5.859204914640969264e+00, 1.040531847184983372e+00, 4.515386736002104051e+00, 9.378825339803812389e-01, 9.592848414972782178e-01, 1.454096373135992160e+00, 8.027143507611054218e+00, 1.703499781086780684e+00, 2.254726052112665247e-01, 1.187881009992869608e+00, 1.168102106337390866e+00
