year, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, CESM2-WACCM
2.032000000000000000e+03, 1.224992856818260201e+01, 2.271547602637463914e+00, 5.851974145381905856e+00, 9.924794048209718555e-01, 4.511027413235670913e+00, 8.916832879464626771e-01, 9.448596120967702738e-01, 1.634720988367559746e+00, 8.107617839651389602e+00, 1.699421769529262161e+00, 2.272994345933672389e-01, 1.193186829285072914e+00, 1.126808402082568383e+00
2.033000000000000000e+03, 1.231286619853307940e+01, 2.271880348020204110e+00, 5.810464524859867197e+00, 1.049649880036918725e+00, 4.504094643191746350e+00, 9.798845735282621927e-01, 1.069251979331649949e+00, 1.758351567989691056e+00, 8.109569117020226869e+00, 1.706800754983145429e+00, 2.301250109420290568e-01, 1.193731739161461691e+00, 1.116115202349669433e+00
2.034000000000000000e+03, 1.228189272166076407e+01, 2.296083155181415147e+00, 5.862362433174978626e+00, 1.042600176828231140e+00, 4.506872220598376444e+00, 1.055457706871363532e+00, 1.102998660639069373e+00, 1.674173941746856853e+00, 8.085691110347019261e+00, 1.713169448929576122e+00, 2.231988451263627327e-01, 1.199962874822049219e+00, 1.058563109435282978e+00
2.035000000000000000e+03, 1.237855380092348767e+01, 2.266693260127043974e+00, 5.696426846378119357e+00, 1.023755597610908952e+00, 4.500319984422786135e+00, 1.067429297304965941e+00, 1.060852054005069878e+00, 1.639731971548789691e+00, 8.044344525136132518e+00, 1.695620142905566841e+00, 2.272789539532869274e-01, 1.238459643850131631e+00, 1.110514438612675514e+00
2.036000000000000000e+03, 1.236931984368838577e+01, 2.251928834330625850e+00, 5.759159519211212164e+00, 1.079304869718204385e+00, 4.501994458802603738e+00, 9.671544498477927521e-01, 1.070416254130917011e+00, 1.736700531728124552e+00, 8.083567989593687386e+00, 1.691935280076738213e+00, 1.899315396797046362e-01, 1.249703124228453310e+00, 1.042192317046841010e+00
2.037000000000000000e+03, 1.244545691729020476e+01, 2.265078050153841893e+00, 5.863142933349681840e+00, 1.132208697111792839e+00, 4.495248366952372621e+00, 9.429162708801122061e-01, 1.019165657650703993e+00, 1.640760844355861892e+00, 8.156191596356793028e+00, 1.710196625222505151e+00, 1.772642220026248161e-01, 1.219630947160375456e+00, 1.181519014699084380e+00
2.038000000000000000e+03, 1.247505195664765587e+01, 2.285948287023934711e+00, 5.935737483206280807e+00, 1.027183253954072173e+00, 4.463030428968083996e+00, 9.555148301752984796e-01, 1.092259127423761855e+00, 1.608027439367226030e+00, 8.162739565453989599e+00, 1.733641479265996654e+00, 2.592422246151652732e-01, 1.245004686135497973e+00, 1.110226747982313356e+00
2.039000000000000000e+03, 1.253659955821132854e+01, 2.326594399456071383e+00, 5.852248521534446191e+00, 9.067464743328698118e-01, 4.429712320011664595e+00, 9.936155109428088661e-01, 1.100151705670860292e+00, 1.629076943733763549e+00, 8.172045296096879241e+00, 1.723835453440974552e+00, 2.398583056367087074e-01, 1.290231171626783357e+00, 1.067572378117556342e+00
2.040000000000000000e+03, 1.254514268936992316e+01, 2.332871436721772884e+00, 5.816425864227069198e+00, 9.323043234081858088e-01, 4.444414139460636015e+00, 9.846557344291188008e-01, 1.075811472700605176e+00, 1.542347530186367610e+00, 8.214157996931938044e+00, 1.696506581255915025e+00, 1.773498246998695682e-01, 1.258764492257459233e+00, 1.124610747926531484e+00
2.041000000000000000e+03, 1.263361094501096815e+01, 2.330939457122588987e+00, 5.895232881314965034e+00, 1.155737954992169358e+00, 4.460308548831948272e+00, 9.621576041112440691e-01, 1.038266283176695559e+00, 1.611307069321727958e+00, 8.249112559324771610e+00, 1.688168430132935605e+00, 2.010078017917930893e-01, 1.253885306170023028e+00, 1.113157048772927427e+00
2.042000000000000000e+03, 1.263007402694907455e+01, 2.344471760044749331e+00, 5.922699157335895137e+00, 1.091615084867435526e+00, 4.475415117905703788e+00, 9.926779194045778354e-01, 1.063311841202840613e+00, 1.763864480902383791e+00, 8.306890635671459577e+00, 1.679938517573714263e+00, 2.079837225268797163e-01, 1.254460424484200365e+00, 1.209635038687810527e+00
2.043000000000000000e+03, 1.266751994936679360e+01, 2.333310611397956702e+00, 5.858771521043058428e+00, 1.025324619976377249e+00, 4.424944526338849826e+00, 1.033986499672850279e+00, 1.031013662044178991e+00, 1.812920192494887006e+00, 8.292184608923452771e+00, 1.670139125523331103e+00, 2.308052902323202427e-01, 1.253378872823835533e+00, 1.171925651997157258e+00
2.044000000000000000e+03, 1.276429099019290980e+01, 2.307621510218845540e+00, 5.993281731911136667e+00, 1.080378140070052728e+00, 4.397680431990709238e+00, 1.089064644811008176e+00, 1.042512533365586247e+00, 1.828546825070536119e+00, 8.310583136521438874e+00, 1.690456251984145508e+00, 2.180740457603345950e-01, 1.291050291970750497e+00, 1.161730757727040153e+00
2.045000000000000000e+03, 1.278787638620665135e+01, 2.301401472686717575e+00, 6.124285012781931492e+00, 1.103499906468689229e+00, 4.405000785562452670e+00, 1.083079346490451123e+00, 1.093487127245690527e+00, 1.637952528369160277e+00, 8.324720302489355461e+00, 1.693909887324041907e+00, 2.346988296482162839e-01, 1.272133299054192035e+00, 1.193239665019461881e+00
2.046000000000000000e+03, 1.286722980019789553e+01, 2.301674313768252933e+00, 6.053694513070591476e+00, 1.004927670644803150e+00, 4.411449005016938152e+00, 1.018631183629942427e+00, 1.090203160404352944e+00, 1.546335520119286100e+00, 8.330815262519603692e+00, 1.680299267148509301e+00, 2.404567033332289383e-01, 1.251822113243593826e+00, 1.142307504164706611e+00
2.047000000000000000e+03, 1.295921939596587791e+01, 2.309823082834154384e+00, 6.039033801462163176e+00, 9.070011543704812329e-01, 4.376779352062653672e+00, 9.669038714089310815e-01, 1.077035125770649415e+00, 1.774644346106194037e+00, 8.353417134481023965e+00, 1.675936532705613713e+00, 2.367590558185054816e-01, 1.308024434679326609e+00, 1.129576722018859503e+00
2.048000000000000000e+03, 1.288998635202664467e+01, 2.291208209347590508e+00, 6.068711943322490754e+00, 1.030816065836597684e+00, 4.382625944979047006e+00, 1.010422961006504528e+00, 1.062496144268093579e+00, 1.999616347942449357e+00, 8.357730093834375040e+00, 1.664960828402953341e+00, 2.333198021557327528e-01, 1.300061959287299507e+00, 1.077816858119259091e+00
2.049000000000000000e+03, 1.293961599294699738e+01, 2.285723332844942668e+00, 6.093865798097120035e+00, 1.014995175265818839e+00, 4.370184927405008857e+00, 1.010450593204751168e+00, 1.084667504894277101e+00, 1.728380786849351924e+00, 8.416680440611676417e+00, 1.645325775694041370e+00, 2.052929015142347935e-01, 1.298753763141357709e+00, 1.088782392613734107e+00
2.050000000000000000e+03, 1.298766488770135119e+01, 2.293368779816563396e+00, 6.143190867667523314e+00, 1.006857212753867303e+00, 4.352233215452439907e+00, 1.037070574475234208e+00, 1.090012200001838849e+00, 1.557780259944546275e+00, 8.413851260927778242e+00, 1.673818273062880557e+00, 2.180779917244276556e-01, 1.325060622305291425e+00, 1.048864613493817322e+00
2.051000000000000000e+03, 1.303822348953147348e+01, 2.303463616044311824e+00, 6.217429235240213181e+00, 9.940689512698005492e-01, 4.341092680464416098e+00, 9.933870366442123512e-01, 1.087119212590139661e+00, 1.770714040006340140e+00, 8.375907569463336699e+00, 1.705458241751174331e+00, 2.050269690941990686e-01, 1.357986637832317101e+00, 1.149599294612344558e+00
2.052000000000000000e+03, 1.308126646879018118e+01, 2.315427165556116940e+00, 6.255155376514615284e+00, 9.585167342613791774e-01, 4.393199236496921678e+00, 9.393827148549034334e-01, 1.152586069440892480e+00, 1.893454105510441465e+00, 8.426490639490028300e+00, 1.710838440892898937e+00, 2.198707206286983906e-01, 1.367151583935796832e+00, 1.120872391693833237e+00
2.053000000000000000e+03, 1.315029714870932054e+01, 2.299689237245729601e+00, 6.187061248083296938e+00, 9.383912608781477260e-01, 4.458809983206851513e+00, 9.109598020911935379e-01, 1.165968545689181513e+00, 1.677895266365318827e+00, 8.447873110584851020e+00, 1.697440810206352069e+00, 2.404299167518353930e-01, 1.400755522524059327e+00, 1.151929321779282756e+00
2.054000000000000000e+03, 1.308142125859375504e+01, 2.291942082568678707e+00, 6.154635301555977378e+00, 9.729110059507294350e-01, 4.487717007252257417e+00, 9.663822644270753104e-01, 1.064715840599783192e+00, 1.554830054575270459e+00, 8.454866955360429870e+00, 1.682009255168582573e+00, 2.203165401283760927e-01, 1.407729738347748505e+00, 1.139690227535533174e+00
2.055000000000000000e+03, 1.319677278900928030e+01, 2.298677751772009614e+00, 6.102681878015764561e+00, 9.840480377664713174e-01, 4.483809365937300839e+00, 1.008689758209357690e+00, 1.049048597852769493e+00, 1.816998850514801811e+00, 8.449819900619942814e+00, 1.681346180722772532e+00, 1.929736715059091057e-01, 1.363603255626944843e+00, 1.073700725293093239e+00
2.056000000000000000e+03, 1.320340076583037359e+01, 2.333947325416597884e+00, 6.058054659583971713e+00, 1.058270748420927054e+00, 4.447856698742698178e+00, 9.771905893252079700e-01, 1.082801771476759711e+00, 1.896451219628231710e+00, 8.462843640415279367e+00, 1.682299863934888728e+00, 2.333332278130220427e-01, 1.371593599309917755e+00, 1.177265943049124575e+00
2.057000000000000000e+03, 1.315820150173478886e+01, 2.334975099863801695e+00, 5.981947949466117187e+00, 1.028457092651969162e+00, 4.475083094942509554e+00, 9.205996262793944007e-01, 1.067713594317475589e+00, 1.807374969267154796e+00, 8.483958503449743560e+00, 1.669324285449281353e+00, 2.592326213695912984e-01, 1.390140249591303334e+00, 1.149623703791199825e+00
2.058000000000000000e+03, 1.319228149443135578e+01, 2.357886470900403264e+00, 5.998143568888013810e+00, 9.831199439658599992e-01, 4.481401831076380127e+00, 9.683751824662626406e-01, 1.039967957959935241e+00, 1.911020712156975554e+00, 8.502020752564776629e+00, 1.607816280967166334e+00, 2.049404982611436610e-01, 1.410015338323281409e+00, 1.135899584238856397e+00
2.059000000000000000e+03, 1.321770102563520410e+01, 2.364449780691363134e+00, 6.162909589652568521e+00, 9.704326799470514020e-01, 4.484360932421505908e+00, 1.023877122645887594e+00, 1.063382010857488513e+00, 1.751872403405422274e+00, 8.484287327441659698e+00, 1.582204046599703595e+00, 1.827654213094506153e-01, 1.395511835619709151e+00, 1.189072707834058606e+00
2.060000000000000000e+03, 1.327631125998301265e+01, 2.359747911828064204e+00, 6.034660638012171674e+00, 9.490131070682402692e-01, 4.525519342850984117e+00, 1.062259287664990781e+00, 1.114269164394888323e+00, 1.649453983265042556e+00, 8.461010338798621078e+00, 1.588855875035754650e+00, 2.587855715916772548e-01, 1.393172250236684118e+00, 1.117489697036557761e+00
2.061000000000000000e+03, 1.330823258937316567e+01, 2.374756463061445722e+00, 5.980695904409099484e+00, 1.000882290941585762e+00, 4.564081844244601172e+00, 1.087650698061013443e+00, 1.091564807520934099e+00, 1.753292792675915202e+00, 8.473793813661281149e+00, 1.578353988692301479e+00, 2.535332661093980811e-01, 1.412345579669088691e+00, 1.122975074329392031e+00
2.062000000000000000e+03, 1.334685609047427235e+01, 2.379770223388896433e+00, 5.933376083949198687e+00, 1.077067625772442971e+00, 4.599036207011918620e+00, 1.130033383570031802e+00, 1.077938214211213497e+00, 1.900632863815284734e+00, 8.550787256926628999e+00, 1.605876808642779041e+00, 2.341681400665900914e-01, 1.420849325508680705e+00, 1.146632646712789638e+00
2.063000000000000000e+03, 1.332937106926242876e+01, 2.385830480040176393e+00, 5.875534470096055450e+00, 1.112769189721844132e+00, 4.612671106268016352e+00, 1.051953741316504320e+00, 1.070441165055248112e+00, 1.637612258030445522e+00, 8.573498115773439565e+00, 1.630956791315362198e+00, 2.299143585252057809e-01, 1.418497264813301406e+00, 1.061256364417964226e+00
2.064000000000000000e+03, 1.334662440850115139e+01, 2.384220498605913008e+00, 5.902937518124044658e+00, 1.172152417810730096e+00, 4.592580203611035472e+00, 1.034813162467489667e+00, 1.118326645495015148e+00, 1.459472178333355741e+00, 8.552701130182684963e+00, 1.643243641585386605e+00, 2.118525689673953771e-01, 1.442753473592313540e+00, 1.072480515998404771e+00
2.065000000000000000e+03, 1.333106840931311510e+01, 2.388096952666587836e+00, 6.079619731940207217e+00, 1.061745833663663596e+00, 4.622513980385917876e+00, 1.072589048982069526e+00, 1.151565222450059212e+00, 1.537901254792232830e+00, 8.586546651559990195e+00, 1.647766540483934339e+00, 2.059546182669628744e-01, 1.437405770518675352e+00, 1.087358906595903507e+00
2.066000000000000000e+03, 1.340524821063374894e+01, 2.386477270395108263e+00, 6.133772225927007327e+00, 1.008357511759508718e+00, 4.667838998244562276e+00, 1.053053686421921098e+00, 1.178392669018259564e+00, 1.774305973060947395e+00, 8.591421972098613580e+00, 1.621101368805462961e+00, 2.596888685315318357e-01, 1.376403381519065494e+00, 1.265220443289924113e+00
2.067000000000000000e+03, 1.347239930539122277e+01, 2.380860540903893874e+00, 6.184333412252114748e+00, 1.130786685211908171e+00, 4.676134265554781066e+00, 1.087816634354032530e+00, 1.117582991568875084e+00, 1.818648292157529545e+00, 8.581561225390982983e+00, 1.665031087864599524e+00, 2.496754481598136566e-01, 1.403529648985942346e+00, 1.195400932009286654e+00
2.068000000000000000e+03, 1.342304161102101112e+01, 2.380598830411690958e+00, 6.255981033020898252e+00, 1.102930447670549041e+00, 4.664712525884812777e+00, 1.095963466800841113e+00, 1.106296070552185595e+00, 1.565353817830979599e+00, 8.583179891340625645e+00, 1.692064918069402291e+00, 1.996632062644910777e-01, 1.413711651771302868e+00, 1.062617462818527647e+00
2.069000000000000000e+03, 1.344366067486305560e+01, 2.396570889997758247e+00, 6.241729031018956597e+00, 1.016532360301859672e+00, 4.673512628822582116e+00, 1.039483478721455301e+00, 1.082672820955886017e+00, 1.558620860598532332e+00, 8.603294080100654995e+00, 1.690219164513369510e+00, 2.043182520104516453e-01, 1.409084437024231473e+00, 1.113462750494671916e+00
2.070000000000000000e+03, 1.346078349754955994e+01, 2.397836587522266694e+00, 6.159414650143599346e+00, 1.045437075340649002e+00, 4.738170432361111573e+00, 1.024751061867889668e+00, 1.059884216783887112e+00, 1.759738867468509049e+00, 8.620412225239894255e+00, 1.715599208067737358e+00, 2.471500708533598545e-01, 1.436830175621856664e+00, 1.236870803191940871e+00
2.071000000000000000e+03, 1.345506145873837944e+01, 2.409292503028655386e+00, 6.062420615570441207e+00, 1.129884185939374674e+00, 4.777899185879013189e+00, 1.078910092325209291e+00, 1.098787238244958164e+00, 1.910091150323821152e+00, 8.608017146209112624e+00, 1.732192514284137230e+00, 2.493688576221071984e-01, 1.467946253600270534e+00, 1.138113175400750521e+00
2.072000000000000000e+03, 1.349945695710614935e+01, 2.404356651792758814e+00, 6.125706326189552797e+00, 9.865083879707048364e-01, 4.770622783382134635e+00, 1.048839162519978441e+00, 1.093099078761206711e+00, 1.728536664505031961e+00, 8.678465544851908575e+00, 1.752326318958694396e+00, 2.275479308263436140e-01, 1.452135663483508310e+00, 1.117692772697246095e+00
2.073000000000000000e+03, 1.359544457900298475e+01, 2.421332629000291004e+00, 6.144941870405189022e+00, 9.617744352189024903e-01, 4.735448197184280339e+00, 1.009734162248145273e+00, 1.093434790786555366e+00, 1.674252621108469175e+00, 8.714297245298983086e+00, 1.760629269899216309e+00, 1.858557049385728410e-01, 1.455338208848341530e+00, 1.220332343017126009e+00
2.074000000000000000e+03, 1.357844379540422430e+01, 2.455435736551879966e+00, 6.084242114500212573e+00, 1.013279766885140765e+00, 4.661037896912441525e+00, 1.005631217324093107e+00, 1.073966219000475508e+00, 1.949749391383494013e+00, 8.751291669870067125e+00, 1.781419575575346581e+00, 2.123378875775190355e-01, 1.448404795456613270e+00, 1.268814472090266099e+00
2.075000000000000000e+03, 1.355521434460260188e+01, 2.461639696205299099e+00, 5.992002528585377519e+00, 1.096658235364680323e+00, 4.668056157327046485e+00, 1.004265739910664479e+00, 1.042023011972815549e+00, 1.761159148353299786e+00, 8.730323624256847381e+00, 1.773558737002354890e+00, 2.416533167327233333e-01, 1.476973893890760392e+00, 1.202902771111886260e+00
2.076000000000000000e+03, 1.352476733450870761e+01, 2.468422857326885822e+00, 5.991758238414226057e+00, 1.046866219726279246e+00, 4.666976749829279569e+00, 1.000896725916390340e+00, 1.077058174098090237e+00, 1.619927772808482658e+00, 8.737454004136692376e+00, 1.758947396417184006e+00, 1.996759689113414837e-01, 1.489161411861369189e+00, 1.195884556065355930e+00
2.077000000000000000e+03, 1.352453737057171246e+01, 2.483337755418769444e+00, 6.127678539097136223e+00, 1.063056379491458703e+00, 4.663370726180085413e+00, 9.799959404376531458e-01, 1.140408970983504133e+00, 1.730164100870372756e+00, 8.760070814364350866e+00, 1.730278902802958596e+00, 2.047687096058486700e-01, 1.469543515564827318e+00, 1.121805728264251956e+00
2.078000000000000000e+03, 1.356465665077239358e+01, 2.484851128965038125e+00, 6.105148358060507263e+00, 1.058085818841737469e+00, 4.678831011373685733e+00, 9.835354041755763888e-01, 1.094649114889566066e+00, 1.919176199059780652e+00, 8.789489859970844421e+00, 1.687856457074393690e+00, 2.175809129504577000e-01, 1.471835919802012560e+00, 1.210111168117804725e+00
2.079000000000000000e+03, 1.357897333225862901e+01, 2.493902948928103935e+00, 6.006113846317416183e+00, 9.685590560830035223e-01, 4.644840143723652837e+00, 1.009643790456641765e+00, 1.075674955173906211e+00, 1.925204536599672167e+00, 8.782253289096287219e+00, 1.688657237054806526e+00, 2.872222892903647518e-01, 1.502932334730396224e+00, 1.212882231315270065e+00
2.080000000000000000e+03, 1.364779546396733956e+01, 2.485900998125749162e+00, 5.974841818227882406e+00, 9.842009418949325683e-01, 4.576688016960487104e+00, 9.899387039750243700e-01, 1.154397872406626835e+00, 1.569258597534749944e+00, 8.838701307198867596e+00, 1.684034412228754274e+00, 2.194146684634833977e-01, 1.479474674631701570e+00, 1.107295662043854323e+00
2.081000000000000000e+03, 1.359941673592144085e+01, 2.497016507934486373e+00, 5.972460719790084305e+00, 1.059389847639323978e+00, 4.562188371371887818e+00, 9.877458952022867278e-01, 1.137782177884719914e+00, 1.393282740416679655e+00, 8.800275026364632325e+00, 1.689962284135445580e+00, 2.161968885488830261e-01, 1.488612237278937434e+00, 1.243275530699851306e+00
2.082000000000000000e+03, 1.356423588668413238e+01, 2.481086534079494754e+00, 6.043804403606900522e+00, 1.122074725191462896e+00, 4.592303022019844860e+00, 1.011861200068208344e+00, 1.149579919332622158e+00, 1.460145146409430605e+00, 8.766475977561620780e+00, 1.718364896089493277e+00, 2.707079219806818871e-01, 1.460226984481193258e+00, 1.212805518641182134e+00
2.083000000000000000e+03, 1.353102083686574630e+01, 2.489569687494858297e+00, 6.123313981464158395e+00, 1.132806790249603068e+00, 4.620357176930832033e+00, 1.042481167411281495e+00, 1.145129984571864101e+00, 1.946730190442303776e+00, 8.760673004505004968e+00, 1.734298621780235861e+00, 2.529520670026398355e-01, 1.495378595558754187e+00, 1.172651734045297989e+00
2.084000000000000000e+03, 1.356946085906021615e+01, 2.491491862452039907e+00, 6.102925983781276820e+00, 1.039200808417882316e+00, 4.620488945087204868e+00, 1.085944711071653357e+00, 1.142603833521465662e+00, 1.885767633604108040e+00, 8.800707795485751106e+00, 1.740875236713398833e+00, 2.156589970768773845e-01, 1.542133983327640401e+00, 1.112051785780980406e+00
2.085000000000000000e+03, 1.355671101160837111e+01, 2.471217613564318238e+00, 5.982678594292687002e+00, 1.021707346932032134e+00, 4.616152435361999373e+00, 1.156138110647674466e+00, 1.146456264317985640e+00, 1.687393536705127373e+00, 8.825797632480085753e+00, 1.741907872648939870e+00, 1.801975152437570171e-01, 1.528942392024613683e+00, 1.142779752537950388e+00
2.086000000000000000e+03, 1.350689803745677331e+01, 2.440801553606145369e+00, 5.891331715071237873e+00, 1.055009761784613032e+00, 4.620262939668157820e+00, 1.118406156441326793e+00, 1.109955853949732729e+00, 1.586867318165797736e+00, 8.818297060834359158e+00, 1.717726670309983605e+00, 2.463433716583510735e-01, 1.491522975621851987e+00, 1.193499213870151010e+00
2.087000000000000000e+03, 1.352149762026621893e+01, 2.442385847746430638e+00, 5.989547313306253784e+00, 1.053008175058877338e+00, 4.623408590656474360e+00, 1.062964873963279322e+00, 1.187901153406114130e+00, 1.655601017760294447e+00, 8.773292689119282173e+00, 1.716876517320841344e+00, 2.307363725718262759e-01, 1.472315434804864154e+00, 1.255599418040936888e+00
2.088000000000000000e+03, 1.354443680014692930e+01, 2.470392510833486099e+00, 6.159866634565578813e+00, 1.012970477003903191e+00, 4.598158249101954809e+00, 1.028018530619714044e+00, 1.159524548154607926e+00, 1.600424754741774036e+00, 8.716593490159509017e+00, 1.723339303657454025e+00, 2.255951494377076982e-01, 1.463986507940288728e+00, 1.241808149259550742e+00
2.089000000000000000e+03, 1.353367161400847252e+01, 2.519336698179064804e+00, 6.192208989830824351e+00, 1.046391769892378365e+00, 4.600644416795568681e+00, 9.821624485149194062e-01, 1.125671197814289481e+00, 1.592879292358698295e+00, 8.741179732466477503e+00, 1.710020081352626509e+00, 2.325768665568369031e-01, 1.465381654673494349e+00, 1.166701593078517174e+00
