year, EC-Earth3-Veg, NorESM2-LM, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, INM-CM5-0, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-MM
2.015000000000000000e+03, 7.436894163566304394e-02, 9.385105440101371155e-02, 1.857203206245360283e-01, 4.849790177313864636e-02, 3.167921161598615670e-02, -7.307600196228229879e-03, 1.379264904552214045e-02, 1.029144416114644162e-01, 2.415273698950406445e-01, 3.592840220868314532e-02, 2.935925995340811848e-02, 6.118460335357944063e-02, 1.603924480966675836e-01, -4.100084091872325219e-03, 4.897786067968280810e-02, 1.317315594082441310e-01
2.016000000000000000e+03, -1.935688197986962233e-02, -2.358211770013681624e-02, 1.575924922264028416e-01, 3.144582711472050478e-03, 8.269576100831832477e-02, 4.892962884918513472e-02, -5.286600256437608281e-02, 2.052584895604294135e-01, 1.991256599230065982e-01, 2.546468648640076715e-01, 4.421467559262396568e-02, -3.923988082861673554e-02, -2.794707290185246412e-02, -2.076476318935237958e-02, 1.474325815057225819e-01, 1.604051674719382536e-01
2.017000000000000000e+03, -1.499350182025728784e-01, 4.741865779778355744e-02, 9.412919694640145551e-02, 2.121909533860758326e-02, 7.859575837424841172e-02, -2.330530587176024918e-02, -4.891791288023907003e-02, 2.774567931400001575e-01, 2.456690349964982256e-02, 5.978526595315117320e-02, 9.018957047568531768e-03, 3.986768554056926289e-02, -2.893028329702747314e-02, -5.146602056203195864e-03, 1.279656401670220198e-02, 5.964288025061395548e-02
2.018000000000000000e+03, 2.514582674703076393e-01, 5.455051895740901241e-02, 2.898948653342919846e-01, 3.779667372568495942e-02, -1.526548529325554536e-02, 3.298646741675959060e-02, -1.568123953233292039e-02, 1.563576482618279639e-01, -2.162075529494805401e-02, -6.215776057406600941e-02, -1.732994429418303201e-02, 7.045406606487580881e-02, -6.848250362176505623e-02, -9.672949804616100267e-02, -2.159294115247157100e-02, 3.479008215007493160e-02
2.019000000000000000e+03, 6.203984343247895827e-01, 5.687161857636965218e-02, 1.504053634413685947e-01, 1.192002815853317708e-02, 1.607424881786875537e-01, 3.364137055923557829e-02, 8.534228554535515376e-02, -6.203243845770162884e-02, 2.290041387912716553e-01, -7.985381174607665946e-04, 9.488395535969841588e-02, 4.653666036689377977e-02, 2.499362728112441701e-01, -2.108308345408153525e-02, -1.387475794312034542e-02, 2.403585491020160739e-02
2.020000000000000000e+03, 2.590124518853351154e-01, 1.943767472507432204e-02, 2.049240521777919988e-01, -2.704127480543458764e-02, -9.033964884614210239e-03, 9.969305041814591206e-02, 6.296817500948589941e-02, -3.427654248850086488e-02, 1.730774487251551252e-01, 7.677434173025178554e-02, -1.177368615249645978e-01, -4.868501613971101816e-02, -1.335200482187979543e-01, 4.808035071959802786e-02, 3.133731038843061423e-02, 1.048408631925979856e-01
2.021000000000000000e+03, -4.918155112730381029e-03, 1.340509313492020405e-01, 2.556082863821058648e-01, 5.630950335645540372e-02, 3.344955142035727774e-02, 1.989279295988641630e-03, 1.124839671112181361e-01, 1.186700325974479470e-01, 1.616343777170474727e-01, 9.130871138665426490e-02, 1.376836036014940923e-01, -1.143516004404141612e-02, 3.755547283817275289e-02, -6.794050464656225218e-03, 2.966340422972974303e-02, 1.036100600592689686e-01
2.022000000000000000e+03, -4.110503433412757701e-01, 2.199546720961111784e-02, 9.122452486304108432e-02, 2.165101341624467435e-02, 1.056711948097013437e-01, 6.150589690603600057e-02, 6.736811781758263173e-02, -8.796458127945907396e-03, -9.248320021859524065e-02, 8.837659834769201125e-03, 6.938126977214850721e-02, -2.217103997490766851e-02, 1.713605910513965047e-01, -2.581143724995943814e-02, 5.191262075129664082e-03, 1.905779285997200034e-01
2.023000000000000000e+03, -6.877705741483462754e-02, 8.147025600571032589e-02, 1.453794076348992326e-01, 8.887713646639151810e-02, 3.369944701632058420e-02, -1.820628016673154353e-02, 1.416171082254753712e-03, 1.281279808985421112e-02, 6.275486463835920625e-02, -6.046611328748478092e-02, 1.235556146345968692e-01, 3.905989516145514512e-02, 8.106801061152144050e-02, 1.975180753381505176e-03, 2.123237442506144615e-02, -1.102529637933976209e-01
2.024000000000000000e+03, 1.601495456355023772e-01, 5.658119299849521944e-02, 1.294517872139123726e-01, 7.127647841241323105e-03, 5.989049689795007680e-02, 5.335084873825250706e-02, -9.248198070285633399e-02, -3.413462630485413624e-02, -6.848686832010483783e-02, 1.634068631291327733e-01, 2.547657394661989941e-02, 5.301914674218605877e-03, 7.917732897638117551e-02, -4.793326985899888648e-02, 2.317781570528123266e-04, 2.365706745840141789e-02
