year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, CMCC-ESM2, INM-CM4-8, EC-Earth3-Veg, MIROC-ES2L, NorESM2-MM, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR
2.027000000000000000e+03, 4.952555973553433022e-01, 5.491148392261808731e-01, 3.089029320810174895e-01, 3.566725037333380866e-01, 6.196465098315154796e-01, 1.959331580672379891e-01, 3.843274895105834865e-01, 3.303649026430059976e-01, 2.093586802305414107e-01, 4.661648949219999727e-01, 9.465499058086921380e-01, 2.131958833274218978e-01, 3.806471489145903941e-01, 2.835393139603866186e-01, 1.001016277453778525e+00, 2.403301999181843007e-01
2.028000000000000000e+03, 4.671424950178776903e-01, 5.656304917230990936e-01, 3.074357067868502269e-01, 3.652415272554717096e-01, 5.752169938346797240e-01, 1.973669120985081515e-01, 4.063735695560918293e-01, 3.557133301655666657e-01, 2.257545662783525808e-01, 4.815631715507666666e-01, 7.408933806649703468e-01, 2.500994440827942755e-01, 3.858288336696631959e-01, 2.810893875456481616e-01, 1.055815643875715359e+00, 2.646937668361640794e-01
2.029000000000000000e+03, 3.994829967737571486e-01, 5.754372550161833688e-01, 2.963369664095630851e-01, 3.844381714462158373e-01, 5.763688252910833532e-01, 1.989202868064391672e-01, 4.163340269823015971e-01, 3.676775111286030850e-01, 2.567526768237007317e-01, 5.114966862651156854e-01, 6.522131147967330511e-01, 2.381931996448112265e-01, 3.264225436721976958e-01, 2.858061052525848189e-01, 9.911017042891352435e-01, 2.690039805863022604e-01
2.030000000000000000e+03, 4.844758835033187716e-01, 6.095308787288010732e-01, 2.541426712537807608e-01, 4.104094260919715631e-01, 5.687350816907567053e-01, 1.964403519198577308e-01, 4.475759635523235414e-01, 3.506205891500348559e-01, 2.333832343092338002e-01, 5.120375579295752821e-01, 8.404839596070312613e-01, 2.450676223573655665e-01, 3.333550538674662223e-01, 2.672781470856467889e-01, 9.645133727386306921e-01, 2.825714418690973839e-01
2.031000000000000000e+03, 4.956646777536478643e-01, 6.192261110130687918e-01, 2.998520313127370773e-01, 3.961617385858892670e-01, 5.703578262618819172e-01, 1.944070393614122372e-01, 3.106379323679469562e-01, 3.468795146042150113e-01, 2.279093821178231338e-01, 5.160973535046020633e-01, 1.000634896830952636e+00, 2.014970938863554217e-01, 3.550770909569803679e-01, 2.607604858421671001e-01, 1.008531549460330412e+00, 2.744847877806668168e-01
2.032000000000000000e+03, 5.025766800390696343e-01, 5.642811679578390027e-01, 3.604390494618309182e-01, 3.911674269082079380e-01, 5.781425728326097246e-01, 1.956943617569599780e-01, 3.756820571522503371e-01, 3.626108104761118223e-01, 2.232346955328224913e-01, 5.073205525367889823e-01, 8.941408455424416646e-01, 2.147823077173824091e-01, 3.860991116085168984e-01, 2.528155644819435333e-01, 1.008273087030301607e+00, 2.570009602251119296e-01
2.033000000000000000e+03, 4.157356118557623548e-01, 5.259433213822044539e-01, 3.602164549064206245e-01, 4.149283261414750679e-01, 6.278395884315066677e-01, 1.978663734301590316e-01, 4.102421154384101598e-01, 3.592212110216518872e-01, 2.309476681237076223e-01, 5.671498489128377063e-01, 8.296142844625905566e-01, 2.253741733589556262e-01, 3.458595509392422551e-01, 2.396627407321414160e-01, 1.028602989315440475e+00, 2.636026073484023513e-01
2.034000000000000000e+03, 4.926668696711329898e-01, 5.394806149878613732e-01, 2.918636756908439822e-01, 4.168872923749304404e-01, 6.581880425404259549e-01, 2.070514074196457277e-01, 4.304807962631934104e-01, 3.538194520231370821e-01, 2.693106189266532557e-01, 5.389776719616002909e-01, 9.174774430674698111e-01, 2.120922051960814625e-01, 3.297207582070161291e-01, 2.338517194239620178e-01, 1.107379066597984574e+00, 2.529917816007000164e-01
2.035000000000000000e+03, 4.274815944514469557e-01, 5.958941408901023973e-01, 2.681809939001051357e-01, 4.010291935837705934e-01, 6.591936968361588045e-01, 2.048032579841573553e-01, 3.832759205146722969e-01, 3.561926008347102712e-01, 2.599706112258254875e-01, 5.266430380720390492e-01, 8.789773685816490989e-01, 2.275632516414864415e-01, 3.408899175917857738e-01, 2.325808321905659948e-01, 1.075674691398895710e+00, 2.486704445295507826e-01
2.036000000000000000e+03, 4.889617249912693864e-01, 5.998791703263821606e-01, 3.260539911688351000e-01, 4.025884516838835192e-01, 6.154785135331918289e-01, 2.141539412753361571e-01, 4.772356889529235091e-01, 3.654971798821159412e-01, 2.408431952641540696e-01, 5.028935220325655431e-01, 8.352826709066254462e-01, 2.327369619402793743e-01, 3.428353314757123793e-01, 2.553025343213169429e-01, 1.053529866508259083e+00, 2.508761305521823304e-01
2.037000000000000000e+03, 4.695164551196969183e-01, 5.628670868004099770e-01, 3.352492287410147598e-01, 4.234569670390831431e-01, 6.027022106936145152e-01, 2.064433596924814818e-01, 3.147155805730317280e-01, 3.678439375528626543e-01, 2.334546908257817410e-01, 5.315391533272372238e-01, 9.130312837584382279e-01, 2.051818839623530399e-01, 4.105136105636381094e-01, 2.917755049743287477e-01, 1.047918183350716959e+00, 2.638673847623928537e-01
2.038000000000000000e+03, 4.575060233615084737e-01, 5.987203416222492969e-01, 3.504862925476929236e-01, 4.229040201625081652e-01, 6.231166638487739551e-01, 2.002542047760229316e-01, 3.990104935587989177e-01, 3.690321012173359838e-01, 2.861697879236954623e-01, 5.487561273640558790e-01, 7.641239179185158603e-01, 2.074891460112915365e-01, 3.543339419066385831e-01, 2.712912665535635037e-01, 1.055514915025438816e+00, 2.924607344058099412e-01
2.039000000000000000e+03, 4.283764426342154263e-01, 5.860752519175901343e-01, 3.479957696472892881e-01, 4.009181566678616249e-01, 6.231617983279962303e-01, 2.090141448788950529e-01, 4.705741297639213783e-01, 3.560689508521350244e-01, 2.572912159281241506e-01, 4.926706789654224927e-01, 7.700298683123264487e-01, 2.179816640381081749e-01, 3.122542850985772223e-01, 2.164487767396136297e-01, 1.036763909038911136e+00, 2.888079822791276841e-01
