year, UKESM1-0-LL, TaiESM1, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, MIROC-ES2L, INM-CM4-8, ACCESS-ESM1-5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, INM-CM5-0
2.015000000000000000e+03, 6.243571142906632065e-01, 7.180554144352802037e-01, 7.334113274578647479e-01, 6.588938049560810750e-01, 7.492997141654890170e-01, 9.733847066151629646e-01, 5.896121550763266939e-01, 7.400471624304941765e-01, 6.377120225747141546e-01, 8.437321901700931548e-01, 6.714766289513545150e-01, 7.815415609599947189e-01, 7.237602020840594452e-01, 5.006401271613600823e-01, 8.462386331115309135e-01, 8.838391949924641056e-01
2.016000000000000000e+03, 5.328548086061160038e-01, 5.661182652953885563e-01, 5.798277245336939112e-01, 7.435714486064299855e-01, 7.133898708912553843e-01, 9.149534343970290307e-01, 4.767497185223442679e-01, 8.289635745165033764e-01, 5.251045944366520279e-01, 7.004797982024796310e-01, 7.486646219503257926e-01, 7.687582535419529295e-01, 7.021382907113909999e-01, 5.050478651873432367e-01, 9.182466173909652474e-01, 8.628991623336799144e-01
2.017000000000000000e+03, 4.773038424668871738e-01, 5.529951710611771265e-01, 7.455031971727534845e-01, 7.230566286409354504e-01, 6.940366647589842897e-01, 9.308655842655436663e-01, 6.085000389766426210e-01, 9.434411946740707267e-01, 6.000281946265916266e-01, 8.632482237818179804e-01, 7.131488737709106296e-01, 8.162287168425519379e-01, 5.778556185089048780e-01, 4.861237392659146228e-01, 8.349019375344152172e-01, 7.074248856780808170e-01
2.018000000000000000e+03, 6.363043546589906008e-01, 7.864104364423781801e-01, 6.077657959337469107e-01, 5.425912779033293942e-01, 7.306708811226438893e-01, 1.163840654184961965e+00, 5.947066438328505456e-01, 6.046683053275639930e-01, 6.086405362269611263e-01, 8.951297913032497666e-01, 7.200976948118701371e-01, 7.988470687267795745e-01, 7.299284097295583029e-01, 5.966275011312300869e-01, 1.085760820861574105e+00, 8.082615323495504489e-01
2.019000000000000000e+03, 5.490519608314091693e-01, 8.167774411468006202e-01, 6.139760304644324984e-01, 5.479763782368338720e-01, 6.513646675347642967e-01, 8.818164647205416484e-01, 7.866984491584063655e-01, 9.000289995222384709e-01, 5.985985306349176360e-01, 1.055819273925033830e+00, 5.878654591238885452e-01, 9.349567426677123372e-01, 6.757693473439186915e-01, 4.780674415262370913e-01, 9.781714146793878406e-01, 9.255775470571134811e-01
2.020000000000000000e+03, 4.902416729209820301e-01, 6.365929231742447625e-01, 5.352169712939515156e-01, 7.746815717062202067e-01, 6.295103325554196605e-01, 1.004849454616981941e+00, 6.395262415974118930e-01, 8.625078010867066602e-01, 7.639051751881257291e-01, 8.095022394584229231e-01, 5.531557019746763393e-01, 1.085543616212087503e+00, 5.141669350304818309e-01, 5.023178079251597872e-01, 8.896777823850077205e-01, 8.483444617792554876e-01
2.021000000000000000e+03, 7.042356806223927235e-01, 5.798949193253108980e-01, 6.941833401275276927e-01, 6.044301653124499740e-01, 8.056584881769590645e-01, 1.049831891756178637e+00, 6.819057762816365109e-01, 8.191214759312068772e-01, 6.927472243143275588e-01, 8.668754982427900879e-01, 6.388301882040662294e-01, 8.970752730594675484e-01, 7.156547174357515972e-01, 5.821112773802965545e-01, 9.725640691205562627e-01, 8.451826242103944731e-01
2.022000000000000000e+03, 6.111884482629197368e-01, 6.013677293022337000e-01, 5.100946216080807227e-01, 5.161013057354832956e-01, 7.984042699629083639e-01, 9.552732661083771504e-01, 6.371204598136398500e-01, 7.816479770379599623e-01, 5.857458135322853865e-01, 9.859215214523427973e-01, 6.454337167492151250e-01, 8.667879347454284789e-01, 6.485435542773597684e-01, 5.623004532898362440e-01, 8.969968883821022310e-01, 7.763404425454547564e-01
2.023000000000000000e+03, 6.122605815249551053e-01, 6.158438592483562735e-01, 6.423323882156054543e-01, 5.448301422042999276e-01, 8.725620730951797466e-01, 9.123322637514054145e-01, 5.825779969904142375e-01, 7.426006877841905274e-01, 4.757354662306709225e-01, 9.060656677560945393e-01, 5.767986816486457835e-01, 8.639003572387369267e-01, 6.155577884215839291e-01, 5.835494323899305114e-01, 8.717335085457810218e-01, 8.362478193504528923e-01
2.024000000000000000e+03, 5.236271796780429533e-01, 6.135988526842669488e-01, 5.385310522186621540e-01, 5.503670311900236145e-01, 7.194461920717197811e-01, 9.538085555920269298e-01, 5.904751001793369092e-01, 7.395229366359220569e-01, 6.596403924558686960e-01, 9.236126253914285211e-01, 6.659118968577648623e-01, 7.739744795812328881e-01, 7.500185468574256387e-01, 5.262818683393377661e-01, 8.119953281472490625e-01, 7.280923703531377855e-01
2.025000000000000000e+03, 4.674420825115891409e-01, 5.253717427175309540e-01, 5.481709400692225120e-01, 6.419771945426202553e-01, 6.434074382386304469e-01, 9.874782495004638116e-01, 6.871592010302721709e-01, 7.865906257013752789e-01, 6.720049694700718224e-01, 7.839763497009800686e-01, 5.943858343860780602e-01, 7.368894357435805675e-01, 7.169309975455394612e-01, 5.025792691119580491e-01, 8.517277248069403672e-01, 6.256987421748018141e-01
2.026000000000000000e+03, 5.451055276996078502e-01, 6.716341481770995436e-01, 7.184319696751090278e-01, 5.588702872020335777e-01, 6.256404198654210713e-01, 9.759644241934231079e-01, 7.199775401263179830e-01, 7.959095062618389838e-01, 6.797247387398591689e-01, 8.492962059510422712e-01, 6.009582550885190777e-01, 8.475761070212631809e-01, 6.360256514477268253e-01, 6.205882744291938424e-01, 8.137253142018070484e-01, 8.498707064755830487e-01
2.027000000000000000e+03, 7.531339154266547542e-01, 7.096095466804983598e-01, 6.492664637523909432e-01, 6.335761426425404741e-01, 7.033787107951673390e-01, 9.428441253563395463e-01, 6.612970972432818950e-01, 6.821387104497804721e-01, 6.123724330067414900e-01, 9.978429354662026185e-01, 6.411190887355547874e-01, 8.898608957537391673e-01, 5.690558240207647112e-01, 5.319809088745734993e-01, 8.008655369896783283e-01, 8.300389519213374756e-01
2.028000000000000000e+03, 6.827020550184628167e-01, 6.209324403853606622e-01, 6.862848025853663936e-01, 6.815376751100841179e-01, 7.149402569815117570e-01, 9.450052330984902715e-01, 4.846864518383278697e-01, 8.154034236988371154e-01, 6.739064584168444894e-01, 8.429661308946007070e-01, 5.325819280020184232e-01, 9.342790521833324036e-01, 6.433147658192541751e-01, 4.700449565227244886e-01, 1.031716026023018928e+00, 7.115233790170780726e-01
2.029000000000000000e+03, 4.437848895751022038e-01, 7.093092740492001891e-01, 6.842120460812476379e-01, 6.706631521596332357e-01, 8.589926821133295753e-01, 9.078400114363537332e-01, 5.911003912558955298e-01, 9.046239628727783533e-01, 5.095314385880026498e-01, 9.309558775797870389e-01, 6.423402237414642668e-01, 8.926171877102986318e-01, 6.743179573354047829e-01, 5.639058649128331213e-01, 9.544004279200235530e-01, 7.908415505343292518e-01
2.030000000000000000e+03, 5.905998620111496678e-01, 6.464271208290265358e-01, 6.181476826450700290e-01, 7.954289911080383302e-01, 6.971445087482116554e-01, 1.012185559649086963e+00, 7.916452702471662439e-01, 1.020807371775346084e+00, 5.842424033992192900e-01, 8.393613529411984020e-01, 6.655235233722762711e-01, 8.056940778147897442e-01, 7.629939270395610373e-01, 4.685604644939239116e-01, 1.054779110410946519e+00, 7.115474443727400899e-01
2.031000000000000000e+03, 5.834861193837581617e-01, 6.134884225518567602e-01, 7.981955041686223939e-01, 6.936369081283806359e-01, 6.952168157321466646e-01, 1.277251385972325792e+00, 6.255159237911762649e-01, 7.474593627482558622e-01, 7.225259475357010963e-01, 8.073347149864058547e-01, 6.459312714057090510e-01, 9.249863254351485820e-01, 4.630321768466511001e-01, 5.158521569014137276e-01, 9.404936632825340315e-01, 7.907446813802831986e-01
2.032000000000000000e+03, 5.671526228171245299e-01, 5.233757649119266109e-01, 6.847744247381465366e-01, 5.290339734571304353e-01, 5.771086138467236282e-01, 1.049616139748562604e+00, 6.009274268161742816e-01, 8.383665062262687373e-01, 7.303762803295104078e-01, 8.350663481462805571e-01, 6.463777500054138647e-01, 9.990099843609769881e-01, 7.615430934985436551e-01, 6.708016973943710104e-01, 8.752409156277562996e-01, 6.994855231679332208e-01
2.033000000000000000e+03, 7.352354197084166598e-01, 5.622531274043124361e-01, 6.437731759017686350e-01, 4.831097771532238960e-01, 7.581608069372056669e-01, 9.400318790015450565e-01, 7.608617765394917187e-01, 9.026999786961205086e-01, 5.327101699805593116e-01, 9.428769917153760893e-01, 7.650786830093929680e-01, 8.667302906070817325e-01, 7.884744314612550653e-01, 5.421522317363878241e-01, 9.896202104099948160e-01, 8.321495146028347056e-01
2.034000000000000000e+03, 7.663316375570828898e-01, 6.670211716895829701e-01, 7.253751031530416560e-01, 5.790354393652903386e-01, 6.950603315549410688e-01, 1.058473376305719249e+00, 6.414611727195832502e-01, 9.443379329929560972e-01, 5.345989268514727000e-01, 9.780784341953104866e-01, 7.023348507731458357e-01, 8.494012468132049465e-01, 6.610131307057681704e-01, 4.829139513187037380e-01, 8.034799765532161242e-01, 9.694953970708202196e-01
2.035000000000000000e+03, 6.367590845649691023e-01, 5.241237676944680013e-01, 7.464431144821572772e-01, 8.194232515957793339e-01, 6.891220357024644416e-01, 8.450594924896160931e-01, 6.306825886308708995e-01, 7.209372601445922513e-01, 6.083008472564180869e-01, 6.525726418792103800e-01, 7.047640698062959119e-01, 9.520501643210896869e-01, 6.996956154083320278e-01, 4.654291274467327044e-01, 7.712347617576694736e-01, 8.381842369478993415e-01
2.036000000000000000e+03, 7.285024432128502925e-01, 8.320323170375124588e-01, 6.518967167587983447e-01, 6.991103460182168661e-01, 6.796844224553513225e-01, 1.222651109104525569e+00, 7.990956017682300239e-01, 9.321307562744627351e-01, 5.450529091592786202e-01, 7.997001826516280110e-01, 6.949218899644843406e-01, 1.046543204854662124e+00, 6.698974783064964855e-01, 5.877119311635238263e-01, 8.586278651090852865e-01, 7.732378952463117017e-01
2.037000000000000000e+03, 7.149314021336347080e-01, 7.212924544533929616e-01, 5.901266607555203381e-01, 5.634931988845628403e-01, 7.103811676638992489e-01, 9.660472887369334627e-01, 4.931307011693022435e-01, 8.878239776486687163e-01, 7.474992158790074726e-01, 8.429849864006595528e-01, 6.837782350233653217e-01, 8.360865653042020007e-01, 5.207406652504968925e-01, 5.692403183312176873e-01, 1.018488525080842422e+00, 8.101032442600720751e-01
