year, UKESM1-0-LL, INM-CM4-8, CMCC-CM2-SR5, CanESM5, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR
2.029000000000000000e+03, 2.899079324901201176e+02, 2.902773676099425870e+02, 2.914173431782213584e+02, 2.894818139907425802e+02, 2.877321636501177977e+02, 2.909010280598418490e+02, 2.916508442286434502e+02, 2.903665877946637011e+02, 2.892482192438889115e+02, 2.901658206842477625e+02, 2.923250815119036474e+02, 2.939108579442061000e+02, 2.896223184088973426e+02, 2.896364658677221087e+02, 2.915933725940963086e+02, 2.902787752762465061e+02
2.030000000000000000e+03, 2.897206381753088635e+02, 2.891699933456301892e+02, 2.911206875245179617e+02, 2.900818153105077499e+02, 2.881882292331999906e+02, 2.906626011509772525e+02, 2.916112862584620871e+02, 2.902345317967618143e+02, 2.890458024874624243e+02, 2.897473731593618709e+02, 2.920542095219598195e+02, 2.928837636228943779e+02, 2.893164599606201932e+02, 2.900951442025368010e+02, 2.911915282038098667e+02, 2.906858787728829725e+02
2.031000000000000000e+03, 2.903873445255828756e+02, 2.893931219212725523e+02, 2.904521546937733092e+02, 2.896322646230145779e+02, 2.887336373439982253e+02, 2.907202201279164910e+02, 2.918984928912866508e+02, 2.900795876559421345e+02, 2.896064896071018779e+02, 2.897852755772636897e+02, 2.916201124534056817e+02, 2.930102188997169037e+02, 2.894668565619040805e+02, 2.903984508877317694e+02, 2.912065436898460007e+02, 2.908398087862065609e+02
2.032000000000000000e+03, 2.906816867060505842e+02, 2.896939261464975743e+02, 2.906264053745416618e+02, 2.898802673911933425e+02, 2.881497649754096528e+02, 2.900153254022641818e+02, 2.912071805238592219e+02, 2.899460310364611360e+02, 2.891147183657673168e+02, 2.901890684823770243e+02, 2.925522623409052017e+02, 2.926334520954547997e+02, 2.898363835142371272e+02, 2.898389691939403860e+02, 2.914026769363183007e+02, 2.916998896686828857e+02
2.033000000000000000e+03, 2.904379635568575395e+02, 2.896762652678347081e+02, 2.914820349368557117e+02, 2.901484766372753370e+02, 2.885263014822320429e+02, 2.893998485077850091e+02, 2.913398133251301942e+02, 2.900272680293745111e+02, 2.897509564435374045e+02, 2.902128046885185881e+02, 2.916953137501340052e+02, 2.934441932154790038e+02, 2.896758957119639035e+02, 2.898558433924118845e+02, 2.910426847608902108e+02, 2.908453081422269975e+02
2.034000000000000000e+03, 2.904909325423407722e+02, 2.890560806661036963e+02, 2.915425696894562293e+02, 2.901153140581960770e+02, 2.882618093283953158e+02, 2.899553061010996089e+02, 2.920483515456710961e+02, 2.895204226430627727e+02, 2.893941614611306932e+02, 2.895363314904088838e+02, 2.916166611388110255e+02, 2.930072398042260033e+02, 2.897088638980004021e+02, 2.900049524733370276e+02, 2.908906779137707304e+02, 2.907705867836524476e+02
2.035000000000000000e+03, 2.898216587050198996e+02, 2.895066116833481829e+02, 2.912594540184426819e+02, 2.898073477129468074e+02, 2.892206754962997479e+02, 2.907474754952556850e+02, 2.918593115500966633e+02, 2.906000219025766569e+02, 2.896293995390537361e+02, 2.900044253707801545e+02, 2.926742015739290537e+02, 2.937807677475792616e+02, 2.897459484394835272e+02, 2.900569078356109003e+02, 2.918697534984093522e+02, 2.904040584507620224e+02
2.036000000000000000e+03, 2.909825942265055119e+02, 2.896110254180966308e+02, 2.921778035244980742e+02, 2.905558946737947963e+02, 2.891156043937619415e+02, 2.908377313720918664e+02, 2.922525560787557879e+02, 2.899472348235224786e+02, 2.889378101593781594e+02, 2.901526939040968500e+02, 2.926142143530088333e+02, 2.938201687791847121e+02, 2.901091722588839161e+02, 2.902720633364805281e+02, 2.918417685110582624e+02, 2.909482842391129225e+02
2.037000000000000000e+03, 2.907022022196890134e+02, 2.895554483910099179e+02, 2.922596873775410131e+02, 2.902985720089131974e+02, 2.886621979769309405e+02, 2.911168741462552134e+02, 2.917892023255137701e+02, 2.893986881649805127e+02, 2.894795606617186650e+02, 2.902620983005849666e+02, 2.927290291988700233e+02, 2.934107509760950165e+02, 2.895905868109160224e+02, 2.899098704314430961e+02, 2.919578843040567335e+02, 2.911657749958523027e+02
2.038000000000000000e+03, 2.901518792120520516e+02, 2.898125972287132299e+02, 2.918502216861734837e+02, 2.898596751888770768e+02, 2.887011733979185806e+02, 2.897593189579150703e+02, 2.925348435780371119e+02, 2.897673307447998923e+02, 2.895048932041250964e+02, 2.906806395336630544e+02, 2.926670643587226550e+02, 2.937439383470011762e+02, 2.896359227005299886e+02, 2.907590117067368283e+02, 2.915916992523596036e+02, 2.909320655283384554e+02
2.039000000000000000e+03, 2.905022682578137392e+02, 2.896800180921528067e+02, 2.915526983130091594e+02, 2.902249407622023796e+02, 2.890578918675634554e+02, 2.905806905289316546e+02, 2.925943089086601958e+02, 2.901791921990200080e+02, 2.903705152180062328e+02, 2.903158569510761140e+02, 2.925436039634196845e+02, 2.934541063549552860e+02, 2.897622500122716360e+02, 2.900057085198135383e+02, 2.907477615364128951e+02, 2.904940545544175734e+02
