year, NorESM2-LM, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, INM-CM5-0, GFDL-ESM4, TaiESM1, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg
2.025000000000000000e+03, 1.665343599032913735e+00, 1.636491983378447479e+00, 3.115960285787667150e+00, 3.246226604250137093e+00, 2.140054406142375409e+00, 2.679733051513505604e+00, 1.444522568154401387e+00, 1.135003235151888168e+00, 2.450727744511638662e+00, 1.961544706733783894e+00, 1.705418258969124023e+00, 1.102098334606637309e+00, 1.568062403010411998e+00, 1.874733959427246965e+00, 2.483206678134551648e+00, 6.386860270451144572e+00
2.026000000000000000e+03, 2.042768359247060683e+00, 1.866876958533404629e+00, 3.028173555547419404e+00, 3.045768535922756204e+00, 1.968888072216072205e+00, 3.276174542702340098e+00, 1.486932807035104220e+00, 1.322221664682343922e+00, 1.993395273495481179e+00, 2.147492192995420268e+00, 1.544396628844948660e+00, 1.151939051618737775e+00, 1.525911632285359643e+00, 1.906302264183223905e+00, 2.420723159265276703e+00, 7.465216548856942858e+00
2.027000000000000000e+03, 1.619588905779123289e+00, 2.340582177825395238e+00, 3.089589100629700269e+00, 3.098769434029337244e+00, 2.315217078568973186e+00, 3.170922409426788047e+00, 1.346966187616490673e+00, 1.345470552679100651e+00, 2.197009656891458551e+00, 1.940766207473063165e+00, 1.639699482603900638e+00, 1.206594308240179325e+00, 1.690185790881049144e+00, 1.958919245866256542e+00, 2.370625603667546155e+00, 6.975680990674712589e+00
2.028000000000000000e+03, 1.553313289018306342e+00, 2.492761241704274155e+00, 3.112948571539805531e+00, 3.504710397397280630e+00, 2.108966746888818911e+00, 3.027417180017165421e+00, 1.428228744914664006e+00, 1.305988877871083753e+00, 2.278050007819125256e+00, 2.158588026477329613e+00, 1.919682764123348040e+00, 1.424298189465550868e+00, 1.654711881232753035e+00, 2.118496305854213890e+00, 2.398318115701440600e+00, 4.960393932601112610e+00
2.029000000000000000e+03, 1.706605366652190536e+00, 1.802138939219277924e+00, 3.119215535318061505e+00, 3.727243357845062999e+00, 1.702281529096354440e+00, 3.102391391457293590e+00, 1.553178749312867923e+00, 1.390709848258070647e+00, 2.227232169030425091e+00, 1.740142754533638092e+00, 1.880038103358998791e+00, 1.564423621292735156e+00, 1.814226999935310003e+00, 2.243526943996845269e+00, 2.461143774117873217e+00, 5.631660373732308322e+00
2.030000000000000000e+03, 1.441147293718305189e+00, 1.884099040869566366e+00, 3.126401448792907711e+00, 4.080530391707988258e+00, 2.258679945733538919e+00, 2.904605339359102256e+00, 1.730491053522777323e+00, 1.328163223612272015e+00, 2.550496058257393450e+00, 1.865069979766440733e+00, 1.990127798882806109e+00, 1.236682677456962587e+00, 1.610303352552658218e+00, 2.077134763724471700e+00, 2.536924687284600299e+00, 7.005280432023835324e+00
2.031000000000000000e+03, 1.652820677750166611e+00, 2.149284579971802778e+00, 3.041243010916756528e+00, 4.361222522126851686e+00, 2.406228461758940007e+00, 2.910945130553083793e+00, 1.598004735491418193e+00, 1.304838137903638451e+00, 1.659909250774175282e+00, 1.944111351966722134e+00, 1.893737847875152536e+00, 1.371692614001707389e+00, 1.406590541136210737e+00, 2.044923679344040401e+00, 2.632249149915129482e+00, 6.892710215647123384e+00
2.032000000000000000e+03, 2.077914316676908957e+00, 2.052422672812470594e+00, 3.063181278302844923e+00, 3.162258799126405506e+00, 2.344742301999370948e+00, 2.960562660965189608e+00, 1.563427993601035793e+00, 1.210341951535906180e+00, 2.170342196575085758e+00, 2.228974775446694867e+00, 1.700893324105655191e+00, 1.319021480758343801e+00, 1.611830977787642727e+00, 2.121292863020820096e+00, 2.554621023780483835e+00, 6.159450449995377497e+00
2.033000000000000000e+03, 1.851436948463615950e+00, 2.241606395537726115e+00, 3.105033114191901866e+00, 2.632329082251788410e+00, 1.781281809739136524e+00, 3.312883590995011396e+00, 1.743254682710012826e+00, 1.236949283986025439e+00, 2.199400458840535144e+00, 1.912344685888160090e+00, 1.903208161002402754e+00, 1.368718769105849553e+00, 1.533715948696640297e+00, 2.120625536850282877e+00, 2.995786891253897188e+00, 6.683604459087434613e+00
2.034000000000000000e+03, 1.614714203331006015e+00, 2.809055207885684524e+00, 3.236492147596571112e+00, 2.767794693405031925e+00, 2.347777841704822066e+00, 3.569814465290364947e+00, 1.710952467782675512e+00, 1.264015683014447777e+00, 2.485513472524162548e+00, 1.802937896203017587e+00, 1.701476764461050228e+00, 1.353610039241045504e+00, 1.791133803059651974e+00, 2.066388041871988435e+00, 2.788463946754296430e+00, 6.732256284638750365e+00
