year, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-ESM2, ACCESS-ESM1-5
2.076000000000000000e+03, 1.448329160035504746e-10, 2.397928138299548682e-10, 1.441211839429858578e-14, 2.647590034674459146e-10, 3.598900874535187143e-12, 5.342725854020192837e-10, 2.148085056847248493e-10, 3.706033590054871281e-13, 1.341078325687777071e-12
2.077000000000000000e+03, 1.422337072215038822e-10, 3.100096587731061556e-10, 1.197565785587678716e-14, 2.664876908220690756e-10, 3.430482900546452757e-12, 5.173561164055707558e-10, 2.378313956350193751e-10, 4.230899581488449389e-13, 1.324025572095623299e-12
2.078000000000000000e+03, 1.616216227653226756e-10, 2.769172353182778502e-10, 9.398958394354338136e-15, 2.691284939399661282e-10, 3.269471160151791020e-12, 5.254305878761621365e-10, 2.360013533199624678e-10, 4.896038439118177641e-13, 1.305524056398847268e-12
2.079000000000000000e+03, 2.015188383200951484e-10, 2.679997238438625517e-10, 1.333518544281032850e-14, 2.685781454573948190e-10, 3.108222173449404605e-12, 4.481081465871233057e-10, 2.329856711752351918e-10, 5.424509432957747646e-13, 1.287167878044612367e-12
2.080000000000000000e+03, 1.343281580047441905e-10, 2.876483166220971227e-10, 1.777773270372931051e-14, 2.736841806505684928e-10, 2.946842207533602006e-12, 5.387712252733990839e-10, 2.374340952500234243e-10, 5.998062249817614225e-13, 1.269373068510451066e-12
2.081000000000000000e+03, 1.527231151411837156e-10, 2.424166312826471518e-10, 2.497815091935538986e-14, 2.727637566852505012e-10, 2.757401410798101690e-12, 4.891122924580259671e-10, 2.073324538471704245e-10, 6.593804843809945759e-13, 1.322434150879250807e-12
2.082000000000000000e+03, 1.662573865153334501e-10, 2.168238110326048911e-10, 3.049994348032518752e-14, 2.736231631859810962e-10, 2.713374322783199025e-12, 5.475299828510956167e-10, 2.037839080899636208e-10, 7.161428785334027179e-13, 1.335668407199073624e-12
2.083000000000000000e+03, 1.946482254198381800e-10, 2.393174290748077228e-10, 2.433156431583220932e-14, 2.753162139081785424e-10, 2.677643496400823548e-12, 5.177627787058751622e-10, 2.211389680646672197e-10, 7.720146204132925944e-13, 1.337915113199252591e-12
2.084000000000000000e+03, 1.430754884301306275e-10, 2.977769637805124423e-10, 1.988497604239743966e-14, 2.766716528025846393e-10, 2.650585848202216587e-12, 4.681177446733652124e-10, 2.364004845595948454e-10, 8.238497592462909500e-13, 1.332571560334809247e-12
2.085000000000000000e+03, 1.384540353968080592e-10, 3.311175959166367099e-10, 1.915492522895210942e-14, 2.695192556704368205e-10, 2.626568143732362760e-12, 4.548745050940053137e-10, 2.197272775239875614e-10, 8.669930348847541511e-13, 1.327991521153431983e-12
2.086000000000000000e+03, 1.409330278813302538e-10, 3.178648464300040971e-10, 1.883387195801528014e-14, 2.653820543134892274e-10, 2.763488389866280853e-12, 4.819064828550281307e-10, 2.102701365340933727e-10, 8.971905852969324463e-13, 1.215862733174695797e-12
2.087000000000000000e+03, 1.193341125451410641e-10, 2.892560419855393523e-10, 1.749865334025962108e-14, 2.627567551509197749e-10, 2.715990999649743732e-12, 5.365121921014538727e-10, 2.041811936875613366e-10, 9.205692763557322318e-13, 1.162814276329507258e-12
2.088000000000000000e+03, 1.656747764967619718e-10, 2.984352477649380714e-10, 1.194083881618663810e-14, 2.619075622738664775e-10, 2.664229241972479756e-12, 6.138290463284247922e-10, 2.187219562483926057e-10, 9.424802090522217037e-13, 1.131315966488186863e-12
2.089000000000000000e+03, 1.512655593228646845e-10, 2.984910496770529660e-10, 1.257385935560141225e-14, 2.625102006206435583e-10, 2.616377124292002221e-12, 5.309114623449964146e-10, 2.200640187529446100e-10, 9.701383056309782736e-13, 1.108286130564286765e-12
2.090000000000000000e+03, 1.391248523600422422e-10, 2.931329086490165571e-10, 1.855360694027840904e-14, 2.613435592345968408e-10, 2.565325261504195335e-12, 5.265105262751419653e-10, 1.974999545668335562e-10, 9.928016778528208540e-13, 1.089096921770314209e-12
2.091000000000000000e+03, 1.749081506954288857e-10, 2.831324112557682373e-10, 2.112793166342710271e-14, 2.588416180219170792e-10, 2.398895699756889425e-12, 5.010457241444235422e-10, 2.240185027972826542e-10, 1.001297844269782598e-12, 1.098257900322429194e-12
2.092000000000000000e+03, 1.319336421581343141e-10, 3.078516822876391885e-10, 2.189176154435727034e-14, 2.591393571704684891e-10, 2.299650265722993693e-12, 4.632499429799098532e-10, 2.491982520100108777e-10, 1.006106022774267572e-12, 1.092914069863725550e-12
2.093000000000000000e+03, 1.137662806303885123e-10, 2.518705727748935687e-10, 2.913741052685380201e-14, 2.622658956651667736e-10, 2.186076422160674544e-12, 4.708592528813762691e-10, 2.461261727451239802e-10, 1.019263932703868163e-12, 1.082568607926701265e-12
2.094000000000000000e+03, 1.814496049955876400e-10, 3.181890990974475036e-10, 2.936605178778141830e-14, 2.648569651334784418e-10, 2.074598038672829162e-12, 4.914212311649689601e-10, 2.494299002493841549e-10, 1.042759640399367491e-12, 1.070539045813767821e-12
2.095000000000000000e+03, 1.419724388563363515e-10, 2.550537265764123374e-10, 2.933712672495791279e-14, 2.671449383150180508e-10, 1.968463459429959400e-12, 4.768978682872683620e-10, 2.302553396258705902e-10, 1.068928887134949741e-12, 1.058137494635109650e-12
2.096000000000000000e+03, 1.353791353305895821e-10, 2.422016464050644860e-10, 3.782799211075601116e-14, 2.679837292887315956e-10, 2.042945397259199305e-12, 4.540333161175408750e-10, 2.196981234108936815e-10, 1.087899882658836582e-12, 1.168490816588357410e-12
2.097000000000000000e+03, 1.330083419760840378e-10, 3.079355649032717390e-10, 3.299479656534575799e-14, 2.694322009833235133e-10, 2.137082856537845374e-12, 4.623846560004105496e-10, 2.262786759476462957e-10, 1.097545333122038200e-12, 1.206287722442533041e-12
2.098000000000000000e+03, 1.108049729723186878e-10, 3.149315139363379053e-10, 3.286729273675708231e-14, 2.687211652906242190e-10, 2.223838298437636134e-12, 4.952866874723812992e-10, 2.402735787164384204e-10, 1.101956568897241300e-12, 1.216538750710690388e-12
2.099000000000000000e+03, 1.479171533408713296e-10, 3.235469599607542992e-10, 4.586719497217448210e-14, 2.666046411035216272e-10, 2.324440937835676471e-12, 5.390352291403021743e-10, 2.319711236878149063e-10, 1.103016440643022626e-12, 1.215799145398271108e-12
2.100000000000000000e+03, 1.298408103299869065e-10, 2.852678369156068457e-10, 3.689690086344025901e-14, 2.684427060320118936e-10, 2.438217418799043580e-12, 4.822476654668460599e-10, 2.286079914447648660e-10, 1.003187544928075723e-12, 1.210392721548555990e-12
