year, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-MM
2.015000000000000000e+03, 1.408949347969346072e-10, 2.017564811508623771e-10, 7.394261241956423783e-14, 4.190496030367035585e-13, 9.006796827474852201e-10, 1.583412903598966436e-10, 4.667852101308100952e-10, 4.004669628024491322e-11, 0.000000000000000000e+00
2.016000000000000000e+03, 1.559545731736395684e-10, 2.120135480412384750e-10, 8.575932838456610663e-14, 4.268358910952037383e-13, 7.978916863418905245e-10, 1.646076882442504315e-10, 4.216133415077532788e-10, 3.101169306251399993e-11, 7.232410586840418188e-13
2.017000000000000000e+03, 1.594705456468134575e-10, 2.372503326462404298e-10, 8.735609416387738618e-14, 4.283487494243643077e-13, 9.206865988486994218e-10, 1.630326121360453229e-10, 4.369428496189763335e-10, 5.144331186901162466e-11, 7.898410262107799478e-13
2.018000000000000000e+03, 1.725675459060987899e-10, 2.183879286783211387e-10, 8.731943257224347637e-14, 4.264979232627652274e-13, 8.489782747646334772e-10, 1.574344637996517224e-10, 4.277902672559533685e-10, 3.704129350405866102e-11, 8.069138404510634028e-13
2.019000000000000000e+03, 1.870830886103319458e-10, 1.893821991858105948e-10, 8.648086063854690317e-14, 4.243066847575446194e-13, 9.915408661191157055e-10, 1.797359344605693666e-10, 4.414506514136593814e-10, 3.924044424039936819e-11, 8.095363138733312504e-13
2.020000000000000000e+03, 1.723730172640938492e-10, 2.053170851764484934e-10, 8.480951000814087438e-14, 4.233095461285218337e-13, 9.660974819237819604e-10, 1.351273202884168707e-10, 4.293051396936478708e-10, 5.039329307267904287e-11, 8.105024524237301023e-13
2.021000000000000000e+03, 1.885080464408856638e-10, 2.171899299600286166e-10, 8.127657581664419497e-14, 4.181681527203839455e-13, 8.912504323672677160e-10, 1.748239391460184997e-10, 4.414149280800409223e-10, 3.983927990267860086e-11, 8.216441880890406605e-13
2.022000000000000000e+03, 2.228979361860330989e-10, 2.055496518663000154e-10, 7.939986986364446419e-14, 4.140718438657681027e-13, 8.721868328291810407e-10, 2.010908463974452506e-10, 4.543359207733744025e-10, 5.167721051470920189e-11, 8.197307060924080433e-13
2.023000000000000000e+03, 1.978562197625816040e-10, 1.871664151953511255e-10, 7.794396118316532993e-14, 4.109129124433262919e-13, 8.369512042452170070e-10, 2.026672016137002014e-10, 5.103020463877117959e-10, 3.905767114294864735e-11, 8.316943925540701819e-13
2.024000000000000000e+03, 1.943120824684408325e-10, 1.875900088495162985e-10, 7.899287223420818327e-14, 4.077710736065107120e-13, 8.670402907453253893e-10, 1.780879441400127567e-10, 4.865948382956213595e-10, 4.435505262417958427e-11, 8.472972671061837858e-13
2.025000000000000000e+03, 2.419510918418762178e-10, 1.995215122533596249e-10, 8.134158818024337149e-14, 4.076833336729084345e-13, 9.428750860883569763e-10, 1.425411607986262898e-10, 4.902532046984293313e-10, 3.623632958749376899e-11, 9.040215644235800523e-13
2.026000000000000000e+03, 2.300923672568895019e-10, 1.994126441293686057e-10, 7.514819005927808622e-14, 4.078759160495992096e-13, 9.736536970155861000e-10, 1.582930960228462444e-10, 4.504912602086427033e-10, 2.931412143760588712e-11, 9.128387766205496880e-13
2.027000000000000000e+03, 2.202349398590872044e-10, 1.916137216479614062e-10, 7.008803408273075399e-14, 4.100314617556452455e-13, 1.058786736821556197e-09, 1.801136783826507812e-10, 4.416993892534092751e-10, 5.067446249593536247e-11, 9.214999760084271202e-13
2.028000000000000000e+03, 1.993330754171353401e-10, 1.958199150130314145e-10, 6.980972024221183450e-14, 4.140700714697340193e-13, 8.980649857696247399e-10, 2.130604890436659373e-10, 5.224454627181736338e-10, 2.589715202987857769e-11, 9.287369639203260635e-13
2.029000000000000000e+03, 2.018039288083265649e-10, 2.025248022239803298e-10, 6.971279480425670809e-14, 4.165437543820798730e-13, 8.051943378260312998e-10, 1.602380223056029527e-10, 4.934058639260623534e-10, 3.632739110636977720e-11, 9.749370117413658979e-13
2.030000000000000000e+03, 2.329695200088579721e-10, 2.108462323104484548e-10, 6.955976741497856895e-14, 4.180755446579861459e-13, 9.880123439420258493e-10, 1.576463996953824765e-10, 5.185197761735147398e-10, 4.646741675868189270e-11, 9.300382837913171083e-13
