year, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, CESM2-WACCM, UKESM1-0-LL, TaiESM1
2.015000000000000000e+03, 3.628117912082363716e+01, 9.597709203731890071e+00, 5.411502996593793569e+01, 3.759384631039546321e+01, 5.046393864278134345e+01, 3.154271267361595932e+01, 3.245951109002736867e+00, 1.961583211906602742e+01, 1.378454677547109952e+01, 1.594411925676275033e+01, 5.272666385701619873e+01, 1.929162195664479640e+01, 5.852862716866160042e+01, 7.944494553932021752e+00
2.016000000000000000e+03, 3.629912574357092581e+01, 9.608757229117012244e+00, 5.420495326366898325e+01, 3.754306330694392102e+01, 5.043576624739576175e+01, 3.152380445813566823e+01, 3.239508501174077182e+00, 1.964614288131685882e+01, 1.379478355096994058e+01, 1.596842812238560150e+01, 5.272299525905706474e+01, 1.932122480796938291e+01, 5.857038918985372788e+01, 7.965727325585187479e+00
2.017000000000000000e+03, 3.630820686021161947e+01, 9.618784136959453335e+00, 5.429860416476689977e+01, 3.750821525611159046e+01, 5.044062945272052900e+01, 3.158936564558994320e+01, 3.247449582678497926e+00, 1.967141144606473802e+01, 1.378256348289667521e+01, 1.601123517285300579e+01, 5.271966991548138992e+01, 1.934827060850756197e+01, 5.860685947351721836e+01, 7.974588556380537874e+00
2.018000000000000000e+03, 3.631304635564336536e+01, 9.630101842266068246e+00, 5.438405345700999760e+01, 3.746823474440992641e+01, 5.043336895655099283e+01, 3.168109382348515624e+01, 3.232784321804413885e+00, 1.970491576146072532e+01, 1.377133029759204597e+01, 1.607001431281973680e+01, 5.274987710201643409e+01, 1.939029701407976347e+01, 5.861348026263248556e+01, 7.972582297503202575e+00
2.019000000000000000e+03, 3.631785777386398451e+01, 9.642429692612003223e+00, 5.448727855324571578e+01, 3.743297455241727789e+01, 5.041054311431820878e+01, 3.164827411773036658e+01, 3.220438733054755254e+00, 1.974487977962177965e+01, 1.378526022977268362e+01, 1.611692267837442216e+01, 5.277778289983275073e+01, 1.941174478456137109e+01, 5.859564777608306230e+01, 7.969939388160685922e+00
2.020000000000000000e+03, 3.633258682317070054e+01, 9.651401804681174923e+00, 5.460160893931639237e+01, 3.739447077078215642e+01, 5.042574836583812470e+01, 3.164808846141042054e+01, 3.231718700021924739e+00, 1.978338980253059987e+01, 1.380097465451583183e+01, 1.615628002371122918e+01, 5.279475149819301549e+01, 1.944524229600942888e+01, 5.862580251198031789e+01, 7.991617015491903508e+00
2.021000000000000000e+03, 3.635662082927210292e+01, 9.656585371561993369e+00, 5.471076991064948913e+01, 3.736143870642607823e+01, 5.049795312264313196e+01, 3.166903292120876401e+01, 3.230240192452483505e+00, 1.981696509926528194e+01, 1.378667567314673015e+01, 1.619402149002240421e+01, 5.281169296626350018e+01, 1.949306931640520446e+01, 5.860636787287295135e+01, 8.015179480278440849e+00
2.022000000000000000e+03, 3.638954909548354522e+01, 9.665000598796131825e+00, 5.482784534005968169e+01, 3.732555975471495913e+01, 5.056648847127250690e+01, 3.172038792966774068e+01, 3.226883893727667374e+00, 1.986220669597077304e+01, 1.378775065085671869e+01, 1.623929868511860874e+01, 5.282197827247195221e+01, 1.952955192855067423e+01, 5.867339496454647474e+01, 8.046796584408275166e+00
2.023000000000000000e+03, 3.641782938246948476e+01, 9.674034818892867094e+00, 5.493214189695449789e+01, 3.729891924868229580e+01, 5.058508019014022494e+01, 3.172506913925969840e+01, 3.220294186147004023e+00, 1.990371612956787573e+01, 1.379693771769536248e+01, 1.630121628107823994e+01, 5.284436940323372767e+01, 1.956340661905549894e+01, 5.870849381119507626e+01, 8.057355181651496778e+00
2.024000000000000000e+03, 3.642665500305761128e+01, 9.691055893800664123e+00, 5.502511181245351679e+01, 3.727723725634905350e+01, 5.056386394453946309e+01, 3.173522251372688530e+01, 3.213429204396787586e+00, 1.994299686000517013e+01, 1.380682744503348758e+01, 1.636419855413348046e+01, 5.286480784894452967e+01, 1.960567525333885186e+01, 5.877442492484934178e+01, 8.066751200687596324e+00
2.025000000000000000e+03, 3.641269909158625495e+01, 9.703604644683062830e+00, 5.512062637061547576e+01, 3.724096864766239179e+01, 5.055919585310255115e+01, 3.181215214046152440e+01, 3.204719432605265261e+00, 1.998633928303790341e+01, 1.382022830354932630e+01, 1.641012800598655375e+01, 5.289024281272934047e+01, 1.963455967881756337e+01, 5.879670806947196127e+01, 8.092785276356233126e+00
2.026000000000000000e+03, 3.639524042032023488e+01, 9.711021005504667514e+00, 5.521782854319373257e+01, 3.722361803919813639e+01, 5.055974727877567432e+01, 3.183625174846967099e+01, 3.205522838613295455e+00, 2.002182958699203041e+01, 1.381205260004277946e+01, 1.644042379792463038e+01, 5.291572279359066755e+01, 1.967268063753604324e+01, 5.878044565092022111e+01, 8.091963382454409270e+00
2.027000000000000000e+03, 3.638033514497931264e+01, 9.718774448160550250e+00, 5.530724825401352973e+01, 3.720569980136281885e+01, 5.056555458066109310e+01, 3.184469039941355462e+01, 3.195669711684721470e+00, 2.005904014095842314e+01, 1.380132958889944028e+01, 1.648608851217476001e+01, 5.292118217233970512e+01, 1.973233474907060980e+01, 5.877508143081904279e+01, 8.082946423380448664e+00
2.028000000000000000e+03, 3.637678898370131009e+01, 9.729191943635868256e+00, 5.541940265052119940e+01, 3.717890693336558172e+01, 5.059469654913316816e+01, 3.187197205334915395e+01, 3.195412135892579997e+00, 2.010027566673148769e+01, 1.380215249127280508e+01, 1.653682795967214858e+01, 5.290597128850824760e+01, 1.978455646463927664e+01, 5.879927610919362735e+01, 8.093495728626839636e+00
