year, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CMCC-ESM2
2.015000000000000000e+03, 4.667290155766538263e-12, 1.787232355161751044e-11, 1.274259594891240323e-11, 1.387383799703101088e-10, 1.584276631095157574e-10, 6.301086583603540897e-14, 2.463045525369425741e-12, 6.539638767376249385e-12, 3.679872133732021635e-12, 3.730784786978602291e-12
2.016000000000000000e+03, 3.474207789891214292e-12, 1.241563651838079876e-11, 6.938115128590983232e-12, 1.445451084302194036e-10, 1.670630981145470998e-10, 6.990896348806056109e-14, 1.138315809673943442e-12, 5.163356561132916782e-12, 3.027083165016139505e-12, 4.731863014059786487e-12
2.017000000000000000e+03, 3.087938223294514785e-12, 1.186380551035253649e-11, 6.686617116912598195e-12, 1.424885303611685703e-10, 1.686366987004063616e-10, 7.257474509066954993e-14, 1.110477943778930071e-12, 3.717543184485079494e-12, 2.862921306484349627e-12, 5.172672528010126258e-12
2.018000000000000000e+03, 2.714835743835781960e-12, 1.187928287949115521e-11, 6.533722904829281769e-12, 1.542857950830820986e-10, 1.650198410023419756e-10, 6.429650242874953692e-14, 1.001606655865029314e-12, 3.372448188799515280e-12, 2.855358762468245388e-12, 4.963088513792412716e-12
2.019000000000000000e+03, 2.390710576606940862e-12, 1.092861604439550125e-11, 6.304992148078412389e-12, 1.591979108619293575e-10, 1.320953242379210065e-10, 7.640455848956766584e-14, 9.329301662774760068e-13, 3.058078606799467277e-12, 2.854995412629942915e-12, 5.291145521261410171e-12
2.020000000000000000e+03, 2.272710310422548912e-12, 9.710903205348072415e-12, 6.197301928538829878e-12, 1.762598328429658300e-10, 1.224293495930126472e-10, 7.221829425206243891e-14, 9.723051846311483824e-13, 2.997218189472399438e-12, 2.772380183226805609e-12, 3.682830554643767204e-12
2.021000000000000000e+03, 2.226922365816081568e-12, 9.165731012658047781e-12, 5.744030432417411306e-12, 1.917818707544463266e-10, 1.186823348208738652e-10, 5.946388914021430209e-14, 7.515124516448199677e-13, 2.462945770597618467e-12, 2.244396067003172222e-12, 3.638697337035063419e-12
2.022000000000000000e+03, 1.988411054812574575e-12, 8.441975157248984342e-12, 5.511579443420587952e-12, 2.016006715457303025e-10, 1.370545222083991281e-10, 7.470682179812657744e-14, 6.990089947134344775e-13, 2.559502039688681646e-12, 2.142969885741214939e-12, 3.298283093896655655e-12
2.023000000000000000e+03, 1.717371351025131389e-12, 7.349266208724167770e-12, 5.821381749578610629e-12, 1.769959457132565048e-10, 1.536039708773642344e-10, 8.255600987128351241e-14, 8.324388970696934003e-13, 2.277351134302201778e-12, 1.911062510342395877e-12, 3.073690394485235961e-12
2.024000000000000000e+03, 1.575415437775657896e-12, 7.015420576236373228e-12, 5.763873219377119828e-12, 1.769025912812854629e-10, 1.618223543612110247e-10, 8.414966721605609291e-14, 7.552384283657585533e-13, 2.429498071786021433e-12, 1.774936626441591609e-12, 4.687649346285084766e-12
