year, CESM2-WACCM, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR
1.850000000000000000e+03, 1.751852711876020392e-17, 0.000000000000000000e+00, 1.525321854740690772e-10, 1.449898995906617595e-11, 3.969265779679235208e-11, 1.513004226031883308e-11, 0.000000000000000000e+00, 6.642887072803467027e-14, 1.297373651724849777e-11, 8.265935992449210470e-11
1.851000000000000000e+03, 3.692070330337205576e-11, 2.630448459350367531e-12, 2.525259927598726862e-10, 4.887981255612345668e-11, 4.348100278129846600e-11, 1.668240435586791361e-11, 5.481717042585450008e-10, 1.491358058585888638e-13, 4.652911168172670221e-11, 9.558358340833596601e-11
1.852000000000000000e+03, 3.990245285022425471e-11, 2.721827793837603661e-12, 2.718252815795680153e-10, 5.268381565399286856e-11, 4.649206553750317915e-11, 1.796836841741286799e-11, 5.484707110005296773e-10, 1.800306433392055776e-13, 5.070778883547697683e-11, 9.648872296077254976e-11
1.853000000000000000e+03, 4.213767391772642959e-11, 2.945127989080374647e-12, 2.796809589716110079e-10, 5.512650815738218315e-11, 4.900908990716415502e-11, 1.886961928039973418e-11, 5.450846048321892314e-10, 2.024969044912684905e-13, 5.182074583590095619e-11, 9.795646246952918679e-11
1.854000000000000000e+03, 4.420061074116623960e-11, 3.137574935029988559e-12, 2.834671714096424897e-10, 5.630411266564395923e-11, 5.081160705089569335e-11, 1.972091753297297070e-11, 5.448536154409426977e-10, 2.110090777607289994e-13, 5.440491728571872595e-11, 1.000332076390100892e-10
1.855000000000000000e+03, 4.551361778400000135e-11, 3.245491687686284368e-12, 2.889010326329230683e-10, 6.070220604886104322e-11, 5.240409068477400964e-11, 2.053623509945471889e-11, 5.370412448128839929e-10, 1.999181884456030577e-13, 5.738080489523975896e-11, 1.017645085047748299e-10
1.856000000000000000e+03, 4.641758317642116538e-11, 3.376756201700910400e-12, 2.923448207040302335e-10, 6.130845745712371095e-11, 5.367258342428136246e-11, 2.094560379912363577e-11, 5.352705796108151946e-10, 1.702884001655120396e-13, 5.734433402060704024e-11, 1.028952480833209837e-10
1.857000000000000000e+03, 4.753809831403283696e-11, 3.543630566918886315e-12, 2.933517325529521111e-10, 6.068352911609331813e-11, 5.469302556053316031e-11, 2.149129194772089377e-11, 5.347911857042678562e-10, 1.702953088206384217e-13, 5.873226846404495451e-11, 1.031109828377614591e-10
1.858000000000000000e+03, 4.824036676186777967e-11, 3.672085097628346719e-12, 2.927728903250851490e-10, 6.171062619394451344e-11, 5.548618569837285719e-11, 2.192881665526604417e-11, 5.129676640679133208e-10, 1.668475873543409982e-13, 5.865730321352258216e-11, 1.036113028792908781e-10
1.859000000000000000e+03, 4.896853268869710311e-11, 3.826282877639392953e-12, 2.909482905444969592e-10, 6.251407123403390394e-11, 5.609949112785328999e-11, 2.234785522805223923e-11, 4.828753198897486411e-10, 1.573824485219483113e-13, 6.020910297714233447e-11, 1.039059549537137041e-10
1.860000000000000000e+03, 4.947691829115932121e-11, 3.912870871404430627e-12, 2.885222040816807849e-10, 6.344837213359313449e-11, 5.911136963447874157e-11, 2.507870617731541353e-11, 4.262331496737320559e-10, 1.491185084000896683e-13, 5.964841230658209585e-11, 1.046170488488914267e-10
1.861000000000000000e+03, 5.035905056189630870e-11, 3.708592534598896549e-12, 2.850002674468800127e-10, 6.374706062993494495e-11, 5.949745990545981730e-11, 2.568842749222382450e-11, 3.729734053584972083e-10, 1.412332694125336173e-13, 6.133369125870434370e-11, 1.030059740402109337e-10
1.862000000000000000e+03, 5.061821992999517684e-11, 3.678151484277383582e-12, 2.804476558678581450e-10, 6.442459922927248834e-11, 6.000459012532250245e-11, 2.615486278448485183e-11, 3.725387680534483270e-10, 1.407351409439389742e-13, 6.159398043949212384e-11, 1.021225270392795730e-10
1.863000000000000000e+03, 5.103910500253273590e-11, 3.731249379374563574e-12, 2.779459493279382497e-10, 6.355634434419643889e-11, 6.054765401007488203e-11, 2.627902757160094075e-11, 3.811759090317722200e-10, 1.304771502573063698e-13, 6.147382266949440157e-11, 1.018371687664338133e-10
