year, NorESM2-MM, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, INM-CM4-8, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, CMCC-CM2-SR5
1.866000000000000000e+03, 9.088832069964185578e+00, 7.943629068723944364e+00, 1.276843645877658773e+01, 1.786334382187899905e+01, 1.112696380810910490e+01, 1.213611161768227475e+01, 8.836600957605782014e+00, 1.361283239141260637e+01, 1.066010771018833481e+01, 9.919952242200071879e+00, 1.666324866921205938e+01, 9.770918972312697903e+00, 1.728559412722713873e+01, 1.647913786449945306e+01, 1.089859664256906591e+01, 8.186936607388977549e+00
1.867000000000000000e+03, 8.896618344586373794e+00, 9.096054405796833109e+00, 1.201486836645708678e+01, 1.741287767657181362e+01, 1.162730196769967428e+01, 1.195580046078092629e+01, 9.181909157804669874e+00, 1.326367726016356485e+01, 1.107296349447045536e+01, 9.919964453320845976e+00, 1.566884785078835662e+01, 9.770923932169431225e+00, 1.630472133973776039e+01, 1.621428992158191562e+01, 1.031685966317407832e+01, 8.114013687880927250e+00
1.868000000000000000e+03, 9.691171293904279338e+00, 8.833235422856750674e+00, 1.243785671552295291e+01, 1.715898399104118610e+01, 1.146122580359910970e+01, 1.142240896417653317e+01, 9.917561722993404771e+00, 1.307561307910440362e+01, 1.186816038411338958e+01, 9.948490880906678768e+00, 1.569405123445046613e+01, 9.792667850275405428e+00, 1.647672364546400203e+01, 1.637217988472824359e+01, 9.732671095081469659e+00, 8.035523413664961367e+00
1.869000000000000000e+03, 9.967165397680110672e+00, 9.128396808222150938e+00, 1.423685443813359974e+01, 1.775652533483977180e+01, 1.162068806228253237e+01, 1.190126012247087672e+01, 9.892327468687856395e+00, 1.338184575298077483e+01, 1.215867184920448985e+01, 9.539805057736950644e+00, 1.636820171869955942e+01, 1.006009231828740624e+01, 1.748127758554490541e+01, 1.654383329144391723e+01, 1.055906689397147602e+01, 7.743375478283235580e+00
1.870000000000000000e+03, 9.888388190826647772e+00, 8.259948139774325071e+00, 1.332583603807801254e+01, 1.768007695207355923e+01, 1.136330497513499083e+01, 1.189362354396869215e+01, 9.566016091278614297e+00, 1.374070087109435612e+01, 1.155338746804622119e+01, 1.018983094328077854e+01, 1.740386322483489323e+01, 1.027727830367394724e+01, 1.706833146046241012e+01, 1.573428272329647903e+01, 1.107463398520310882e+01, 7.369505784620742794e+00
1.871000000000000000e+03, 9.522092047383120317e+00, 8.694795416433800384e+00, 1.322189525021123124e+01, 1.748034919228249962e+01, 1.130489194929829644e+01, 1.178379650694002656e+01, 9.426518779094186229e+00, 1.412685511254905713e+01, 1.134296696842793750e+01, 9.969808032476054294e+00, 1.645651970528328789e+01, 1.020523664970775535e+01, 1.685989509897084559e+01, 1.727799269467118037e+01, 1.034971400398644548e+01, 8.274736878698210063e+00
1.872000000000000000e+03, 9.509433182767558890e+00, 9.526081105288223938e+00, 1.287712554302162360e+01, 1.754290972668004400e+01, 1.112966023354781342e+01, 1.142287770518056789e+01, 9.150985606971758557e+00, 1.439556192122600642e+01, 1.209792881946735221e+01, 9.458559256792117509e+00, 1.569959818925691053e+01, 9.839546884996373421e+00, 1.584088022214183944e+01, 1.669517423431322101e+01, 1.043129778238367145e+01, 8.253275627410205928e+00
1.873000000000000000e+03, 9.719196747563362493e+00, 8.756720242353988937e+00, 1.274512504255662293e+01, 1.707127907465872951e+01, 1.134093419864171182e+01, 1.205531004131730910e+01, 9.285196218614293784e+00, 1.341785157074148316e+01, 1.160322417485545188e+01, 9.032492023158358307e+00, 1.634842248942696230e+01, 9.975241573222845659e+00, 1.516205718584298623e+01, 1.561333681787940009e+01, 1.038089526255218864e+01, 8.463310204799343595e+00
1.874000000000000000e+03, 9.489777308682121770e+00, 9.514412657936432538e+00, 1.302845065752236309e+01, 1.718701552953547207e+01, 1.142657048199894732e+01, 1.213663099530151790e+01, 1.029629716448565624e+01, 1.349115941472611269e+01, 1.155122414674448805e+01, 9.885848683890966271e+00, 1.598584228110055427e+01, 1.023977981050516384e+01, 1.695373848696589292e+01, 1.642860052311583630e+01, 1.037431856644662531e+01, 8.479389117778836749e+00
1.875000000000000000e+03, 9.425079781779677646e+00, 8.690240866095901850e+00, 1.289082447494615025e+01, 1.803288917342226227e+01, 1.132343600633779701e+01, 1.187883267282331623e+01, 9.504257201110554831e+00, 1.384914478383123360e+01, 1.099519592297646753e+01, 1.010029563408181019e+01, 1.606652055219753095e+01, 1.060659666836707160e+01, 1.653603624566873265e+01, 1.647768471662964629e+01, 1.065098604674008342e+01, 7.935692272539371039e+00
