year, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL
1.850000000000000000e+03, 1.241578764996795492e+01, 1.144779319816644580e+01, 1.605959218202246319e+01, 1.102793067195068666e+01, 1.159904870212689154e+01, 7.442422038752854796e+00, 1.019168589321228069e+01, 9.023427321107535093e+00, 9.666781667855429916e+00, 9.962876506307818403e+00, 9.048399141605885987e+00, 8.693635569123985718e+00, 1.097055009692685346e+01, 1.614846206582922861e+01
1.851000000000000000e+03, 1.197565374187784570e+01, 1.172106596950600910e+01, 1.665561390489024518e+01, 1.123399027333522504e+01, 1.111763778007097514e+01, 7.570896189585323732e+00, 1.012318351956847096e+01, 9.126827469454751096e+00, 9.468358564427866497e+00, 1.008008158201105431e+01, 9.012464720177419508e+00, 8.278581461926309615e+00, 1.128640258933568141e+01, 1.666726726904080635e+01
1.852000000000000000e+03, 1.250087938702578860e+01, 1.132022142325119596e+01, 1.652890080466767486e+01, 1.143706874747616453e+01, 1.125434181387480415e+01, 7.685419222695790253e+00, 1.027166084852117045e+01, 8.619677481419685705e+00, 9.192727992260953940e+00, 1.003234049700165009e+01, 8.918389103871398049e+00, 8.753326547135076297e+00, 1.099170830272280242e+01, 1.692331825553788249e+01
1.853000000000000000e+03, 1.250549466825782297e+01, 1.102879690107848809e+01, 1.642493422637790701e+01, 1.115027260986760282e+01, 1.122398506948775854e+01, 7.693990539620751967e+00, 1.047155365112698711e+01, 9.374376948673646126e+00, 9.646833738840888017e+00, 9.998845149092323581e+00, 9.124631637791823735e+00, 8.510557071248758376e+00, 1.110224884561464798e+01, 1.621808414768836570e+01
1.854000000000000000e+03, 1.207537272568299613e+01, 1.107926227541065067e+01, 1.643007194657378989e+01, 1.050470102374372416e+01, 1.158217827021898749e+01, 7.693092861281658479e+00, 1.059160328134579920e+01, 8.864223482916028019e+00, 9.669448693163998243e+00, 1.002402708097174333e+01, 9.441961157738012034e+00, 8.479426150983302435e+00, 1.105892094350624966e+01, 1.572583876862597307e+01
1.855000000000000000e+03, 1.211539668074324894e+01, 1.146043417980038370e+01, 1.699383145169439757e+01, 1.065576865874740520e+01, 1.102198326518649196e+01, 7.511597438231879309e+00, 1.052387500390397257e+01, 8.864047198877099021e+00, 9.366723054040724250e+00, 1.004638730013670767e+01, 9.561705538118467018e+00, 8.383613020380343173e+00, 1.101160394047160018e+01, 1.623061092677068018e+01
1.856000000000000000e+03, 1.253918483310934739e+01, 1.137889226130627129e+01, 1.710001855407332982e+01, 1.111400512300124355e+01, 1.155689564155476390e+01, 7.496313493418672813e+00, 1.052915912388302466e+01, 9.235795931405778703e+00, 9.942654913531313809e+00, 1.012516533838360111e+01, 9.490738474749845111e+00, 8.562823304697841920e+00, 1.099398002047124123e+01, 1.690350853422180677e+01
1.857000000000000000e+03, 1.240991222636634106e+01, 1.144562958617464687e+01, 1.703760275787140799e+01, 1.108143393705812230e+01, 1.106158259445487246e+01, 7.712733820644054106e+00, 1.044781058636002946e+01, 9.009986069235560890e+00, 9.672273036927601098e+00, 1.029500199813562666e+01, 9.350564352581992367e+00, 8.717236929972770554e+00, 1.114278472164874856e+01, 1.646139645634544380e+01
1.858000000000000000e+03, 1.228341335673296442e+01, 1.134263883941815543e+01, 1.727339002370894150e+01, 1.107720718496303469e+01, 1.148835398791387519e+01, 7.711536774946776696e+00, 1.030085363854346348e+01, 9.155470946322004977e+00, 9.301349126415752622e+00, 1.011430299561064317e+01, 9.124971343003842605e+00, 8.429653934365159529e+00, 1.084065718850740900e+01, 1.598508314502418592e+01
1.859000000000000000e+03, 1.224206782117989789e+01, 1.125852814527475765e+01, 1.721735684097665242e+01, 1.071737508251126592e+01, 1.106821660111483929e+01, 7.627780867947866916e+00, 1.046846004344176961e+01, 9.250216357224196884e+00, 9.517109062867771030e+00, 1.015406902868118877e+01, 9.027594578198133490e+00, 8.453045884752683037e+00, 1.098096783883598881e+01, 1.686350875381024395e+01
1.860000000000000000e+03, 1.215867782346385262e+01, 1.148183812870533060e+01, 1.689757614612969405e+01, 1.123610544998970617e+01, 1.131677309381391439e+01, 7.728068155156283758e+00, 1.056073129593285032e+01, 9.516929126389225502e+00, 9.990030045262459524e+00, 9.878201573776548727e+00, 8.903097593097269780e+00, 8.689280331324228612e+00, 1.094041853532401554e+01, 1.670333132229409401e+01
1.861000000000000000e+03, 1.225503633193161690e+01, 1.125935352513925736e+01, 1.621999800639406430e+01, 1.102967550468867763e+01, 1.139045065731902007e+01, 7.562852436111444199e+00, 1.058174170956564986e+01, 9.127543115626504999e+00, 9.728424439882857655e+00, 9.942313962164289975e+00, 8.929686583288582113e+00, 8.209073069501137354e+00, 1.132542333003122614e+01, 1.680549873571149888e+01
1.862000000000000000e+03, 1.246190719336803099e+01, 1.111116710597706358e+01, 1.666829576329496376e+01, 1.060878669228809557e+01, 1.125814892334705952e+01, 7.540268519824922855e+00, 1.048720647139711204e+01, 9.366371525340497328e+00, 9.448792365425511264e+00, 9.823245380592720011e+00, 8.716668157729717592e+00, 8.665991076640899848e+00, 1.104290509573884194e+01, 1.618650962700536411e+01
1.863000000000000000e+03, 1.251478667566485647e+01, 1.120386727903225932e+01, 1.682742061495363473e+01, 1.117274387138419023e+01, 1.142662195596489738e+01, 7.705022527798765175e+00, 1.078032170931141565e+01, 8.985109289987233794e+00, 9.839895844630824229e+00, 1.010960923728497640e+01, 8.924536852786829400e+00, 8.408942309106102186e+00, 1.095822269130791859e+01, 1.632140508420840419e+01
1.864000000000000000e+03, 1.227639398721864694e+01, 1.127875457581077434e+01, 1.697299005526748772e+01, 1.072703192959472318e+01, 1.127231708538991661e+01, 7.640083788792582986e+00, 1.054234217582813748e+01, 9.062574200727576468e+00, 9.727283341330494437e+00, 1.014016171223501317e+01, 9.181241968124441044e+00, 8.672460648991163978e+00, 1.106787172369837435e+01, 1.580591077485111562e+01
1.865000000000000000e+03, 1.231672183802784559e+01, 1.166744149875746039e+01, 1.685252149936078325e+01, 1.110305623367565175e+01, 1.110051592968461165e+01, 7.581634083115250888e+00, 1.024346211086139924e+01, 9.246826445170334807e+00, 9.870486177967485730e+00, 1.016545951016402149e+01, 9.342109625501366921e+00, 8.082142704005345735e+00, 1.115137724765267357e+01, 1.600295261724294349e+01
1.866000000000000000e+03, 1.216921586311010905e+01, 1.140407499174739669e+01, 1.716763325547475816e+01, 1.101697495565978180e+01, 1.154181805612843270e+01, 7.553469229789349093e+00, 1.044727688511953900e+01, 8.671457585505526922e+00, 9.516693331294620251e+00, 1.015772878141049951e+01, 8.949261615071781861e+00, 8.148878975844359829e+00, 1.133344718973148346e+01, 1.706066516377765652e+01
1.867000000000000000e+03, 1.182933462063261132e+01, 1.095987043643395609e+01, 1.713491049405908129e+01, 1.111305636300313360e+01, 1.167611318779038498e+01, 7.529165204384983490e+00, 1.049773592974292491e+01, 8.978191379572736608e+00, 9.590458584978168943e+00, 9.917046754468209713e+00, 9.087659572442623457e+00, 8.402194072409196579e+00, 1.111561932927372531e+01, 1.644447819443108827e+01
1.868000000000000000e+03, 1.172095192251510554e+01, 1.103748773112653225e+01, 1.655515446539352098e+01, 1.133204460700901350e+01, 1.151005448171369672e+01, 7.566464264972996290e+00, 1.062132598422380170e+01, 9.487575022712857020e+00, 9.862086920602585849e+00, 9.805594565994319112e+00, 9.271173744718023357e+00, 8.488988419202932789e+00, 1.097015410773606270e+01, 1.635078119631360138e+01
1.869000000000000000e+03, 1.173421658088396846e+01, 1.117132550520617151e+01, 1.724943753208569674e+01, 1.103423899614465498e+01, 1.155503620007661425e+01, 7.410879378589708466e+00, 1.026488071924583423e+01, 9.242613036565776596e+00, 9.405631633875957576e+00, 9.825852531218449926e+00, 9.385937589654362867e+00, 8.537404960688618871e+00, 1.116841704881865738e+01, 1.654288203702077809e+01
1.870000000000000000e+03, 1.213862463936914970e+01, 1.119577232714481951e+01, 1.730311135327331229e+01, 1.096773866269516517e+01, 1.111471756631467578e+01, 7.396660577666708924e+00, 1.024391696806826779e+01, 9.124261331517910634e+00, 9.756320883759210361e+00, 1.000761772162362284e+01, 9.373156066704334322e+00, 8.025231079515519284e+00, 1.087487752446600098e+01, 1.605710163544365443e+01
1.871000000000000000e+03, 1.206447520243727212e+01, 1.145581638450059536e+01, 1.691834854261008658e+01, 1.081313526092792010e+01, 1.144752672708347419e+01, 7.777383845247812566e+00, 1.053445774767358856e+01, 9.061249621411619160e+00, 9.684298490257747360e+00, 1.008869152581768525e+01, 9.035361631578538777e+00, 8.621691305941489247e+00, 1.101389212120875882e+01, 1.656255133577845129e+01
1.872000000000000000e+03, 1.217529838865181269e+01, 1.160473125276320339e+01, 1.721630681062159596e+01, 1.076090053021454551e+01, 1.155119300833643692e+01, 7.737368336354191634e+00, 1.040372059483715894e+01, 8.720136299355520038e+00, 9.263801169608283814e+00, 1.002422264250638761e+01, 9.133573453110020779e+00, 8.437330360491120729e+00, 1.115724944576104249e+01, 1.651295709024653036e+01
1.873000000000000000e+03, 1.187227787771375986e+01, 1.118805124100177117e+01, 1.701347541423615795e+01, 1.104092550857663113e+01, 1.146753848134757270e+01, 7.889213883352915957e+00, 1.042622788868865236e+01, 9.060059337421991543e+00, 8.800907494638652295e+00, 1.004448746333939191e+01, 9.122162475012828509e+00, 8.530903087501016557e+00, 1.113353947540505118e+01, 1.670048816820924742e+01
1.874000000000000000e+03, 1.199077526061038768e+01, 1.103564033339997330e+01, 1.709905085411159931e+01, 1.127882189865125362e+01, 1.127039232915688416e+01, 7.742563752836532309e+00, 1.047874154517977807e+01, 9.570540916183107427e+00, 9.536810327072890558e+00, 1.001883666784384097e+01, 9.248881007908664742e+00, 8.535541935248382117e+00, 1.105196014026058116e+01, 1.633791035331487151e+01
1.875000000000000000e+03, 1.196308310842797340e+01, 1.136366239787283128e+01, 1.678662873512270082e+01, 1.106166492179643690e+01, 1.125309246439413258e+01, 7.560816463470359849e+00, 1.037586089374038067e+01, 9.029486416765207579e+00, 9.791622875972082696e+00, 1.013448130609497788e+01, 9.235324469765041400e+00, 8.179424738259109873e+00, 1.110339105528540138e+01, 1.605090612870091960e+01
1.876000000000000000e+03, 1.185470343827352835e+01, 1.160852660391041979e+01, 1.693438001923965430e+01, 1.061462928253901339e+01, 1.159805456323539730e+01, 8.045859632157018382e+00, 1.036306028060367268e+01, 8.995302909788430057e+00, 9.716619047678632271e+00, 1.035292446342450212e+01, 9.385060286400674912e+00, 8.349079514487863563e+00, 1.095503482783727911e+01, 1.626440945999891241e+01
1.877000000000000000e+03, 1.230112370602562066e+01, 1.133720396020676091e+01, 1.678782565687116701e+01, 1.097490957053946481e+01, 1.154044052446861102e+01, 7.650367002255409332e+00, 1.047566193439125648e+01, 9.324291522988104930e+00, 9.436021622343426785e+00, 1.015411610665334052e+01, 9.234635028740600049e+00, 8.828252440706842563e+00, 1.125363643091821508e+01, 1.700920598977828746e+01
1.878000000000000000e+03, 1.239632994809413802e+01, 1.104273964928487572e+01, 1.708150830559829814e+01, 1.126302845973656197e+01, 1.151667936264554193e+01, 7.617713055082513840e+00, 1.056017590244490023e+01, 8.959014371265858756e+00, 9.426439729900598863e+00, 1.012133675547183387e+01, 9.093740549735127132e+00, 8.452059493282749969e+00, 1.106938010341872847e+01, 1.617124255138734767e+01
