year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.860000000000000000e+03, 4.665813182537694281e+00, 6.208130868162767158e+00, 2.991070226449747693e+01, 5.456533491865315000e+01, 4.775851262373030259e+00, 3.298208643033901666e+01, 3.412533157258443595e+01, 1.891443303216017213e+01, 1.154961756658741656e+01, 2.033174697258022690e+00, 4.770074130090458553e+00, 6.498746697924522309e+00, 6.835457844139224193e+00
1.861000000000000000e+03, 4.581165191967381034e+00, 6.093039842928662075e+00, 2.990131293827847969e+01, 5.452547279199104224e+01, 4.725632263249878839e+00, 3.357998838814426534e+01, 3.406428116596312350e+01, 1.886945777569241400e+01, 1.145814136232839076e+01, 2.065407992634706869e+00, 4.833839100457347548e+00, 6.499185961778728426e+00, 6.831110464356025425e+00
1.862000000000000000e+03, 4.685692715064978309e+00, 6.342473707547105377e+00, 2.995323196184235925e+01, 5.446593389313211020e+01, 4.818892040763148366e+00, 3.384517806605472856e+01, 3.415409173734297354e+01, 1.891992876987600525e+01, 1.136833981788037917e+01, 2.060219017468798430e+00, 4.805055078360911835e+00, 6.621466137617269432e+00, 6.848290440667658352e+00
1.863000000000000000e+03, 4.688833266063883620e+00, 6.321464025927496344e+00, 3.002558749996610743e+01, 5.428144211183618495e+01, 4.770650662777445206e+00, 3.381950066422746204e+01, 3.414197523400610379e+01, 1.894340548685802972e+01, 1.115684861004058526e+01, 2.207186966591986099e+00, 4.909298863644007582e+00, 6.592888557953003215e+00, 6.764276704090264936e+00
1.864000000000000000e+03, 4.609592007835371597e+00, 6.342479097614589278e+00, 2.976731629685339087e+01, 5.414906664178079865e+01, 4.645896890050516426e+00, 3.396019111467750662e+01, 3.416087581177420418e+01, 1.897106539406194869e+01, 1.138266614667128351e+01, 1.995278295352456599e+00, 4.867917247335346254e+00, 6.582124606947282075e+00, 6.506458938399291014e+00
1.865000000000000000e+03, 4.590108136519730486e+00, 6.153876529772522197e+00, 2.974831163968893577e+01, 5.421982880048091857e+01, 4.608365747469527207e+00, 3.345128192394687261e+01, 3.394375897685092269e+01, 1.897498774873351124e+01, 1.145068710815220925e+01, 2.023204226859494526e+00, 4.852007105685821386e+00, 6.516460237642303532e+00, 6.516864824143386414e+00
1.866000000000000000e+03, 4.717685240756178011e+00, 6.270317886052404255e+00, 2.980811522008509939e+01, 5.419789194652180697e+01, 4.675928502894480587e+00, 3.312076123352498058e+01, 3.374595680070895298e+01, 1.891783745087331425e+01, 1.176496153760606767e+01, 2.025542020994937964e+00, 4.929623576457796474e+00, 6.526835512661461003e+00, 6.592786679345839396e+00
1.867000000000000000e+03, 4.743089281838890336e+00, 6.387655103922663891e+00, 2.955763856502497333e+01, 5.403546168749167578e+01, 4.793988940900928419e+00, 3.269620758936780192e+01, 3.390014231005092427e+01, 1.880002141413684669e+01, 1.143418603907023190e+01, 2.027519394177862644e+00, 4.866379712091097431e+00, 6.483332644242519649e+00, 6.613969632071345472e+00
1.868000000000000000e+03, 4.583738523719786961e+00, 6.252726900849581604e+00, 2.959535923387023715e+01, 5.399183579221683971e+01, 4.650573300049296144e+00, 3.253528969187115649e+01, 3.410108631808611079e+01, 1.883169029665923233e+01, 1.120597837740872826e+01, 2.166563138058079208e+00, 4.700225826080728808e+00, 6.328473513987679766e+00, 6.579025596272166432e+00
1.869000000000000000e+03, 4.645171040668407691e+00, 6.219173686057279049e+00, 2.960187583088407237e+01, 5.406442566879809419e+01, 4.632582394337833698e+00, 3.237757388605561459e+01, 3.416673988421334229e+01, 1.885081651177530304e+01, 1.119357889509927340e+01, 2.062708915769214890e+00, 4.680274011233809262e+00, 6.328248629838755690e+00, 6.525139318909810804e+00
