year, NorESM2-LM, MPI-ESM1-2-LR, ACCESS-ESM1-5, CNRM-ESM2-1, INM-CM5-0, CanESM5, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CMCC-CM2-SR5, GFDL-ESM4
1.850000000000000000e+03, 2.595491001529248365e+01, 3.170141207941469119e+01, 2.937067274282099305e+01, 2.487024863597042312e+01, 3.912595657189455522e+01, 2.717852571507490111e+01, 2.444652724636781471e+01, 2.777478033582842087e+01, 3.645344869064388149e+01, 3.528918735357702730e+01, 2.468955221826372792e+01, 3.731566027733437352e+01, 3.478629613178757296e+01, 2.285622927917913927e+01, 2.089494833564834764e+01, 2.869881085370431961e+01
1.851000000000000000e+03, 2.537577133160234766e+01, 3.138114615492429849e+01, 3.102769805232720302e+01, 2.285987664255779350e+01, 3.707300643700715170e+01, 2.742317781887195238e+01, 2.432358527280475258e+01, 2.777579433238578233e+01, 3.671642908339106981e+01, 3.643495917590127675e+01, 2.481836025904841492e+01, 3.766291297278846884e+01, 3.528366568517569846e+01, 2.306849454966246071e+01, 2.056744117257645854e+01, 3.028572055203356328e+01
1.852000000000000000e+03, 2.523085192627020845e+01, 3.109452667024153172e+01, 3.225576628403946700e+01, 2.246546025197704211e+01, 3.589213707704076484e+01, 2.724974513833101142e+01, 2.406672350348677014e+01, 2.709202469443040329e+01, 3.644256114082878639e+01, 3.698050507769514184e+01, 2.362993360891108097e+01, 3.723945898973502722e+01, 3.621996812358411688e+01, 2.277801789552126621e+01, 2.152351050003583310e+01, 3.134992868568901159e+01
1.853000000000000000e+03, 2.538284838725184756e+01, 3.003258658502770828e+01, 3.216728264851033714e+01, 2.456553025911727417e+01, 3.776169762077086745e+01, 2.605599548630290840e+01, 2.458701562090212889e+01, 2.722218454181292913e+01, 3.615406490076034629e+01, 3.471953356929171264e+01, 2.454635913295081195e+01, 3.716579291010221198e+01, 3.565670616052037900e+01, 2.294579872049539304e+01, 2.180486365748242861e+01, 2.841417521165315563e+01
1.854000000000000000e+03, 2.551664764217760251e+01, 3.153923677098183731e+01, 3.096959834162063530e+01, 2.403822854078583049e+01, 3.563341976020018365e+01, 2.732943477688016998e+01, 2.497738919598896956e+01, 2.752405021149622755e+01, 3.677956834356481863e+01, 3.371419806664199825e+01, 2.438283046351377692e+01, 3.827903003658384051e+01, 3.430643610384315423e+01, 2.342872400100318231e+01, 2.135746095275057499e+01, 2.925094110523231095e+01
1.855000000000000000e+03, 2.519891880927863426e+01, 3.347193850852912078e+01, 3.133013586431900777e+01, 2.400167253727368788e+01, 3.677295439668609589e+01, 2.734421031241143396e+01, 2.532190865421462078e+01, 2.812412225553876866e+01, 3.674386398959570244e+01, 3.603304956746821119e+01, 2.447347092590460704e+01, 3.895316564603005105e+01, 3.556113935447419294e+01, 2.289309132354635778e+01, 2.152346554278938839e+01, 3.206867730345639700e+01
1.856000000000000000e+03, 2.601814440427717656e+01, 3.399330477076878765e+01, 3.124305107219394628e+01, 2.420305545728595220e+01, 3.825945273046136919e+01, 2.809150194531821398e+01, 2.574787397422136337e+01, 2.791608597265875602e+01, 3.581080696510247208e+01, 3.675661880446395458e+01, 2.446766311198768307e+01, 3.714247966581503846e+01, 3.594703790413781519e+01, 2.322970241828394933e+01, 2.122172345380012004e+01, 3.049178771350937467e+01
1.857000000000000000e+03, 2.585696344560069448e+01, 3.357881156390426725e+01, 3.094627044853164222e+01, 2.447043943135917132e+01, 3.778325456395690196e+01, 2.780572656769916762e+01, 2.564179359433002858e+01, 2.820608571986381463e+01, 3.537690724481453231e+01, 3.633356448783271730e+01, 2.419842975710701083e+01, 3.777099957061163593e+01, 3.490304693561405713e+01, 2.325396870276176742e+01, 2.017872933765955779e+01, 2.944321506968315916e+01
1.858000000000000000e+03, 2.539366877639106690e+01, 3.316633469728039785e+01, 3.183680684634290259e+01, 2.458765981252003385e+01, 3.800334584894353895e+01, 2.836028370923239805e+01, 2.514755591030682425e+01, 2.790660473727412949e+01, 3.671304443716654475e+01, 3.488538520386561004e+01, 2.518625405853174826e+01, 3.784950740792846346e+01, 3.419561229663506907e+01, 2.261517122071014185e+01, 2.046572939052407847e+01, 3.019289821388927209e+01
1.859000000000000000e+03, 2.538967879463451638e+01, 3.304160089753052887e+01, 3.257224042812712383e+01, 2.342547621083067710e+01, 3.687594193329938719e+01, 2.769420107944386444e+01, 2.497242772659387455e+01, 2.750308197169576729e+01, 3.533516438451997033e+01, 3.664444671367323281e+01, 2.510464397923525581e+01, 3.789659877092433504e+01, 3.491947191475916412e+01, 2.300905611574079401e+01, 2.148400911319863127e+01, 2.888865003304581336e+01
