year, NorESM2-MM, CESM2-WACCM, INM-CM4-8, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CanESM5, EC-Earth3-Veg, MIROC-ES2L
1.860000000000000000e+03, 4.021549471160796863e+00, 4.650418516211174413e+00, 4.954403970564377424e+00, 4.660221663450977658e+00, 5.029076650874243271e+00, 3.987929043551170505e+00, 4.684912536953935280e+00, 5.374822582986662489e+00, 3.665800750314158307e+00, 4.549283843025278884e+00, 5.379659359125920304e+00, 4.303268167262989330e+00, 4.558795146968716239e+00, 4.359294843714593526e+00, 4.577412663136520621e+00, 5.047673988166298642e+00
1.861000000000000000e+03, 4.041146515198513534e+00, 4.535543014393568662e+00, 4.774234388193788980e+00, 4.254306099213807535e+00, 4.866329110628097254e+00, 3.990539844397761549e+00, 4.649860240392000854e+00, 5.198407435843853008e+00, 3.395986790842816294e+00, 4.414927280068162929e+00, 5.165821215244995379e+00, 4.483289997119110915e+00, 4.409046094323594289e+00, 4.355312246100665696e+00, 4.590762300293155462e+00, 5.032671283957158792e+00
1.862000000000000000e+03, 3.891769659670141657e+00, 4.352435160673793213e+00, 4.561044861345878942e+00, 4.349814490306079584e+00, 4.871517732096620534e+00, 4.106695230379732386e+00, 4.911507450521884088e+00, 5.026168305880942100e+00, 3.859842773892612211e+00, 4.207571418545691166e+00, 5.416373217761265124e+00, 4.682428125360589277e+00, 4.234271805443166947e+00, 4.753681602665456474e+00, 4.823496865445646264e+00, 4.952470330483317973e+00
1.863000000000000000e+03, 4.089978448873322847e+00, 4.247953493447640838e+00, 4.682522920512399267e+00, 4.592450122469811546e+00, 5.035282550932548951e+00, 3.867145526188686677e+00, 4.762444593987124719e+00, 5.054293586718300091e+00, 3.858452729814421112e+00, 4.441057412227888079e+00, 4.899475315916999030e+00, 4.281046811756973547e+00, 4.259505949563402005e+00, 4.397624436556131222e+00, 4.689781501475258629e+00, 5.093592140590177841e+00
1.864000000000000000e+03, 4.011931928943143433e+00, 4.141608038600253394e+00, 4.608338044040817927e+00, 4.199757898992626970e+00, 4.801189910367172686e+00, 4.141118631439574926e+00, 4.727764923029774913e+00, 4.769676273096089325e+00, 4.083350834299212195e+00, 4.456942084000160342e+00, 5.146910339782576393e+00, 4.488477015164212602e+00, 4.048357909531718590e+00, 4.671786291126628576e+00, 4.698944591280112881e+00, 4.721760805792555971e+00
1.865000000000000000e+03, 4.282659636756538823e+00, 4.343423325941976998e+00, 4.871983787156786150e+00, 4.142556056579278945e+00, 4.872627565413965911e+00, 4.132313788449230252e+00, 4.815295311748718277e+00, 4.987012239260437241e+00, 3.911015045566879955e+00, 4.528532882221671052e+00, 5.571888367801818731e+00, 4.503839563323663420e+00, 4.538998192878491267e+00, 4.406347390825099630e+00, 4.627987104756062564e+00, 4.734735662545976886e+00
1.866000000000000000e+03, 3.700728513596521552e+00, 3.847171242464152208e+00, 4.879523768177256748e+00, 4.279933472621177515e+00, 4.957931307634851237e+00, 3.699728229169185312e+00, 4.775674576209405942e+00, 5.511025196037224738e+00, 4.097721942284832330e+00, 4.455436162477493411e+00, 5.255096022214771345e+00, 4.515922585262345024e+00, 4.388754238052188228e+00, 4.267762266591598852e+00, 4.546441430512113691e+00, 5.167328737718324128e+00
1.867000000000000000e+03, 4.129510000618893173e+00, 4.156389692477807429e+00, 4.619418511380247949e+00, 4.071995914704411135e+00, 4.863097843191183323e+00, 3.854945336460607663e+00, 4.788918714468596072e+00, 5.144289791127187428e+00, 4.041642336045174311e+00, 4.252721692358753636e+00, 5.237097343917115566e+00, 4.713417910467234684e+00, 4.194206976232530693e+00, 4.161070411165202820e+00, 4.587846706371151662e+00, 4.910800524635742903e+00
1.868000000000000000e+03, 4.469840819408184451e+00, 4.589645788349064226e+00, 4.602419686968689305e+00, 4.223082911816770313e+00, 4.807371461369853272e+00, 4.090649707417337133e+00, 4.786843374090406833e+00, 5.109074552759363286e+00, 3.936638184630945947e+00, 4.191749890788739386e+00, 4.927485637692237574e+00, 4.325412838510467317e+00, 4.210739498750891485e+00, 4.553250045348923969e+00, 4.501140690251419052e+00, 5.038644475715009285e+00
1.869000000000000000e+03, 4.380600781986792924e+00, 4.500197617727840438e+00, 4.818739129553392786e+00, 4.695420311849178852e+00, 4.920067229754688576e+00, 4.134662824355667787e+00, 4.730628139687861555e+00, 5.442105772117062479e+00, 3.946895990583513036e+00, 4.183425644506401753e+00, 5.362984225761508128e+00, 4.497701881693717318e+00, 4.101406367268661590e+00, 4.620838274733825912e+00, 4.658720293707187210e+00, 5.015745975827553771e+00
