year, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, TaiESM1, NorESM2-MM
1.888000000000000000e+03, 1.467026465053737705e-09, 7.688543049589475788e-10, 9.390004445842031700e-10, 1.181154224295486449e-09, 1.202525903674878828e-09
1.889000000000000000e+03, 1.375370327356855401e-09, 8.975951902845848302e-10, 1.051355738491551598e-09, 1.354240262413230770e-09, 8.811059970726654430e-10
1.890000000000000000e+03, 2.380849910566734438e-09, 1.001805560085143301e-09, 1.092595277626981773e-09, 1.102997575984852889e-09, 1.153489035855563306e-09
1.891000000000000000e+03, 1.612598000616159784e-09, 7.007587249336463367e-10, 9.749393566919729901e-10, 1.158929300434114345e-09, 1.079254761777111600e-09
1.892000000000000000e+03, 2.163502822221989905e-09, 1.041054940327644918e-09, 1.225854952815316026e-09, 1.391273583315769531e-09, 9.936527186499635836e-10
1.893000000000000000e+03, 2.497321358431307880e-09, 7.928258944913846900e-10, 8.197081893884964517e-10, 1.336712816360101500e-09, 8.732837327328408353e-10
1.894000000000000000e+03, 2.037591886817633250e-09, 7.446938914739974902e-10, 1.070095449731707332e-09, 1.083003859554358837e-09, 1.068191619568446628e-09
1.895000000000000000e+03, 1.764667126821923389e-09, 8.066853846372840415e-10, 1.087979331929486991e-09, 1.208777241040882875e-09, 1.070601171597411748e-09
1.896000000000000000e+03, 2.400659170293758393e-09, 9.057161510978504087e-10, 9.407992682660616765e-10, 1.048146375075962091e-09, 1.220459105224948238e-09
1.897000000000000000e+03, 1.979039989068413043e-09, 7.701606965747863986e-10, 1.096838767346664546e-09, 1.335976906496479265e-09, 1.036944475357052220e-09
1.898000000000000000e+03, 1.708517760949762740e-09, 9.496872230589698208e-10, 9.697326370002320876e-10, 1.586145367880674763e-09, 1.112780913870959468e-09
1.899000000000000000e+03, 2.244597662820076052e-09, 8.146317796747405653e-10, 1.055605110324366025e-09, 1.233390498201305242e-09, 9.430201966182680848e-10
1.900000000000000000e+03, 3.381984564941219622e-09, 8.236317871618329829e-10, 1.023136890601626085e-09, 1.117512815333092841e-09, 8.402381513383364745e-10
1.901000000000000000e+03, 2.174879714277412977e-09, 1.221053727776343823e-09, 8.131723306302465210e-10, 1.362810636188408739e-09, 1.241565202998575013e-09
1.902000000000000000e+03, 1.163014630817039426e-09, 1.404969419260946238e-09, 1.143358738513459701e-09, 1.065946008652751534e-09, 1.105716192686262596e-09
1.903000000000000000e+03, 1.859921836396685293e-09, 1.069948053843572482e-09, 1.127057882018549514e-09, 1.185299496859131394e-09, 8.111437025573923287e-10
1.904000000000000000e+03, 2.265295946399507348e-09, 9.176716893594071151e-10, 8.693336560870982171e-10, 1.555673907100578005e-09, 9.153693921315154871e-10
1.905000000000000000e+03, 2.494465833886085217e-09, 1.015308751641940588e-09, 1.179753042499781669e-09, 1.273845715001304401e-09, 1.400440787384950155e-09
1.906000000000000000e+03, 2.223775466743449724e-09, 9.432593989235573222e-10, 1.026076764175936204e-09, 1.219603082322610949e-09, 1.383765274591707592e-09
