year, UKESM1-0-LL, CESM2-WACCM, TaiESM1, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, GFDL-ESM4, INM-CM5-0, MIROC-ES2L, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.575426634947051791e-02, 1.389946749714398022e-01, -8.343560413708533963e-01, -1.374257415121848125e-01, -4.920882319295435958e-01, -2.523363394320231046e-01, -9.655839719101315666e-01, -7.357816278111125596e-01, 1.120962486472611319e+00, -3.318104383327326046e-01, -3.480322626796562568e-01, -4.999882413073389320e-02, 8.861935552149030615e-02, 3.303343213121611582e-02, 4.844164818683853457e-02, 4.366784634675492383e-01
1.851000000000000000e+03, -2.648713913468347600e-02, -1.765056272907510049e-01, -7.695411898830885333e-02, -1.393980547765753253e-01, -1.001070628138890140e+00, 8.161644711670322794e-01, -1.534385618069206425e-01, 1.134401246405742247e+00, -2.819323766251972674e-01, -5.686054910465406786e-01, -2.406217628007513709e-01, -3.450790265665230061e-01, 2.598993030930333084e-02, -6.881454228098181636e-01, -3.527847168749411177e-01, -3.196278580457060925e-01
1.852000000000000000e+03, -8.231181299280138086e-02, -4.480190397700010152e-01, 8.362336446270647317e-01, 2.865165021530265230e-03, -1.684018646210003745e+00, 1.175450094318180705e+00, -5.011470972141494062e-01, 5.318427913653638317e-01, -8.695978628703535662e-01, -2.142044779734372240e-01, -5.167443739468174924e-01, -2.390706492197111899e-01, -3.622508747686820074e-01, -2.962787360455715335e-01, -2.019680803421542437e-01, -4.663833015226616641e-01
1.853000000000000000e+03, -4.170604255692808016e-01, -1.805434831381780569e-01, -4.388953680289569559e-01, 8.055450323136890967e-02, -1.315331164604583547e+00, 7.111039167042038089e-01, -1.606531081948602502e+00, -1.876317648366617963e+00, 6.200268808033418955e-01, 3.007765316880449125e-01, -4.409487189826559739e-01, -9.414548112769972887e-02, -1.333725366048709171e-01, 6.066752195386222457e-01, -3.599591232230619497e-01, -1.500202910492949737e+00
1.854000000000000000e+03, -2.833872510190665883e-01, -1.068640828078337157e-01, -1.038649614408737154e+00, -1.043162597308339573e-01, 1.139035650806861533e+00, -2.474891931919811772e-01, -3.283757409910221803e-01, -8.539783163854322567e-02, -6.016439753187379225e-01, 4.743172746891474167e-01, 1.978348236503323001e-03, -1.147611236873837953e-01, -4.367367430520779220e-02, -8.439719377965014535e-02, -2.839137154293983056e-01, -2.237711387340720615e-01
1.855000000000000000e+03, 5.767305162716215294e-01, -3.028613284099019864e-01, 7.798922180748212307e-01, 2.165064367305034598e-01, 1.570787613375101310e+00, 2.356086558012532584e-01, -1.210502870788972701e-01, 1.966643079131478622e+00, -4.118838316078924922e-01, -3.447834940419888250e-01, -1.545922449076812255e-01, -8.508196261564701657e-02, 2.658680947532603422e-01, 2.660210355001080273e-01, -2.927957066540407549e-01, 7.334385091484696417e-01
1.856000000000000000e+03, -1.125197822064397807e-02, -3.397718477913196922e-01, 1.795856780909854955e-01, -2.121297643061633986e-01, -1.742197992908148807e+00, 5.725383377413088143e-02, -7.819639736828720711e-02, -6.052286617714528472e-01, 7.952088099860248338e-01, -4.906189466385735276e-02, -7.547243633472544566e-01, 1.138253333961651015e-01, -2.057794266975117650e-02, 6.688503915889948415e-02, -9.936976095832283917e-02, 8.927405937852149753e-01
1.857000000000000000e+03, 1.514545195747425688e-01, -3.812369574058724897e-01, -8.593129483984650596e-01, -6.599770176876674777e-01, -4.047550055100826438e-01, 1.368384896910617987e-01, 1.713577741930822351e-01, -3.857622092033259897e-01, 4.783488762232601665e-01, -1.467237351351089181e-01, -9.352134852495145312e-01, 3.566990765110903544e-02, 5.957621940613672118e-02, 6.710629507720848597e-02, -1.772966347691366240e-01, 5.203070587322238261e-01
1.858000000000000000e+03, 3.494095117838750403e-02, 1.566158446990840447e-01, -7.945565933849949580e-01, -1.411395848203057801e-01, -4.458274541399842583e-01, 1.013690763405912687e+00, 2.331337928480453625e-01, 4.731974281705145224e-01, 5.064518583827426479e-01, -3.966504654931216622e-01, 1.281543475199348192e-01, -1.480802186539747489e-01, 1.144820761800910761e-02, 4.181523747774182898e-01, -3.426617999455103813e-01, -7.883544297311538551e-02
1.859000000000000000e+03, -1.411288569686398042e-01, -8.325078977173890060e-02, 2.560778376690716618e-01, 2.913175854477014770e-01, 6.175599837586640550e-01, 8.435676292553618838e-01, 1.180861954642284731e-02, -1.082596928797926239e+00, -3.895485382832696852e-01, 3.775647041303818729e-02, -9.936221992539026049e-01, -1.213166987077751585e-01, -2.884187477314366088e-01, -5.720468852777377267e-01, -1.937024691613186411e-01, 3.790398969254991229e-02
