year, CanESM5, TaiESM1, ACCESS-ESM1-5, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L
1.850000000000000000e+03, 2.192397128180550681e+02, 1.049391368074451520e+02, 1.021630611117629854e+02, 1.374442357441039633e+02, 2.043693521089665239e+02, 3.606591242571474965e+01, 1.108734398108471453e+02, 1.112247765528368717e+02, 2.849104893615443075e+02, 3.112271297402676282e+02, 1.402815484397725925e+02, 1.343889730784555638e+02, 1.773042404439533186e+02, 1.145268513037274545e+02
1.851000000000000000e+03, 2.191627283500085923e+02, 1.050638375334047225e+02, 1.021514167524114072e+02, 1.374440482697942514e+02, 2.044302892863008481e+02, 3.619658746952914186e+01, 1.108928000422823459e+02, 1.114218485729850556e+02, 2.849522732923990134e+02, 3.111190381375726020e+02, 1.402880852612611022e+02, 1.344225198746051433e+02, 1.773494822415246119e+02, 1.145502266784273502e+02
1.852000000000000000e+03, 2.191461522981830967e+02, 1.050022381296990943e+02, 1.022254412484296608e+02, 1.374329820426698632e+02, 2.044275539989351387e+02, 3.638110008413657681e+01, 1.109139830780267459e+02, 1.112474288780279466e+02, 2.849653308232780091e+02, 3.107714440282046553e+02, 1.403254250295790655e+02, 1.344519755740070366e+02, 1.774352302796968104e+02, 1.144155029757479127e+02
1.853000000000000000e+03, 2.190126725322582217e+02, 1.049172382963704422e+02, 1.023502179572576694e+02, 1.374644118155965486e+02, 2.043573341569636170e+02, 3.614933620018995697e+01, 1.109028718213252773e+02, 1.113760570492223678e+02, 2.849880019693600843e+02, 3.106934968511883426e+02, 1.403375906875375563e+02, 1.344426868549632275e+02, 1.773252851244394890e+02, 1.142957102644675160e+02
1.854000000000000000e+03, 2.188759685927493308e+02, 1.050898744097504647e+02, 1.024397348092870175e+02, 1.374264003764404833e+02, 2.043524932279910615e+02, 3.606929769983380396e+01, 1.108849860469355377e+02, 1.114719270673592320e+02, 2.850309435264182980e+02, 3.105854257307790931e+02, 1.402586184383945351e+02, 1.344363442652273193e+02, 1.773634471913261166e+02, 1.142075801883290040e+02
1.855000000000000000e+03, 2.187803416767079625e+02, 1.050625665131596094e+02, 1.024683721244622490e+02, 1.373640011130354139e+02, 2.044344476327619020e+02, 3.631968238502053481e+01, 1.108592788152892297e+02, 1.110429373012345167e+02, 2.850102599517113617e+02, 3.108028326300686217e+02, 1.402619487019073858e+02, 1.343215350366536711e+02, 1.774074591807931256e+02, 1.140808527538007127e+02
1.856000000000000000e+03, 2.186849723100997949e+02, 1.049617997318451188e+02, 1.025060714161065505e+02, 1.373533506855262090e+02, 2.044641459428833627e+02, 3.650287017533528200e+01, 1.108708739303254447e+02, 1.108920138499363048e+02, 2.849679944563046092e+02, 3.109131925362474931e+02, 1.402721641090398634e+02, 1.342511923902797548e+02, 1.774577215895346001e+02, 1.139905444496418738e+02
1.857000000000000000e+03, 2.185813082066416655e+02, 1.050211476304855154e+02, 1.025469470799212672e+02, 1.372969882335306124e+02, 2.044910393355952465e+02, 3.628209911261186704e+01, 1.108652460067843037e+02, 1.109740095113439935e+02, 2.850934645080646419e+02, 3.108709580926995955e+02, 1.402297638603048426e+02, 1.342665362152468163e+02, 1.774725445742649299e+02, 1.138155819703714400e+02
1.858000000000000000e+03, 2.184835576188526431e+02, 1.051231439034290105e+02, 1.026057716310964167e+02, 1.372764414955853738e+02, 2.045191193258747830e+02, 3.628270298049042708e+01, 1.108857355897648347e+02, 1.113766654545838861e+02, 2.852583684862964901e+02, 3.110825498684154127e+02, 1.402074026321691349e+02, 1.343090992773641972e+02, 1.775201104273718329e+02, 1.136870872638926073e+02
1.859000000000000000e+03, 2.183732841181227968e+02, 1.051757161217127532e+02, 1.027364618191300707e+02, 1.373009027815363368e+02, 2.045197056355917482e+02, 3.624126864334468934e+01, 1.109074306548954354e+02, 1.115887358237064717e+02, 2.852624874425452504e+02, 3.109056551508243160e+02, 1.401973885059837812e+02, 1.343586845833917209e+02, 1.775903472351975552e+02, 1.136308216363947139e+02
1.860000000000000000e+03, 2.182645755846259874e+02, 1.050760276502812758e+02, 1.028623797773828272e+02, 1.373035919791578010e+02, 2.045823706699296736e+02, 3.623572084134635674e+01, 1.108894013656826161e+02, 1.116493023755678848e+02, 2.852419520982514314e+02, 3.110067684895200841e+02, 1.401607584406681326e+02, 1.344115151258618823e+02, 1.776911234175964580e+02, 1.137057026853345008e+02
1.861000000000000000e+03, 2.181781381243262103e+02, 1.050872099673942586e+02, 1.029535313190137771e+02, 1.372583642379556181e+02, 2.045595241946368219e+02, 3.650293017410393759e+01, 1.108758643951377110e+02, 1.116073855098200767e+02, 2.852082228011498728e+02, 3.109535975425513925e+02, 1.401413367906733640e+02, 1.344389228577742870e+02, 1.775974394851162117e+02, 1.136191681598683374e+02
1.862000000000000000e+03, 2.182029834047833958e+02, 1.050878950075987319e+02, 1.030438611768340849e+02, 1.372560966253234369e+02, 2.046261078876731290e+02, 3.654253412900633435e+01, 1.108908729106210984e+02, 1.115410907763830437e+02, 2.852063773121410577e+02, 3.110172917414864173e+02, 1.401524948394886110e+02, 1.344699465963414013e+02, 1.776850312947449027e+02, 1.135682381536739598e+02
1.863000000000000000e+03, 2.182267820702670065e+02, 1.051177176385325254e+02, 1.031057252994657603e+02, 1.373086387474559444e+02, 2.047267319284386815e+02, 3.647414792913291848e+01, 1.109196647398590869e+02, 1.114159023107138040e+02, 2.852867742326476446e+02, 3.110463432260024774e+02, 1.401863210730510332e+02, 1.345302364011829468e+02, 1.777107256401934876e+02, 1.135859604003523771e+02
1.864000000000000000e+03, 2.181568689299909352e+02, 1.051512149155936413e+02, 1.029851594201766574e+02, 1.372679179428090492e+02, 2.047167578597476734e+02, 3.650711314538241226e+01, 1.109299693252346515e+02, 1.113416268909095663e+02, 2.853344783408177818e+02, 3.106511812824464869e+02, 1.402266576984010555e+02, 1.345240423851405183e+02, 1.777649014589125045e+02, 1.135560838951145541e+02
1.865000000000000000e+03, 2.182202350673534852e+02, 1.050563832275773137e+02, 1.028956796585693780e+02, 1.372123470262017975e+02, 2.047771918927059289e+02, 3.609813971010327549e+01, 1.109409018801411975e+02, 1.114521057856941724e+02, 2.853599900223088071e+02, 3.105572257355593706e+02, 1.402587858159091923e+02, 1.344755121776024396e+02, 1.776825207987645285e+02, 1.134360259890723768e+02
1.866000000000000000e+03, 2.182141946933983263e+02, 1.050316054063159612e+02, 1.029116822575648058e+02, 1.371919801897608693e+02, 2.047825803301837482e+02, 3.592209104420251009e+01, 1.109076699785800884e+02, 1.114365858239694944e+02, 2.853802304096938656e+02, 3.105200858743941126e+02, 1.402636348500676320e+02, 1.344253250713119598e+02, 1.777245465824187818e+02, 1.132595441287483879e+02
1.867000000000000000e+03, 2.181766129556182534e+02, 1.050005663809390768e+02, 1.029380370852001505e+02, 1.372057029646082924e+02, 2.047894972643425717e+02, 3.577448877905633395e+01, 1.108516541999521507e+02, 1.112854549148115098e+02, 2.854377127514442236e+02, 3.104102149714027519e+02, 1.403027110740787862e+02, 1.344361523095844575e+02, 1.776653379454046444e+02, 1.131837126286333302e+02
1.868000000000000000e+03, 2.180938695985193476e+02, 1.050058348929483429e+02, 1.029268268886924602e+02, 1.371976736259012171e+02, 2.047597046510944381e+02, 3.559905019367713663e+01, 1.108427811397890110e+02, 1.112494841781397952e+02, 2.854914010925559751e+02, 3.103725119817788709e+02, 1.402629838241086020e+02, 1.344053871293858435e+02, 1.776548613686354940e+02, 1.131982519712695563e+02
1.869000000000000000e+03, 2.180438951465573894e+02, 1.051040254828286180e+02, 1.028618612224087059e+02, 1.371404768622372217e+02, 2.047227104583134292e+02, 3.571076344952355441e+01, 1.108393800364603408e+02, 1.113433269233180738e+02, 2.855187186613187009e+02, 3.106353881520608411e+02, 1.401542367553292650e+02, 1.343439847417746478e+02, 1.776448606354713888e+02, 1.132832579500787347e+02
1.870000000000000000e+03, 2.180287369336968482e+02, 1.050786941366992409e+02, 1.028683102413874053e+02, 1.371364149319409478e+02, 2.046918320256465904e+02, 3.589212182609799129e+01, 1.108187680395698749e+02, 1.112607965266521575e+02, 2.854853970963960137e+02, 3.112836095065138124e+02, 1.401410487971296277e+02, 1.343134681005178663e+02, 1.775604677192405632e+02, 1.133515630453010630e+02
1.871000000000000000e+03, 2.179904527513798485e+02, 1.050347439970935426e+02, 1.029267392968705934e+02, 1.371206976048821957e+02, 2.046774056534307249e+02, 3.590576356895887500e+01, 1.108281823680526799e+02, 1.114095965580239778e+02, 2.854710872416874849e+02, 3.116254202813336178e+02, 1.401664452808566352e+02, 1.343103041180201274e+02, 1.775430068827240007e+02, 1.134570171713037467e+02
1.872000000000000000e+03, 2.180537939306130681e+02, 1.050835943281900313e+02, 1.029344948462377261e+02, 1.371147458789889129e+02, 2.047227352586635334e+02, 3.566825578386278295e+01, 1.108650422349466567e+02, 1.115813261847165734e+02, 2.854569510364360099e+02, 3.114679771563135091e+02, 1.401882974289098627e+02, 1.343601975741161425e+02, 1.773623098600029095e+02, 1.134358689195783541e+02
1.873000000000000000e+03, 2.180829856604596273e+02, 1.051171364467993357e+02, 1.029525183432131996e+02, 1.371740337608611355e+02, 2.047581688824614901e+02, 3.562318775903160173e+01, 1.108494941842133130e+02, 1.115786589876943822e+02, 2.855193556037262397e+02, 3.105306656315632949e+02, 1.402238148153890052e+02, 1.343968199775464143e+02, 1.773125245725029515e+02, 1.132518755522739298e+02
1.874000000000000000e+03, 2.181089175797054338e+02, 1.050221495248701018e+02, 1.029374007910737845e+02, 1.372452204019811575e+02, 2.047404381778854940e+02, 3.541225246656213699e+01, 1.108454437020389634e+02, 1.116187717314567607e+02, 2.855018829801321090e+02, 3.103520846829839570e+02, 1.401641358836122606e+02, 1.343887006232509123e+02, 1.772794709375843354e+02, 1.131959968682740936e+02
1.875000000000000000e+03, 2.181504702461539011e+02, 1.050647161421561293e+02, 1.029232943238879727e+02, 1.372025399034105249e+02, 2.047194145654461295e+02, 3.540162442371847362e+01, 1.108374094367882492e+02, 1.114715602709649573e+02, 2.854507105098663828e+02, 3.107954228653148903e+02, 1.401021587403346587e+02, 1.343800250876252278e+02, 1.772761607415650360e+02, 1.132364959149941370e+02
1.876000000000000000e+03, 2.181258237662636077e+02, 1.050703700549607902e+02, 1.029338359751764926e+02, 1.371406460384458796e+02, 2.047656651672013197e+02, 3.560914662542034392e+01, 1.108381242549754830e+02, 1.116093990087454699e+02, 2.855909660110515347e+02, 3.110652466049699569e+02, 1.401330712422850411e+02, 1.343735397079254881e+02, 1.772898149633096239e+02, 1.132208834765121708e+02
1.877000000000000000e+03, 2.181143007188719025e+02, 1.051238948620352289e+02, 1.029983556256797783e+02, 1.371409732149456033e+02, 2.048364292502464252e+02, 3.581354628368258375e+01, 1.108231475395878078e+02, 1.117307835789698913e+02, 2.856704173357185823e+02, 3.109220157070899972e+02, 1.401657927209683123e+02, 1.343506915946860261e+02, 1.773726020529426819e+02, 1.131254827919410104e+02
