year, MPI-ESM1-2-LR, EC-Earth3-Veg
1.944000000000000000e+03, 2.399315665476009321e-09, 4.209888203082611360e-10
1.945000000000000000e+03, 2.316345230233378069e-09, 4.389864960322726011e-10
1.946000000000000000e+03, 2.271029412872897759e-09, 4.465989200730776181e-10
1.947000000000000000e+03, 2.372870568385942894e-09, 4.603424122801378006e-10
1.948000000000000000e+03, 2.509255816058966699e-09, 4.561432554952823659e-10
1.949000000000000000e+03, 2.525877937991969322e-09, 4.724814680938511374e-10
1.950000000000000000e+03, 2.614846262335874307e-09, 4.493791020424489593e-10
1.951000000000000000e+03, 2.425549509239787364e-09, 4.899868878906257262e-10
1.952000000000000000e+03, 2.375793429842401724e-09, 4.637775822972765501e-10
1.953000000000000000e+03, 2.657858569322585194e-09, 4.948405122014898289e-10
1.954000000000000000e+03, 2.630412084784990014e-09, 4.930803866113788276e-10
1.955000000000000000e+03, 2.723022984508033847e-09, 5.212391479387714712e-10
1.956000000000000000e+03, 2.667408609526219696e-09, 4.995862463538506970e-10
1.957000000000000000e+03, 2.507393513607014207e-09, 5.400488983707286851e-10
1.958000000000000000e+03, 2.436396374725023312e-09, 5.262788748761023231e-10
1.959000000000000000e+03, 2.500755610519801582e-09, 5.610506145633437529e-10
1.960000000000000000e+03, 2.698508673374585559e-09, 5.473431134830250109e-10
1.961000000000000000e+03, 2.675561615471957070e-09, 5.717138955114601082e-10
1.962000000000000000e+03, 2.714360019362638942e-09, 5.574403059467768715e-10
1.963000000000000000e+03, 2.825900399881499817e-09, 5.693557269885998559e-10
1.964000000000000000e+03, 2.757858443502698689e-09, 5.555554437713597554e-10
1.965000000000000000e+03, 2.620100686268992388e-09, 5.726191255616214773e-10
1.966000000000000000e+03, 2.526453029786738519e-09, 5.798885619014756908e-10
1.967000000000000000e+03, 2.517029996014688004e-09, 6.019365406659702300e-10
1.968000000000000000e+03, 2.520688377670693029e-09, 5.825363921363843732e-10
1.969000000000000000e+03, 2.630470416136052132e-09, 6.185638198826645747e-10
1.970000000000000000e+03, 2.767407582981573381e-09, 5.893544047855317280e-10
1.971000000000000000e+03, 2.930376507373550524e-09, 6.347829740239936422e-10
1.972000000000000000e+03, 2.755082222751310589e-09, 6.007365527055686850e-10
1.973000000000000000e+03, 2.640837964634504130e-09, 6.282549883325168730e-10
1.974000000000000000e+03, 2.656418602292489070e-09, 6.367238267931713640e-10
1.975000000000000000e+03, 2.822414316645242662e-09, 6.225279957616172244e-10
1.976000000000000000e+03, 2.914230254865541559e-09, 6.264636255427336140e-10
1.977000000000000000e+03, 2.756421089675769164e-09, 6.539577722616675905e-10
1.978000000000000000e+03, 2.683128650981498602e-09, 6.639220596540007865e-10
1.979000000000000000e+03, 2.642576498905558065e-09, 6.596567347525256639e-10
1.980000000000000000e+03, 2.656088454442906182e-09, 6.541962195390935045e-10
1.981000000000000000e+03, 2.617676385175327886e-09, 6.769968225352446143e-10
1.982000000000000000e+03, 2.605827460348658844e-09, 6.705521693584136683e-10
1.983000000000000000e+03, 2.499946196669377803e-09, 6.749177457895161497e-10
1.984000000000000000e+03, 2.408249816254190616e-09, 6.622551921058274319e-10
1.985000000000000000e+03, 2.454250365231564405e-09, 6.739247412500032953e-10
1.986000000000000000e+03, 2.697248661168586376e-09, 6.777165728426233753e-10
1.987000000000000000e+03, 2.846662758859032622e-09, 6.994874289933136036e-10
1.988000000000000000e+03, 2.810007999439489266e-09, 6.871118445415118469e-10
1.989000000000000000e+03, 2.667463166324564878e-09, 7.144566548498997240e-10
1.990000000000000000e+03, 2.681754266315053437e-09, 6.856745984032026761e-10
1.991000000000000000e+03, 2.641709051401909091e-09, 7.119927199438694444e-10
1.992000000000000000e+03, 2.623469551609943798e-09, 7.161463382068408510e-10
1.993000000000000000e+03, 2.615607350375246567e-09, 6.942275107096069830e-10
1.994000000000000000e+03, 2.736019429067079207e-09, 6.709658418358959239e-10
1.995000000000000000e+03, 2.760900242231622537e-09, 7.154773674940145241e-10
1.996000000000000000e+03, 2.741580328672265081e-09, 6.845232682128951235e-10
1.997000000000000000e+03, 2.755154520260496356e-09, 7.218552236647716262e-10
1.998000000000000000e+03, 2.692662573853393336e-09, 7.093522081586505207e-10
1.999000000000000000e+03, 2.791125039141919940e-09, 7.418679894757887456e-10
2.000000000000000000e+03, 2.921179454880084650e-09, 7.078463500216807819e-10
2.001000000000000000e+03, 3.028915133621852021e-09, 7.472918072688934384e-10
2.002000000000000000e+03, 2.975744390394248980e-09, 6.912847654392745169e-10
2.003000000000000000e+03, 2.661595113314376564e-09, 7.474548427502500026e-10
2.004000000000000000e+03, 2.666183176718950970e-09, 6.998459615619170834e-10
2.005000000000000000e+03, 2.755578027378667352e-09, 7.460480657329924377e-10
2.006000000000000000e+03, 2.798817153904670492e-09, 7.330857831253754041e-10
2.007000000000000000e+03, 2.646217806618094351e-09, 7.386248961778747606e-10
2.008000000000000000e+03, 2.471401333641825908e-09, 7.399218923623324013e-10
2.009000000000000000e+03, 2.658339792628358372e-09, 7.449771043597818239e-10
2.010000000000000000e+03, 2.771295196284127935e-09, 7.262164572888862283e-10
2.011000000000000000e+03, 2.735860960307073263e-09, 7.153925013737164400e-10
2.012000000000000000e+03, 2.745179741898639143e-09, 7.509386430634835971e-10
2.013000000000000000e+03, 2.768279218037239908e-09, 7.352376861208627787e-10
2.014000000000000000e+03, 2.750481190248995762e-09, 7.578915127828900021e-10
