year, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4
1.850000000000000000e+03, 1.798692368186719109e-09, 4.343246292405546259e-10, 3.544688380067518420e-10, 2.497423285258568282e-09, 9.978196396345958828e-10, 1.657549915699748955e-09, 6.655992707604734716e-10, 4.201048713216787557e-10, 9.978196396345958828e-10, 1.657549915699748955e-09, 4.201048713216787557e-10, 1.800999025395705611e-09
1.851000000000000000e+03, 1.194287455813855099e-09, 9.985861425768067108e-10, 7.383172400120893473e-10, 2.748231925185354140e-09, 1.056255945255747557e-09, 1.321812898032697016e-09, 5.119508808422885148e-10, 8.015129530312670121e-10, 1.056255945255747557e-09, 1.321812898032697016e-09, 8.015129530312670121e-10, 1.196685152848029621e-09
1.852000000000000000e+03, 1.410824085318503613e-09, 1.264758700456215009e-09, 7.876711928005982804e-10, 2.734813032861833620e-09, 9.002483422303692890e-10, 1.051846334408411543e-09, 4.540547045176643871e-10, 8.855684536254247765e-10, 9.002483422303692890e-10, 1.051846334408411543e-09, 8.855684536254247765e-10, 1.413311985887550740e-09
1.853000000000000000e+03, 3.080330680609987780e-09, 7.755210767926813925e-10, 6.246889339990475098e-10, 2.804475733396650944e-09, 1.051386481079687897e-09, 1.330517381444148146e-09, 5.114564535903792225e-10, 7.979192512943507571e-10, 1.051386481079687897e-09, 1.330517381444148146e-09, 7.979192512943507571e-10, 3.082925608689772699e-09
1.854000000000000000e+03, 2.015942306507132795e-09, 8.986292527814686320e-10, 5.845616782654836642e-10, 2.091636730363828504e-09, 1.054166261154834895e-09, 1.704069345102959551e-09, 5.705113976290171163e-10, 5.166925032166320936e-10, 1.054166261154834895e-09, 1.704069345102959551e-09, 5.166925032166320936e-10, 2.018479861522343654e-09
1.855000000000000000e+03, 1.245954142276312186e-09, 1.099780382028382456e-09, 9.268372883609439955e-10, 1.780824073045112390e-09, 1.031598254016670659e-09, 1.135130079928295159e-09, 3.694498122591263946e-10, 5.965075143652043664e-10, 1.031598254016670659e-09, 1.135130079928295159e-09, 5.965075143652043664e-10, 1.248530431585882335e-09
1.856000000000000000e+03, 2.545021046328131912e-09, 7.644894524633279867e-10, 6.352520191726823403e-10, 3.940276363758389704e-09, 1.054377729260354796e-09, 1.189423377071520045e-09, 4.485016531455365286e-10, 7.298175459863673770e-10, 1.054377729260354796e-09, 1.189423377071520045e-09, 7.298175459863673770e-10, 2.547706157740201648e-09
1.857000000000000000e+03, 1.910711217338629064e-09, 9.156962186871706549e-10, 5.408699956967929526e-10, 2.424052025292516235e-09, 1.058781997382281025e-09, 1.505134440363154293e-09, 5.255321401211942264e-10, 7.936783033146382073e-10, 1.058781997382281025e-09, 1.505134440363154293e-09, 7.936783033146382073e-10, 1.913527163431383277e-09
1.858000000000000000e+03, 1.563282756666417768e-09, 6.873138350323305609e-10, 7.880041739220520940e-10, 2.387466800206954428e-09, 1.142406282044192796e-09, 1.766178173209238173e-09, 5.659960321452108269e-10, 7.994507561797108425e-10, 1.142406282044192796e-09, 1.766178173209238173e-09, 7.994507561797108425e-10, 1.566203071687812880e-09
1.859000000000000000e+03, 2.964199132872511869e-09, 7.712204338443429929e-10, 8.482089520000476405e-10, 2.109991216205948895e-09, 1.037891626511306668e-09, 1.286268774937242807e-09, 5.321773027528261464e-10, 8.215978637508699432e-10, 1.037891626511306668e-09, 1.286268774937242807e-09, 8.215978637508699432e-10, 2.967231523030441157e-09
1.860000000000000000e+03, 1.454942419450655054e-09, 8.063198336008902223e-10, 5.389437831633232141e-10, 2.400044711823895209e-09, 8.926664836590327308e-10, 1.319820960108355319e-09, 4.695515707901290845e-10, 9.836637355324593494e-10, 8.926664836590327308e-10, 1.319820960108355319e-09, 9.836637355324593494e-10, 1.458005232035619588e-09
1.861000000000000000e+03, 2.060161269439137340e-09, 8.537016692471709859e-10, 5.272781412771491327e-10, 2.315088251113928537e-09, 1.088321848764026513e-09, 1.284328097464734502e-09, 6.068721182361901941e-10, 8.567707566793509536e-10, 1.088321848764026513e-09, 1.284328097464734502e-09, 8.567707566793509536e-10, 2.063128203300728508e-09
1.862000000000000000e+03, 2.225877728636075733e-09, 6.578398816051781598e-10, 6.745913229735835362e-10, 2.287010439523303093e-09, 9.503053626454859421e-10, 1.217140895263641438e-09, 4.644367172846700582e-10, 8.759959629025351714e-10, 9.503053626454859421e-10, 1.217140895263641438e-09, 8.759959629025351714e-10, 2.228776582810973027e-09
1.863000000000000000e+03, 1.502760279154555959e-09, 9.907627962723817715e-10, 5.542108784141332415e-10, 2.634888512367174158e-09, 1.170006539993502361e-09, 1.653103893062100999e-09, 4.923677296839638046e-10, 8.669801451467886417e-10, 1.170006539993502361e-09, 1.653103893062100999e-09, 8.669801451467886417e-10, 1.505636010382191971e-09
1.864000000000000000e+03, 3.096368364876503781e-09, 8.266530833196044286e-10, 5.387650370237058482e-10, 2.008166939739372885e-09, 9.521939958968384314e-10, 1.294261093329932738e-09, 4.541015192845229038e-10, 6.525949657162826877e-10, 9.521939958968384314e-10, 1.294261093329932738e-09, 6.525949657162826877e-10, 3.099251149570477346e-09
1.865000000000000000e+03, 1.739858673431983215e-09, 8.170661109476960642e-10, 6.119874460471152872e-10, 1.961067250270955090e-09, 1.068997677515848960e-09, 1.288486732708924767e-09, 5.466311272787882375e-10, 5.840678375447450569e-10, 1.068997677515848960e-09, 1.288486732708924767e-09, 5.840678375447450569e-10, 1.742675564357811938e-09
1.866000000000000000e+03, 2.369287133210524975e-09, 1.010302997218229692e-09, 6.991558648590026993e-10, 2.867579806140542268e-09, 1.092271226782001160e-09, 1.105658767261032097e-09, 4.285179140257171566e-10, 7.795424959764281154e-10, 1.092271226782001160e-09, 1.105658767261032097e-09, 7.795424959764281154e-10, 2.372020262049024154e-09
1.867000000000000000e+03, 2.151545105647961686e-09, 8.756003786766020024e-10, 5.567564991295977214e-10, 2.379390546381125104e-09, 9.549742931084133694e-10, 1.205951419084269367e-09, 4.153047669324963448e-10, 7.209374279146761474e-10, 9.549742931084133694e-10, 1.205951419084269367e-09, 7.209374279146761474e-10, 2.154196824851187816e-09
1.868000000000000000e+03, 1.700047594590935691e-09, 5.283972604835376817e-10, 4.813291180981284894e-10, 2.519017500473524383e-09, 9.639795109133553618e-10, 1.355696360750314130e-09, 5.197366298985704797e-10, 6.721787866402089036e-10, 9.639795109133553618e-10, 1.355696360750314130e-09, 6.721787866402089036e-10, 1.702665631468544662e-09
1.869000000000000000e+03, 1.340802092666193538e-09, 8.726491919871152965e-10, 5.648601656003472804e-10, 2.477197106917114231e-09, 1.115511916781882033e-09, 1.239830280327588601e-09, 4.412472852392444190e-10, 7.044262550952860179e-10, 1.115511916781882033e-09, 1.239830280327588601e-09, 7.044262550952860179e-10, 1.343373285113620223e-09
1.870000000000000000e+03, 2.228818428095129606e-09, 7.820709623047368466e-10, 6.254867261164558764e-10, 2.524203870585220464e-09, 1.055865300119370171e-09, 1.318270968870751450e-09, 5.216389683632735752e-10, 6.987075969000661250e-10, 1.055865300119370171e-09, 1.318270968870751450e-09, 6.987075969000661250e-10, 2.231344543613239304e-09
1.871000000000000000e+03, 1.895972430556285877e-09, 9.899384765887179560e-10, 8.189667811953418940e-10, 2.469699283429796835e-09, 8.733217101969255510e-10, 1.204590243617123825e-09, 5.344716694037637796e-10, 1.130345533098907335e-09, 8.733217101969255510e-10, 1.204590243617123825e-09, 1.130345533098907335e-09, 1.898494220899892588e-09
1.872000000000000000e+03, 2.155829652152343683e-09, 1.424216164602989337e-09, 8.234513889062016777e-10, 1.879933014609643987e-09, 9.735729082572331404e-10, 1.467968674959379683e-09, 5.003083149429818640e-10, 8.330364624368250726e-10, 9.735729082572331404e-10, 1.467968674959379683e-09, 8.330364624368250726e-10, 2.158359619149232686e-09
1.873000000000000000e+03, 2.033039708732368865e-09, 1.065866430190491196e-09, 1.103786205170896466e-09, 2.874378084228048793e-09, 1.113760843937568217e-09, 1.250137243059663637e-09, 4.811814385979401227e-10, 8.831147322877474221e-10, 1.113760843937568217e-09, 1.250137243059663637e-09, 8.831147322877474221e-10, 2.035560076105866418e-09
1.874000000000000000e+03, 1.980814544490127306e-09, 6.038337071494456079e-10, 7.488541600423508993e-10, 3.130960247973429614e-09, 9.330352575613994804e-10, 1.141512122785011093e-09, 5.105344771319639097e-10, 7.151112329000306288e-10, 9.330352575613994804e-10, 1.141512122785011093e-09, 7.151112329000306288e-10, 1.983376630829908562e-09
