year, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.899000000000000000e+03, 1.273539704269259110e-11, 1.303286005830723827e-11, 2.859505560795734402e-11, 1.283824666881637200e-11, 2.098147286599255839e-10, 1.259712992046194993e-10, 1.207632803387890468e-10, 5.548479608647265479e-11
1.900000000000000000e+03, 1.323133080301423159e-11, 1.351204323845768380e-11, 2.703750583723043887e-11, 1.332242069272407621e-11, 2.051158617786245098e-10, 1.240736721744944396e-10, 1.188797184392442914e-10, 5.507639521581832219e-11
1.901000000000000000e+03, 1.365482000070144570e-11, 1.371834691713123141e-11, 2.998501141419697889e-11, 1.357199210658441201e-11, 2.160434276478342900e-10, 1.270209054181857245e-10, 1.184874221532147817e-10, 5.589175785123718321e-11
1.902000000000000000e+03, 1.409608445120596309e-11, 1.439040483560205965e-11, 2.722778058146274441e-11, 1.421246577326307854e-11, 2.209969338141379320e-10, 1.248185108325727132e-10, 1.229048777273771886e-10, 5.655649616680740349e-11
1.903000000000000000e+03, 1.472470301211916146e-11, 1.502590895518038735e-11, 2.851644418222173790e-11, 1.483685923201191575e-11, 2.252742696573522807e-10, 1.365101457940043129e-10, 1.274389683631933713e-10, 5.684591700128179195e-11
1.904000000000000000e+03, 1.535514197142885800e-11, 1.566057583958575926e-11, 3.005125636039560410e-11, 1.547825926993385349e-11, 2.316795689017847600e-10, 1.339382384736151932e-10, 1.141260399775039050e-10, 5.828808067210114327e-11
1.905000000000000000e+03, 1.598534875859787970e-11, 1.630299533520481820e-11, 3.228458044072829085e-11, 1.612828081321424873e-11, 2.471689888623858284e-10, 1.312687563329912316e-10, 1.192492447073063009e-10, 5.999145820832616689e-11
1.906000000000000000e+03, 1.664089764926660075e-11, 1.697210672143312712e-11, 3.012662773300805298e-11, 1.679105123361619390e-11, 2.450563554689744694e-10, 1.376512850657931151e-10, 1.135693273781097585e-10, 6.249576777385102140e-11
1.907000000000000000e+03, 1.731022149115774761e-11, 1.766015019967029072e-11, 3.436173664281018877e-11, 1.747543588675979750e-11, 2.536693453418898688e-10, 1.378879145070101195e-10, 1.301671073251621060e-10, 6.331712709321470849e-11
1.908000000000000000e+03, 1.800471052948822730e-11, 1.833998884457411506e-11, 3.307373225929669215e-11, 1.815586110717295845e-11, 2.566594597879847110e-10, 1.384884319830906489e-10, 1.210017759454497003e-10, 6.436112288582444748e-11
1.909000000000000000e+03, 1.873788413508987851e-11, 1.903959283108846257e-11, 3.382073480203595984e-11, 1.884264370014072157e-11, 2.521585652146511495e-10, 1.393770069065828732e-10, 1.290365240992665956e-10, 6.719062111981676850e-11
1.910000000000000000e+03, 1.942756822169785821e-11, 1.975652544451840396e-11, 3.365362923972282476e-11, 1.952927748048095359e-11, 2.854111292493738346e-10, 1.412994841650398823e-10, 1.446630915145650469e-10, 6.860603849344425144e-11
1.911000000000000000e+03, 2.010037555183546115e-11, 2.056694618591349015e-11, 3.771382472062251662e-11, 2.031864598129300447e-11, 2.695974942325826566e-10, 1.384693505273854016e-10, 1.439712229796096972e-10, 6.986726948532566481e-11
1.912000000000000000e+03, 2.103104849494026713e-11, 2.153485289711645700e-11, 3.990662142810177691e-11, 2.124994192313436736e-11, 2.873867117305163350e-10, 1.502763923741370303e-10, 1.529411263314205958e-10, 7.486754657168512422e-11
1.913000000000000000e+03, 2.203908513180181567e-11, 2.248757878352569271e-11, 3.698995932886004605e-11, 2.219756904157491560e-11, 2.968235106862492885e-10, 1.566104574245685324e-10, 1.407620562388466552e-10, 7.916444142496764493e-11
1.914000000000000000e+03, 2.306831670221204748e-11, 2.346410634445104888e-11, 4.037487120972160765e-11, 2.318116591785542571e-11, 3.108663430931039315e-10, 1.604832410538862945e-10, 1.539080222040070087e-10, 8.097458921169747663e-11
1.915000000000000000e+03, 2.408513566233332676e-11, 2.444732895298836565e-11, 4.231845396761330859e-11, 2.417718853844170985e-11, 3.025419801235356009e-10, 1.600810571939585645e-10, 1.752496337019561214e-10, 8.414257171300972983e-11
1.916000000000000000e+03, 2.516233789795621684e-11, 2.546491779223937579e-11, 4.372186017225523758e-11, 2.520458635892684316e-11, 3.127573174050239559e-10, 1.624580558579198547e-10, 1.846247459764281614e-10, 8.593424395359438070e-11
1.917000000000000000e+03, 2.623943304902644916e-11, 2.650768192223287355e-11, 4.832444223959999842e-11, 2.623130754007754833e-11, 3.196705322198050140e-10, 1.735211808227230089e-10, 1.778454696148203176e-10, 8.702105299775589210e-11
1.918000000000000000e+03, 2.730802887661825050e-11, 2.754753088707324221e-11, 5.007646474455389412e-11, 2.728593020765984429e-11, 3.326116047334551272e-10, 1.810211719655825044e-10, 1.926441390850842224e-10, 9.244677293735168584e-11
1.919000000000000000e+03, 2.844295395573114505e-11, 2.861764838969140705e-11, 4.734478932127626499e-11, 2.834700172287864167e-11, 3.314583708951995590e-10, 1.811772531655454903e-10, 2.008488152819877877e-10, 9.711703205843913632e-11
1.920000000000000000e+03, 2.952102646526853418e-11, 2.971007473071681035e-11, 4.936138692366229042e-11, 2.944214242987151440e-11, 3.536478143698795039e-10, 2.016042539398809465e-10, 1.977308304567276455e-10, 1.021244709589183280e-10
